<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BSCT.US,5,20210922,153000,21.37,21.38,21.36,21.37,1520,0
BSCT.US,5,20210922,153500,21.37,21.38,21.37,21.38,1200,0
BSCT.US,5,20210922,154000,21.36,21.37,21.36,21.37,1226,0
BSCT.US,5,20210922,154500,21.37,21.37,21.37,21.37,1503,0
BSCT.US,5,20210922,155000,21.37,21.37,21.37,21.37,1100,0
BSCT.US,5,20210922,155500,21.37,21.38,21.37,21.38,900,0
BSCT.US,5,20210922,160000,21.38,21.38,21.38,21.38,1100,0
BSCT.US,5,20210922,160500,21.38,21.39,21.38,21.38,900,0
BSCT.US,5,20210922,161000,21.38,21.38,21.38,21.38,900,0
BSCT.US,5,20210922,161500,21.38,21.38,21.37,21.37,2500,0
BSCT.US,5,20210922,163000,21.38,21.39,21.38,21.38,900,0
BSCT.US,5,20210922,163500,21.38,21.39,21.38,21.39,600,0
BSCT.US,5,20210922,164000,21.39,21.39,21.39,21.39,700,0
BSCT.US,5,20210922,164500,21.39,21.39,21.38,21.38,400,0
BSCT.US,5,20210922,165000,21.38,21.38,21.38,21.38,800,0
BSCT.US,5,20210922,165500,21.38,21.39,21.38,21.39,500,0
BSCT.US,5,20210922,170000,21.38,21.39,21.38,21.39,700,0
BSCT.US,5,20210922,170500,21.39,21.39,21.385,21.39,600,0
BSCT.US,5,20210922,171000,21.385,21.39,21.385,21.385,600,0
BSCT.US,5,20210922,171500,21.385,21.39,21.385,21.39,700,0
BSCT.US,5,20210922,172000,21.385,21.385,21.385,21.385,600,0
BSCT.US,5,20210922,172500,21.385,21.385,21.385,21.385,500,0
BSCT.US,5,20210922,173000,21.385,21.385,21.385,21.385,600,0
BSCT.US,5,20210922,173500,21.385,21.385,21.385,21.385,600,0
BSCT.US,5,20210922,174000,21.385,21.385,21.385,21.385,500,0
BSCT.US,5,20210922,174500,21.385,21.39,21.385,21.39,500,0
BSCT.US,5,20210922,175000,21.385,21.39,21.385,21.39,500,0
BSCT.US,5,20210922,175500,21.385,21.39,21.385,21.39,600,0
BSCT.US,5,20210922,180000,21.39,21.39,21.385,21.39,500,0
BSCT.US,5,20210922,180500,21.385,21.39,21.385,21.385,600,0
BSCT.US,5,20210922,181000,21.385,21.385,21.385,21.385,400,0
BSCT.US,5,20210922,181500,21.385,21.385,21.385,21.385,400,0
BSCT.US,5,20210922,182000,21.385,21.385,21.385,21.385,500,0
BSCT.US,5,20210922,182500,21.385,21.385,21.385,21.385,500,0
BSCT.US,5,20210922,183000,21.385,21.385,21.385,21.385,400,0
BSCT.US,5,20210922,183500,21.385,21.385,21.385,21.385,400,0
BSCT.US,5,20210922,184000,21.385,21.385,21.385,21.385,400,0
BSCT.US,5,20210922,184500,21.385,21.385,21.385,21.385,500,0
BSCT.US,5,20210922,185000,21.385,21.385,21.385,21.385,4300,0
BSCT.US,5,20210922,185500,21.385,21.385,21.385,21.385,400,0
BSCT.US,5,20210922,190000,21.38,21.39,21.38,21.39,810,0
BSCT.US,5,20210922,190500,21.39,21.39,21.38,21.38,500,0
BSCT.US,5,20210922,191000,21.38,21.39,21.38,21.38,500,0
BSCT.US,5,20210922,191500,21.39,21.39,21.39,21.39,400,0
BSCT.US,5,20210922,192000,21.38,21.38,21.38,21.38,500,0
BSCT.US,5,20210922,192500,21.385,21.39,21.385,21.39,600,0
BSCT.US,5,20210922,193000,21.39,21.39,21.38,21.38,400,0
BSCT.US,5,20210922,193500,21.39,21.39,21.38,21.38,600,0
BSCT.US,5,20210922,194000,21.38,21.39,21.371,21.385,4705,0
BSCT.US,5,20210922,195000,21.385,21.385,21.385,21.385,1200,0
BSCT.US,5,20210922,195500,21.39,21.39,21.39,21.39,300,0
BSCT.US,5,20210922,200000,21.405,21.405,21.37,21.37,1200,0
BSCT.US,5,20210922,200500,21.395,21.395,21.38,21.38,600,0
BSCT.US,5,20210922,201500,21.395,21.395,21.39,21.395,1963,0
BSCT.US,5,20210922,202000,21.395,21.395,21.39,21.39,700,0
BSCT.US,5,20210922,202500,21.405,21.405,21.4,21.4,500,0
BSCT.US,5,20210922,203000,21.41,21.41,21.4,21.4,2000,0
BSCT.US,5,20210922,203500,21.395,21.395,21.38,21.385,800,0
BSCT.US,5,20210922,204000,21.385,21.385,21.365,21.365,900,0
BSCT.US,5,20210922,204500,21.355,21.355,21.35,21.35,500,0
BSCT.US,5,20210922,205000,21.345,21.345,21.34,21.34,800,0
BSCT.US,5,20210922,205500,21.365,21.375,21.34,21.34,1000,0
BSCT.US,5,20210922,210000,21.345,21.345,21.34,21.34,300,0
BSCT.US,5,20210922,210500,21.355,21.375,21.355,21.37,1200,0
BSCT.US,5,20210922,211000,21.375,21.375,21.37,21.37,400,0
BSCT.US,5,20210922,211500,21.38,21.38,21.37,21.37,1133,0
BSCT.US,5,20210922,212000,21.375,21.375,21.37,21.37,1800,0
BSCT.US,5,20210922,212500,21.38,21.38,21.38,21.38,100,0
BSCT.US,5,20210922,213000,21.385,21.385,21.38,21.38,1800,0
BSCT.US,5,20210922,214000,21.39,21.39,21.38,21.39,186502,0
