<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BSJQ.US,5,20210922,153000,25.72,25.7608,25.72,25.76,1781,0
BSJQ.US,5,20210922,160500,25.76,25.76,25.76,25.76,200,0
BSJQ.US,5,20210922,162500,25.7601,25.7603,25.76,25.76,14600,0
BSJQ.US,5,20210922,163000,25.76,25.7602,25.76,25.76,4300,0
BSJQ.US,5,20210922,172500,25.76,25.76,25.76,25.76,300,0
BSJQ.US,5,20210922,173000,25.76,25.76,25.76,25.76,200,0
BSJQ.US,5,20210922,173500,25.7597,25.7597,25.7597,25.7597,717,0
BSJQ.US,5,20210922,174000,25.75,25.76,25.75,25.76,1659,0
BSJQ.US,5,20210922,174500,25.76,25.76,25.76,25.76,587,0
BSJQ.US,5,20210922,175000,25.76,25.76,25.76,25.76,2587,0
BSJQ.US,5,20210922,183000,25.76,25.77,25.76,25.7627,6584,0
BSJQ.US,5,20210922,184500,25.765,25.765,25.76,25.7603,4200,0
BSJQ.US,5,20210922,185500,25.7603,25.7603,25.7603,25.7603,400,0
BSJQ.US,5,20210922,191000,25.765,25.765,25.76,25.76,700,0
BSJQ.US,5,20210922,191500,25.765,25.765,25.765,25.765,250,0
BSJQ.US,5,20210922,193000,25.765,25.765,25.765,25.765,200,0
BSJQ.US,5,20210922,195500,25.76,25.7602,25.76,25.7602,3385,0
BSJQ.US,5,20210922,202000,25.77,25.77,25.77,25.77,200,0
BSJQ.US,5,20210922,204000,25.7591,25.7591,25.7525,25.7525,222,0
BSJQ.US,5,20210922,204500,25.7587,25.7587,25.75,25.75,300,0
BSJQ.US,5,20210922,205000,25.74,25.74,25.7201,25.7201,682,0
BSJQ.US,5,20210922,212000,25.76,25.76,25.76,25.76,200,0
BSJQ.US,5,20210922,212500,25.759,25.759,25.755,25.755,1701,0
BSJQ.US,5,20210922,213500,25.755,25.755,25.755,25.755,100,0
BSJQ.US,5,20210922,215000,25.755,25.76,25.755,25.755,29300,0
BSJQ.US,5,20210923,153000,25.76,25.76,25.75,25.75,2574,0
BSJQ.US,5,20210923,154500,25.7595,25.76,25.7591,25.76,1000,0
BSJQ.US,5,20210923,155000,25.76,25.76,25.76,25.76,700,0
BSJQ.US,5,20210923,160000,25.7595,25.76,25.7595,25.76,400,0
BSJQ.US,5,20210923,160500,25.78,25.79,25.78,25.78,1400,0
BSJQ.US,5,20210923,162000,25.78,25.7801,25.78,25.7801,2226,0
BSJQ.US,5,20210923,164000,25.78,25.78,25.78,25.78,400,0
BSJQ.US,5,20210923,164500,25.78,25.78,25.78,25.78,200,0
BSJQ.US,5,20210923,165000,25.78,25.78,25.7798,25.78,2390,0
BSJQ.US,5,20210923,165500,25.78,25.78,25.78,25.78,1000,0
BSJQ.US,5,20210923,170500,25.78,25.78,25.78,25.78,2647,0
BSJQ.US,5,20210923,171000,25.779,25.779,25.779,25.779,200,0
BSJQ.US,5,20210923,172000,25.78,25.78,25.78,25.78,2050,0
BSJQ.US,5,20210923,174000,25.78,25.78,25.775,25.775,800,0
BSJQ.US,5,20210923,175500,25.775,25.775,25.775,25.775,156,0
BSJQ.US,5,20210923,190500,25.7732,25.7732,25.7732,25.7732,581,0
BSJQ.US,5,20210923,192500,25.7799,25.7799,25.7799,25.7799,692,0
BSJQ.US,5,20210923,193000,25.77,25.77,25.77,25.77,1108,0
BSJQ.US,5,20210923,200000,25.775,25.775,25.775,25.775,911,0
BSJQ.US,5,20210923,200500,25.7799,25.7799,25.7799,25.7799,311,0
BSJQ.US,5,20210923,202000,25.77,25.77,25.77,25.77,400,0
BSJQ.US,5,20210923,203000,25.77,25.77,25.77,25.77,400,0
BSJQ.US,5,20210923,205500,25.765,25.765,25.7608,25.7608,218,0
BSJQ.US,5,20210923,210500,25.765,25.765,25.765,25.765,465,0
BSJQ.US,5,20210923,211000,25.76,25.76,25.76,25.76,200,0
BSJQ.US,5,20210923,212500,25.755,25.755,25.755,25.755,544,0
BSJQ.US,5,20210924,153000,25.77,25.77,25.77,25.77,100,0
BSJQ.US,5,20210924,154500,25.75,25.75,25.75,25.75,1000,0
BSJQ.US,5,20210924,155500,25.735,25.735,25.735,25.735,745,0
BSJQ.US,5,20210924,164000,25.74,25.74,25.74,25.74,200,0
BSJQ.US,5,20210924,171500,25.73,25.73,25.73,25.73,100,0
BSJQ.US,5,20210924,182000,25.74,25.74,25.74,25.74,110,0
BSJQ.US,5,20210924,193500,25.74,25.74,25.74,25.74,200,0
BSJQ.US,5,20210924,195000,25.74,25.74,25.73,25.73,300,0
BSJQ.US,5,20210924,204000,25.73,25.7399,25.73,25.73,1000,0
BSJQ.US,5,20210924,205500,25.735,25.735,25.735,25.735,200,0
BSJQ.US,5,20210924,211000,25.735,25.735,25.735,25.735,772,0
BSJQ.US,5,20210924,215000,25.74,25.74,25.74,25.74,12878,0
BSJQ.US,5,20210927,161500,25.7199,25.72,25.7194,25.72,2600,0
BSJQ.US,5,20210927,162500,25.7299,25.7299,25.72,25.72,496,0
BSJQ.US,5,20210927,164500,25.7201,25.7244,25.7201,25.7244,2215,0
BSJQ.US,5,20210927,165500,25.725,25.725,25.725,25.725,386,0
BSJQ.US,5,20210927,170500,25.7299,25.7299,25.72,25.72,2757,0
BSJQ.US,5,20210927,172500,25.72,25.72,25.72,25.72,400,0
BSJQ.US,5,20210927,173000,25.72,25.72,25.72,25.72,400,0
BSJQ.US,5,20210927,174000,25.72,25.72,25.72,25.72,100,0
BSJQ.US,5,20210927,174500,25.715,25.715,25.715,25.715,3885,0
BSJQ.US,5,20210927,175000,25.715,25.715,25.715,25.715,462,0
BSJQ.US,5,20210927,181000,25.7169,25.7169,25.7169,25.7169,480,0
BSJQ.US,5,20210927,182000,25.7102,25.7102,25.7102,25.7102,713,0
BSJQ.US,5,20210927,185000,25.7299,25.7299,25.7299,25.7299,2980,0
BSJQ.US,5,20210927,190500,25.72,25.72,25.72,25.72,520,0
BSJQ.US,5,20210927,193000,25.715,25.7199,25.715,25.7199,233,0
BSJQ.US,5,20210927,195000,25.719,25.729,25.719,25.72,5167,0
BSJQ.US,5,20210927,200000,25.7299,25.7299,25.7299,25.7299,466,0
BSJQ.US,5,20210927,210000,25.7289,25.729,25.72,25.72,1106,0
BSJQ.US,5,20210927,211500,25.73,25.73,25.73,25.73,300,0
BSJQ.US,5,20210927,214500,25.73,25.73,25.73,25.73,4012,0
