<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BTEC.US,5,20210922,153000,57.03,57.03,57.03,57.03,126,0
BTEC.US,5,20210922,164500,56.67,56.7,56.63,56.63,1104,0
BTEC.US,5,20210922,170500,56.6277,56.6277,56.6277,56.6277,125,0
BTEC.US,5,20210922,172500,56.904,56.904,56.904,56.904,100,0
BTEC.US,5,20210922,195000,56.87,56.9059,56.87,56.9059,980,0
BTEC.US,5,20210923,153000,57.06,57.06,57.06,57.06,181,0
BTEC.US,5,20210923,163500,57.065,57.065,57.065,57.065,100,0
BTEC.US,5,20210923,173000,57.04,57.04,57.04,57.04,475,0
BTEC.US,5,20210923,194500,57.42,57.485,57.42,57.485,241,0
BTEC.US,5,20210923,201000,57.27,57.27,57.27,57.27,300,0
BTEC.US,5,20210923,203000,57.4649,57.4649,57.4649,57.4649,152,0
BTEC.US,5,20210923,204500,57.3977,57.3977,57.3977,57.3977,700,0
BTEC.US,5,20210923,211000,57.5988,57.5988,57.5988,57.5988,200,0
BTEC.US,5,20210923,215500,57.6,57.6,57.6,57.6,1035,0
BTEC.US,5,20210924,153500,57.23,57.23,57.23,57.23,100,0
BTEC.US,5,20210924,154000,56.83,56.83,56.815,56.815,200,0
BTEC.US,5,20210924,154500,56.9,56.9,56.9,56.9,330,0
BTEC.US,5,20210924,155000,56.765,56.765,56.765,56.765,100,0
BTEC.US,5,20210924,181500,56.9,56.9,56.9,56.9,180,0
BTEC.US,5,20210924,193500,56.78,56.78,56.78,56.78,200,0
BTEC.US,5,20210924,194500,56.6033,56.6033,56.6033,56.6033,300,0
BTEC.US,5,20210924,203000,56.74,56.92,56.71,56.74,18300,0
BTEC.US,5,20210924,204000,56.59,56.59,56.59,56.59,200,0
BTEC.US,5,20210924,205000,56.4761,56.4761,56.4761,56.4761,225,0
BTEC.US,5,20210924,210500,56.3201,56.3201,56.3201,56.3201,180,0
BTEC.US,5,20210924,212000,56.41,56.41,56.41,56.41,107,0
BTEC.US,5,20210924,212500,56.31,56.31,56.31,56.31,271,0
BTEC.US,5,20210924,213500,56.34,56.39,56.34,56.39,1300,0
BTEC.US,5,20210924,215500,56.45,56.45,56.45,56.45,400,0
BTEC.US,5,20210927,153000,56.13,56.13,56.13,56.13,166,0
BTEC.US,5,20210927,161500,56.17,56.17,56.17,56.17,225,0
BTEC.US,5,20210927,162000,56.4366,56.4366,56.4366,56.4366,400,0
BTEC.US,5,20210927,164500,56.52,56.52,56.52,56.52,100,0
BTEC.US,5,20210927,165500,56.52,56.52,56.52,56.52,180,0
BTEC.US,5,20210927,192000,56.4599,56.4599,56.4599,56.4599,400,0
BTEC.US,5,20210927,194000,56.2001,56.2001,56.2001,56.2001,403,0
BTEC.US,5,20210927,204500,56.56,56.56,56.56,56.56,100,0
BTEC.US,5,20210927,205500,56.6099,56.6099,56.6099,56.6099,100,0
BTEC.US,5,20210927,211000,56.455,56.455,56.455,56.455,120,0
BTEC.US,5,20210927,212000,56.5339,56.5339,56.5339,56.5339,300,0
BTEC.US,5,20210928,153000,55.68,55.68,55.68,55.68,100,0
BTEC.US,5,20210928,154000,55.28,55.28,55.22,55.25,1595,0
BTEC.US,5,20210928,161000,55,55.01,54.942,54.942,300,0
BTEC.US,5,20210928,165000,55.0567,55.0567,55.0567,55.0567,150,0
BTEC.US,5,20210928,165500,55.0814,55.0814,55.0814,55.0814,750,0
BTEC.US,5,20210928,175000,54.91,54.91,54.82,54.82,2352,0
BTEC.US,5,20210928,180000,54.7936,54.7936,54.7936,54.7936,392,0
BTEC.US,5,20210928,181500,55.02,55.09,55.02,55.08,1047,0
BTEC.US,5,20210928,182000,55.0667,55.0667,55.0667,55.0667,215,0
BTEC.US,5,20210928,182500,55.045,55.13,54.9862,55.04,1330,0
BTEC.US,5,20210928,183000,55.02,55.02,55.02,55.02,100,0
BTEC.US,5,20210928,184000,55.0399,55.0399,55.0399,55.0399,290,0
BTEC.US,5,20210928,185500,54.89,54.89,54.89,54.89,23801,0
BTEC.US,5,20210928,190000,54.85,54.855,54.79,54.79,600,0
BTEC.US,5,20210928,190500,54.79,54.81,54.7,54.7,24655,0
BTEC.US,5,20210928,191000,54.7,54.745,54.7,54.745,7474,0
BTEC.US,5,20210928,192000,54.96,55.02,54.96,55.02,800,0
BTEC.US,5,20210928,200500,54.93,54.93,54.93,54.93,100,0
BTEC.US,5,20210928,202000,55.01,55.01,55.01,55.01,700,0
BTEC.US,5,20210928,202500,55.0062,55.0062,55.0062,55.0062,100,0
BTEC.US,5,20210928,212500,54.985,54.985,54.985,54.985,100,0
BTEC.US,5,20210928,213000,54.9223,54.9535,54.9,54.9535,817,0
BTEC.US,5,20210929,153000,54.47,54.47,54.47,54.47,709,0
BTEC.US,5,20210929,154000,54.8667,54.8667,54.8667,54.8667,200,0
BTEC.US,5,20210929,155000,55.0906,55.0906,55.0906,55.0906,1900,0
BTEC.US,5,20210929,172000,54.54,54.54,54.54,54.54,200,0
BTEC.US,5,20210929,190500,54.0513,54.0513,54.05,54.05,689,0
BTEC.US,5,20210929,191500,54.23,54.24,54.23,54.24,892,0
BTEC.US,5,20210929,212000,54.5,54.5,54.5,54.5,300,0
BTEC.US,5,20210929,212500,54.34,54.34,54.34,54.34,400,0
BTEC.US,5,20210929,213000,54.25,54.25,54.25,54.25,375,0
BTEC.US,5,20210929,215500,53.91,53.91,53.91,53.91,100,0
BTEC.US,5,20210930,153000,54.15,54.15,54.15,54.15,213,0
BTEC.US,5,20210930,155000,54.81,54.81,54.81,54.81,50000,0
BTEC.US,5,20210930,163500,55.06,55.06,55.06,55.06,200,0
BTEC.US,5,20210930,164000,54.99,55.03,54.99,55.03,400,0
BTEC.US,5,20210930,171000,54.9641,54.9641,54.9641,54.9641,150,0
BTEC.US,5,20210930,172000,55.0647,55.0647,55.0647,55.0647,100,0
BTEC.US,5,20210930,174000,54.67,54.67,54.67,54.67,1238,0
BTEC.US,5,20210930,180500,54.81,54.81,54.81,54.81,200,0
BTEC.US,5,20210930,213500,55.1499,55.1499,55.1499,55.1499,100,0
BTEC.US,5,20210930,215000,54.79,54.79,54.79,54.79,111,0
BTEC.US,5,20210930,215500,54.7208,54.7208,54.63,54.63,754,0
BTEC.US,5,20211001,160000,53.555,53.555,53.555,53.555,185,0
BTEC.US,5,20211001,163500,53.2351,53.25,53.22,53.25,450,0
BTEC.US,5,20211001,172000,53.89,53.98,53.89,53.98,200,0
BTEC.US,5,20211001,191000,54.2064,54.2064,54.2064,54.2064,500,0
BTEC.US,5,20211001,194000,54.35,54.35,54.35,54.35,100,0
BTEC.US,5,20211001,200000,54.33,54.33,54.33,54.33,100,0
BTEC.US,5,20211001,205500,54.5512,54.5512,54.5512,54.5512,200,0
BTEC.US,5,20211001,213500,54.83,54.83,54.83,54.83,200,0
BTEC.US,5,20211004,155000,53.9501,53.9501,53.9501,53.9501,200,0
BTEC.US,5,20211004,170000,53.42,53.42,53.412,53.412,332,0
BTEC.US,5,20211004,171000,53.2563,53.4371,53.2563,53.4371,295,0
BTEC.US,5,20211004,172500,53.49,53.49,53.49,53.49,163,0
BTEC.US,5,20211004,191000,53.41,53.41,53.41,53.41,125,0
BTEC.US,5,20211004,205000,53.5979,53.5979,53.5979,53.5979,180,0
BTEC.US,5,20211004,213000,53.39,53.49,53.39,53.49,380,0
BTEC.US,5,20211004,214500,53.39,53.39,53.39,53.39,101,0
BTEC.US,5,20211004,215500,53.4461,53.45,53.4461,53.45,373,0
BTEC.US,5,20211005,162000,54.2211,54.2211,54.2211,54.2211,180,0
BTEC.US,5,20211005,172000,53.92,53.97,53.92,53.97,320,0
BTEC.US,5,20211005,182500,53.38,53.38,53.38,53.38,110,0
BTEC.US,5,20211005,183500,53.385,53.385,53.385,53.385,111,0
BTEC.US,5,20211005,193000,53.48,53.48,53.47,53.47,1000,0
BTEC.US,5,20211006,154000,53.272,53.272,53.272,53.272,500,0
BTEC.US,5,20211006,160000,53.06,53.06,53.06,53.06,105,0
BTEC.US,5,20211006,160500,52.95,52.95,52.95,52.95,100,0
BTEC.US,5,20211006,161000,52.9029,52.9029,52.9029,52.9029,100,0
BTEC.US,5,20211006,174500,53.1447,53.1447,53.1447,53.1447,190,0
BTEC.US,5,20211006,182000,53.1505,53.1505,53.1505,53.1505,1324,0
BTEC.US,5,20211006,184500,53.05,53.05,53.05,53.05,377,0
BTEC.US,5,20211006,203000,53.27,53.27,53.27,53.27,100,0
BTEC.US,5,20211006,205500,53.3096,53.3096,53.3096,53.3096,1000,0
BTEC.US,5,20211006,211000,53.2199,53.2199,53.2199,53.2199,563,0
BTEC.US,5,20211006,212500,53.03,53.07,53.03,53.03,1000,0
BTEC.US,5,20211007,165500,54.3951,54.3951,54.3951,54.3951,200,0
BTEC.US,5,20211007,170000,54.5,54.5,54.5,54.5,100,0
