<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CFA.US,5,20210922,153000,72.15,72.15,72.15,72.15,1048,0
CFA.US,5,20210922,154000,71.961,71.961,71.961,71.961,110,0
CFA.US,5,20210922,161500,72.2365,72.2499,72.2365,72.2499,1992,0
CFA.US,5,20210922,162000,72.24,72.24,72.2199,72.2199,881,0
CFA.US,5,20210922,163500,72.246,72.246,72.246,72.246,125,0
CFA.US,5,20210922,165500,72.305,72.305,72.305,72.305,190,0
CFA.US,5,20210922,170000,72.4,72.4,72.37,72.37,689,0
CFA.US,5,20210922,171000,72.39,72.39,72.39,72.39,129,0
CFA.US,5,20210922,172500,72.42,72.42,72.42,72.42,552,0
CFA.US,5,20210922,173500,72.499,72.499,72.499,72.499,690,0
CFA.US,5,20210922,174000,72.4928,72.4928,72.4928,72.4928,111,0
CFA.US,5,20210922,175000,72.51,72.52,72.51,72.52,500,0
CFA.US,5,20210922,185500,72.4431,72.4431,72.4431,72.4431,100,0
CFA.US,5,20210922,195000,72.3527,72.3527,72.3527,72.3527,685,0
CFA.US,5,20210922,200000,72.35,72.35,72.35,72.35,100,0
CFA.US,5,20210922,201000,72.6,72.6,72.6,72.6,125,0
CFA.US,5,20210922,202000,72.5942,72.5942,72.5942,72.5942,125,0
CFA.US,5,20210922,204500,72.39,72.4,72.39,72.4,200,0
CFA.US,5,20210922,210500,72.285,72.285,72.285,72.285,755,0
CFA.US,5,20210922,213000,72.4421,72.4421,72.4421,72.4421,375,0
CFA.US,5,20210922,214000,72.37,72.37,72.37,72.37,400,0
CFA.US,5,20210922,214500,72.34,72.3799,72.33,72.33,1015,0
CFA.US,5,20210923,153000,72.45,72.45,72.45,72.45,566,0
CFA.US,5,20210923,161000,73.1799,73.18,73.1799,73.18,266,0
CFA.US,5,20210923,161500,73.18,73.18,73.18,73.18,200,0
CFA.US,5,20210923,163000,73.13,73.1555,73.13,73.1555,572,0
CFA.US,5,20210923,174000,73.24,73.24,73.24,73.24,293,0
CFA.US,5,20210923,183000,73.314,73.314,73.314,73.314,285,0
CFA.US,5,20210923,184000,73.3281,73.3281,73.3281,73.3281,548,0
CFA.US,5,20210923,192500,73.3878,73.3878,73.3878,73.3878,559,0
CFA.US,5,20210923,201000,73.42,73.42,73.4065,73.4065,1241,0
CFA.US,5,20210923,201500,73.42,73.42,73.42,73.42,150,0
CFA.US,5,20210923,202000,73.3601,73.3601,73.3601,73.3601,175,0
CFA.US,5,20210923,202500,73.37,73.37,73.37,73.37,300,0
CFA.US,5,20210923,203000,73.37,73.37,73.37,73.37,300,0
CFA.US,5,20210923,210000,73.315,73.315,73.3003,73.3003,1388,0
