<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DXGE.US,5,20210922,160000,35.39,35.455,35.38,35.39,4000,0
DXGE.US,5,20210922,160500,35.44,35.44,35.381,35.44,7200,0
DXGE.US,5,20210922,201500,35.5,35.5,35.5,35.5,300,0
DXGE.US,5,20210922,202500,35.5591,35.5591,35.5591,35.5591,100,0
DXGE.US,5,20210923,163500,35.72,35.72,35.72,35.72,100,0
DXGE.US,5,20210924,153000,35.54,35.54,35.54,35.54,401,0
DXGE.US,5,20210924,201000,35.45,35.45,35.45,35.45,1910,0
DXGE.US,5,20210927,153500,35.6515,35.6515,35.6515,35.6515,100,0
DXGE.US,5,20210927,215000,35.72,35.72,35.72,35.72,140,0
DXGE.US,5,20210928,153000,35.43,35.43,35.34,35.34,500,0
DXGE.US,5,20210928,182500,35.0901,35.0901,35.09,35.09,254,0
DXGE.US,5,20210929,174500,35.26,35.26,35.2001,35.2001,500,0
DXGE.US,5,20210930,214500,34.99,34.99,34.99,34.99,100,0
DXGE.US,5,20211001,194500,34.91,34.91,34.91,34.91,400,0
DXGE.US,5,20211004,193500,34.7,34.71,34.7,34.71,300,0
DXGE.US,5,20211005,183500,34.94,34.94,34.93,34.94,543,0
DXGE.US,5,20211008,164000,34.91,34.91,34.91,34.91,100,0
DXGE.US,5,20211008,201500,34.9588,34.9588,34.9588,34.9588,238,0
DXGE.US,5,20211008,213000,34.99,34.99,34.99,34.99,100,0
DXGE.US,5,20211011,153000,34.86,34.86,34.86,34.86,100,0
DXGE.US,5,20211011,181500,34.87,34.875,34.87,34.875,300,0
DXGE.US,5,20211012,153000,34.84,34.84,34.84,34.84,100,0
DXGE.US,5,20211012,184500,34.84,34.84,34.84,34.84,100,0
DXGE.US,5,20211013,153000,34.99,34.99,34.99,34.99,1785,0
DXGE.US,5,20211015,173000,35.46,35.46,35.46,35.46,100,0
DXGE.US,5,20211015,213000,35.5776,35.5776,35.5776,35.5776,300,0
DXGE.US,5,20211020,174500,35.43,35.43,35.43,35.43,187,0
DXGE.US,5,20211021,204500,35.445,35.445,35.445,35.445,642,0
DXGE.US,5,20211025,185000,35.68,35.68,35.68,35.68,200,0
DXGE.US,5,20211025,195000,35.69,35.69,35.69,35.69,200,0
DXGE.US,5,20211025,205000,35.68,35.68,35.68,35.68,200,0
DXGE.US,5,20211025,215000,35.69,35.69,35.69,35.69,100,0
DXGE.US,5,20211026,170000,35.96,35.96,35.96,35.96,850,0
DXGE.US,5,20211026,215500,35.9001,35.9001,35.9001,35.9001,107,0
DXGE.US,5,20211027,215500,35.95,35.95,35.95,35.95,100,0
DXGE.US,5,20211028,153000,35.81,35.81,35.81,35.81,200,0
DXGE.US,5,20211029,173000,35.78,35.78,35.78,35.78,400,0
DXGE.US,5,20211029,182000,35.86,35.86,35.86,35.86,400,0
DXGE.US,5,20211029,185500,35.82,35.83,35.82,35.82,1000,0
DXGE.US,5,20211029,191000,35.83,35.83,35.83,35.83,1000,0
DXGE.US,5,20211029,203500,35.7901,35.7901,35.7901,35.7901,100,0
DXGE.US,5,20211029,204000,35.8,35.81,35.8,35.8,1000,0
DXGE.US,5,20211103,143000,36.47,36.47,36.47,36.47,3200,0
DXGE.US,5,20211103,154000,36.585,36.585,36.585,36.585,100,0
DXGE.US,5,20211104,144500,36.82,36.82,36.82,36.82,224,0
DXGE.US,5,20211104,160000,36.75,36.75,36.75,36.75,100,0
DXGE.US,5,20211104,164500,36.7518,36.7518,36.7518,36.7518,225,0
DXGE.US,5,20211105,174000,36.69,36.69,36.69,36.69,154,0
DXGE.US,5,20211109,194500,36.51,36.51,36.51,36.51,100,0
DXGE.US,5,20211109,203500,36.492,36.492,36.492,36.492,100,0
DXGE.US,5,20211111,170000,36.8,36.81,36.8,36.81,2700,0
DXGE.US,5,20211111,202000,36.69,36.71,36.69,36.71,200,0
