<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FDT.US,5,20210922,153000,62.65,62.7965,62.65,62.7965,514,0
FDT.US,5,20210922,153500,62.7428,62.7428,62.7428,62.7428,302,0
FDT.US,5,20210922,154000,62.705,62.705,62.705,62.705,115,0
FDT.US,5,20210922,155000,62.9074,62.9074,62.9074,62.9074,138,0
FDT.US,5,20210922,160500,62.7446,62.7446,62.7446,62.7446,227,0
FDT.US,5,20210922,170500,62.9608,62.9608,62.9608,62.9608,334,0
FDT.US,5,20210922,171000,63.0176,63.0176,63.0176,63.0176,211,0
FDT.US,5,20210922,174500,63.12,63.12,63.12,63.12,344,0
FDT.US,5,20210922,180500,63.0799,63.0799,63.0799,63.0799,110,0
FDT.US,5,20210922,181000,62.985,62.99,62.985,62.99,700,0
FDT.US,5,20210922,181500,63.06,63.06,63.06,63.06,100,0
FDT.US,5,20210922,185500,63.07,63.07,63.07,63.07,100,0
FDT.US,5,20210922,191500,62.99,62.99,62.99,62.99,100,0
FDT.US,5,20210922,193500,62.98,62.98,62.98,62.98,143,0
FDT.US,5,20210922,194000,62.98,62.98,62.98,62.98,200,0
FDT.US,5,20210922,201000,63.095,63.095,63.095,63.095,100,0
FDT.US,5,20210922,203500,63.21,63.21,63.2,63.2,300,0
FDT.US,5,20210922,210000,62.76,62.76,62.76,62.76,196,0
FDT.US,5,20210922,211500,62.94,62.94,62.94,62.94,769,0
FDT.US,5,20210922,212000,62.8869,62.8869,62.8869,62.8869,100,0
FDT.US,5,20210922,212500,63.0492,63.0492,63.0492,63.0492,443,0
FDT.US,5,20210922,215000,62.9489,62.9489,62.9489,62.9489,180,0
FDT.US,5,20210923,153000,62.88,62.88,62.88,62.88,2433,0
FDT.US,5,20210923,153500,63,63.15,63,63.15,935,0
FDT.US,5,20210923,154500,63.195,63.195,63.195,63.195,110,0
FDT.US,5,20210923,155000,63.1201,63.1201,63.1201,63.1201,219,0
FDT.US,5,20210923,160000,63.26,63.28,63.26,63.28,444,0
FDT.US,5,20210923,161500,63.3,63.3,63.3,63.3,261,0
FDT.US,5,20210923,165500,63.33,63.33,63.33,63.33,133,0
FDT.US,5,20210923,170500,63.32,63.33,63.31,63.32,665,0
FDT.US,5,20210923,174000,63.23,63.27,63.23,63.27,466,0
FDT.US,5,20210923,174500,63.181,63.2038,63.181,63.2038,519,0
FDT.US,5,20210923,182000,63.231,63.28,63.231,63.28,1070,0
FDT.US,5,20210923,182500,63.23,63.23,63.23,63.23,100,0
FDT.US,5,20210923,183500,63.37,63.37,63.37,63.37,193,0
FDT.US,5,20210923,185500,63.3719,63.3719,63.32,63.32,850,0
FDT.US,5,20210923,194500,63.3703,63.3703,63.3703,63.3703,191,0
FDT.US,5,20210923,195000,63.3103,63.3103,63.3103,63.3103,265,0
FDT.US,5,20210923,195500,63.3894,63.4394,63.385,63.4394,1156,0
FDT.US,5,20210923,200000,63.3597,63.3597,63.3597,63.3597,243,0
FDT.US,5,20210923,200500,63.33,63.33,63.33,63.33,100,0
FDT.US,5,20210923,204000,63.35,63.35,63.33,63.33,400,0
FDT.US,5,20210923,205000,63.32,63.32,63.32,63.32,115,0
FDT.US,5,20210923,211500,63.31,63.31,63.31,63.31,130,0
FDT.US,5,20210923,212500,63.3,63.3,63.3,63.3,225,0
FDT.US,5,20210923,214000,63.2,63.27,63.2,63.27,432,0
FDT.US,5,20210923,214500,63.1811,63.1811,63.1811,63.1811,116,0
FDT.US,5,20210923,215000,63.1634,63.1634,63.1634,63.1634,727,0
FDT.US,5,20210923,215500,63.205,63.205,63.205,63.205,100,0
FDT.US,5,20210924,153000,62.63,62.63,62.63,62.63,320,0
FDT.US,5,20210924,153500,62.8273,62.8273,62.8273,62.8273,234,0
FDT.US,5,20210924,155000,62.8097,62.8097,62.8097,62.8097,158,0
FDT.US,5,20210924,162000,62.735,62.735,62.735,62.735,201,0
FDT.US,5,20210924,164500,62.7659,62.7659,62.7659,62.7659,240,0
FDT.US,5,20210924,165000,62.7212,62.7212,62.7212,62.7212,219,0
FDT.US,5,20210924,171000,62.791,62.8,62.791,62.8,214,0
FDT.US,5,20210924,173000,62.705,62.705,62.705,62.705,100,0
FDT.US,5,20210924,180000,62.68,62.68,62.68,62.68,150,0
FDT.US,5,20210924,185000,62.79,62.79,62.79,62.79,153,0
FDT.US,5,20210924,190000,62.7301,62.7301,62.7301,62.7301,126,0
FDT.US,5,20210924,191000,62.8191,62.8191,62.8191,62.8191,165,0
FDT.US,5,20210924,194500,62.7776,62.7776,62.7776,62.7776,500,0
FDT.US,5,20210924,205500,62.87,62.87,62.87,62.87,134,0
FDT.US,5,20210924,211000,62.81,62.81,62.81,62.81,214,0
FDT.US,5,20210924,213000,62.78,62.78,62.78,62.78,1000,0
FDT.US,5,20210924,214500,62.76,62.79,62.76,62.79,200,0
FDT.US,5,20210924,215500,62.79,62.79,62.75,62.75,647,0
FDT.US,5,20210927,153000,62.58,62.58,62.58,62.58,535,0
FDT.US,5,20210927,153500,62.47,62.47,62.47,62.47,441,0
FDT.US,5,20210927,154000,62.5779,62.5779,62.5779,62.5779,137,0
FDT.US,5,20210927,155000,62.585,62.585,62.585,62.585,200,0
FDT.US,5,20210927,160000,62.81,62.81,62.81,62.81,249,0
FDT.US,5,20210927,163000,62.815,62.815,62.815,62.815,783,0
FDT.US,5,20210927,164000,62.8589,62.8589,62.8589,62.8589,300,0
FDT.US,5,20210927,164500,62.8454,62.8454,62.8454,62.8454,241,0
FDT.US,5,20210927,171000,62.8,62.8,62.8,62.8,194,0
FDT.US,5,20210927,181000,62.78,62.78,62.78,62.78,142,0
FDT.US,5,20210927,184000,62.83,62.83,62.83,62.83,123,0
FDT.US,5,20210927,185000,62.75,62.75,62.75,62.75,212,0
FDT.US,5,20210927,193500,62.7225,62.7225,62.7225,62.7225,395,0
FDT.US,5,20210927,195000,62.7764,62.7764,62.7764,62.7764,194,0
FDT.US,5,20210927,202000,62.8872,62.8872,62.8872,62.8872,315,0
FDT.US,5,20210927,215000,62.87,62.87,62.77,62.77,400,0
FDT.US,5,20210927,215500,62.8,62.8,62.8,62.8,100,0
FDT.US,5,20210928,153000,61.81,61.81,61.81,61.81,607,0
FDT.US,5,20210928,154000,61.83,61.83,61.725,61.725,2612,0
FDT.US,5,20210928,154500,61.685,61.685,61.685,61.685,160,0
FDT.US,5,20210928,155500,61.65,61.65,61.65,61.65,100,0
FDT.US,5,20210928,162000,61.37,61.37,61.37,61.37,300,0
FDT.US,5,20210928,162500,61.44,61.44,61.44,61.44,335,0
FDT.US,5,20210928,163500,61.4938,61.4938,61.4938,61.4938,158,0
FDT.US,5,20210928,164000,61.4746,61.485,61.4746,61.485,655,0
FDT.US,5,20210928,170000,61.4294,61.4294,61.4294,61.4294,124,0
FDT.US,5,20210928,171000,61.42,61.44,61.42,61.44,200,0
FDT.US,5,20210928,172000,61.3547,61.3547,61.3547,61.3547,295,0
FDT.US,5,20210928,172500,61.38,61.38,61.38,61.38,141,0
FDT.US,5,20210928,173500,61.42,61.42,61.42,61.42,100,0
FDT.US,5,20210928,174500,61.3322,61.3322,61.3322,61.3322,150,0
