<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HEWG.US,5,20210922,161500,32.601,32.601,32.601,32.601,300,0
HEWG.US,5,20210922,164000,32.61,32.61,32.61,32.61,100,0
HEWG.US,5,20210922,165000,32.61,32.61,32.61,32.61,2300,0
HEWG.US,5,20210922,171000,32.64,32.64,32.64,32.64,6200,0
HEWG.US,5,20210922,173000,32.65,32.65,32.65,32.65,300,0
HEWG.US,5,20210922,173500,32.65,32.65,32.65,32.65,200,0
HEWG.US,5,20210922,175000,32.69,32.69,32.67,32.68,3000,0
HEWG.US,5,20210922,191000,32.65,32.65,32.65,32.65,100,0
HEWG.US,5,20210922,200500,32.7,32.7,32.7,32.7,200,0
HEWG.US,5,20210922,212000,32.72,32.72,32.72,32.72,900,0
HEWG.US,5,20210922,212500,32.71,32.71,32.71,32.71,240,0
HEWG.US,5,20210922,215500,32.64,32.64,32.64,32.64,1926,0
HEWG.US,5,20210923,173500,32.9301,32.9301,32.9301,32.9301,116,0
HEWG.US,5,20210923,194500,32.9638,32.9638,32.9638,32.9638,389,0
HEWG.US,5,20210923,215500,32.96,32.96,32.95,32.95,374,0
HEWG.US,5,20210924,161000,32.66,32.66,32.66,32.66,2100,0
HEWG.US,5,20210924,162000,32.67,32.67,32.67,32.67,300,0
HEWG.US,5,20210924,164500,32.66,32.66,32.66,32.66,200,0
HEWG.US,5,20210924,174000,32.67,32.67,32.66,32.66,906,0
HEWG.US,5,20210924,182500,32.68,32.68,32.68,32.68,172,0
HEWG.US,5,20210924,192500,32.69,32.69,32.69,32.69,100,0
HEWG.US,5,20210924,202500,32.6847,32.6847,32.6847,32.6847,255,0
HEWG.US,5,20210924,215500,32.72,32.72,32.71,32.71,400,0
HEWG.US,5,20210927,153000,32.72,32.72,32.72,32.72,1112,0
HEWG.US,5,20210927,173500,32.76,32.76,32.76,32.76,100,0
HEWG.US,5,20210927,185000,32.74,32.74,32.74,32.74,100,0
HEWG.US,5,20210927,214500,32.8,32.8,32.795,32.795,1900,0
HEWG.US,5,20210927,215500,32.79,32.8,32.79,32.79,652,0
HEWG.US,5,20210928,155000,32.275,32.275,32.275,32.275,100,0
HEWG.US,5,20210928,160000,32.27,32.27,32.27,32.27,1200,0
HEWG.US,5,20210928,160500,32.23,32.23,32.23,32.23,200,0
HEWG.US,5,20210928,161000,32.18,32.18,32.18,32.18,100,0
HEWG.US,5,20210928,161500,32.15,32.16,32.13,32.13,13512,0
HEWG.US,5,20210928,162000,32.105,32.11,32.1,32.1,800,0
HEWG.US,5,20210928,162500,32.13,32.14,32.13,32.14,4700,0
HEWG.US,5,20210928,163500,32.13,32.13,32.13,32.13,100,0
HEWG.US,5,20210928,164500,32.2,32.2,32.2,32.2,100,0
HEWG.US,5,20210928,165500,32.17,32.17,32.17,32.17,2100,0
HEWG.US,5,20210928,170000,32.17,32.17,32.17,32.17,200,0
HEWG.US,5,20210928,170500,32.16,32.16,32.16,32.16,400,0
HEWG.US,5,20210928,171500,32.16,32.16,32.16,32.16,100,0
HEWG.US,5,20210928,174000,32.131,32.131,32.131,32.131,311,0
HEWG.US,5,20210928,174500,32.11,32.11,32.11,32.11,200,0
HEWG.US,5,20210928,175500,32.14,32.15,32.14,32.15,1100,0
HEWG.US,5,20210928,180000,32.15,32.15,32.15,32.15,100,0
HEWG.US,5,20210928,185000,32.09,32.09,32.09,32.09,200,0
HEWG.US,5,20210928,191000,32.105,32.105,32.105,32.105,100,0
HEWG.US,5,20210928,192000,32.16,32.16,32.16,32.16,300,0
HEWG.US,5,20210928,193000,32.14,32.14,32.14,32.14,100,0
HEWG.US,5,20210928,201500,32.14,32.14,32.14,32.14,100,0
HEWG.US,5,20210928,203500,32.155,32.155,32.155,32.155,100,0
HEWG.US,5,20210928,205500,32.22,32.22,32.22,32.22,100,0
