<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PID.US,5,20210922,153000,17.55,17.65,17.55,17.61,3189,0
PID.US,5,20210922,153500,17.61,17.63,17.61,17.62,2336,0
PID.US,5,20210922,154000,17.62,17.649,17.6009,17.615,3986,0
PID.US,5,20210922,155000,17.62,17.62,17.62,17.62,100,0
PID.US,5,20210922,162500,17.66,17.66,17.66,17.66,1273,0
PID.US,5,20210922,163500,17.689,17.689,17.689,17.689,1129,0
PID.US,5,20210922,170000,17.6732,17.6732,17.6732,17.6732,129,0
PID.US,5,20210922,170500,17.68,17.68,17.68,17.68,600,0
PID.US,5,20210922,171000,17.6856,17.69,17.6856,17.69,379,0
PID.US,5,20210922,171500,17.69,17.69,17.69,17.69,902,0
PID.US,5,20210922,172500,17.6901,17.6901,17.6901,17.6901,100,0
PID.US,5,20210922,173000,17.7,17.7,17.7,17.7,382,0
PID.US,5,20210922,173500,17.7001,17.7001,17.7001,17.7001,206,0
PID.US,5,20210922,174500,17.7,17.715,17.7,17.715,200,0
PID.US,5,20210922,180500,17.729,17.73,17.729,17.73,4217,0
PID.US,5,20210922,182000,17.715,17.715,17.715,17.715,100,0
PID.US,5,20210922,183500,17.72,17.72,17.72,17.72,100,0
PID.US,5,20210922,185500,17.715,17.715,17.715,17.715,100,0
PID.US,5,20210922,190500,17.729,17.729,17.6901,17.6901,1667,0
PID.US,5,20210922,192500,17.69,17.69,17.69,17.69,100,0
PID.US,5,20210922,193000,17.7021,17.71,17.691,17.691,1692,0
PID.US,5,20210922,194000,17.69,17.69,17.69,17.69,144,0
PID.US,5,20210922,201000,17.77,17.77,17.77,17.77,340,0
PID.US,5,20210922,201500,17.752,17.752,17.75,17.75,200,0
PID.US,5,20210922,202500,17.735,17.735,17.731,17.731,284,0
PID.US,5,20210922,203500,17.72,17.76,17.711,17.711,375,0
PID.US,5,20210922,204500,17.66,17.66,17.66,17.66,100,0
PID.US,5,20210922,205000,17.65,17.65,17.65,17.65,100,0
PID.US,5,20210922,205500,17.65,17.65,17.65,17.65,780,0
PID.US,5,20210922,211000,17.7064,17.7064,17.671,17.671,1757,0
PID.US,5,20210922,211500,17.68,17.7242,17.68,17.7242,344,0
PID.US,5,20210922,212000,17.6917,17.6917,17.6917,17.6917,285,0
PID.US,5,20210922,213500,17.67,17.7142,17.67,17.7142,200,0
PID.US,5,20210922,214000,17.66,17.7042,17.65,17.6941,400,0
PID.US,5,20210922,215000,17.621,17.6701,17.621,17.6701,1068,0
PID.US,5,20210922,215500,17.62,17.62,17.62,17.62,411,0
PID.US,5,20210923,153000,17.73,17.7632,17.73,17.7632,4085,0
PID.US,5,20210923,155500,17.84,17.8499,17.84,17.84,14926,0
PID.US,5,20210923,163000,17.8249,17.8249,17.8249,17.8249,716,0
PID.US,5,20210923,165000,17.8045,17.8045,17.8045,17.8045,1156,0
PID.US,5,20210923,170500,17.83,17.83,17.83,17.83,200,0
PID.US,5,20210923,171000,17.83,17.83,17.83,17.83,100,0
PID.US,5,20210923,173000,17.82,17.82,17.82,17.82,100,0
PID.US,5,20210923,175000,17.8399,17.8399,17.815,17.815,1150,0
