<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PSCE.US,5,20210922,153000,6.77,6.85,6.77,6.85,712,0
PSCE.US,5,20210922,153500,6.84,6.8459,6.84,6.8459,400,0
PSCE.US,5,20210922,154000,6.84,6.84,6.8393,6.8393,450,0
PSCE.US,5,20210922,154500,6.858,6.885,6.8571,6.88,2300,0
PSCE.US,5,20210922,155000,6.9273,6.9273,6.9131,6.9131,350,0
PSCE.US,5,20210922,155500,6.93,6.95,6.93,6.95,13939,0
PSCE.US,5,20210922,160000,6.9169,6.9169,6.9169,6.9169,100,0
PSCE.US,5,20210922,160500,6.8951,6.8951,6.8951,6.8951,1000,0
PSCE.US,5,20210922,161000,6.895,6.9177,6.895,6.9177,300,0
PSCE.US,5,20210922,161500,6.92,6.92,6.92,6.92,100,0
PSCE.US,5,20210922,162000,6.92,6.92,6.91,6.91,3450,0
PSCE.US,5,20210922,163500,6.88,6.89,6.88,6.89,837,0
PSCE.US,5,20210922,164000,6.9,6.9,6.9,6.9,100,0
PSCE.US,5,20210922,164500,6.8899,6.8985,6.8899,6.8985,390,0
PSCE.US,5,20210922,165000,6.9,6.9,6.9,6.9,200,0
PSCE.US,5,20210922,165500,6.9,6.9,6.89,6.89,750,0
PSCE.US,5,20210922,170000,6.9,6.9,6.9,6.9,100,0
PSCE.US,5,20210922,170500,6.8812,6.8812,6.8812,6.8812,100,0
PSCE.US,5,20210922,171000,6.8978,6.8978,6.8822,6.89,1673,0
PSCE.US,5,20210922,172500,6.895,6.895,6.895,6.895,500,0
PSCE.US,5,20210922,173000,6.9,6.913,6.9,6.913,1600,0
PSCE.US,5,20210922,173500,6.93,6.93,6.9291,6.9291,600,0
PSCE.US,5,20210922,174000,6.92,6.92,6.915,6.92,6472,0
PSCE.US,5,20210922,174500,6.9119,6.915,6.9119,6.915,393,0
PSCE.US,5,20210922,175000,6.92,6.93,6.92,6.92,400,0
PSCE.US,5,20210922,175500,6.92,6.92,6.92,6.92,100,0
PSCE.US,5,20210922,180000,6.9181,6.9181,6.9181,6.9181,200,0
PSCE.US,5,20210922,180500,6.905,6.91,6.905,6.91,7200,0
PSCE.US,5,20210922,181000,6.9001,6.9001,6.9001,6.9001,8980,0
PSCE.US,5,20210922,181500,6.894,6.9,6.893,6.9,1345,0
PSCE.US,5,20210922,182000,6.899,6.899,6.899,6.899,1812,0
PSCE.US,5,20210922,182500,6.9,6.91,6.9,6.91,300,0
PSCE.US,5,20210922,183000,6.9,6.9,6.9,6.9,200,0
PSCE.US,5,20210922,184500,6.9032,6.91,6.9032,6.9051,3544,0
PSCE.US,5,20210922,185500,6.89,6.89,6.89,6.89,250,0
PSCE.US,5,20210922,190000,6.89,6.89,6.885,6.885,350,0
PSCE.US,5,20210922,190500,6.8791,6.8791,6.8708,6.8708,3000,0
PSCE.US,5,20210922,191000,6.88,6.88,6.8762,6.8795,5100,0
PSCE.US,5,20210922,192000,6.8691,6.8691,6.8691,6.8691,1456,0
PSCE.US,5,20210922,192500,6.88,6.88,6.88,6.88,112,0
PSCE.US,5,20210922,193000,6.8749,6.8818,6.8749,6.8818,1500,0
PSCE.US,5,20210922,193500,6.8799,6.8799,6.87,6.87,600,0
PSCE.US,5,20210922,194000,6.87,6.87,6.87,6.87,100,0
PSCE.US,5,20210922,194500,6.86,6.86,6.86,6.86,100,0
PSCE.US,5,20210922,195000,6.84,6.8402,6.84,6.84,525,0
PSCE.US,5,20210922,200000,6.885,6.885,6.885,6.885,2467,0
PSCE.US,5,20210922,200500,6.9018,6.9018,6.8909,6.8909,6126,0
PSCE.US,5,20210922,201000,6.909,6.909,6.9046,6.9046,3000,0
PSCE.US,5,20210922,201500,6.89,6.89,6.89,6.89,170,0
PSCE.US,5,20210922,202000,6.885,6.885,6.88,6.88,10752,0
PSCE.US,5,20210922,202500,6.905,6.911,6.905,6.9107,970,0
PSCE.US,5,20210922,203000,6.9199,6.925,6.9199,6.92,1000,0
PSCE.US,5,20210922,204500,6.87,6.8741,6.87,6.8741,2000,0
PSCE.US,5,20210922,205000,6.8734,6.8734,6.87,6.87,410,0
PSCE.US,5,20210922,205500,6.88,6.88,6.87,6.87,300,0
PSCE.US,5,20210922,210000,6.8885,6.8885,6.8885,6.8885,2033,0
PSCE.US,5,20210922,210500,6.8704,6.8704,6.8704,6.8704,218,0
PSCE.US,5,20210922,211000,6.88,6.8897,6.88,6.8897,632,0
PSCE.US,5,20210922,211500,6.8917,6.91,6.8917,6.9,1484,0
PSCE.US,5,20210922,212000,6.9,6.904,6.8877,6.8877,21210,0
PSCE.US,5,20210922,212500,6.89,6.89,6.89,6.89,100,0
PSCE.US,5,20210922,213500,6.88,6.88,6.875,6.875,2700,0
PSCE.US,5,20210922,214000,6.8687,6.8687,6.859,6.859,675,0
PSCE.US,5,20210922,214500,6.85,6.85,6.85,6.85,900,0
PSCE.US,5,20210922,215000,6.84,6.84,6.84,6.84,7000,0
PSCE.US,5,20210922,215500,6.825,6.83,6.82,6.83,3866,0
PSCE.US,5,20210923,153000,6.89,6.89,6.84,6.86,2726,0
PSCE.US,5,20210923,153500,6.897,6.897,6.8928,6.8928,208,0
PSCE.US,5,20210923,154000,6.89,6.9031,6.88,6.9031,2303,0
PSCE.US,5,20210923,154500,6.93,6.93,6.9005,6.9005,1325,0
PSCE.US,5,20210923,155000,6.9,6.9,6.9,6.9,454,0
PSCE.US,5,20210923,160000,6.94,6.94,6.94,6.94,100,0
PSCE.US,5,20210923,160500,6.96,6.96,6.95,6.95,2100,0
PSCE.US,5,20210923,161000,6.96,6.96,6.96,6.96,2000,0
PSCE.US,5,20210923,161500,6.965,6.965,6.96,6.96,400,0
PSCE.US,5,20210923,162000,6.95,6.97,6.95,6.97,1100,0
PSCE.US,5,20210923,162500,6.98,6.98,6.98,6.98,300,0
PSCE.US,5,20210923,163000,6.99,6.99,6.99,6.99,200,0
PSCE.US,5,20210923,163500,6.98,6.9824,6.98,6.9824,25472,0
PSCE.US,5,20210923,164000,6.9982,7.02,6.9982,7.02,34035,0
PSCE.US,5,20210923,164500,7.0184,7.0184,7.01,7.01,800,0
PSCE.US,5,20210923,165000,7.025,7.025,7.025,7.025,400,0
PSCE.US,5,20210923,165500,7.02,7.025,7.02,7.02,321,0
