<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TUR.US,5,20210922,153000,21.85,21.85,21.72,21.73,8744,0
TUR.US,5,20210922,153500,21.74,21.74,21.7149,21.72,2154,0
TUR.US,5,20210922,154000,21.71,21.72,21.69,21.7052,2465,0
TUR.US,5,20210922,154500,21.71,21.71,21.68,21.68,830,0
TUR.US,5,20210922,155000,21.68,21.69,21.66,21.66,1800,0
TUR.US,5,20210922,155500,21.68,21.77,21.68,21.76,3117,0
TUR.US,5,20210922,160000,21.76,21.76,21.76,21.76,500,0
TUR.US,5,20210922,160500,21.77,21.78,21.77,21.78,1928,0
TUR.US,5,20210922,161000,21.78,21.79,21.74,21.77,2500,0
TUR.US,5,20210922,161500,21.7901,21.83,21.7901,21.81,1000,0
TUR.US,5,20210922,162000,21.843,21.85,21.83,21.85,6000,0
TUR.US,5,20210922,162500,21.845,21.85,21.82,21.85,4919,0
TUR.US,5,20210922,163000,21.81,21.85,21.81,21.85,2900,0
TUR.US,5,20210922,163500,21.83,21.85,21.83,21.84,800,0
TUR.US,5,20210922,164000,21.86,21.87,21.86,21.87,200,0
TUR.US,5,20210922,164500,21.88,21.9377,21.88,21.92,1900,0
TUR.US,5,20210922,165000,21.9699,21.9699,21.94,21.94,600,0
TUR.US,5,20210922,165500,21.95,21.96,21.9499,21.95,1300,0
TUR.US,5,20210922,170000,21.97,22.02,21.97,22,5700,0
TUR.US,5,20210922,171000,22.04,22.04,22.03,22.03,600,0
TUR.US,5,20210922,171500,22.03,22.04,21.99,22.025,86542,0
TUR.US,5,20210922,172000,22.03,22.04,22.01,22.01,23002,0
TUR.US,5,20210922,172500,22,22.01,22,22.01,800,0
TUR.US,5,20210922,173000,22.01,22.02,22.01,22.02,500,0
TUR.US,5,20210922,173500,22.02,22.02,22.02,22.02,300,0
TUR.US,5,20210922,174000,22.0299,22.0299,22.02,22.02,5000,0
TUR.US,5,20210922,174500,22.02,22.02,22.01,22.01,6650,0
TUR.US,5,20210922,175000,22.03,22.035,22.01,22.01,4495,0
TUR.US,5,20210922,175500,22.01,22.01,22.01,22.01,400,0
TUR.US,5,20210922,180000,22.02,22.02,22.01,22.01,600,0
TUR.US,5,20210922,180500,22.01,22.02,22,22.01,2991,0
TUR.US,5,20210922,181000,22,22.02,21.99,22,10463,0
TUR.US,5,20210922,181500,21.995,22,21.995,22,1000,0
TUR.US,5,20210922,182000,22,22.02,22,22.02,1954,0
TUR.US,5,20210922,183000,22.03,22.03,22.01,22.01,3900,0
TUR.US,5,20210922,183500,22.03,22.03,22.02,22.03,400,0
TUR.US,5,20210922,184000,22.01,22.04,22,22.02,4870,0
TUR.US,5,20210922,184500,22.03,22.03,22.03,22.03,700,0
TUR.US,5,20210922,185500,22.0125,22.02,22,22.01,7007,0
TUR.US,5,20210922,190500,22.0032,22.005,22.0032,22.005,970,0
TUR.US,5,20210922,191000,22.01,22.01,22.005,22.005,1500,0
TUR.US,5,20210922,191500,22.005,22.005,22.005,22.005,900,0
TUR.US,5,20210922,192000,22,22.005,22,22,900,0
TUR.US,5,20210922,192500,22.005,22.005,22.005,22.005,100,0
TUR.US,5,20210922,193000,22.002,22.005,22,22,3400,0
TUR.US,5,20210922,193500,22.005,22.01,21.99,21.99,4600,0
TUR.US,5,20210922,194000,21.99,21.99,21.99,21.99,1020,0
TUR.US,5,20210922,194500,22,22.005,21.99,22.005,3361,0
TUR.US,5,20210922,195000,22.01,22.01,22,22,200,0
TUR.US,5,20210922,195500,22.01,22.01,22,22,1050,0
TUR.US,5,20210922,200000,21.99,22,21.88,22,3450,0
TUR.US,5,20210922,200500,22.03,22.05,22.03,22.05,488,0
TUR.US,5,20210922,201000,22.05,22.06,22.04,22.06,1900,0
TUR.US,5,20210922,202000,22.05,22.05,22.01,22.03,4000,0
TUR.US,5,20210922,202500,22.04,22.05,22.02,22.02,3000,0
TUR.US,5,20210922,203000,22.02,22.02,21.99,21.99,1700,0
TUR.US,5,20210922,203500,21.99,22.005,21.94,21.94,4300,0
TUR.US,5,20210922,204000,21.93,21.93,21.8529,21.88,3438,0
TUR.US,5,20210922,204500,21.86,21.86,21.835,21.86,2491,0
TUR.US,5,20210922,205500,21.9099,21.9099,21.9099,21.9099,300,0
TUR.US,5,20210922,210000,21.8455,21.855,21.815,21.815,52858,0
TUR.US,5,20210922,210500,21.82,21.85,21.81,21.84,5194,0
TUR.US,5,20210922,211000,21.85,21.8799,21.8447,21.87,700,0
TUR.US,5,20210922,211500,21.87,21.95,21.87,21.92,2479,0
TUR.US,5,20210922,212000,21.92,21.92,21.8963,21.8963,600,0
TUR.US,5,20210922,213000,21.89,21.91,21.89,21.89,4690,0
TUR.US,5,20210922,214000,21.895,21.92,21.89,21.89,4950,0
TUR.US,5,20210922,214500,21.89,21.9,21.88,21.88,3175,0
TUR.US,5,20210922,215000,21.88,21.94,21.85,21.92,20800,0
TUR.US,5,20210922,215500,21.89,21.92,21.87,21.9,30835,0
TUR.US,5,20210923,153000,21.58,21.58,21.43,21.5,23993,0
TUR.US,5,20210923,153500,21.46,21.51,21.46,21.48,10646,0
TUR.US,5,20210923,154000,21.509,21.51,21.49,21.51,4200,0
TUR.US,5,20210923,154500,21.535,21.55,21.51,21.53,1100,0
TUR.US,5,20210923,155000,21.545,21.6,21.545,21.57,6600,0
TUR.US,5,20210923,155500,21.6,21.61,21.595,21.595,300,0
TUR.US,5,20210923,160000,21.6172,21.6172,21.57,21.57,2522,0
TUR.US,5,20210923,160500,21.595,21.6,21.56,21.5799,2845,0
TUR.US,5,20210923,161000,21.58,21.59,21.55,21.57,15850,0
TUR.US,5,20210923,161500,21.5701,21.58,21.55,21.55,2622,0
TUR.US,5,20210923,162000,21.56,21.58,21.56,21.58,1150,0
TUR.US,5,20210923,162500,21.58,21.58,21.53,21.53,700,0
TUR.US,5,20210923,163000,21.55,21.55,21.55,21.55,100,0
TUR.US,5,20210923,163500,21.53,21.56,21.52,21.53,1200,0
TUR.US,5,20210923,164000,21.54,21.54,21.54,21.54,100,0
TUR.US,5,20210923,164500,21.54,21.54,21.54,21.54,200,0
TUR.US,5,20210923,165000,21.57,21.57,21.53,21.53,4950,0
TUR.US,5,20210923,165500,21.5319,21.55,21.52,21.55,925,0
TUR.US,5,20210923,170000,21.55,21.56,21.52,21.5475,5000,0
TUR.US,5,20210923,171000,21.535,21.549,21.52,21.52,3100,0
TUR.US,5,20210923,171500,21.52,21.53,21.52,21.53,300,0
TUR.US,5,20210923,172000,21.53,21.53,21.46,21.4899,6689,0
TUR.US,5,20210923,172500,21.48,21.48,21.41,21.43,24932,0
TUR.US,5,20210923,173000,21.4263,21.44,21.42,21.44,4500,0
TUR.US,5,20210923,173500,21.43,21.46,21.43,21.46,2400,0
TUR.US,5,20210923,174000,21.45,21.45,21.43,21.43,1000,0
TUR.US,5,20210923,174500,21.4354,21.46,21.4354,21.445,400,0
TUR.US,5,20210923,175000,21.44,21.47,21.43,21.46,4405,0
TUR.US,5,20210923,175500,21.47,21.48,21.44,21.465,1032,0
TUR.US,5,20210923,180000,21.48,21.48,21.44,21.46,1902,0
TUR.US,5,20210923,180500,21.455,21.47,21.44,21.46,752,0
TUR.US,5,20210923,181000,21.47,21.48,21.44,21.45,1707,0
TUR.US,5,20210923,181500,21.4401,21.47,21.4401,21.47,4027,0
TUR.US,5,20210923,182000,21.45,21.47,21.45,21.45,659,0
TUR.US,5,20210923,182500,21.443,21.5,21.443,21.5,2831,0
TUR.US,5,20210923,183000,21.51,21.52,21.49,21.49,6700,0
TUR.US,5,20210923,183500,21.48,21.5148,21.465,21.508,6650,0
TUR.US,5,20210923,184500,21.495,21.495,21.495,21.495,100,0
TUR.US,5,20210923,185500,21.495,21.495,21.495,21.495,100,0
TUR.US,5,20210923,190000,21.51,21.51,21.51,21.51,300,0
TUR.US,5,20210923,190500,21.5,21.51,21.48,21.51,3774,0
TUR.US,5,20210923,191500,21.5021,21.51,21.48,21.48,862,0
TUR.US,5,20210923,192000,21.5,21.5,21.5,21.5,200,0
TUR.US,5,20210923,193000,21.52,21.52,21.48,21.48,11388,0
TUR.US,5,20210923,193500,21.47,21.5,21.47,21.49,561,0
TUR.US,5,20210923,194000,21.5,21.5,21.5,21.5,100,0
TUR.US,5,20210923,194500,21.51,21.51,21.495,21.495,600,0
TUR.US,5,20210923,195000,21.5099,21.51,21.5099,21.51,329,0
TUR.US,5,20210923,195500,21.5,21.5,21.5,21.5,700,0
TUR.US,5,20210923,200000,21.49,21.49,21.46,21.48,2785,0
TUR.US,5,20210923,200500,21.48,21.48,21.46,21.465,2700,0
TUR.US,5,20210923,201500,21.48,21.48,21.48,21.48,500,0
TUR.US,5,20210923,202500,21.46,21.46,21.45,21.45,400,0
TUR.US,5,20210923,203000,21.46,21.47,21.46,21.46,800,0
TUR.US,5,20210923,203500,21.465,21.47,21.465,21.47,400,0
TUR.US,5,20210923,210500,21.47,21.47,21.47,21.47,300,0
TUR.US,5,20210923,211000,21.47,21.47,21.44,21.47,3686,0
TUR.US,5,20210923,211500,21.45,21.45,21.43,21.43,2200,0
TUR.US,5,20210923,212000,21.45,21.45,21.45,21.45,100,0
TUR.US,5,20210923,212500,21.46,21.47,21.45,21.45,2500,0
TUR.US,5,20210923,213000,21.46,21.5,21.43,21.5,3400,0
TUR.US,5,20210923,213500,21.5,21.5,21.5,21.5,400,0
TUR.US,5,20210923,214000,21.5,21.51,21.5,21.51,1200,0
TUR.US,5,20210923,214500,21.51,21.52,21.47,21.49,25118,0
TUR.US,5,20210923,215000,21.47,21.48,21.45,21.45,7608,0
TUR.US,5,20210923,215500,21.455,21.47,21.43,21.47,16980,0
TUR.US,5,20210924,153000,21.17,21.17,21.03,21.05,12589,0
TUR.US,5,20210924,153500,21.097,21.097,21.07,21.07,1100,0
TUR.US,5,20210924,154000,21.089,21.089,21.03,21.03,1058,0
TUR.US,5,20210924,154500,21.02,21.03,20.99,20.99,5970,0
TUR.US,5,20210924,155000,20.986,20.986,20.91,20.95,33431,0
TUR.US,5,20210924,155500,20.95,20.95,20.9,20.9,75957,0
TUR.US,5,20210924,160000,20.92,20.96,20.92,20.96,8109,0
TUR.US,5,20210924,160500,20.96,20.975,20.94,20.975,6938,0
TUR.US,5,20210924,161000,20.97,20.97,20.94,20.94,1020,0
TUR.US,5,20210924,161500,20.95,20.95,20.89,20.9,14933,0
