<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
YLDE.US,5,20210922,181000,40.4699,40.4699,40.4699,40.4699,200,0
YLDE.US,5,20210927,153500,40.56,40.6,40.55,40.6,8099,0
YLDE.US,5,20210927,173500,40.6,40.69,40.6,40.68,2000,0
YLDE.US,5,20210927,211500,40.5784,40.5784,40.5784,40.5784,190,0
YLDE.US,5,20210927,213000,40.55,40.55,40.55,40.55,200,0
YLDE.US,5,20210927,215500,40.51,40.57,40.51,40.57,400,0
YLDE.US,5,20210928,153000,40.12,40.2,40.12,40.2,200,0
YLDE.US,5,20210928,160000,40.06,40.06,40.06,40.06,100,0
YLDE.US,5,20210928,161500,40.02,40.02,40.02,40.02,100,0
YLDE.US,5,20210928,184000,39.89,39.905,39.89,39.905,200,0
YLDE.US,5,20210928,193000,39.93,39.93,39.93,39.93,250,0
YLDE.US,5,20210928,201000,39.77,39.78,39.77,39.78,300,0
YLDE.US,5,20210928,204000,39.979,39.979,39.979,39.979,439,0
YLDE.US,5,20210929,210500,40.1,40.1,40.1,40.1,100,0
YLDE.US,5,20210930,192000,39.68,39.68,39.68,39.68,100,0
YLDE.US,5,20210930,194000,39.649,39.649,39.649,39.649,189,0
YLDE.US,5,20211001,181500,39.76,39.765,39.76,39.765,444,0
YLDE.US,5,20211001,210000,40.11,40.118,40.11,40.118,800,0
YLDE.US,5,20211001,212500,40,40,40,40,138,0
YLDE.US,5,20211004,153000,39.75,39.75,39.75,39.75,403,0
YLDE.US,5,20211004,160000,40.01,40.01,40.01,40.01,438,0
YLDE.US,5,20211004,203500,39.66,39.66,39.66,39.66,113,0
YLDE.US,5,20211004,212000,39.645,39.645,39.645,39.645,132,0
YLDE.US,5,20211005,165000,40.02,40.02,40.02,40.02,200,0
YLDE.US,5,20211005,170000,40.05,40.05,40.05,40.05,201,0
YLDE.US,5,20211006,200000,39.94,39.95,39.94,39.95,750,0
YLDE.US,5,20211006,210500,40.12,40.12,40.114,40.114,500,0
YLDE.US,5,20211007,205500,40.598,40.598,40.598,40.598,400,0
YLDE.US,5,20211011,195000,40.36,40.36,40.36,40.36,1250,0
YLDE.US,5,20211012,173500,40.2,40.2,40.2,40.2,700,0
YLDE.US,5,20211012,182000,40.18,40.18,40.18,40.18,339,0
YLDE.US,5,20211012,211000,40.19,40.19,40.19,40.19,351,0
YLDE.US,5,20211012,215000,40.14,40.14,40.14,40.14,156,0
YLDE.US,5,20211013,213000,40.25,40.25,40.25,40.25,377,0
YLDE.US,5,20211014,154500,40.74,40.74,40.74,40.74,185,0
YLDE.US,5,20211014,185500,40.92,40.924,40.9,40.924,497,0
YLDE.US,5,20211014,194500,40.93,40.93,40.93,40.93,625,0
YLDE.US,5,20211015,160000,41.275,41.275,41.275,41.275,125,0
YLDE.US,5,20211015,213500,41.18,41.18,41.18,41.18,100,0
YLDE.US,5,20211015,214000,41.21,41.21,41.21,41.21,251,0
YLDE.US,5,20211018,185500,41.22,41.22,41.22,41.22,198,0
YLDE.US,5,20211018,215500,41.06,41.06,41.06,41.06,100,0
YLDE.US,5,20211019,180500,41.36,41.36,41.36,41.36,145,0
YLDE.US,5,20211019,215500,41.37,41.37,41.37,41.37,100,0
YLDE.US,5,20211020,170500,41.7899,41.7899,41.7899,41.7899,190,0
YLDE.US,5,20211020,171500,41.79,41.79,41.79,41.79,121,0
YLDE.US,5,20211022,160000,42.03,42.03,42.03,42.03,217,0
YLDE.US,5,20211022,174000,41.865,41.865,41.865,41.865,103,0
YLDE.US,5,20211026,200500,42.44,42.44,42.44,42.44,103,0
YLDE.US,5,20211027,170500,42.18,42.19,42.18,42.19,400,0
YLDE.US,5,20211028,175000,42.133,42.133,42.133,42.133,243,0
YLDE.US,5,20211028,185500,42.13,42.13,42.13,42.13,10544,0
YLDE.US,5,20211028,193000,42.17,42.17,42.17,42.17,698,0
YLDE.US,5,20211028,210000,42.13,42.13,42.13,42.13,255,0
YLDE.US,5,20211029,182000,42.22,42.22,42.22,42.22,417,0
YLDE.US,5,20211029,184500,42.23,42.23,42.23,42.23,370,0
YLDE.US,5,20211029,205000,42.12,42.12,42.12,42.12,1500,0
YLDE.US,5,20211101,203500,42.12,42.12,42.12,42.12,655,0
YLDE.US,5,20211101,204000,42.071,42.071,42.06,42.06,2157,0
YLDE.US,5,20211102,194000,42.44,42.44,42.44,42.44,273,0
YLDE.US,5,20211103,205500,42.58,42.58,42.58,42.58,162,0
YLDE.US,5,20211108,190000,42.58,42.588,42.58,42.588,939,0
YLDE.US,5,20211110,193500,42.5301,42.5301,42.5301,42.5301,200,0
YLDE.US,5,20211110,204000,42.431,42.431,42.431,42.431,166,0
YLDE.US,5,20211110,205500,42.55,42.55,42.55,42.55,119,0
YLDE.US,5,20211111,154000,42.5599,42.5599,42.5599,42.5599,1400,0
YLDE.US,5,20211111,155000,42.5499,42.5499,42.5499,42.5499,1400,0
YLDE.US,5,20211111,160000,42.51,42.51,42.51,42.51,200,0
YLDE.US,5,20211111,162000,42.5,42.505,42.5,42.5,1200,0
YLDE.US,5,20211111,201000,42.445,42.445,42.445,42.445,100,0
