<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AAOI.US,5,20210922,153000,6.87,6.94,6.86,6.86,2061,0
AAOI.US,5,20210922,153500,6.845,6.87,6.8,6.87,3066,0
AAOI.US,5,20210922,154000,6.8997,6.951,6.8997,6.9346,18665,0
AAOI.US,5,20210922,154500,6.93,6.99,6.93,6.99,17172,0
AAOI.US,5,20210922,155000,6.975,7.01,6.975,6.999,4717,0
AAOI.US,5,20210922,155500,7.01,7.01,7,7.01,1700,0
AAOI.US,5,20210922,160000,7,7,6.97,6.9798,2850,0
AAOI.US,5,20210922,160500,6.98,7.02,6.98,7.02,3200,0
AAOI.US,5,20210922,161000,7.03,7.03,7.015,7.03,1250,0
AAOI.US,5,20210922,161500,7.01,7.04,7,7.04,4397,0
AAOI.US,5,20210922,162000,7.02,7.02,6.96,6.96,1314,0
AAOI.US,5,20210922,162500,6.9935,7,6.98,6.98,809,0
AAOI.US,5,20210922,163000,6.96,6.96,6.94,6.94,2200,0
AAOI.US,5,20210922,163500,6.94,6.9599,6.94,6.9599,800,0
AAOI.US,5,20210922,164000,6.94,6.9899,6.94,6.9899,9337,0
AAOI.US,5,20210922,164500,6.98,6.98,6.98,6.98,100,0
AAOI.US,5,20210922,165000,6.96,6.96,6.9499,6.9499,2796,0
AAOI.US,5,20210922,165500,6.93,6.9399,6.92,6.92,1303,0
AAOI.US,5,20210922,170000,6.92,6.92,6.9,6.9,6327,0
AAOI.US,5,20210922,170500,6.9,6.9357,6.9,6.93,4983,0
AAOI.US,5,20210922,171000,6.93,6.95,6.93,6.95,2100,0
AAOI.US,5,20210922,171500,6.96,6.96,6.9499,6.9499,1300,0
AAOI.US,5,20210922,172500,6.95,6.95,6.945,6.95,1940,0
AAOI.US,5,20210922,173000,6.95,6.95,6.95,6.95,566,0
AAOI.US,5,20210922,173500,6.94,6.975,6.94,6.96,2161,0
AAOI.US,5,20210922,174000,6.96,6.96,6.96,6.96,100,0
AAOI.US,5,20210922,174500,6.95,6.95,6.94,6.94,2210,0
AAOI.US,5,20210922,175000,6.93,6.95,6.93,6.95,1936,0
AAOI.US,5,20210922,180000,6.93,6.9333,6.92,6.92,816,0
AAOI.US,5,20210922,180500,6.94,6.94,6.91,6.91,4750,0
AAOI.US,5,20210922,181000,6.9101,6.9101,6.89,6.91,15037,0
AAOI.US,5,20210922,181500,6.915,6.92,6.91,6.92,700,0
AAOI.US,5,20210922,182000,6.93,6.96,6.93,6.93,16316,0
AAOI.US,5,20210922,183000,6.95,6.95,6.93,6.931,2553,0
AAOI.US,5,20210922,183500,6.95,6.95,6.94,6.95,2236,0
AAOI.US,5,20210922,184000,6.94,6.94,6.94,6.94,100,0
AAOI.US,5,20210922,184500,6.9549,6.9549,6.94,6.94,200,0
AAOI.US,5,20210922,185000,6.94,6.945,6.94,6.94,1598,0
AAOI.US,5,20210922,185500,6.94,6.95,6.94,6.95,4724,0
AAOI.US,5,20210922,190000,6.945,6.99,6.945,6.99,21588,0
AAOI.US,5,20210922,191000,6.98,6.985,6.98,6.985,596,0
AAOI.US,5,20210922,191500,6.99,6.995,6.985,6.995,700,0
AAOI.US,5,20210922,192500,7,7.01,6.995,7.0098,1700,0
AAOI.US,5,20210922,193000,7.01,7.01,6.98,7,22528,0
AAOI.US,5,20210922,193500,7,7,6.99,6.99,619,0
AAOI.US,5,20210922,194000,6.99,6.99,6.98,6.98,1000,0
AAOI.US,5,20210922,195000,6.98,7.06,6.98,7.055,27136,0
AAOI.US,5,20210922,195500,7.07,7.07,7.061,7.07,6200,0
AAOI.US,5,20210922,200000,7.06,7.11,7.05,7.11,7509,0
AAOI.US,5,20210922,200500,7.09,7.095,7.08,7.095,1129,0
AAOI.US,5,20210922,201000,7.11,7.12,7.11,7.12,1200,0
AAOI.US,5,20210922,201500,7.12,7.12,7.09,7.09,2342,0
AAOI.US,5,20210922,202000,7.092,7.092,7.0601,7.0601,8300,0
AAOI.US,5,20210922,202500,7.09,7.09,7.09,7.09,450,0
AAOI.US,5,20210922,203000,7.09,7.09,7.07,7.07,1266,0
AAOI.US,5,20210922,203500,7.07,7.07,7.05,7.065,901,0
AAOI.US,5,20210922,204000,7.05,7.05,7.02,7.05,2306,0
AAOI.US,5,20210922,204500,7.02,7.03,7.02,7.025,500,0
AAOI.US,5,20210922,205000,7.01,7.03,7,7.03,6971,0
AAOI.US,5,20210922,205500,7.0301,7.05,7.03,7.03,5650,0
AAOI.US,5,20210922,210000,7.03,7.04,7.025,7.025,1433,0
AAOI.US,5,20210922,210500,7.03,7.035,7.025,7.03,2773,0
AAOI.US,5,20210922,211000,7.035,7.05,7.035,7.04,3467,0
AAOI.US,5,20210922,211500,7.04,7.06,7.04,7.04,5361,0
AAOI.US,5,20210922,212000,7.05,7.05,7.03,7.03,5026,0
AAOI.US,5,20210922,212500,7.03,7.03,7.02,7.03,1978,0
AAOI.US,5,20210922,213000,7.01,7.0101,7.01,7.01,1429,0
AAOI.US,5,20210922,213500,7.02,7.0299,7.01,7.01,3162,0
AAOI.US,5,20210922,214000,7.01,7.01,6.985,7,5402,0
AAOI.US,5,20210922,214500,6.9901,6.995,6.99,6.99,4101,0
AAOI.US,5,20210922,215000,6.99,7.01,6.96,7,40947,0
AAOI.US,5,20210922,215500,7,7.0001,6.97,6.98,41816,0
AAOI.US,5,20210923,153000,7.05,7.05,7.015,7.02,1645,0
AAOI.US,5,20210923,153500,7.07,7.08,7.07,7.08,3262,0
AAOI.US,5,20210923,154000,7.09,7.09,7.075,7.075,600,0
AAOI.US,5,20210923,154500,7.0831,7.0831,7.05,7.05,300,0
AAOI.US,5,20210923,155500,7.08,7.1,7.0792,7.09,2980,0
AAOI.US,5,20210923,160000,7.0999,7.12,7.0999,7.11,6600,0
AAOI.US,5,20210923,160500,7.11,7.11,7.11,7.11,100,0
AAOI.US,5,20210923,161000,7.11,7.14,7.11,7.12,2350,0
AAOI.US,5,20210923,161500,7.12,7.1299,7.12,7.1299,3100,0
AAOI.US,5,20210923,162000,7.125,7.125,7.1085,7.115,1350,0
AAOI.US,5,20210923,162500,7.1252,7.13,7.1252,7.13,1525,0
AAOI.US,5,20210923,163000,7.1201,7.15,7.1201,7.15,4285,0
AAOI.US,5,20210923,163500,7.14,7.15,7.13,7.14,6870,0
AAOI.US,5,20210923,164000,7.14,7.18,7.14,7.175,8182,0
AAOI.US,5,20210923,164500,7.17,7.18,7.16,7.18,6682,0
AAOI.US,5,20210923,165000,7.17,7.19,7.17,7.19,1518,0
AAOI.US,5,20210923,165500,7.1801,7.2,7.1801,7.2,5320,0
AAOI.US,5,20210923,170500,7.1998,7.1998,7.18,7.18,1432,0
AAOI.US,5,20210923,171000,7.19,7.19,7.18,7.18,1701,0
AAOI.US,5,20210923,171500,7.21,7.21,7.21,7.21,100,0
AAOI.US,5,20210923,172000,7.19,7.19,7.19,7.19,100,0
AAOI.US,5,20210923,172500,7.2,7.2,7.1987,7.1987,4000,0
AAOI.US,5,20210923,173000,7.19,7.209,7.19,7.209,1000,0
AAOI.US,5,20210923,174000,7.2,7.2,7.195,7.2,1557,0
AAOI.US,5,20210923,175000,7.21,7.21,7.21,7.21,100,0
AAOI.US,5,20210923,175500,7.22,7.225,7.22,7.225,1200,0
AAOI.US,5,20210923,180000,7.225,7.225,7.225,7.225,200,0
AAOI.US,5,20210923,180500,7.22,7.22,7.22,7.22,225,0
AAOI.US,5,20210923,181000,7.21,7.21,7.21,7.21,689,0
AAOI.US,5,20210923,182500,7.201,7.225,7.201,7.22,1500,0
AAOI.US,5,20210923,183000,7.225,7.225,7.22,7.22,300,0
AAOI.US,5,20210923,183500,7.23,7.24,7.2044,7.2044,12063,0
AAOI.US,5,20210923,184000,7.21,7.23,7.2018,7.21,2671,0
AAOI.US,5,20210923,184500,7.21,7.23,7.21,7.23,200,0
AAOI.US,5,20210923,185000,7.23,7.23,7.225,7.225,394,0
AAOI.US,5,20210923,185500,7.22,7.225,7.21,7.22,1218,0
AAOI.US,5,20210923,190500,7.2,7.21,7.2,7.2,1629,0
