<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ADSK.US,5,20210922,153000,283.88,285.51,283.66,284.58,23879,0
ADSK.US,5,20210922,153500,284.206,284.82,283.93,284.27,5217,0
ADSK.US,5,20210922,154000,283.975,284.77,283.975,284.11,4315,0
ADSK.US,5,20210922,154500,284.4,285.3,284.4,285.12,4112,0
ADSK.US,5,20210922,155000,285.06,285.67,284.78,285.41,3214,0
ADSK.US,5,20210922,155500,285.62,285.78,285.505,285.7,6616,0
ADSK.US,5,20210922,160000,286.06,286.242,285.21,285.45,7008,0
ADSK.US,5,20210922,160500,285.49,286.344,285.36,286.344,3066,0
ADSK.US,5,20210922,161000,286.285,286.285,285.67,286.16,10468,0
ADSK.US,5,20210922,161500,286.1,286.327,285.79,286.18,8283,0
ADSK.US,5,20210922,162000,286.235,286.235,285.49,285.69,8224,0
ADSK.US,5,20210922,162500,285.655,286.285,285.655,285.805,6992,0
ADSK.US,5,20210922,163000,285.835,286.82,285.835,286.77,4626,0
ADSK.US,5,20210922,163500,286.61,286.87,286.61,286.785,4169,0
ADSK.US,5,20210922,164000,286.89,287.38,286.7,287.37,10303,0
ADSK.US,5,20210922,164500,287.38,287.87,287.215,287.78,5983,0
ADSK.US,5,20210922,165000,287.87,287.88,287.26,287.36,11616,0
ADSK.US,5,20210922,165500,287.535,288.08,287.494,287.9,4645,0
ADSK.US,5,20210922,170000,287.88,288.05,287.79,287.91,3453,0
ADSK.US,5,20210922,170500,287.921,288.36,287.84,288.285,9742,0
ADSK.US,5,20210922,171000,288.285,288.36,287.9,288.225,5721,0
ADSK.US,5,20210922,171500,288.35,288.5,288.185,288.36,2598,0
ADSK.US,5,20210922,172000,288.36,288.48,288.11,288.22,4250,0
ADSK.US,5,20210922,172500,288.24,288.42,288.06,288.17,7847,0
ADSK.US,5,20210922,173000,288.29,288.4,288.105,288.24,3000,0
ADSK.US,5,20210922,173500,288.285,288.78,288.2,288.78,11705,0
ADSK.US,5,20210922,174000,288.78,288.78,288.235,288.341,3845,0
ADSK.US,5,20210922,174500,288.57,288.57,288.26,288.26,2238,0
ADSK.US,5,20210922,175000,288.28,288.7,287.74,287.91,5625,0
ADSK.US,5,20210922,175500,288.01,288.13,287.97,287.98,1083,0
ADSK.US,5,20210922,180000,287.99,287.99,287.51,287.75,5112,0
ADSK.US,5,20210922,180500,287.82,287.88,287.69,287.805,5386,0
ADSK.US,5,20210922,181000,287.97,288.07,287.83,287.98,6033,0
ADSK.US,5,20210922,181500,288.08,288.22,287.99,287.99,2404,0
ADSK.US,5,20210922,182000,287.93,288.26,287.92,287.984,3588,0
ADSK.US,5,20210922,182500,287.91,288.03,287.88,288.015,1725,0
ADSK.US,5,20210922,183000,288.07,288.135,287.92,288.04,2266,0
ADSK.US,5,20210922,183500,288.05,288.14,287.82,288.14,5945,0
ADSK.US,5,20210922,184000,288.16,288.195,287.905,288,1971,0
ADSK.US,5,20210922,184500,288.04,288.05,287.89,287.89,1724,0
ADSK.US,5,20210922,185000,287.99,288.14,287.2,287.38,3141,0
ADSK.US,5,20210922,185500,287.397,287.54,287.37,287.54,3131,0
ADSK.US,5,20210922,190000,287.47,287.54,287.21,287.21,3465,0
ADSK.US,5,20210922,190500,287.154,287.39,287.11,287.11,3443,0
ADSK.US,5,20210922,191000,287.095,287.21,287.08,287.16,1597,0
ADSK.US,5,20210922,191500,287.12,287.19,287.02,287.02,3100,0
ADSK.US,5,20210922,192000,287.16,287.16,286.92,287.04,4504,0
ADSK.US,5,20210922,192500,287.11,287.33,287.07,287.28,2998,0
ADSK.US,5,20210922,193000,287.25,287.56,287.25,287.56,6092,0
ADSK.US,5,20210922,193500,287.545,287.545,287.065,287.36,9103,0
