<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AMAOW.US,5,20210922,153000,0.51,0.51,0.51,0.51,6801,0
AMAOW.US,5,20210922,161000,0.5104,0.5104,0.5103,0.5103,1200,0
AMAOW.US,5,20210922,191000,0.54,0.5445,0.54,0.54,2500,0
AMAOW.US,5,20210922,191500,0.55,0.55,0.55,0.55,1226,0
AMAOW.US,5,20210922,193500,0.6699,0.6699,0.6685,0.6685,1000,0
AMAOW.US,5,20210927,175000,0.5499,0.55,0.54,0.5463,9079,0
AMAOW.US,5,20210927,175500,0.54,0.54,0.54,0.54,1000,0
AMAOW.US,5,20210928,160000,0.5454,0.5454,0.5454,0.5454,544,0
AMAOW.US,5,20210928,215500,0.6,0.6,0.6,0.6,2000,0
AMAOW.US,5,20210929,215500,0.6199,0.6199,0.6199,0.6199,2000,0
AMAOW.US,5,20210930,203500,0.577651,0.577651,0.577651,0.577651,110,0
AMAOW.US,5,20210930,210500,0.577651,0.577651,0.5459,0.5459,213,0
AMAOW.US,5,20211001,201000,0.545501,0.545501,0.545501,0.545501,1000,0
AMAOW.US,5,20211004,153000,0.66,0.66,0.66,0.66,1000,0
AMAOW.US,5,20211004,160500,0.5454,0.5454,0.5454,0.5454,100,0
AMAOW.US,5,20211004,215500,0.6594,0.66,0.6594,0.66,2100,0
AMAOW.US,5,20211005,153000,0.66,0.66,0.66,0.66,1000,0
AMAOW.US,5,20211005,215500,0.6499,0.66,0.6499,0.66,2700,0
AMAOW.US,5,20211006,153000,0.66,0.66,0.66,0.66,1000,0
AMAOW.US,5,20211006,201500,0.6185,0.6185,0.6185,0.6185,500,0
AMAOW.US,5,20211006,215500,0.65,0.65,0.65,0.65,2000,0
AMAOW.US,5,20211007,153000,0.66,0.66,0.66,0.66,1000,0
AMAOW.US,5,20211007,215500,0.66,0.66,0.66,0.66,2000,0
AMAOW.US,5,20211008,153000,0.66,0.66,0.66,0.66,1000,0
AMAOW.US,5,20211008,215500,0.6599,0.6599,0.6599,0.6599,2000,0
AMAOW.US,5,20211011,215500,0.66,0.66,0.66,0.66,2000,0
AMAOW.US,5,20211012,153000,0.68,0.68,0.68,0.68,1000,0
AMAOW.US,5,20211012,213000,0.5555,0.607751,0.5555,0.563,700,0
AMAOW.US,5,20211012,213500,0.545501,0.545501,0.545501,0.545501,250,0
AMAOW.US,5,20211012,215500,0.675,0.675,0.675,0.675,2000,0
AMAOW.US,5,20211013,153000,0.6795,0.6795,0.6795,0.6795,1000,0
AMAOW.US,5,20211013,215500,0.6794,0.6794,0.6794,0.6794,2000,0
AMAOW.US,5,20211014,153000,0.6795,0.6795,0.6795,0.6795,1000,0
AMAOW.US,5,20211014,160500,0.6501,0.6501,0.6501,0.6501,100,0
