<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AMGN.US,5,20210922,153000,216.56,216.56,214.71,214.71,39957,0
AMGN.US,5,20210922,153500,214.66,214.875,214.18,214.26,14996,0
AMGN.US,5,20210922,154000,214.295,214.4,213.855,214.04,12902,0
AMGN.US,5,20210922,154500,214.01,214.512,214.01,214.25,9452,0
AMGN.US,5,20210922,155000,214.19,214.72,214.07,214.64,6760,0
AMGN.US,5,20210922,155500,214.72,214.98,214.19,214.75,11978,0
AMGN.US,5,20210922,160000,214.94,215.273,214.62,215.25,5159,0
AMGN.US,5,20210922,160500,215.3,215.6,215.2,215.265,12647,0
AMGN.US,5,20210922,161000,215.3,215.36,215.05,215.24,8141,0
AMGN.US,5,20210922,161500,215.4,215.62,215.35,215.62,9708,0
AMGN.US,5,20210922,162000,215.68,215.78,215.49,215.49,5533,0
AMGN.US,5,20210922,162500,215.46,215.61,215.19,215.47,11826,0
AMGN.US,5,20210922,163000,215.485,215.541,215.151,215.317,10096,0
AMGN.US,5,20210922,163500,215.25,215.41,215.12,215.212,6900,0
AMGN.US,5,20210922,164000,215.18,215.21,214.9,215.03,4624,0
AMGN.US,5,20210922,164500,215.099,215.19,214.73,215.02,7356,0
AMGN.US,5,20210922,165000,215.04,215.14,214.85,215.095,29562,0
AMGN.US,5,20210922,165500,215.15,215.475,215.15,215.47,8564,0
AMGN.US,5,20210922,170000,215.48,215.79,215.38,215.41,18564,0
AMGN.US,5,20210922,170500,215.42,215.5,215.2,215.35,10384,0
AMGN.US,5,20210922,171000,215.36,215.36,215.17,215.18,8205,0
AMGN.US,5,20210922,171500,215.13,215.25,215.08,215.19,6586,0
AMGN.US,5,20210922,172000,215.15,215.335,215.105,215.29,6683,0
AMGN.US,5,20210922,172500,215.259,215.28,214.88,215.06,14048,0
AMGN.US,5,20210922,173000,215.09,215.3,215,215.22,6362,0
AMGN.US,5,20210922,173500,215.27,215.7,215.197,215.65,11012,0
AMGN.US,5,20210922,174000,215.8,215.83,215.6,215.7,15714,0
AMGN.US,5,20210922,174500,215.63,215.88,215.58,215.73,13543,0
AMGN.US,5,20210922,175000,215.76,216.04,215.45,215.69,16877,0
AMGN.US,5,20210922,175500,215.725,215.869,215.55,215.58,5516,0
AMGN.US,5,20210922,180000,215.53,215.535,215.37,215.37,5894,0
AMGN.US,5,20210922,180500,215.44,215.461,215.32,215.405,4787,0
AMGN.US,5,20210922,181000,215.46,215.56,215.334,215.334,5599,0
AMGN.US,5,20210922,181500,215.335,215.51,215.32,215.35,7342,0
AMGN.US,5,20210922,182000,215.35,215.58,215.32,215.39,14786,0
AMGN.US,5,20210922,182500,215.4,215.5,215.252,215.288,15840,0
AMGN.US,5,20210922,183000,215.35,215.39,215.22,215.28,10704,0
AMGN.US,5,20210922,183500,215.3,215.3,215.08,215.08,10769,0
