<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
APLT.US,5,20210922,153000,15.39,15.39,15.39,15.39,371,0
APLT.US,5,20210922,153500,15.2346,15.2346,15.2346,15.2346,200,0
APLT.US,5,20210922,154000,15.27,15.29,15.27,15.29,500,0
APLT.US,5,20210922,154500,15.27,15.27,15.2,15.26,1277,0
APLT.US,5,20210922,155000,15.3,15.3,15.295,15.3,700,0
APLT.US,5,20210922,155500,15.28,15.28,15.28,15.28,766,0
APLT.US,5,20210922,160000,15.28,15.2803,15.15,15.2803,2557,0
APLT.US,5,20210922,160500,15.15,15.25,15.12,15.15,3770,0
APLT.US,5,20210922,161000,15.11,15.2,15.11,15.12,1339,0
APLT.US,5,20210922,163000,15.35,15.35,15.35,15.35,100,0
APLT.US,5,20210922,164000,15.22,15.22,15.22,15.22,100,0
APLT.US,5,20210922,165000,15.21,15.21,15.14,15.14,200,0
APLT.US,5,20210922,170000,15.17,15.17,15.17,15.17,200,0
APLT.US,5,20210922,171500,15.2,15.2,15.17,15.17,200,0
APLT.US,5,20210922,172000,15.21,15.21,15.21,15.21,100,0
APLT.US,5,20210922,173000,15.2,15.2,15.15,15.16,1000,0
APLT.US,5,20210922,180500,15.16,15.17,15.16,15.17,200,0
APLT.US,5,20210922,181000,15.2,15.2,15.15,15.16,500,0
APLT.US,5,20210922,181500,15.28,15.28,15.28,15.28,100,0
APLT.US,5,20210922,182500,15.215,15.215,15.16,15.16,300,0
APLT.US,5,20210922,183000,15.15,15.15,15.15,15.15,100,0
APLT.US,5,20210922,183500,15.16,15.16,15.15,15.15,1238,0
APLT.US,5,20210922,184000,15.15,15.15,15.15,15.15,100,0
APLT.US,5,20210922,190500,15.07,15.07,14.99,14.99,500,0
APLT.US,5,20210922,191500,14.96,14.96,14.96,14.96,100,0
APLT.US,5,20210922,192000,15.07,15.07,15.07,15.07,100,0
APLT.US,5,20210922,192500,15.09,15.09,15.09,15.09,100,0
APLT.US,5,20210922,193000,15.01,15.01,15,15,225,0
APLT.US,5,20210922,193500,15.02,15.02,15.01,15.01,200,0
APLT.US,5,20210922,194000,15.02,15.02,15.02,15.02,100,0
APLT.US,5,20210922,194500,15.05,15.05,14.84,14.89,908,0
APLT.US,5,20210922,195000,14.97,14.97,14.66,14.795,20500,0
APLT.US,5,20210922,195500,14.77,14.78,14.77,14.78,30000,0
APLT.US,5,20210922,200000,14.78,15.17,14.78,15.15,400,0
APLT.US,5,20210922,200500,15.16,15.16,15.16,15.16,100,0
APLT.US,5,20210922,201000,15.05,15.17,14.96,14.96,7907,0
APLT.US,5,20210922,202000,15.26,15.26,15.26,15.26,200,0
APLT.US,5,20210922,203000,15.3,15.3,15.265,15.265,2696,0
APLT.US,5,20210922,203500,15.315,15.315,15.28,15.28,44186,0
APLT.US,5,20210922,204000,15.24,15.26,15.19,15.21,2260,0
APLT.US,5,20210922,204500,15.275,15.35,15.275,15.35,1150,0
APLT.US,5,20210922,205000,15.495,15.495,15.495,15.495,100,0
APLT.US,5,20210922,205500,15.66,15.66,15.66,15.66,100,0
APLT.US,5,20210922,210000,15.605,15.605,15.58,15.58,400,0
APLT.US,5,20210922,210500,15.52,15.59,15.52,15.59,200,0
APLT.US,5,20210922,211500,15.655,15.655,15.655,15.655,700,0
APLT.US,5,20210922,212000,15.69,15.69,15.69,15.69,100,0
APLT.US,5,20210922,212500,15.73,15.815,15.73,15.78,1100,0
APLT.US,5,20210922,213000,15.77,15.81,15.62,15.705,2607,0
APLT.US,5,20210922,214000,15.56,15.61,15.5301,15.59,805,0
APLT.US,5,20210922,214500,15.6,15.6,15.48,15.48,746,0
APLT.US,5,20210922,215000,15.44,15.55,15.32,15.39,1538,0
APLT.US,5,20210922,215500,15.455,15.52,15.35,15.36,12841,0
APLT.US,5,20210923,153000,15.45,15.45,15.45,15.45,971,0
APLT.US,5,20210923,153500,15.45,15.6375,15.45,15.5375,100100,0
APLT.US,5,20210923,154500,15.52,15.52,15.52,15.52,1000,0
APLT.US,5,20210923,160500,15.61,15.61,15.5917,15.5917,200,0
APLT.US,5,20210923,161500,15.6653,15.6653,15.6653,15.6653,444,0
APLT.US,5,20210923,162000,15.64,15.64,15.64,15.64,100,0
APLT.US,5,20210923,162500,15.72,16,15.72,16,500,0
APLT.US,5,20210923,163500,15.865,15.865,15.77,15.77,200,0
APLT.US,5,20210923,164000,15.875,15.875,15.875,15.875,600,0
APLT.US,5,20210923,164500,15.8,15.8,15.8,15.8,100,0
APLT.US,5,20210923,165500,15.925,15.925,15.83,15.855,700,0
APLT.US,5,20210923,170000,15.85,15.85,15.85,15.85,100,0
APLT.US,5,20210923,171000,15.85,15.85,15.85,15.85,100,0
APLT.US,5,20210923,171500,15.92,15.92,15.85,15.85,200,0
APLT.US,5,20210923,173500,15.95,16.2184,15.95,16.2184,1200,0
APLT.US,5,20210923,174000,16.29,16.45,16.29,16.45,1307,0
APLT.US,5,20210923,174500,16.47,16.48,16.47,16.48,300,0
APLT.US,5,20210923,175000,16.45,16.67,16.45,16.67,2253,0
APLT.US,5,20210923,175500,16.6723,16.88,16.67,16.88,801,0
APLT.US,5,20210923,180000,16.86,16.86,16.86,16.86,100,0
APLT.US,5,20210923,180500,16.76,16.76,16.615,16.615,900,0
APLT.US,5,20210923,181000,16.67,16.67,16.5772,16.5772,400,0
APLT.US,5,20210923,181500,16.82,16.82,16.66,16.66,200,0
APLT.US,5,20210923,182500,16.63,16.68,16.441,16.68,3310,0
APLT.US,5,20210923,183000,16.68,16.79,16.6,16.79,908,0
APLT.US,5,20210923,183500,16.755,16.89,16.755,16.82,1221,0
APLT.US,5,20210923,184000,16.8,16.83,16.8,16.83,400,0
APLT.US,5,20210923,184500,16.83,16.83,16.8,16.8,700,0
APLT.US,5,20210923,185500,16.7903,16.7903,16.7903,16.7903,100,0
APLT.US,5,20210923,190500,16.81,16.92,16.81,16.92,200,0
APLT.US,5,20210923,191000,16.81,16.81,16.8,16.8,950,0
APLT.US,5,20210923,191500,16.95,16.95,16.84,16.84,741,0
APLT.US,5,20210923,192000,16.89,16.89,16.77,16.77,300,0
APLT.US,5,20210923,192500,16.6117,16.6117,16.6117,16.6117,555,0
APLT.US,5,20210923,194500,16.69,16.69,16.65,16.65,400,0
APLT.US,5,20210923,195000,16.5669,16.5669,16.5669,16.5669,100,0
APLT.US,5,20210923,200000,16.53,16.57,16.53,16.57,244,0
APLT.US,5,20210923,200500,16.55,16.55,16.55,16.55,100,0
APLT.US,5,20210923,201000,16.5239,16.5239,16.3,16.3,3761,0
APLT.US,5,20210923,201500,16.425,16.425,16.425,16.425,500,0
APLT.US,5,20210923,202500,16.5,16.5,16.48,16.48,300,0
APLT.US,5,20210923,203000,16.48,16.48,16.48,16.48,100,0
APLT.US,5,20210923,204500,16.53,16.53,16.49,16.49,800,0
APLT.US,5,20210923,205500,16.5,16.5,16.5,16.5,100,0
APLT.US,5,20210923,212000,16.55,16.61,16.55,16.6,675,0
APLT.US,5,20210923,212500,16.63,16.63,16.63,16.63,100,0
APLT.US,5,20210923,213000,16.65,16.86,16.65,16.79,3156,0
APLT.US,5,20210923,214000,16.8352,16.839,16.82,16.839,309,0
APLT.US,5,20210923,214500,16.8064,16.8064,16.7,16.7,1097,0
