<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
APTX.US,5,20210922,153000,2.46,2.46,2.46,2.46,235,0
APTX.US,5,20210922,153500,2.42,2.45,2.42,2.45,2040,0
APTX.US,5,20210922,154000,2.445,2.45,2.44,2.45,400,0
APTX.US,5,20210922,154500,2.49,2.5,2.4731,2.48,20300,0
APTX.US,5,20210922,155500,2.48,2.48,2.46,2.46,3907,0
APTX.US,5,20210922,161000,2.4669,2.4669,2.4669,2.4669,200,0
APTX.US,5,20210922,161500,2.4621,2.4621,2.4601,2.4601,2010,0
APTX.US,5,20210922,162000,2.465,2.465,2.455,2.46,7719,0
APTX.US,5,20210922,162500,2.46,2.46,2.46,2.46,100,0
APTX.US,5,20210922,163000,2.46,2.49,2.46,2.46,2545,0
APTX.US,5,20210922,164500,2.4532,2.4532,2.4532,2.4532,350,0
APTX.US,5,20210922,165000,2.455,2.455,2.455,2.455,1000,0
APTX.US,5,20210922,170000,2.4697,2.4697,2.4697,2.4697,349,0
APTX.US,5,20210922,170500,2.4537,2.4537,2.45,2.452,634,0
APTX.US,5,20210922,171000,2.455,2.455,2.455,2.455,100,0
APTX.US,5,20210922,173500,2.46,2.46,2.46,2.46,327,0
APTX.US,5,20210922,174500,2.46,2.46,2.46,2.46,100,0
APTX.US,5,20210922,175000,2.45,2.45,2.45,2.45,161,0
APTX.US,5,20210922,180500,2.46,2.4603,2.46,2.4603,600,0
APTX.US,5,20210922,182000,2.46,2.46,2.46,2.46,100,0
APTX.US,5,20210922,183000,2.469,2.469,2.469,2.469,100,0
APTX.US,5,20210922,183500,2.4771,2.4771,2.46,2.46,500,0
APTX.US,5,20210922,184000,2.4676,2.4676,2.465,2.465,500,0
APTX.US,5,20210922,184500,2.4674,2.4674,2.4674,2.4674,200,0
APTX.US,5,20210922,185000,2.47,2.47,2.47,2.47,500,0
APTX.US,5,20210922,185500,2.47,2.475,2.47,2.4701,431,0
