<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ARCKU.US,5,20211101,143000,10.08,10.08,10.08,10.08,110,0
ARCKU.US,5,20211101,143500,10.06,10.063,10.06,10.063,400,0
ARCKU.US,5,20211101,144000,10.063,10.075,10.063,10.075,700,0
ARCKU.US,5,20211101,144500,10.063,10.063,10.063,10.063,400,0
ARCKU.US,5,20211101,145000,10.063,10.09,10.06,10.06,24290,0
ARCKU.US,5,20211101,145500,10.09,10.09,10.09,10.09,1500,0
ARCKU.US,5,20211101,150000,10.09,10.09,10.09,10.09,100,0
ARCKU.US,5,20211101,150500,10.08,10.09,10.07,10.09,1339,0
ARCKU.US,5,20211101,152500,10.08,10.08,10.07,10.07,400,0
ARCKU.US,5,20211101,153000,10.08,10.08,10.07,10.07,127400,0
ARCKU.US,5,20211101,153500,10.07,10.08,10.07,10.08,145443,0
ARCKU.US,5,20211101,154000,10.08,10.08,10.08,10.08,24000,0
ARCKU.US,5,20211101,155000,10.07,10.07,10.07,10.07,400,0
ARCKU.US,5,20211101,165500,10.08,10.08,10.08,10.08,12400,0
ARCKU.US,5,20211101,172000,10.08,10.08,10.08,10.08,600,0
ARCKU.US,5,20211101,175500,10.08,10.08,10.08,10.08,400,0
ARCKU.US,5,20211101,182500,10.08,10.08,10.08,10.08,500,0
ARCKU.US,5,20211101,183500,10.08,10.08,10.08,10.08,100,0
ARCKU.US,5,20211101,185000,10.08,10.08,10.08,10.08,5474,0
ARCKU.US,5,20211101,185500,10.08,10.08,10.08,10.08,500,0
ARCKU.US,5,20211101,190500,10.08,10.08,10.08,10.08,336,0
ARCKU.US,5,20211101,191000,10.08,10.08,10.08,10.08,336,0
ARCKU.US,5,20211101,191500,10.08,10.08,10.08,10.08,754,0
ARCKU.US,5,20211101,192500,10.08,10.08,10.08,10.08,336,0
ARCKU.US,5,20211101,193000,10.08,10.08,10.08,10.08,238,0
ARCKU.US,5,20211101,194000,10.08,10.08,10.08,10.08,500,0
ARCKU.US,5,20211101,200500,10.08,10.08,10.08,10.08,400,0
ARCKU.US,5,20211101,202000,10.08,10.08,10.08,10.08,400,0
ARCKU.US,5,20211101,202500,10.08,10.08,10.08,10.08,18526,0
ARCKU.US,5,20211101,204500,10.08,10.08,10.08,10.08,400,0
ARCKU.US,5,20211101,205000,10.08,10.08,10.08,10.08,600,0
ARCKU.US,5,20211101,205500,10.08,10.08,10.08,10.08,1100,0
ARCKU.US,5,20211102,145000,10.065,10.065,10.065,10.065,100,0
ARCKU.US,5,20211102,150500,10.09,10.09,10.08,10.08,1700,0
ARCKU.US,5,20211102,151000,10.08,10.08,10.08,10.08,11854,0
ARCKU.US,5,20211102,151500,10.08,10.09,10.08,10.09,1446,0
ARCKU.US,5,20211102,152000,10.09,10.09,10.09,10.09,500,0
ARCKU.US,5,20211102,154500,10.08,10.08,10.08,10.08,15000,0
ARCKU.US,5,20211102,160000,10.09,10.09,10.09,10.09,15174,0
ARCKU.US,5,20211102,160500,10.1,10.1,10.1,10.1,700,0
ARCKU.US,5,20211102,161000,10.1,10.1,10.1,10.1,800,0
ARCKU.US,5,20211102,161500,10.1,10.1,10.1,10.1,100,0
ARCKU.US,5,20211102,163500,10.095,10.1,10.09,10.1,50300,0
ARCKU.US,5,20211102,164000,10.1,10.1,10.09,10.1,25925,0
ARCKU.US,5,20211102,164500,10.095,10.1,10.095,10.1,11900,0
ARCKU.US,5,20211102,165000,10.1,10.1,10.1,10.1,1000,0
ARCKU.US,5,20211102,165500,10.09,10.0914,10.09,10.09,50000,0
ARCKU.US,5,20211102,173500,10.09,10.1,10.09,10.1,1000,0
ARCKU.US,5,20211103,143000,10.1,10.1,10.1,10.1,200,0
ARCKU.US,5,20211103,143500,10.1,10.1,10.1,10.1,1514,0
ARCKU.US,5,20211103,144500,10.1,10.1,10.1,10.1,8500,0
ARCKU.US,5,20211103,145000,10.1,10.1,10.1,10.1,34100,0
ARCKU.US,5,20211103,145500,10.1,10.1,10.1,10.1,35000,0
ARCKU.US,5,20211103,150000,10.1,10.1,10.1,10.1,15800,0
ARCKU.US,5,20211103,150500,10.1,10.1,10.1,10.1,7100,0
ARCKU.US,5,20211103,151000,10.1,10.1,10.1,10.1,5197,0
ARCKU.US,5,20211103,151500,10.1,10.1,10.1,10.1,10200,0
ARCKU.US,5,20211103,152000,10.1,10.1,10.1,10.1,7100,0
ARCKU.US,5,20211103,155000,10.1,10.1,10.1,10.1,10100,0
ARCKU.US,5,20211103,164000,10.1,10.1,10.1,10.1,4078,0
ARCKU.US,5,20211103,164500,10.1,10.1,10.1,10.1,16000,0
ARCKU.US,5,20211103,180000,10.12,10.12,10.12,10.12,10000,0
ARCKU.US,5,20211104,143000,10.14,10.14,10.14,10.14,180,0
ARCKU.US,5,20211104,181500,10.15,10.15,10.15,10.15,100,0
ARCKU.US,5,20211104,182000,10.15,10.15,10.15,10.15,100,0
ARCKU.US,5,20211104,182500,10.1,10.1,10.1,10.1,140174,0
ARCKU.US,5,20211104,192500,10.1,10.135,10.09,10.1,5512,0
ARCKU.US,5,20211104,194000,10.09,10.09,10.09,10.09,100,0
ARCKU.US,5,20211104,204000,10.1,10.1,10.1,10.1,101,0
ARCKU.US,5,20211104,204500,10.1,10.1,10.1,10.1,700,0
ARCKU.US,5,20211104,205000,10.1,10.1,10.1,10.1,1100,0
ARCKU.US,5,20211104,205500,10.1,10.1,10.1,10.1,3496,0
ARCKU.US,5,20211105,152500,10.1,10.1,10.1,10.1,1615,0
ARCKU.US,5,20211105,190000,10.1,10.1,10.1,10.1,7726,0
ARCKU.US,5,20211108,173000,10.07,10.07,10.07,10.07,100,0
ARCKU.US,5,20211109,160000,10.1299,10.1299,10.1299,10.1299,130,0
ARCKU.US,5,20211109,175500,10.12,10.12,10.12,10.12,25100,0
ARCKU.US,5,20211109,182500,10.15,10.15,10.15,10.15,24900,0
ARCKU.US,5,20211109,215500,10.12,10.12,10.12,10.12,1792,0
ARCKU.US,5,20211110,160000,10.12,10.12,10.12,10.12,2000,0
ARCKU.US,5,20211110,160500,10.12,10.12,10.12,10.12,1400,0
ARCKU.US,5,20211110,164000,10.12,10.12,10.12,10.12,112,0
ARCKU.US,5,20211110,164500,10.11,10.11,10.11,10.11,1100,0
ARCKU.US,5,20211110,165000,10.11,10.12,10.11,10.12,1300,0
ARCKU.US,5,20211110,202000,10.11,10.11,10.11,10.11,200,0
ARCKU.US,5,20211111,183000,10.07,10.07,10.06,10.0602,1000,0
