<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ARTAU.US,5,20210922,153000,10.09,10.09,10.09,10.09,500,0
ARTAU.US,5,20210922,153500,9.9929,10.06,9.96,10.0375,3900,0
ARTAU.US,5,20210922,160000,10.04,10.04,10.03,10.04,21829,0
ARTAU.US,5,20210922,164000,10.04,10.05,10.04,10.04,2400,0
ARTAU.US,5,20210922,190000,10.09,10.09,10.09,10.09,871,0
ARTAU.US,5,20210922,195500,10.09,10.09,10.09,10.09,2756,0
ARTAU.US,5,20210922,201500,10.09,10.09,10.09,10.09,200,0
ARTAU.US,5,20210922,212500,10.09,10.09,10.09,10.09,3237,0
ARTAU.US,5,20210923,153000,10.3,10.5551,10.28,10.3,34074,0
ARTAU.US,5,20210923,153500,10.31,10.31,10.31,10.31,100,0
ARTAU.US,5,20210923,154000,10.3,10.3,10.1,10.1,4300,0
ARTAU.US,5,20210923,155000,10.28,10.3,10.28,10.29,3400,0
ARTAU.US,5,20210923,155500,10.29,10.29,10.28,10.28,200,0
ARTAU.US,5,20210923,160000,10.3,10.3,10.29,10.3,400,0
ARTAU.US,5,20210923,160500,10.3,10.3,10.3,10.3,1100,0
ARTAU.US,5,20210923,161000,10.3,10.3,10.29,10.29,2200,0
ARTAU.US,5,20210923,161500,10.3,10.3,10.3,10.3,1700,0
ARTAU.US,5,20210923,162000,10.3,10.3,10.3,10.3,2200,0
ARTAU.US,5,20210923,162500,10.3,10.3,10.3,10.3,1900,0
ARTAU.US,5,20210923,163000,10.3,10.3,10.3,10.3,2161,0
ARTAU.US,5,20210923,163500,10.3,10.3,10.29,10.3,1500,0
ARTAU.US,5,20210923,164000,10.3,10.3,10.29,10.3,1400,0
ARTAU.US,5,20210923,164500,10.3,10.3,10.3,10.3,800,0
ARTAU.US,5,20210923,165000,10.29,10.29,10.28,10.28,10203,0
ARTAU.US,5,20210923,170000,10.25,10.25,10.25,10.25,5400,0
ARTAU.US,5,20210923,172500,10.28,10.28,10.28,10.28,400,0
ARTAU.US,5,20210923,173000,10.28,10.28,10.25,10.25,2500,0
ARTAU.US,5,20210923,173500,10.28,10.28,10.25,10.25,700,0
ARTAU.US,5,20210923,174500,10.25,10.25,10.25,10.25,3700,0
ARTAU.US,5,20210923,175000,10.28,10.28,10.28,10.28,2000,0
ARTAU.US,5,20210923,175500,10.28,10.28,10.28,10.28,1600,0
ARTAU.US,5,20210923,180500,10.28,10.28,10.28,10.28,500,0
ARTAU.US,5,20210923,181000,10.27,10.3,10.27,10.3,1200,0
ARTAU.US,5,20210923,181500,10.3,10.3,10.3,10.3,900,0
ARTAU.US,5,20210923,182000,10.3,10.3,10.3,10.3,500,0
ARTAU.US,5,20210923,182500,10.3,10.3,10.3,10.3,300,0
ARTAU.US,5,20210923,183500,10.3,10.3,10.29,10.29,300,0
ARTAU.US,5,20210923,184000,10.29,10.29,10.29,10.29,600,0
ARTAU.US,5,20210923,184500,10.29,10.29,10.28,10.28,900,0
ARTAU.US,5,20210923,190500,10.252,10.252,10.252,10.252,200,0
ARTAU.US,5,20210923,194500,10.28,10.28,10.28,10.28,400,0
ARTAU.US,5,20210923,195000,10.28,10.28,10.28,10.28,1500,0
ARTAU.US,5,20210923,195500,10.28,10.28,10.28,10.28,1500,0
ARTAU.US,5,20210923,200000,10.28,10.28,10.28,10.28,4900,0
ARTAU.US,5,20210923,200500,10.28,10.29,10.28,10.28,1206,0
ARTAU.US,5,20210923,201000,10.28,10.28,10.28,10.28,700,0
ARTAU.US,5,20210923,203500,10.28,10.28,10.28,10.28,200,0
ARTAU.US,5,20210923,204000,10.28,10.3,10.28,10.3,444,0
ARTAU.US,5,20210923,204500,10.3,10.3,10.3,10.3,400,0
ARTAU.US,5,20210923,205000,10.3,10.3,10.3,10.3,100,0
ARTAU.US,5,20210923,210500,10.3,10.3,10.2501,10.2501,1210,0
ARTAU.US,5,20210923,211000,10.3,10.3,10.3,10.3,200,0
ARTAU.US,5,20210923,211500,10.275,10.275,10.275,10.275,100,0
ARTAU.US,5,20210923,212000,10.275,10.3,10.275,10.3,800,0
ARTAU.US,5,20210923,212500,10.3,10.3,10.3,10.3,842,0
ARTAU.US,5,20210923,215500,10.3,10.3,10.3,10.3,5581,0
ARTAU.US,5,20210924,153000,10.3,10.5,10.28,10.4,25815,0
ARTAU.US,5,20210924,153500,10.345,10.44,10.305,10.305,10150,0
ARTAU.US,5,20210924,154000,10.31,10.41,10.31,10.4,9746,0
ARTAU.US,5,20210924,154500,10.34,10.34,10.34,10.34,100,0
ARTAU.US,5,20210924,155000,10.3,10.3,10.3,10.3,2000,0
ARTAU.US,5,20210924,155500,10.3,10.3,10.3,10.3,1300,0
ARTAU.US,5,20210924,160000,10.3,10.3,10.3,10.3,200,0
ARTAU.US,5,20210924,160500,10.3,10.3,10.3,10.3,3000,0
ARTAU.US,5,20210924,161000,10.3,10.3,10.3,10.3,1400,0
ARTAU.US,5,20210924,161500,10.3,10.3,10.3,10.3,2300,0
ARTAU.US,5,20210924,162000,10.3,10.3,10.3,10.3,148,0
ARTAU.US,5,20210924,162500,10.33,10.34,10.33,10.33,1500,0
ARTAU.US,5,20210924,163000,10.34,10.34,10.33,10.33,1500,0
ARTAU.US,5,20210924,163500,10.33,10.33,10.33,10.33,1600,0
ARTAU.US,5,20210924,164000,10.33,10.33,10.33,10.33,1300,0
ARTAU.US,5,20210924,164500,10.33,10.33,10.33,10.33,800,0
ARTAU.US,5,20210924,170500,10.33,10.33,10.33,10.33,300,0
ARTAU.US,5,20210924,171000,10.33,10.33,10.33,10.33,400,0
ARTAU.US,5,20210924,171500,10.33,10.33,10.33,10.33,200,0
ARTAU.US,5,20210924,172500,10.33,10.33,10.33,10.33,1100,0
ARTAU.US,5,20210924,173000,10.33,10.33,10.3,10.33,2400,0
ARTAU.US,5,20210924,173500,10.33,10.33,10.33,10.33,1300,0
ARTAU.US,5,20210924,174500,10.33,10.33,10.32,10.32,400,0
ARTAU.US,5,20210924,175000,10.33,10.33,10.31,10.33,600,0
ARTAU.US,5,20210924,175500,10.33,10.33,10.33,10.33,200,0
ARTAU.US,5,20210924,180500,10.31,10.31,10.31,10.31,400,0
ARTAU.US,5,20210924,181000,10.31,10.33,10.31,10.31,900,0
ARTAU.US,5,20210924,181500,10.31,10.33,10.31,10.33,700,0
ARTAU.US,5,20210924,182000,10.33,10.33,10.31,10.31,300,0
ARTAU.US,5,20210924,182500,10.31,10.31,10.31,10.31,100,0
ARTAU.US,5,20210924,183500,10.31,10.31,10.31,10.31,100,0
ARTAU.US,5,20210924,184000,10.33,10.33,10.31,10.31,200,0
ARTAU.US,5,20210924,194500,10.31,10.33,10.31,10.31,300,0
ARTAU.US,5,20210924,195000,10.31,10.33,10.31,10.33,700,0
ARTAU.US,5,20210924,195500,10.33,10.33,10.31,10.31,600,0
ARTAU.US,5,20210924,200000,10.31,10.31,10.31,10.31,300,0
ARTAU.US,5,20210924,200500,10.33,10.33,10.31,10.31,1200,0
ARTAU.US,5,20210924,201000,10.33,10.33,10.31,10.31,400,0
ARTAU.US,5,20210924,201500,10.31,10.33,10.305,10.31,700,0
ARTAU.US,5,20210924,202000,10.31,10.31,10.31,10.31,100,0
