<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ATHX.US,5,20210922,153000,1.43,1.4492,1.41,1.41,7405,0
ATHX.US,5,20210922,154000,1.4107,1.4184,1.405,1.41,5570,0
ATHX.US,5,20210922,154500,1.41,1.42,1.41,1.42,7468,0
ATHX.US,5,20210922,155000,1.41,1.415,1.41,1.415,2300,0
ATHX.US,5,20210922,155500,1.42,1.42,1.41,1.41,2000,0
ATHX.US,5,20210922,160000,1.41,1.4122,1.4093,1.4093,1200,0
ATHX.US,5,20210922,160500,1.4038,1.41,1.4038,1.41,2489,0
ATHX.US,5,20210922,161000,1.41,1.41,1.41,1.41,300,0
ATHX.US,5,20210922,161500,1.41,1.41,1.4083,1.41,955,0
ATHX.US,5,20210922,162000,1.405,1.41,1.4027,1.4027,8100,0
ATHX.US,5,20210922,162500,1.4084,1.4199,1.405,1.41,17384,0
ATHX.US,5,20210922,163000,1.42,1.42,1.415,1.415,624,0
ATHX.US,5,20210922,163500,1.415,1.42,1.415,1.42,14239,0
ATHX.US,5,20210922,164000,1.42,1.43,1.42,1.425,4000,0
ATHX.US,5,20210922,164500,1.4286,1.4286,1.42,1.425,14300,0
ATHX.US,5,20210922,165000,1.42,1.43,1.42,1.42,11300,0
ATHX.US,5,20210922,165500,1.425,1.425,1.42,1.42,500,0
ATHX.US,5,20210922,170000,1.425,1.425,1.42,1.425,2900,0
ATHX.US,5,20210922,170500,1.4299,1.43,1.42,1.425,4810,0
ATHX.US,5,20210922,171000,1.43,1.4306,1.42,1.4306,18532,0
ATHX.US,5,20210922,171500,1.43,1.43,1.43,1.43,2500,0
ATHX.US,5,20210922,172000,1.43,1.4369,1.42,1.4209,14726,0
ATHX.US,5,20210922,172500,1.42,1.425,1.42,1.42,4489,0
ATHX.US,5,20210922,173000,1.4206,1.425,1.42,1.425,3000,0
ATHX.US,5,20210922,173500,1.425,1.425,1.421,1.4225,6100,0
ATHX.US,5,20210922,174500,1.425,1.44,1.425,1.4338,12421,0
ATHX.US,5,20210922,175000,1.44,1.44,1.43,1.435,9462,0
ATHX.US,5,20210922,175500,1.4397,1.4397,1.4397,1.4397,179,0
ATHX.US,5,20210922,180000,1.435,1.435,1.435,1.435,200,0
ATHX.US,5,20210922,180500,1.435,1.435,1.435,1.435,200,0
ATHX.US,5,20210922,181000,1.435,1.435,1.425,1.43,9137,0
ATHX.US,5,20210922,182000,1.425,1.425,1.42,1.42,300,0
ATHX.US,5,20210922,182500,1.43,1.43,1.42,1.4228,21524,0
ATHX.US,5,20210922,183000,1.425,1.43,1.42,1.43,4200,0
ATHX.US,5,20210922,183500,1.42,1.425,1.42,1.42,4634,0
ATHX.US,5,20210922,184000,1.42,1.43,1.42,1.4201,1900,0
ATHX.US,5,20210922,184500,1.425,1.4299,1.42,1.42,9707,0
