<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AURCU.US,5,20210922,194000,10.3279,10.3279,10.3279,10.3279,100,0
AURCU.US,5,20210922,212500,10.35,10.35,10.35,10.35,100,0
AURCU.US,5,20210923,201000,10.35,10.35,10.35,10.35,300,0
AURCU.US,5,20210923,202000,10.35,10.35,10.35,10.35,900,0
AURCU.US,5,20210923,215500,10.425,10.425,10.42,10.42,300,0
AURCU.US,5,20210924,205000,10.34,10.37,10.3,10.3,12214,0
AURCU.US,5,20210924,205500,10.3,10.3,10.3,10.3,200,0
AURCU.US,5,20210928,153000,10.3,10.3,10.3,10.3,2000,0
AURCU.US,5,20210928,201000,10.33,10.33,10.33,10.33,888,0
AURCU.US,5,20210928,212500,10.35,10.35,10.35,10.35,800,0
AURCU.US,5,20210928,213000,10.33,10.33,10.33,10.33,100,0
AURCU.US,5,20210930,203000,10.29,10.29,10.29,10.29,1000,0
AURCU.US,5,20210930,205500,10.31,10.31,10.31,10.31,106,0
AURCU.US,5,20210930,210000,10.31,10.31,10.31,10.31,1155,0
AURCU.US,5,20210930,210500,10.31,10.31,10.31,10.31,800,0
AURCU.US,5,20211001,210000,10.31,10.31,10.31,10.31,1931,0
AURCU.US,5,20211004,164000,10.32,10.32,10.32,10.32,100,0
AURCU.US,5,20211004,165000,10.32,10.32,10.32,10.32,100,0
AURCU.US,5,20211004,201000,10.32,10.32,10.32,10.32,100,0
AURCU.US,5,20211004,215000,10.32,10.32,10.32,10.32,600,0
AURCU.US,5,20211005,160500,10.3141,10.3141,10.3141,10.3141,260,0
AURCU.US,5,20211006,190000,10.3,10.3,10.3,10.3,1080,0
AURCU.US,5,20211007,155500,10.27,10.27,10.27,10.27,100,0
AURCU.US,5,20211008,171500,10.3163,10.3163,10.3163,10.3163,100,0
AURCU.US,5,20211008,172000,10.3,10.3,10.3,10.3,500,0
AURCU.US,5,20211012,170000,10.35,10.35,10.35,10.35,421,0
AURCU.US,5,20211012,182500,10.35,10.35,10.35,10.35,1425,0
AURCU.US,5,20211012,195500,10.35,10.35,10.35,10.35,867,0
AURCU.US,5,20211012,212500,10.35,10.35,10.35,10.35,800,0
AURCU.US,5,20211012,213000,10.34,10.35,10.34,10.35,4265,0
AURCU.US,5,20211019,200000,10.32,10.32,10.32,10.32,107,0
AURCU.US,5,20211020,161500,10.3214,10.3214,10.3214,10.3214,100,0
AURCU.US,5,20211021,164000,10.4,10.4,10.4,10.4,600,0
AURCU.US,5,20211021,174000,10.3372,10.3372,10.3372,10.3372,125,0
AURCU.US,5,20211026,155000,10.4,10.4,10.4,10.4,100,0
AURCU.US,5,20211027,185000,10.3736,10.3736,10.3736,10.3736,198,0
AURCU.US,5,20211028,165500,10.5299,10.5299,10.5299,10.5299,100,0
AURCU.US,5,20211029,214000,10.96,11,10.51,10.51,1100,0
AURCU.US,5,20211101,144500,10.35,10.35,10.35,10.35,100,0
AURCU.US,5,20211102,152000,10.35,10.4,10.35,10.35,1914,0
AURCU.US,5,20211103,143000,10.26,10.26,10.26,10.26,300,0
AURCU.US,5,20211103,174000,10.81,10.81,10.81,10.81,100,0
AURCU.US,5,20211104,143000,11.38,11.38,11.38,11.38,100,0
AURCU.US,5,20211104,151500,10.5,10.5,10.5,10.5,450,0
AURCU.US,5,20211105,160000,10.35,10.35,10.35,10.35,1258525,0
AURCU.US,5,20211105,171500,10.3501,10.3501,10.3501,10.3501,500,0
AURCU.US,5,20211105,180000,10.465,10.465,10.465,10.465,100,0
AURCU.US,5,20211105,181000,10.465,10.465,10.465,10.465,100,0
AURCU.US,5,20211105,182000,10.465,10.465,10.465,10.465,100,0
AURCU.US,5,20211105,183000,10.465,10.465,10.465,10.465,100,0
AURCU.US,5,20211105,201500,10.36,10.36,10.35,10.35,200000,0
AURCU.US,5,20211105,203000,10.455,10.455,10.455,10.455,100,0
AURCU.US,5,20211105,204000,10.455,10.455,10.455,10.455,100,0
AURCU.US,5,20211105,205500,10.47,10.47,10.47,10.47,400,0
AURCU.US,5,20211108,153000,10.47,10.47,10.47,10.47,100,0
AURCU.US,5,20211108,154500,10.445,10.445,10.445,10.445,300,0
AURCU.US,5,20211108,165000,10.45,10.45,10.45,10.45,600,0
AURCU.US,5,20211108,212000,10.47,10.47,10.47,10.47,300,0
AURCU.US,5,20211108,215000,10.56,10.56,10.56,10.56,100,0
AURCU.US,5,20211108,215500,10.465,10.56,10.465,10.56,832,0
AURCU.US,5,20211109,171000,10.45,10.45,10.3492,10.45,577,0
AURCU.US,5,20211109,182500,10.445,10.445,10.445,10.445,500,0
AURCU.US,5,20211109,183500,10.445,10.445,10.445,10.445,100,0
AURCU.US,5,20211109,191500,10.55,10.55,10.55,10.55,100,0
AURCU.US,5,20211109,211000,10.445,10.445,10.445,10.445,100,0
AURCU.US,5,20211109,214500,10.55,10.55,10.55,10.55,100,0
AURCU.US,5,20211109,215500,10.445,10.56,10.445,10.56,1400,0
AURCU.US,5,20211110,174000,10.4237,10.4237,10.4237,10.4237,100,0
