<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BLU.US,5,20210922,153000,5.86,5.93,5.81,5.85,10606,0
BLU.US,5,20210922,153500,5.842,6.04,5.82,6.04,37495,0
BLU.US,5,20210922,154000,6.01,6.06,5.98,6,31539,0
BLU.US,5,20210922,154500,5.99,5.99,5.93,5.95,11837,0
BLU.US,5,20210922,155000,5.94,6.05,5.93,6.05,34927,0
BLU.US,5,20210922,155500,6.0392,6.06,5.995,6.01,61567,0
BLU.US,5,20210922,160000,6.02,6.02,5.93,5.94,10922,0
BLU.US,5,20210922,160500,5.9314,5.94,5.88,5.8832,18916,0
BLU.US,5,20210922,161000,5.88,5.92,5.8519,5.92,4697,0
BLU.US,5,20210922,161500,5.92,6.02,5.9,6.01,13691,0
BLU.US,5,20210922,162000,6.02,6.03,5.98,5.99,20607,0
BLU.US,5,20210922,162500,6,6,5.97,5.97,5190,0
BLU.US,5,20210922,163000,5.98,6.01,5.96,6,9514,0
BLU.US,5,20210922,163500,5.98,5.99,5.96,5.99,2391,0
BLU.US,5,20210922,164000,5.9888,5.99,5.9801,5.9801,1200,0
BLU.US,5,20210922,164500,5.99,5.9989,5.982,5.9893,1600,0
BLU.US,5,20210922,165000,5.98,5.99,5.94,5.94,9825,0
BLU.US,5,20210922,165500,5.94,5.95,5.94,5.95,6400,0
BLU.US,5,20210922,170000,5.97,6,5.97,6,5800,0
BLU.US,5,20210922,170500,5.99,6,5.99,5.99,4500,0
BLU.US,5,20210922,171000,6,6,5.9921,6,600,0
BLU.US,5,20210922,171500,6,6.03,5.95,5.95,27697,0
BLU.US,5,20210922,172000,5.96,5.96,5.9563,5.9563,700,0
BLU.US,5,20210922,172500,5.98,6,5.9785,6,2975,0
BLU.US,5,20210922,173000,5.9831,6.0094,5.9831,6,2450,0
BLU.US,5,20210922,173500,6.0001,6.045,6.0001,6.04,5270,0
BLU.US,5,20210922,174000,6.04,6.04,6.0158,6.0158,1960,0
BLU.US,5,20210922,174500,6.0145,6.0145,5.9775,5.9775,3073,0
BLU.US,5,20210922,175000,5.98,6,5.98,6,1351,0
BLU.US,5,20210922,175500,5.995,6,5.985,6,1900,0
BLU.US,5,20210922,180000,5.99,5.99,5.94,5.95,7736,0
BLU.US,5,20210922,180500,5.9366,5.9486,5.9366,5.9448,1200,0
BLU.US,5,20210922,181000,5.95,5.96,5.8966,5.8966,9302,0
BLU.US,5,20210922,181500,5.9,5.91,5.9,5.9081,1700,0
BLU.US,5,20210922,182000,5.915,5.915,5.9099,5.91,4727,0
BLU.US,5,20210922,182500,5.9001,5.9001,5.89,5.895,1700,0
BLU.US,5,20210922,183000,5.9,5.9,5.88,5.9,2819,0
BLU.US,5,20210922,183500,5.9,5.94,5.9,5.93,4466,0
BLU.US,5,20210922,184000,5.93,5.94,5.92,5.94,4752,0
BLU.US,5,20210922,184500,5.94,5.97,5.94,5.96,2875,0
BLU.US,5,20210922,185000,5.96,5.96,5.9407,5.95,4753,0
BLU.US,5,20210922,185500,5.96,5.97,5.955,5.97,1957,0
BLU.US,5,20210922,191000,5.9625,5.9625,5.9625,5.9625,100,0
BLU.US,5,20210922,191500,5.95,5.9525,5.92,5.92,3629,0
BLU.US,5,20210922,192000,5.91,5.91,5.89,5.89,3200,0
BLU.US,5,20210922,192500,5.8852,5.9,5.88,5.9,2314,0
BLU.US,5,20210922,193000,5.91,5.9194,5.91,5.915,5904,0
BLU.US,5,20210922,193500,5.9123,5.94,5.9123,5.93,5293,0
BLU.US,5,20210922,194000,5.93,5.93,5.92,5.93,3638,0
BLU.US,5,20210922,194500,5.93,5.93,5.93,5.93,4600,0
BLU.US,5,20210922,195000,5.93,5.9301,5.9224,5.9301,1600,0
BLU.US,5,20210922,195500,5.92,5.92,5.92,5.92,200,0
BLU.US,5,20210922,200000,5.9275,5.94,5.91,5.9349,8425,0
BLU.US,5,20210922,200500,5.94,5.96,5.94,5.96,1073,0
BLU.US,5,20210922,201000,5.97,5.98,5.97,5.98,300,0
BLU.US,5,20210922,201500,5.98,6,5.97,5.995,5977,0
BLU.US,5,20210922,202000,6,6,5.98,6,7732,0
BLU.US,5,20210922,202500,5.99,6,5.98,5.98,2200,0
BLU.US,5,20210922,203000,5.99,6.03,5.99,6.025,25248,0
BLU.US,5,20210922,203500,6.0201,6.05,6.02,6.03,4530,0
BLU.US,5,20210922,204000,6.03,6.03,5.9707,6,2211,0
BLU.US,5,20210922,204500,5.9801,5.99,5.95,5.97,11846,0
BLU.US,5,20210922,205000,5.95,5.95,5.94,5.95,2100,0
BLU.US,5,20210922,205500,5.95,5.97,5.95,5.97,400,0
BLU.US,5,20210922,210000,5.96,5.97,5.96,5.97,920,0
BLU.US,5,20210922,210500,5.97,6.0101,5.97,6,17773,0
BLU.US,5,20210922,211000,6,6.01,5.9901,6.01,2275,0
BLU.US,5,20210922,211500,6,6.05,6,6.04,10753,0
BLU.US,5,20210922,212000,6.04,6.04,6.02,6.04,1800,0
BLU.US,5,20210922,212500,6.02,6.0212,6,6.0099,4821,0
BLU.US,5,20210922,213000,6,6.02,6,6.02,8511,0
BLU.US,5,20210922,213500,6.0101,6.02,6,6.02,13163,0
BLU.US,5,20210922,214000,6.015,6.015,6,6.01,2713,0
BLU.US,5,20210922,214500,6.01,6.03,6,6.03,10449,0
BLU.US,5,20210922,215000,6.02,6.03,6.01,6.017,4012,0
BLU.US,5,20210922,215500,6.015,6.02,6,6.02,21353,0
BLU.US,5,20210923,153000,6.2066,6.7,6.12,6.5787,286959,0
BLU.US,5,20210923,153500,6.57,6.75,6.43,6.5025,149171,0
BLU.US,5,20210923,154000,6.48,6.7,6.48,6.665,96911,0
BLU.US,5,20210923,154500,6.65,6.8099,6.63,6.7376,231518,0
BLU.US,5,20210923,155000,6.73,6.74,6.61,6.6838,132844,0
BLU.US,5,20210923,155500,6.68,6.74,6.64,6.7201,70961,0
BLU.US,5,20210923,160000,6.72,6.87,6.72,6.84,187753,0
BLU.US,5,20210923,160500,6.8321,6.836,6.62,6.67,125034,0
BLU.US,5,20210923,161000,6.68,6.7,6.41,6.44,171830,0
BLU.US,5,20210923,161500,6.4263,6.64,6.42,6.5799,78320,0
BLU.US,5,20210923,162000,6.5501,6.58,6.5082,6.51,74529,0
BLU.US,5,20210923,162500,6.51,6.51,6.435,6.47,60302,0
BLU.US,5,20210923,163000,6.47,6.5,6.41,6.42,50539,0
BLU.US,5,20210923,163500,6.4129,6.4599,6.36,6.3889,62432,0
BLU.US,5,20210923,164000,6.385,6.43,6.365,6.365,27078,0
BLU.US,5,20210923,164500,6.36,6.36,6.26,6.31,75882,0
BLU.US,5,20210923,165000,6.33,6.33,6.27,6.32,44513,0
BLU.US,5,20210923,165500,6.31,6.4,6.3,6.39,19516,0
BLU.US,5,20210923,170000,6.3742,6.4033,6.3341,6.395,18753,0
BLU.US,5,20210923,170500,6.39,6.4415,6.37,6.37,28021,0
BLU.US,5,20210923,171000,6.39,6.43,6.39,6.39,15725,0
BLU.US,5,20210923,171500,6.39,6.42,6.39,6.415,1361,0
BLU.US,5,20210923,172000,6.41,6.45,6.39,6.44,21700,0
BLU.US,5,20210923,172500,6.44,6.44,6.405,6.4259,13827,0
BLU.US,5,20210923,173000,6.43,6.45,6.43,6.44,12264,0
BLU.US,5,20210923,173500,6.44,6.445,6.39,6.4,14795,0
BLU.US,5,20210923,174000,6.38,6.56,6.37,6.524,44734,0
BLU.US,5,20210923,174500,6.53,6.53,6.4799,6.52,23121,0
BLU.US,5,20210923,175000,6.49,6.5036,6.46,6.48,6616,0
BLU.US,5,20210923,175500,6.47,6.48,6.4,6.405,13366,0
BLU.US,5,20210923,180000,6.41,6.42,6.365,6.365,11380,0
BLU.US,5,20210923,180500,6.3695,6.3843,6.34,6.37,20002,0
BLU.US,5,20210923,181000,6.37,6.37,6.33,6.34,12619,0
BLU.US,5,20210923,181500,6.345,6.4066,6.345,6.395,10234,0
BLU.US,5,20210923,182000,6.395,6.42,6.39,6.4011,16553,0
BLU.US,5,20210923,182500,6.4,6.42,6.4,6.42,4180,0
BLU.US,5,20210923,183000,6.41,6.41,6.385,6.39,11278,0
BLU.US,5,20210923,183500,6.4,6.41,6.38,6.39,14208,0
BLU.US,5,20210923,184000,6.3968,6.3999,6.39,6.39,1425,0
BLU.US,5,20210923,184500,6.3929,6.41,6.39,6.4,4958,0
