<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BMRN.US,5,20210922,153000,78.61,78.68,78.08,78.08,10028,0
BMRN.US,5,20210922,153500,78.08,78.08,77.94,77.965,725,0
BMRN.US,5,20210922,154000,77.84,77.9,77.75,77.7717,1158,0
BMRN.US,5,20210922,154500,77.845,77.845,77.535,77.535,1891,0
BMRN.US,5,20210922,155000,77.5,77.79,77.49,77.76,1713,0
BMRN.US,5,20210922,155500,77.7814,77.7814,77.68,77.68,1779,0
BMRN.US,5,20210922,160000,77.62,77.75,77.62,77.73,600,0
BMRN.US,5,20210922,160500,77.64,77.7,77.62,77.62,901,0
BMRN.US,5,20210922,161000,77.7,77.7,77.55,77.55,1200,0
BMRN.US,5,20210922,161500,77.61,77.61,77.47,77.47,1000,0
BMRN.US,5,20210922,162000,77.53,77.53,77.455,77.465,1810,0
BMRN.US,5,20210922,162500,77.475,77.662,77.42,77.65,4833,0
BMRN.US,5,20210922,163000,77.66,77.91,77.61,77.89,5295,0
BMRN.US,5,20210922,163500,77.82,78.08,77.82,77.96,7099,0
BMRN.US,5,20210922,164000,77.97,77.97,77.86,77.91,2300,0
BMRN.US,5,20210922,164500,77.92,78.03,77.87,78.02,10445,0
BMRN.US,5,20210922,165000,78.055,78.06,77.8325,77.845,104146,0
BMRN.US,5,20210922,165500,77.88,77.945,77.85,77.88,2334,0
BMRN.US,5,20210922,170000,77.945,78.01,77.945,77.98,2572,0
BMRN.US,5,20210922,170500,77.975,78,77.86,78,2661,0
BMRN.US,5,20210922,171000,77.98,78.03,77.95,77.96,99661,0
BMRN.US,5,20210922,171500,77.99,78.09,77.96,78.065,2852,0
BMRN.US,5,20210922,172000,78.06,78.07,77.87,77.97,3878,0
BMRN.US,5,20210922,172500,77.97,78.4296,77.97,78.4296,25150,0
BMRN.US,5,20210922,173000,78.36,78.6,78.33,78.36,74265,0
BMRN.US,5,20210922,173500,78.4,78.4,78.31,78.345,7078,0
BMRN.US,5,20210922,174000,78.35,78.58,78.35,78.58,2646,0
BMRN.US,5,20210922,174500,78.6,78.91,78.58,78.74,23401,0
BMRN.US,5,20210922,175000,78.725,78.795,78.61,78.71,11355,0
BMRN.US,5,20210922,175500,78.71,78.8,78.68,78.68,4228,0
BMRN.US,5,20210922,180000,78.71,78.9,78.7,78.83,7778,0
BMRN.US,5,20210922,180500,78.82,78.86,78.82,78.835,1400,0
BMRN.US,5,20210922,181000,78.81,78.85,78.81,78.85,3476,0
BMRN.US,5,20210922,181500,78.865,78.865,78.8376,78.84,1478,0
BMRN.US,5,20210922,182000,78.87,79.01,78.87,78.95,35208,0
BMRN.US,5,20210922,182500,78.98,79.05,78.98,79,3138,0
BMRN.US,5,20210922,183000,78.995,79.15,78.9942,79.09,14371,0
BMRN.US,5,20210922,183500,79.085,79.23,79.06,79.23,13279,0
