<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CAKE.US,5,20210922,153000,43.8,44.33,43.8,44.32,9561,0
CAKE.US,5,20210922,153500,44.06,44.23,43.9101,44.2,6540,0
CAKE.US,5,20210922,154000,44.2,44.21,43.8482,44.08,6491,0
CAKE.US,5,20210922,154500,44.07,44.31,44.04,44.31,12823,0
CAKE.US,5,20210922,155000,44.2801,44.54,44.28,44.43,4900,0
CAKE.US,5,20210922,155500,44.375,44.6,44.375,44.6,2677,0
CAKE.US,5,20210922,160000,44.585,44.61,44.45,44.49,3700,0
CAKE.US,5,20210922,160500,44.55,44.6899,44.5001,44.64,3768,0
CAKE.US,5,20210922,161000,44.62,44.62,44.44,44.44,7055,0
CAKE.US,5,20210922,161500,44.5,44.55,44.4491,44.4491,2280,0
CAKE.US,5,20210922,162000,44.45,44.47,44.36,44.4418,1448,0
CAKE.US,5,20210922,162500,44.4301,44.46,44.37,44.38,1550,0
CAKE.US,5,20210922,163000,44.385,44.47,44.3001,44.37,4026,0
CAKE.US,5,20210922,163500,44.38,44.45,44.38,44.44,1300,0
CAKE.US,5,20210922,164000,44.46,44.6686,44.46,44.65,11512,0
CAKE.US,5,20210922,164500,44.54,44.605,44.48,44.56,11668,0
CAKE.US,5,20210922,165000,44.59,44.66,44.53,44.635,6439,0
CAKE.US,5,20210922,165500,44.625,44.625,44.565,44.57,1900,0
CAKE.US,5,20210922,170000,44.595,44.74,44.51,44.58,23544,0
CAKE.US,5,20210922,170500,44.56,44.6399,44.56,44.6,1225,0
CAKE.US,5,20210922,171000,44.5905,44.71,44.59,44.71,2200,0
CAKE.US,5,20210922,171500,44.74,44.82,44.74,44.8,4273,0
CAKE.US,5,20210922,172000,44.75,44.78,44.73,44.75,1800,0
CAKE.US,5,20210922,172500,44.7609,44.8,44.7508,44.78,1600,0
CAKE.US,5,20210922,173000,44.76,44.83,44.76,44.81,1475,0
CAKE.US,5,20210922,173500,44.84,44.85,44.79,44.84,2200,0
CAKE.US,5,20210922,174000,44.73,44.79,44.73,44.78,618,0
CAKE.US,5,20210922,174500,44.794,44.794,44.72,44.74,1985,0
CAKE.US,5,20210922,175000,44.76,44.89,44.71,44.755,4596,0
CAKE.US,5,20210922,175500,44.8,44.81,44.77,44.78,900,0
CAKE.US,5,20210922,180000,44.7999,44.81,44.67,44.725,3736,0
CAKE.US,5,20210922,180500,44.7,44.7,44.5628,44.6,1700,0
CAKE.US,5,20210922,181000,44.58,44.58,44.56,44.56,500,0
CAKE.US,5,20210922,181500,44.56,44.57,44.44,44.44,948,0
CAKE.US,5,20210922,182000,44.46,44.4817,44.46,44.48,2050,0
