<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CASI.US,5,20210922,153000,1.24,1.25,1.2378,1.25,50218,0
CASI.US,5,20210922,153500,1.2483,1.27,1.24,1.27,118395,0
CASI.US,5,20210922,154000,1.27,1.28,1.252,1.26,273032,0
CASI.US,5,20210922,154500,1.265,1.27,1.26,1.27,76649,0
CASI.US,5,20210922,155000,1.27,1.29,1.2616,1.2892,78654,0
CASI.US,5,20210922,155500,1.2853,1.29,1.2701,1.2813,162456,0
CASI.US,5,20210922,160000,1.2834,1.3,1.28,1.298,113181,0
CASI.US,5,20210922,160500,1.2998,1.3,1.2793,1.285,181976,0
CASI.US,5,20210922,161000,1.29,1.29,1.28,1.29,88818,0
CASI.US,5,20210922,161500,1.285,1.29,1.2801,1.2801,42489,0
CASI.US,5,20210922,162000,1.2873,1.31,1.285,1.31,162610,0
CASI.US,5,20210922,162500,1.3099,1.33,1.3099,1.3215,338511,0
CASI.US,5,20210922,163000,1.33,1.34,1.31,1.32,248576,0
CASI.US,5,20210922,163500,1.3201,1.33,1.2923,1.3,514233,0
CASI.US,5,20210922,164000,1.2907,1.3,1.25,1.255,402688,0
CASI.US,5,20210922,164500,1.255,1.2681,1.249,1.2611,142374,0
CASI.US,5,20210922,165000,1.265,1.28,1.25,1.255,111864,0
CASI.US,5,20210922,165500,1.255,1.26,1.25,1.25,50886,0
CASI.US,5,20210922,170000,1.255,1.26,1.25,1.2599,32200,0
CASI.US,5,20210922,170500,1.255,1.26,1.23,1.2393,134701,0
CASI.US,5,20210922,171000,1.2389,1.25,1.2389,1.245,68834,0
CASI.US,5,20210922,171500,1.245,1.25,1.24,1.245,6600,0
CASI.US,5,20210922,172000,1.24,1.25,1.24,1.25,34550,0
CASI.US,5,20210922,172500,1.2489,1.26,1.245,1.26,71151,0
CASI.US,5,20210922,173000,1.2593,1.275,1.255,1.2623,195742,0
CASI.US,5,20210922,173500,1.27,1.28,1.27,1.2735,55413,0
CASI.US,5,20210922,174000,1.2789,1.28,1.27,1.275,12451,0
CASI.US,5,20210922,174500,1.275,1.28,1.27,1.27,8878,0
CASI.US,5,20210922,175000,1.27,1.278,1.25,1.27,99159,0
CASI.US,5,20210922,175500,1.26,1.2673,1.26,1.2673,6765,0
CASI.US,5,20210922,180000,1.261,1.269,1.26,1.265,15300,0
CASI.US,5,20210922,180500,1.25,1.26,1.24,1.249,23290,0
CASI.US,5,20210922,181000,1.249,1.26,1.245,1.255,38714,0
CASI.US,5,20210922,181500,1.259,1.27,1.2577,1.2577,44231,0
CASI.US,5,20210922,182000,1.2594,1.26,1.2564,1.26,13803,0
CASI.US,5,20210922,182500,1.26,1.26,1.2582,1.26,9371,0
CASI.US,5,20210922,183000,1.25,1.2599,1.2401,1.25,254787,0
CASI.US,5,20210922,183500,1.2481,1.26,1.2406,1.25,328971,0
CASI.US,5,20210922,184000,1.25,1.26,1.24,1.26,146238,0
CASI.US,5,20210922,184500,1.25,1.26,1.24,1.25,286043,0
CASI.US,5,20210922,185000,1.25,1.255,1.24,1.245,114547,0
CASI.US,5,20210922,185500,1.2418,1.25,1.24,1.2499,15123,0
CASI.US,5,20210922,190000,1.2421,1.25,1.235,1.2399,160196,0
CASI.US,5,20210922,190500,1.235,1.24,1.23,1.2399,55443,0
CASI.US,5,20210922,191000,1.235,1.24,1.2312,1.235,9450,0
CASI.US,5,20210922,191500,1.24,1.255,1.24,1.241,248566,0
CASI.US,5,20210922,192000,1.2393,1.24,1.215,1.225,404511,0
CASI.US,5,20210922,192500,1.2287,1.235,1.22,1.228,107496,0
CASI.US,5,20210922,193000,1.24,1.25,1.2348,1.25,132401,0
CASI.US,5,20210922,193500,1.245,1.25,1.24,1.2474,6082,0
CASI.US,5,20210922,194000,1.2499,1.25,1.24,1.24,23374,0
CASI.US,5,20210922,194500,1.24,1.245,1.22,1.2277,62425,0
CASI.US,5,20210922,195000,1.225,1.23,1.2208,1.2296,41257,0
CASI.US,5,20210922,195500,1.2201,1.25,1.22,1.22,317073,0
CASI.US,5,20210922,200000,1.22,1.24,1.22,1.2315,98893,0
CASI.US,5,20210922,200500,1.24,1.25,1.2301,1.2481,69550,0
CASI.US,5,20210922,201000,1.24,1.25,1.24,1.2418,46000,0
CASI.US,5,20210922,201500,1.2493,1.25,1.235,1.2413,316159,0
