<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CLNN.US,5,20210922,153000,7.37,7.46,7.26,7.27,2682,0
CLNN.US,5,20210922,153500,7.4,7.4999,7.34,7.35,1200,0
CLNN.US,5,20210922,154000,7.35,7.35,7.35,7.35,100,0
CLNN.US,5,20210922,154500,7.35,7.35,7.26,7.29,1136,0
CLNN.US,5,20210922,155000,7.45,7.45,7.34,7.34,641,0
CLNN.US,5,20210922,160000,7.41,7.41,7.36,7.37,417,0
CLNN.US,5,20210922,162000,7.47,7.47,7.46,7.46,200,0
CLNN.US,5,20210922,163000,7.42,7.42,7.39,7.39,200,0
CLNN.US,5,20210922,164000,7.4188,7.55,7.4188,7.52,993,0
CLNN.US,5,20210922,164500,7.5,7.54,7.5,7.54,200,0
CLNN.US,5,20210922,165000,7.5,7.5861,7.5,7.5861,200,0
CLNN.US,5,20210922,170000,7.53,7.53,7.48,7.48,200,0
CLNN.US,5,20210922,171000,7.5,7.52,7.41,7.41,2252,0
CLNN.US,5,20210922,171500,7.4457,7.4457,7.41,7.42,2606,0
CLNN.US,5,20210922,172000,7.46,7.46,7.46,7.46,100,0
CLNN.US,5,20210922,172500,7.5659,7.5659,7.49,7.5116,1430,0
CLNN.US,5,20210922,173000,7.5,7.5,7.5,7.5,100,0
CLNN.US,5,20210922,174500,7.54,7.54,7.48,7.48,600,0
CLNN.US,5,20210922,175000,7.5,7.5,7.44,7.44,200,0
CLNN.US,5,20210922,175500,7.48,7.48,7.48,7.48,100,0
CLNN.US,5,20210922,183000,7.495,7.495,7.495,7.495,100,0
CLNN.US,5,20210922,183500,7.5066,7.5066,7.5,7.5,358,0
CLNN.US,5,20210922,184000,7.57,7.57,7.57,7.57,200,0
CLNN.US,5,20210922,184500,7.5,7.535,7.5,7.535,200,0
CLNN.US,5,20210922,185000,7.5699,7.5699,7.43,7.44,3800,0
CLNN.US,5,20210922,185500,7.4896,7.4896,7.34,7.42,2490,0
CLNN.US,5,20210922,190000,7.4862,7.4862,7.4862,7.4862,100,0
CLNN.US,5,20210922,191000,7.44,7.5,7.44,7.5,850,0
CLNN.US,5,20210922,191500,7.5163,7.5163,7.41,7.42,16237,0
CLNN.US,5,20210922,193000,7.46,7.46,7.46,7.46,330,0
CLNN.US,5,20210922,193500,7.49,7.49,7.49,7.49,100,0
CLNN.US,5,20210922,194000,7.5,7.5,7.5,7.5,118,0
CLNN.US,5,20210922,195500,7.5,7.5,7.5,7.5,337,0
CLNN.US,5,20210922,200500,7.54,7.54,7.54,7.54,203,0
CLNN.US,5,20210922,201000,7.56,7.58,7.56,7.57,1550,0
CLNN.US,5,20210922,201500,7.57,7.6,7.46,7.46,6868,0
CLNN.US,5,20210922,202000,7.45,7.45,7.42,7.42,900,0
CLNN.US,5,20210922,202500,7.42,7.42,7.42,7.42,500,0
CLNN.US,5,20210922,203000,7.42,7.4775,7.42,7.4775,3435,0
CLNN.US,5,20210922,203500,7.42,7.47,7.42,7.47,400,0
CLNN.US,5,20210922,204000,7.42,7.42,7.31,7.31,3631,0
CLNN.US,5,20210922,204500,7.32,7.38,7.31,7.38,1400,0
CLNN.US,5,20210922,205000,7.31,7.36,7.3,7.34,968,0
CLNN.US,5,20210922,205500,7.37,7.4291,7.37,7.4291,700,0
CLNN.US,5,20210922,210000,7.4,7.4,7.35,7.35,600,0
CLNN.US,5,20210922,210500,7.36,7.37,7.36,7.365,1348,0
CLNN.US,5,20210922,211000,7.39,7.41,7.37,7.41,1000,0
CLNN.US,5,20210922,211500,7.43,7.43,7.375,7.375,5377,0
CLNN.US,5,20210922,212000,7.35,7.37,7.35,7.37,200,0
CLNN.US,5,20210922,212500,7.36,7.38,7.34,7.36,2494,0
CLNN.US,5,20210922,213000,7.37,7.375,7.37,7.375,305,0
CLNN.US,5,20210922,213500,7.35,7.35,7.32,7.32,1400,0
CLNN.US,5,20210922,214000,7.33,7.39,7.33,7.39,2181,0
CLNN.US,5,20210922,214500,7.38,7.38,7.34,7.38,1413,0
CLNN.US,5,20210922,215000,7.39,7.42,7.39,7.39,792,0
CLNN.US,5,20210922,215500,7.39,7.41,7.36,7.36,16284,0
CLNN.US,5,20210923,153000,7.6,7.6422,7.6,7.6422,3041,0
CLNN.US,5,20210923,153500,7.59,7.59,7.5337,7.5337,400,0
CLNN.US,5,20210923,154500,7.59,7.59,7.4,7.4,1753,0
CLNN.US,5,20210923,155000,7.44,7.45,7.41,7.41,747,0
CLNN.US,5,20210923,155500,7.455,7.455,7.41,7.41,200,0
CLNN.US,5,20210923,160000,7.45,7.45,7.4,7.4,1569,0
CLNN.US,5,20210923,160500,7.44,7.44,7.44,7.44,100,0
CLNN.US,5,20210923,161000,7.4437,7.4437,7.33,7.33,1286,0
CLNN.US,5,20210923,161500,7.32,7.32,7.32,7.32,599,0
CLNN.US,5,20210923,162000,7.315,7.315,7.26,7.3,600,0
CLNN.US,5,20210923,162500,7.3,7.32,7.3,7.32,200,0
CLNN.US,5,20210923,163000,7.32,7.32,7.16,7.16,5304,0
CLNN.US,5,20210923,163500,7.17,7.2125,7.16,7.16,2044,0
CLNN.US,5,20210923,164000,7.14,7.14,7.03,7.1135,12654,0
CLNN.US,5,20210923,164500,7.11,7.11,6.95,6.9509,13709,0
CLNN.US,5,20210923,165000,7,7.05,6.98,7.05,3041,0
CLNN.US,5,20210923,165500,7.03,7.2,7.03,7.2,13582,0
CLNN.US,5,20210923,170000,7.1999,7.1999,7.142,7.165,2190,0
CLNN.US,5,20210923,170500,7.14,7.14,7.0204,7.0204,3798,0
CLNN.US,5,20210923,171000,7.055,7.07,7.05,7.05,1442,0
CLNN.US,5,20210923,171500,7.095,7.095,7.095,7.095,103,0
CLNN.US,5,20210923,172000,7.06,7.06,7.06,7.06,713,0
CLNN.US,5,20210923,173000,7.08,7.1,7.06,7.06,1170,0
CLNN.US,5,20210923,173500,7.06,7.1,7.04,7.06,3600,0
CLNN.US,5,20210923,174000,7.06,7.06,7.06,7.06,200,0
CLNN.US,5,20210923,175000,7.02,7.1,7.02,7.1,1696,0
CLNN.US,5,20210923,175500,7.07,7.1,7.07,7.1,1000,0
CLNN.US,5,20210923,180000,7.15,7.15,7.03,7.03,967,0
CLNN.US,5,20210923,180500,7.07,7.07,7.07,7.07,600,0
CLNN.US,5,20210923,181000,7.02,7.0699,7.01,7.0699,1965,0
CLNN.US,5,20210923,181500,7.035,7.035,7.035,7.035,200,0
CLNN.US,5,20210923,182000,7.015,7.03,7.015,7.02,6397,0
CLNN.US,5,20210923,182500,7.02,7.0699,7.01,7.04,1300,0
CLNN.US,5,20210923,183000,7.07,7.07,7.07,7.07,400,0
CLNN.US,5,20210923,183500,7.07,7.07,7.01,7.01,4258,0
CLNN.US,5,20210923,184000,7.0229,7.0234,6.95,6.96,9612,0
CLNN.US,5,20210923,184500,6.96,7.01,6.95,7.01,3360,0
CLNN.US,5,20210923,185000,7,7,6.99,6.99,650,0
CLNN.US,5,20210923,185500,7.01,7.01,7,7,648,0
CLNN.US,5,20210923,190000,6.93,6.95,6.93,6.95,1600,0
CLNN.US,5,20210923,190500,6.95,6.97,6.93,6.95,5159,0
CLNN.US,5,20210923,191000,6.95,6.95,6.9448,6.9448,300,0
CLNN.US,5,20210923,191500,6.958,7.06,6.95,7.06,2750,0
CLNN.US,5,20210923,192000,7.05,7.06,7.05,7.06,350,0
CLNN.US,5,20210923,192500,7.05,7.05,7.0059,7.0059,772,0
CLNN.US,5,20210923,193000,7.025,7.025,7.025,7.025,100,0
CLNN.US,5,20210923,193500,7.03,7.07,7.03,7.07,2100,0
CLNN.US,5,20210923,194000,7.09,7.09,7.09,7.09,1300,0
CLNN.US,5,20210923,195500,7.09,7.09,7,7,2850,0
CLNN.US,5,20210923,200000,7.0509,7.0509,7,7.01,1304,0
CLNN.US,5,20210923,200500,7.02,7.0519,7,7,1200,0
CLNN.US,5,20210923,201000,7.0341,7.04,7.02,7.04,4200,0
CLNN.US,5,20210923,201500,7.07,7.09,7.07,7.0797,2342,0
CLNN.US,5,20210923,202000,7.07,7.07,7.07,7.07,200,0
CLNN.US,5,20210923,202500,7.04,7.12,7.04,7.12,1466,0
CLNN.US,5,20210923,203000,7.14,7.14,7.14,7.14,100,0
CLNN.US,5,20210923,204000,7.115,7.125,7.115,7.125,300,0
CLNN.US,5,20210923,204500,7.15,7.17,7.13,7.17,1312,0
CLNN.US,5,20210923,205500,7.18,7.19,7.13,7.13,972,0
CLNN.US,5,20210923,210000,7.175,7.2045,7.175,7.2045,1600,0
CLNN.US,5,20210923,210500,7.185,7.195,7.18,7.195,900,0
CLNN.US,5,20210923,211000,7.195,7.195,7.17,7.17,1700,0
CLNN.US,5,20210923,211500,7.185,7.2,7.185,7.2,1640,0
CLNN.US,5,20210923,212500,7.22,7.22,7.19,7.19,300,0
CLNN.US,5,20210923,213000,7.2,7.25,7.19,7.2201,2976,0
CLNN.US,5,20210923,213500,7.2255,7.24,7.21,7.21,1500,0
CLNN.US,5,20210923,214000,7.2,7.2,7.17,7.19,2200,0
CLNN.US,5,20210923,214500,7.19,7.21,7.185,7.19,1496,0
CLNN.US,5,20210923,215000,7.19,7.25,7.18,7.2,1500,0
CLNN.US,5,20210923,215500,7.2,7.28,7.2,7.26,25683,0
CLNN.US,5,20210924,153000,7.13,7.13,7.13,7.13,488,0
CLNN.US,5,20210924,153500,7.27,7.27,7.2,7.2,400,0
CLNN.US,5,20210924,154000,7.1714,7.1714,7.1714,7.1714,342,0
CLNN.US,5,20210924,155000,7.24,7.24,7.1518,7.195,366,0
CLNN.US,5,20210924,155500,7.13,7.2,7.08,7.141,1413,0
CLNN.US,5,20210924,160000,7.21,7.21,7.21,7.21,100,0
CLNN.US,5,20210924,161500,7.15,7.15,7.0903,7.0903,1115,0
CLNN.US,5,20210924,162500,7.12,7.155,7.12,7.155,500,0
CLNN.US,5,20210924,163000,7.155,7.155,7.155,7.155,200,0
CLNN.US,5,20210924,163500,7.155,7.16,7.155,7.16,200,0
CLNN.US,5,20210924,164500,7.17,7.17,7.145,7.145,500,0
CLNN.US,5,20210924,165000,7.155,7.19,7.155,7.19,300,0
CLNN.US,5,20210924,165500,7.12,7.12,7.12,7.12,100,0
CLNN.US,5,20210924,170000,7.12,7.155,7.12,7.155,200,0
CLNN.US,5,20210924,170500,7.15,7.15,7.125,7.14,4483,0
CLNN.US,5,20210924,171000,7.17,7.17,7.14,7.14,200,0
CLNN.US,5,20210924,171500,7.14,7.14,7.14,7.14,100,0
CLNN.US,5,20210924,172000,7.14,7.14,7.07,7.07,750,0
CLNN.US,5,20210924,172500,7.01,7.01,7.01,7.01,100,0
CLNN.US,5,20210924,173000,7.055,7.055,7.03,7.03,500,0
CLNN.US,5,20210924,173500,7.02,7.055,7.02,7.055,835,0
CLNN.US,5,20210924,174000,7.08,7.08,7.08,7.08,200,0
CLNN.US,5,20210924,174500,7.03,7.065,7.03,7.065,200,0
CLNN.US,5,20210924,175000,7.08,7.1,7.06,7.1,600,0
CLNN.US,5,20210924,175500,7.13,7.13,7.08,7.08,680,0
