<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CRBP.US,5,20210922,153000,1,1.02,1,1.02,47332,0
CRBP.US,5,20210922,153500,1.0189,1.02,1.0101,1.0101,5388,0
CRBP.US,5,20210922,154000,1.015,1.02,1.015,1.02,4970,0
CRBP.US,5,20210922,154500,1.015,1.02,1.0126,1.015,2262,0
CRBP.US,5,20210922,155000,1.0172,1.02,1.01,1.02,9450,0
CRBP.US,5,20210922,155500,1.015,1.0178,1.01,1.015,3144,0
CRBP.US,5,20210922,160000,1.0156,1.03,1.015,1.025,55369,0
CRBP.US,5,20210922,160500,1.025,1.025,1.0201,1.0201,2205,0
CRBP.US,5,20210922,161000,1.025,1.03,1.0225,1.0299,12473,0
CRBP.US,5,20210922,161500,1.0201,1.025,1.0201,1.025,800,0
CRBP.US,5,20210922,162000,1.03,1.03,1.0231,1.025,5230,0
CRBP.US,5,20210922,162500,1.025,1.03,1.02,1.02,12330,0
CRBP.US,5,20210922,163000,1.025,1.03,1.02,1.02,3733,0
CRBP.US,5,20210922,163500,1.025,1.025,1.025,1.025,600,0
CRBP.US,5,20210922,164000,1.025,1.03,1.025,1.025,1767,0
CRBP.US,5,20210922,164500,1.0233,1.03,1.0201,1.03,3689,0
CRBP.US,5,20210922,165000,1.0286,1.04,1.0286,1.032,23792,0
CRBP.US,5,20210922,165500,1.035,1.05,1.03,1.045,17652,0
CRBP.US,5,20210922,170000,1.05,1.05,1.04,1.047,22997,0
CRBP.US,5,20210922,170500,1.04,1.06,1.04,1.06,22950,0
CRBP.US,5,20210922,171000,1.0518,1.07,1.0518,1.07,68444,0
CRBP.US,5,20210922,171500,1.0644,1.07,1.06,1.065,15980,0
CRBP.US,5,20210922,172000,1.0624,1.075,1.0608,1.075,34680,0
CRBP.US,5,20210922,172500,1.08,1.08,1.0711,1.075,16778,0
CRBP.US,5,20210922,173000,1.0713,1.0895,1.0701,1.085,46966,0
CRBP.US,5,20210922,173500,1.09,1.09,1.0822,1.09,14791,0
CRBP.US,5,20210922,174000,1.0877,1.0883,1.08,1.085,17679,0
CRBP.US,5,20210922,174500,1.08,1.0871,1.08,1.085,21243,0
CRBP.US,5,20210922,175000,1.09,1.09,1.08,1.085,10280,0
CRBP.US,5,20210922,175500,1.085,1.085,1.07,1.08,24222,0
CRBP.US,5,20210922,180000,1.08,1.08,1.0723,1.0723,1666,0
CRBP.US,5,20210922,180500,1.0747,1.08,1.0728,1.08,4518,0
CRBP.US,5,20210922,181000,1.075,1.08,1.0701,1.075,2205,0
CRBP.US,5,20210922,181500,1.075,1.08,1.075,1.075,1033,0
CRBP.US,5,20210922,182000,1.075,1.08,1.075,1.075,720,0
CRBP.US,5,20210922,182500,1.0794,1.0794,1.07,1.075,1200,0
CRBP.US,5,20210922,183000,1.075,1.0775,1.07,1.07,31623,0
CRBP.US,5,20210922,183500,1.07,1.075,1.065,1.065,58935,0
CRBP.US,5,20210922,184000,1.0627,1.07,1.0601,1.065,15333,0
CRBP.US,5,20210922,184500,1.0615,1.07,1.06,1.07,15510,0
CRBP.US,5,20210922,185000,1.065,1.08,1.065,1.072,74954,0
CRBP.US,5,20210922,185500,1.0723,1.076,1.07,1.075,5454,0
CRBP.US,5,20210922,190000,1.07,1.0799,1.07,1.075,4927,0
CRBP.US,5,20210922,190500,1.075,1.075,1.07,1.075,7988,0
CRBP.US,5,20210922,191000,1.07,1.078,1.07,1.07,4803,0
CRBP.US,5,20210922,191500,1.07,1.08,1.06,1.075,25155,0
CRBP.US,5,20210922,192000,1.07,1.0999,1.07,1.0999,56787,0
CRBP.US,5,20210922,192500,1.09,1.1,1.09,1.093,4687,0
CRBP.US,5,20210922,193000,1.0973,1.1,1.0905,1.0916,15735,0
CRBP.US,5,20210922,193500,1.095,1.1,1.095,1.095,2982,0
CRBP.US,5,20210922,194000,1.1,1.1,1.0901,1.095,5270,0
CRBP.US,5,20210922,194500,1.1,1.1,1.09,1.095,5178,0
CRBP.US,5,20210922,195000,1.0901,1.1,1.0901,1.095,6065,0
CRBP.US,5,20210922,195500,1.095,1.095,1.08,1.08,17101,0
CRBP.US,5,20210922,200000,1.0862,1.0862,1.08,1.08,1669,0
CRBP.US,5,20210922,200500,1.0815,1.085,1.081,1.085,5837,0
CRBP.US,5,20210922,201000,1.09,1.09,1.085,1.085,4106,0
CRBP.US,5,20210922,201500,1.085,1.09,1.0831,1.085,1447,0
CRBP.US,5,20210922,202000,1.0814,1.09,1.0814,1.09,4318,0
CRBP.US,5,20210922,202500,1.085,1.09,1.0824,1.085,2468,0
CRBP.US,5,20210922,203000,1.085,1.0868,1.0847,1.0847,1122,0
CRBP.US,5,20210922,203500,1.085,1.085,1.08,1.08,10065,0
CRBP.US,5,20210922,204000,1.085,1.09,1.0801,1.085,9530,0
CRBP.US,5,20210922,204500,1.0815,1.09,1.0815,1.085,9475,0
CRBP.US,5,20210922,205000,1.085,1.09,1.08,1.09,6985,0
CRBP.US,5,20210922,205500,1.09,1.09,1.083,1.085,8079,0
CRBP.US,5,20210922,210000,1.09,1.09,1.0827,1.085,7751,0
CRBP.US,5,20210922,210500,1.085,1.09,1.0823,1.09,9790,0
CRBP.US,5,20210922,211000,1.09,1.09,1.08,1.09,12536,0
CRBP.US,5,20210922,211500,1.09,1.09,1.085,1.0852,9245,0
CRBP.US,5,20210922,212000,1.09,1.09,1.085,1.085,6011,0
CRBP.US,5,20210922,212500,1.0828,1.09,1.0828,1.085,10612,0
CRBP.US,5,20210922,213000,1.085,1.09,1.08,1.09,26537,0
CRBP.US,5,20210922,213500,1.085,1.095,1.08,1.095,9620,0
CRBP.US,5,20210922,214000,1.09,1.0957,1.09,1.095,36187,0
CRBP.US,5,20210922,214500,1.095,1.1,1.09,1.1,20207,0
CRBP.US,5,20210922,215000,1.1,1.1,1.09,1.1,32367,0
CRBP.US,5,20210922,215500,1.095,1.1,1.0909,1.1,112607,0
CRBP.US,5,20210923,153000,1.09,1.09,1.07,1.0885,18414,0
CRBP.US,5,20210923,153500,1.085,1.099,1.08,1.099,10097,0
CRBP.US,5,20210923,154000,1.099,1.13,1.098,1.13,29645,0
CRBP.US,5,20210923,154500,1.1216,1.13,1.12,1.1214,15655,0
CRBP.US,5,20210923,155000,1.125,1.13,1.12,1.1284,8877,0
CRBP.US,5,20210923,155500,1.13,1.13,1.12,1.12,10805,0
CRBP.US,5,20210923,160000,1.125,1.1292,1.11,1.12,35851,0
CRBP.US,5,20210923,160500,1.11,1.1184,1.11,1.118,8898,0
CRBP.US,5,20210923,161000,1.11,1.12,1.11,1.11,4184,0
CRBP.US,5,20210923,161500,1.1179,1.12,1.11,1.12,530,0
CRBP.US,5,20210923,162000,1.1179,1.1179,1.1,1.1,10371,0
CRBP.US,5,20210923,162500,1.108,1.108,1.1,1.1,6248,0
CRBP.US,5,20210923,163000,1.105,1.11,1.1001,1.11,8749,0
CRBP.US,5,20210923,163500,1.1095,1.1095,1.1,1.1008,11326,0
CRBP.US,5,20210923,164000,1.1,1.1077,1.1,1.1077,1167,0
CRBP.US,5,20210923,164500,1.11,1.11,1.1,1.11,3826,0
CRBP.US,5,20210923,165000,1.1086,1.11,1.1,1.105,4394,0
CRBP.US,5,20210923,165500,1.1001,1.1099,1.1001,1.1024,1550,0
CRBP.US,5,20210923,170000,1.11,1.11,1.105,1.109,8541,0
CRBP.US,5,20210923,170500,1.11,1.11,1.1085,1.1085,1333,0
CRBP.US,5,20210923,171000,1.1093,1.11,1.105,1.1089,4005,0
CRBP.US,5,20210923,171500,1.11,1.115,1.11,1.115,1419,0
CRBP.US,5,20210923,172000,1.115,1.115,1.11,1.1146,880,0
CRBP.US,5,20210923,172500,1.11,1.1101,1.105,1.105,11321,0
CRBP.US,5,20210923,173000,1.11,1.11,1.105,1.105,600,0
CRBP.US,5,20210923,173500,1.11,1.11,1.09,1.0916,16106,0
CRBP.US,5,20210923,174000,1.09,1.095,1.09,1.0945,1691,0
CRBP.US,5,20210923,174500,1.09,1.09,1.09,1.09,400,0
CRBP.US,5,20210923,175000,1.095,1.095,1.09,1.0917,6429,0
CRBP.US,5,20210923,175500,1.095,1.0985,1.09,1.095,6900,0
CRBP.US,5,20210923,180000,1.095,1.095,1.095,1.095,100,0
CRBP.US,5,20210923,180500,1.095,1.095,1.08,1.085,1852,0
