<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CRESW.US,5,20210922,153000,0.25,0.25,0.25,0.25,1480,0
CRESW.US,5,20210922,161500,0.255,0.255,0.25,0.25,3860,0
CRESW.US,5,20210922,181500,0.25,0.25,0.25,0.25,2500,0
CRESW.US,5,20210922,182000,0.25,0.25,0.25,0.25,2000,0
CRESW.US,5,20210922,182500,0.25,0.25,0.25,0.25,2340,0
CRESW.US,5,20210922,183500,0.25,0.25,0.235,0.2355,6160,0
CRESW.US,5,20210922,194500,0.236,0.236,0.235,0.235,3390,0
CRESW.US,5,20210922,195000,0.23,0.23,0.22,0.2201,3295,0
CRESW.US,5,20210922,195500,0.2271,0.23,0.227029,0.23,5100,0
CRESW.US,5,20210922,202000,0.2202,0.234,0.220101,0.234,6660,0
CRESW.US,5,20210922,203500,0.234,0.234,0.234,0.234,200,0
CRESW.US,5,20210922,204000,0.2224,0.2256,0.2224,0.2256,900,0
CRESW.US,5,20210922,211000,0.226001,0.226001,0.226001,0.226001,500,0
CRESW.US,5,20210923,200500,0.2801,0.2869,0.2801,0.2869,3600,0
CRESW.US,5,20210923,214500,0.280001,0.280001,0.280001,0.280001,680,0
CRESW.US,5,20210924,173500,0.3,0.3,0.3,0.3,416,0
CRESW.US,5,20210924,185500,0.23,0.23,0.23,0.23,1882,0
CRESW.US,5,20210924,201500,0.28,0.28,0.28,0.28,100,0
CRESW.US,5,20210927,215000,0.26,0.26,0.26,0.26,1200,0
CRESW.US,5,20210928,154500,0.25,0.25,0.25,0.25,676,0
CRESW.US,5,20210928,164500,0.247,0.247,0.247,0.247,100,0
CRESW.US,5,20210928,202500,0.2499,0.2499,0.2499,0.2499,4400,0
CRESW.US,5,20210928,203000,0.2401,0.240549,0.24,0.24,1000,0
CRESW.US,5,20210928,203500,0.25,0.25,0.25,0.25,4324,0
CRESW.US,5,20210929,154500,0.240101,0.25,0.24,0.24,5640,0
CRESW.US,5,20210929,155000,0.240101,0.240101,0.24,0.24,2200,0
CRESW.US,5,20210929,164500,0.237,0.24,0.233,0.233,3600,0
CRESW.US,5,20210929,165000,0.24,0.24,0.237751,0.24,8400,0
CRESW.US,5,20210929,185500,0.2351,0.2375,0.235,0.235,4700,0
CRESW.US,5,20210929,190000,0.235,0.235,0.235,0.235,1700,0
CRESW.US,5,20210929,192000,0.23,0.230042,0.22,0.22,12767,0
CRESW.US,5,20210929,192500,0.2151,0.2151,0.2151,0.2151,900,0
CRESW.US,5,20210929,193000,0.22,0.22,0.22,0.22,400,0
CRESW.US,5,20210929,193500,0.22,0.22,0.22,0.22,5200,0
CRESW.US,5,20210929,201500,0.22,0.22,0.22,0.22,700,0
CRESW.US,5,20210929,204000,0.218999,0.218999,0.218999,0.218999,1700,0
CRESW.US,5,20210929,204500,0.2151,0.2151,0.2151,0.2151,100,0
CRESW.US,5,20210929,205000,0.22,0.22,0.22,0.22,4000,0
CRESW.US,5,20210929,205500,0.2152,0.22,0.215178,0.215178,4200,0
CRESW.US,5,20210929,210000,0.22,0.22,0.22,0.22,3500,0
CRESW.US,5,20210929,211000,0.226599,0.2267,0.220899,0.222815,800,0
CRESW.US,5,20211001,155000,0.23,0.23,0.23,0.23,200,0
CRESW.US,5,20211001,162000,0.23,0.23,0.23,0.23,1000,0
CRESW.US,5,20211001,185000,0.2271,0.2271,0.2271,0.2271,200,0
CRESW.US,5,20211001,213000,0.227,0.227001,0.227,0.227001,200,0
CRESW.US,5,20211004,153500,0.216,0.2305,0.21,0.2112,24721,0
CRESW.US,5,20211004,163500,0.215,0.215,0.215,0.215,500,0
CRESW.US,5,20211004,164000,0.21,0.21,0.21,0.21,2000,0
CRESW.US,5,20211004,171000,0.22,0.22,0.2199,0.22,1400,0
CRESW.US,5,20211004,172500,0.21,0.21,0.21,0.21,5000,0
CRESW.US,5,20211004,183000,0.22,0.22,0.22,0.22,2400,0
CRESW.US,5,20211004,184500,0.2199,0.22,0.2199,0.2199,1000,0
CRESW.US,5,20211004,190500,0.2199,0.22,0.2199,0.2199,3320,0
CRESW.US,5,20211004,194500,0.210101,0.210101,0.210101,0.210101,840,0
CRESW.US,5,20211004,210000,0.217999,0.2291,0.217999,0.2291,2000,0
CRESW.US,5,20211004,211000,0.22,0.22,0.22,0.22,600,0
CRESW.US,5,20211004,215500,0.22,0.22,0.22,0.22,100,0
CRESW.US,5,20211005,164000,0.22,0.22,0.22,0.22,2500,0
CRESW.US,5,20211005,170500,0.22,0.22,0.22,0.22,10400,0
CRESW.US,5,20211005,172000,0.22,0.22,0.22,0.22,13000,0
CRESW.US,5,20211005,194000,0.22,0.22,0.21003,0.21003,7100,0
CRESW.US,5,20211005,194500,0.21,0.21,0.21,0.21,170,0
CRESW.US,5,20211005,205000,0.22,0.22,0.22,0.22,5400,0
CRESW.US,5,20211005,205500,0.22,0.22,0.22,0.22,1900,0
CRESW.US,5,20211005,211500,0.22,0.22,0.22,0.22,3100,0
CRESW.US,5,20211005,214500,0.217,0.217,0.21,0.21,5600,0
CRESW.US,5,20211005,215000,0.2101,0.2101,0.2101,0.2101,200,0
CRESW.US,5,20211005,215500,0.21,0.21,0.21,0.21,100,0
