<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CRZN.US,5,20210923,184000,9.73,9.73,9.73,9.73,876,0
CRZN.US,5,20210923,194500,9.71,9.71,9.71,9.71,500,0
CRZN.US,5,20210929,162500,9.73,9.73,9.73,9.73,10000,0
CRZN.US,5,20210929,163000,9.73,9.73,9.73,9.73,240000,0
CRZN.US,5,20211001,160500,9.72,9.72,9.72,9.72,614,0
CRZN.US,5,20211004,154500,9.75,9.75,9.75,9.75,1222,0
CRZN.US,5,20211004,155500,9.72,9.72,9.72,9.72,616,0
CRZN.US,5,20211004,180500,9.75,9.75,9.75,9.75,200000,0
CRZN.US,5,20211005,155000,9.75,9.75,9.75,9.75,200000,0
CRZN.US,5,20211005,164000,9.75,9.75,9.75,9.75,200000,0
CRZN.US,5,20211007,215000,9.75,9.76,9.705,9.76,13902,0
CRZN.US,5,20211014,165500,9.65,9.65,9.65,9.65,4300,0
CRZN.US,5,20211026,172000,9.75,9.75,9.75,9.75,200,0
CRZN.US,5,20211027,160500,9.71,9.71,9.71,9.71,500,0
CRZN.US,5,20211028,191000,9.745,9.745,9.745,9.745,1000,0
CRZN.US,5,20211101,161000,9.718,9.718,9.718,9.718,1000,0
CRZN.US,5,20211103,150000,9.72,9.72,9.72,9.72,200,0
CRZN.US,5,20211109,171000,9.76,9.76,9.76,9.76,25200,0
CRZN.US,5,20211109,213500,9.78,9.8,9.78,9.8,500,0
CRZN.US,5,20211110,162000,9.76,9.76,9.76,9.76,1200,0
CRZN.US,5,20211110,181500,9.77,9.77,9.77,9.77,200,0
CRZN.US,5,20211110,191000,9.77,9.77,9.77,9.77,1000,0
CRZN.US,5,20211110,213000,9.785,9.8,9.785,9.8,400,0
CRZN.US,5,20211111,160000,9.77,9.77,9.77,9.77,200,0
CRZN.US,5,20211111,163000,9.78,9.78,9.78,9.78,199998,0
CRZN.US,5,20211111,193000,9.78,9.78,9.78,9.78,37152,0
