<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DFPHU.US,5,20210923,171000,10.24,10.25,10.24,10.25,13351,0
DFPHU.US,5,20210927,153000,10.25,10.25,10.25,10.25,4159,0
DFPHU.US,5,20210927,153500,10.25,10.25,10.25,10.25,4038,0
DFPHU.US,5,20210928,210000,10.3,10.3,10.3,10.3,20000,0
DFPHU.US,5,20211001,154500,10.72,10.72,10.72,10.72,1099,0
DFPHU.US,5,20211004,201000,10.39,10.7,10.36,10.7,605,0
DFPHU.US,5,20211029,214500,10.3622,10.3622,10.3622,10.3622,500,0
DFPHU.US,5,20211029,215000,10.4,10.4,10.4,10.4,280,0
DFPHU.US,5,20211103,151000,10.4,10.4,10.39,10.39,300,0
DFPHU.US,5,20211103,152000,10.915,10.915,10.915,10.915,300,0
DFPHU.US,5,20211103,153000,10.38,10.38,10.37,10.38,5396,0
DFPHU.US,5,20211103,163000,10.4848,10.9165,10.4848,10.9165,400,0
DFPHU.US,5,20211103,163500,10.5192,10.5192,10.5192,10.5192,200,0
DFPHU.US,5,20211103,164000,10.5192,10.5192,10.5192,10.5192,200,0
DFPHU.US,5,20211103,170000,10.98,10.98,10.5497,10.5497,400,0
DFPHU.US,5,20211103,172000,10.5261,10.5261,10.5261,10.5261,200,0
DFPHU.US,5,20211103,182000,10.9307,10.9307,10.9307,10.9307,200,0
DFPHU.US,5,20211103,191000,11.0495,11.0495,11.0495,11.0495,200,0
DFPHU.US,5,20211103,192000,10.5566,10.5566,10.5566,10.5566,200,0
DFPHU.US,5,20211103,193000,10.39,10.39,10.39,10.39,200,0
DFPHU.US,5,20211104,145000,10.38,10.38,10.38,10.38,200,0
DFPHU.US,5,20211104,155000,10.38,10.38,10.38,10.38,200,0
DFPHU.US,5,20211105,161500,10.39,10.39,10.34,10.34,3661,0
DFPHU.US,5,20211108,153000,11.28,11.28,11.28,11.28,100,0
DFPHU.US,5,20211108,175000,10.35,10.35,10.3,10.3,700,0
DFPHU.US,5,20211109,153000,10.35,10.35,10.35,10.35,400,0
DFPHU.US,5,20211109,203000,10.33,10.33,10.33,10.33,300,0
DFPHU.US,5,20211110,180000,10.34,10.34,10.26,10.26,3480,0
