<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ESACU.US,5,20211021,153000,10.05,10.06,10.05,10.055,2900,0
ESACU.US,5,20211021,153500,10.055,10.055,10.04,10.04,10600,0
ESACU.US,5,20211021,154000,10.04,10.045,10.04,10.045,20210,0
ESACU.US,5,20211021,155000,10.05,10.05,10.05,10.05,4580,0
ESACU.US,5,20211021,160000,10.05,10.0501,10.05,10.0501,2000,0
ESACU.US,5,20211021,160500,10.055,10.055,10.05,10.05,1000,0
ESACU.US,5,20211021,161000,10.055,10.055,10.055,10.055,500,0
ESACU.US,5,20211021,161500,10.05,10.05,10.05,10.05,200,0
ESACU.US,5,20211021,162000,10.05,10.05,10.05,10.05,200,0
ESACU.US,5,20211021,162500,10.05,10.05,10.05,10.05,100,0
ESACU.US,5,20211021,164000,10.06,10.065,10.06,10.065,26806,0
ESACU.US,5,20211021,165000,10.1,10.15,10.085,10.095,45062,0
ESACU.US,5,20211021,170500,10.0991,10.0991,10.0991,10.0991,1000,0
ESACU.US,5,20211021,171500,10.09,10.0977,10.0694,10.0694,1100,0
ESACU.US,5,20211021,190000,10.07,10.07,10.07,10.07,100,0
ESACU.US,5,20211021,191500,10.07,10.07,10.07,10.07,1900,0
ESACU.US,5,20211021,195500,10.08,10.09,10.08,10.085,46066,0
ESACU.US,5,20211021,200000,10.08,10.08,10.08,10.08,136,0
ESACU.US,5,20211021,214500,10.07,10.07,10.07,10.07,2000,0
ESACU.US,5,20211021,215500,10.0791,10.0791,10.07,10.07,18735,0
ESACU.US,5,20211022,153000,10.1,10.1,10.1,10.1,300,0
ESACU.US,5,20211022,160500,10.0943,10.0943,10.0943,10.0943,637,0
ESACU.US,5,20211022,161500,10.08,10.08,10.08,10.08,773,0
ESACU.US,5,20211022,170000,10.07,10.07,10.07,10.07,100,0
ESACU.US,5,20211022,172000,10.08,10.08,10.08,10.08,100,0
ESACU.US,5,20211022,182500,10.08,10.08,10.08,10.08,20000,0
ESACU.US,5,20211022,190000,10.08,10.08,10.08,10.08,10100,0
ESACU.US,5,20211022,204000,10.08,10.08,10.0798,10.08,20000,0
ESACU.US,5,20211022,214000,10.08,10.08,10.08,10.08,13800,0
ESACU.US,5,20211022,215000,10.08,10.09,10.08,10.08,18503,0
