<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FCEL.US,5,20210922,153000,6.04,6.1152,6.01,6.1117,821611,0
FCEL.US,5,20210922,153500,6.1114,6.16,6.1,6.1313,506752,0
FCEL.US,5,20210922,154000,6.14,6.2,6.14,6.1736,699912,0
FCEL.US,5,20210922,154500,6.1712,6.28,6.145,6.27,927794,0
FCEL.US,5,20210922,155000,6.28,6.29,6.23,6.275,784310,0
FCEL.US,5,20210922,155500,6.275,6.29,6.24,6.2452,523328,0
FCEL.US,5,20210922,160000,6.25,6.255,6.18,6.23,474319,0
FCEL.US,5,20210922,160500,6.222,6.27,6.201,6.2613,270571,0
FCEL.US,5,20210922,161000,6.262,6.31,6.26,6.3039,541507,0
FCEL.US,5,20210922,161500,6.3001,6.35,6.29,6.339,450316,0
FCEL.US,5,20210922,162000,6.3321,6.34,6.2817,6.32,297812,0
FCEL.US,5,20210922,162500,6.315,6.34,6.3,6.32,268185,0
FCEL.US,5,20210922,163000,6.315,6.39,6.31,6.375,539772,0
FCEL.US,5,20210922,163500,6.3732,6.39,6.37,6.385,270609,0
FCEL.US,5,20210922,164000,6.385,6.442,6.38,6.4116,408115,0
FCEL.US,5,20210922,164500,6.4174,6.44,6.39,6.4327,549076,0
FCEL.US,5,20210922,165000,6.4301,6.44,6.4,6.415,364147,0
FCEL.US,5,20210922,165500,6.415,6.42,6.36,6.3701,439551,0
FCEL.US,5,20210922,170000,6.3701,6.43,6.355,6.43,238910,0
FCEL.US,5,20210922,170500,6.4256,6.44,6.42,6.425,193109,0
FCEL.US,5,20210922,171000,6.4246,6.51,6.4246,6.5016,812652,0
FCEL.US,5,20210922,171500,6.5,6.55,6.5,6.53,790583,0
FCEL.US,5,20210922,172000,6.5301,6.55,6.52,6.52,416316,0
FCEL.US,5,20210922,172500,6.5223,6.5782,6.5201,6.57,576265,0
FCEL.US,5,20210922,173000,6.5684,6.58,6.53,6.5323,613489,0
FCEL.US,5,20210922,173500,6.54,6.5485,6.52,6.54,325323,0
FCEL.US,5,20210922,174000,6.5378,6.545,6.47,6.4718,417470,0
FCEL.US,5,20210922,174500,6.472,6.53,6.4601,6.49,544244,0
FCEL.US,5,20210922,175000,6.4989,6.55,6.4921,6.52,308758,0
FCEL.US,5,20210922,175500,6.525,6.57,6.51,6.5683,259839,0
FCEL.US,5,20210922,180000,6.5699,6.59,6.56,6.59,255518,0
FCEL.US,5,20210922,180500,6.585,6.61,6.5601,6.6083,422596,0
FCEL.US,5,20210922,181000,6.6026,6.61,6.57,6.5721,337937,0
FCEL.US,5,20210922,181500,6.575,6.6,6.5616,6.595,219827,0
FCEL.US,5,20210922,182000,6.5923,6.64,6.59,6.6375,578900,0
FCEL.US,5,20210922,182500,6.63,6.65,6.62,6.6227,322544,0
FCEL.US,5,20210922,183000,6.6249,6.6699,6.61,6.6679,340910,0
FCEL.US,5,20210922,183500,6.665,6.68,6.655,6.675,280831,0
FCEL.US,5,20210922,184000,6.675,6.68,6.625,6.645,433054,0
FCEL.US,5,20210922,184500,6.6487,6.72,6.645,6.7199,501426,0
FCEL.US,5,20210922,185000,6.7121,6.73,6.7,6.7,301020,0
FCEL.US,5,20210922,185500,6.7018,6.71,6.67,6.6893,346521,0
FCEL.US,5,20210922,190000,6.6826,6.69,6.62,6.635,461974,0
FCEL.US,5,20210922,190500,6.6308,6.65,6.62,6.625,336825,0
FCEL.US,5,20210922,191000,6.63,6.63,6.57,6.576,626593,0
FCEL.US,5,20210922,191500,6.57,6.58,6.55,6.5601,299133,0
FCEL.US,5,20210922,192000,6.5692,6.57,6.53,6.5309,321426,0
FCEL.US,5,20210922,192500,6.5399,6.59,6.53,6.585,333883,0
FCEL.US,5,20210922,193000,6.58,6.63,6.58,6.62,340646,0
FCEL.US,5,20210922,193500,6.62,6.64,6.615,6.63,207980,0
FCEL.US,5,20210922,194000,6.6399,6.64,6.6217,6.63,157396,0
FCEL.US,5,20210922,194500,6.63,6.6327,6.59,6.5901,191070,0
FCEL.US,5,20210922,195000,6.59,6.6,6.55,6.55,286484,0
FCEL.US,5,20210922,195500,6.552,6.59,6.55,6.585,261338,0
FCEL.US,5,20210922,200000,6.585,6.655,6.56,6.645,279215,0
FCEL.US,5,20210922,200500,6.65,6.66,6.6115,6.65,282079,0
FCEL.US,5,20210922,201000,6.648,6.68,6.64,6.6706,415487,0
FCEL.US,5,20210922,201500,6.67,6.6999,6.64,6.6417,347296,0
FCEL.US,5,20210922,202000,6.6401,6.66,6.62,6.655,236416,0
FCEL.US,5,20210922,202500,6.6501,6.73,6.65,6.715,399394,0
FCEL.US,5,20210922,203000,6.7101,6.74,6.685,6.74,380948,0
FCEL.US,5,20210922,203500,6.73,6.75,6.7,6.705,358270,0
FCEL.US,5,20210922,204000,6.705,6.71,6.67,6.69,198020,0
FCEL.US,5,20210922,204500,6.685,6.7,6.64,6.642,313405,0
FCEL.US,5,20210922,205000,6.64,6.7,6.61,6.675,379269,0
FCEL.US,5,20210922,205500,6.6754,6.68,6.65,6.68,175714,0
FCEL.US,5,20210922,210000,6.67,6.695,6.655,6.67,230375,0
FCEL.US,5,20210922,210500,6.677,6.7,6.65,6.69,282267,0
FCEL.US,5,20210922,211000,6.69,6.72,6.68,6.705,238011,0
FCEL.US,5,20210922,211500,6.71,6.7199,6.69,6.7013,267751,0
FCEL.US,5,20210922,212000,6.7023,6.705,6.66,6.67,283173,0
FCEL.US,5,20210922,212500,6.665,6.7,6.655,6.69,234322,0
FCEL.US,5,20210922,213000,6.69,6.71,6.6708,6.6841,371078,0
FCEL.US,5,20210922,213500,6.6827,6.71,6.67,6.685,346121,0
FCEL.US,5,20210922,214000,6.6881,6.6899,6.64,6.6675,387064,0
FCEL.US,5,20210922,214500,6.6699,6.68,6.655,6.661,291232,0
FCEL.US,5,20210922,215000,6.66,6.69,6.65,6.68,512933,0
FCEL.US,5,20210922,215500,6.68,6.685,6.64,6.66,1385194,0
FCEL.US,5,20210923,153000,6.758,6.88,6.64,6.8568,1473960,0
FCEL.US,5,20210923,153500,6.8515,6.8515,6.711,6.8193,730056,0
FCEL.US,5,20210923,154000,6.815,6.82,6.735,6.745,540820,0
FCEL.US,5,20210923,154500,6.74,6.75,6.62,6.65,686087,0
FCEL.US,5,20210923,155000,6.65,6.69,6.63,6.64,527467,0
FCEL.US,5,20210923,155500,6.645,6.72,6.645,6.72,328342,0
FCEL.US,5,20210923,160000,6.72,6.72,6.61,6.6601,448354,0
FCEL.US,5,20210923,160500,6.6601,6.6689,6.61,6.6269,283375,0
FCEL.US,5,20210923,161000,6.6299,6.67,6.61,6.665,283380,0
FCEL.US,5,20210923,161500,6.6698,6.67,6.62,6.652,205761,0
FCEL.US,5,20210923,162000,6.655,6.669,6.63,6.665,209969,0
FCEL.US,5,20210923,162500,6.665,6.69,6.66,6.68,261772,0
FCEL.US,5,20210923,163000,6.68,6.76,6.68,6.73,473276,0
FCEL.US,5,20210923,163500,6.7381,6.74,6.66,6.67,272459,0
FCEL.US,5,20210923,164000,6.675,6.75,6.67,6.7499,245130,0
FCEL.US,5,20210923,164500,6.74,6.77,6.74,6.77,315601,0
FCEL.US,5,20210923,165000,6.77,6.815,6.76,6.81,502568,0
FCEL.US,5,20210923,165500,6.8089,6.84,6.79,6.8111,405969,0
FCEL.US,5,20210923,170000,6.819,6.85,6.81,6.8482,335267,0
FCEL.US,5,20210923,170500,6.84,6.865,6.84,6.86,361173,0
FCEL.US,5,20210923,171000,6.8593,6.92,6.8314,6.915,755249,0
FCEL.US,5,20210923,171500,6.9199,6.98,6.9101,6.9582,821708,0
FCEL.US,5,20210923,172000,6.955,6.96,6.89,6.93,485922,0
FCEL.US,5,20210923,172500,6.925,6.95,6.89,6.895,334325,0
FCEL.US,5,20210923,173000,6.8924,6.9,6.88,6.885,196423,0
FCEL.US,5,20210923,173500,6.8899,6.9,6.86,6.8823,289334,0
FCEL.US,5,20210923,174000,6.8899,6.89,6.83,6.83,269191,0
FCEL.US,5,20210923,174500,6.83,6.89,6.83,6.8879,228899,0
FCEL.US,5,20210923,175000,6.88,6.9,6.86,6.865,170664,0
FCEL.US,5,20210923,175500,6.865,6.93,6.86,6.9299,300524,0
FCEL.US,5,20210923,180000,6.9225,6.93,6.87,6.885,249698,0
FCEL.US,5,20210923,180500,6.885,6.89,6.86,6.865,105609,0
FCEL.US,5,20210923,181000,6.865,6.89,6.86,6.88,173118,0
FCEL.US,5,20210923,181500,6.8799,6.93,6.875,6.9295,238993,0
FCEL.US,5,20210923,182000,6.9299,6.94,6.91,6.925,254590,0
FCEL.US,5,20210923,182500,6.925,6.97,6.92,6.9685,363282,0
FCEL.US,5,20210923,183000,6.9699,6.97,6.91,6.9301,256162,0
FCEL.US,5,20210923,183500,6.935,6.94,6.88,6.9001,299089,0
FCEL.US,5,20210923,184000,6.905,6.9276,6.9,6.915,114413,0
FCEL.US,5,20210923,184500,6.9105,6.95,6.89,6.95,123985,0
FCEL.US,5,20210923,185000,6.9401,6.95,6.935,6.9404,113253,0
FCEL.US,5,20210923,185500,6.94,6.947,6.9018,6.92,162668,0
FCEL.US,5,20210923,190000,6.9299,6.95,6.92,6.9375,103148,0
FCEL.US,5,20210923,190500,6.94,6.94,6.9,6.915,165837,0
FCEL.US,5,20210923,191000,6.915,7.04,6.9,7.0101,1071431,0
FCEL.US,5,20210923,191500,7.015,7.1078,7,7.03,1681088,0
FCEL.US,5,20210923,192000,7.039,7.16,7.03,7.1579,2152160,0
FCEL.US,5,20210923,192500,7.155,7.165,7.05,7.0609,1539688,0
FCEL.US,5,20210923,193000,7.0618,7.0699,7.03,7.0419,363099,0
FCEL.US,5,20210923,193500,7.045,7.09,7.04,7.0657,362865,0
FCEL.US,5,20210923,194000,7.0612,7.08,7.05,7.07,267709,0
FCEL.US,5,20210923,194500,7.0713,7.1,7.07,7.095,242643,0
FCEL.US,5,20210923,195000,7.0999,7.11,7.07,7.0899,345642,0
FCEL.US,5,20210923,195500,7.09,7.13,7.0895,7.1185,278162,0
FCEL.US,5,20210923,200000,7.1121,7.15,7.1,7.1083,425281,0
FCEL.US,5,20210923,200500,7.11,7.12,7.05,7.0601,346098,0
FCEL.US,5,20210923,201000,7.0622,7.09,7.04,7.09,384285,0
FCEL.US,5,20210923,201500,7.09,7.14,7.0813,7.1176,436143,0
FCEL.US,5,20210923,202000,7.12,7.12,7.1,7.103,150041,0
FCEL.US,5,20210923,202500,7.1049,7.1399,7.1,7.1217,335121,0
FCEL.US,5,20210923,203000,7.12,7.14,7.115,7.125,185463,0
FCEL.US,5,20210923,203500,7.125,7.16,7.12,7.1431,413135,0
FCEL.US,5,20210923,204000,7.145,7.18,7.145,7.1713,567083,0
FCEL.US,5,20210923,204500,7.175,7.2,7.17,7.19,331026,0
FCEL.US,5,20210923,205000,7.19,7.22,7.18,7.21,558638,0
FCEL.US,5,20210923,205500,7.2031,7.23,7.2,7.2179,357827,0
FCEL.US,5,20210923,210000,7.22,7.225,7.1501,7.1801,777895,0
FCEL.US,5,20210923,210500,7.185,7.2,7.18,7.2,217410,0
FCEL.US,5,20210923,211000,7.1999,7.239,7.1901,7.2253,438250,0
FCEL.US,5,20210923,211500,7.225,7.245,7.22,7.235,309336,0
FCEL.US,5,20210923,212000,7.23,7.27,7.22,7.2676,694284,0
FCEL.US,5,20210923,212500,7.27,7.27,7.231,7.2414,332074,0
FCEL.US,5,20210923,213000,7.25,7.29,7.245,7.29,500807,0
FCEL.US,5,20210923,213500,7.285,7.31,7.28,7.3087,489116,0
FCEL.US,5,20210923,214000,7.31,7.31,7.25,7.2501,842776,0
FCEL.US,5,20210923,214500,7.255,7.255,7.22,7.225,583520,0
FCEL.US,5,20210923,215000,7.23,7.24,7.2,7.2326,704754,0
FCEL.US,5,20210923,215500,7.235,7.25,7.21,7.25,1378314,0
FCEL.US,5,20210924,153000,7.05,7.24,7.03,7.225,1482534,0
FCEL.US,5,20210924,153500,7.2291,7.2291,7.13,7.195,1009402,0
FCEL.US,5,20210924,154000,7.2,7.2,7.07,7.12,811502,0
FCEL.US,5,20210924,154500,7.12,7.125,6.97,6.9789,813762,0
FCEL.US,5,20210924,155000,6.9785,7.01,6.95,6.9699,693437,0
FCEL.US,5,20210924,155500,6.965,7.04,6.95,7.009,459977,0
FCEL.US,5,20210924,160000,7.0062,7.08,6.96,7.0782,517200,0
FCEL.US,5,20210924,160500,7.0774,7.085,7.03,7.04,325448,0
FCEL.US,5,20210924,161000,7.041,7.0699,6.99,6.995,285153,0
FCEL.US,5,20210924,161500,6.9956,7.03,6.98,6.9975,267853,0
FCEL.US,5,20210924,162000,6.9991,7.01,6.96,7.005,216492,0
FCEL.US,5,20210924,162500,7.0001,7.0501,7,7.04,220235,0
FCEL.US,5,20210924,163000,7.04,7.0799,7.015,7.02,298403,0
FCEL.US,5,20210924,163500,7.0291,7.06,7.0215,7.04,178870,0
FCEL.US,5,20210924,164000,7.0455,7.14,7.04,7.119,360979,0
FCEL.US,5,20210924,164500,7.1191,7.14,7.11,7.13,229433,0
FCEL.US,5,20210924,165000,7.129,7.1689,7.12,7.155,255144,0
FCEL.US,5,20210924,165500,7.16,7.17,7.1,7.1,185707,0
FCEL.US,5,20210924,170000,7.105,7.1099,7.05,7.05,268262,0
FCEL.US,5,20210924,170500,7.05,7.07,7.04,7.04,160093,0
FCEL.US,5,20210924,171000,7.04,7.07,7.04,7.06,105464,0
FCEL.US,5,20210924,171500,7.06,7.09,7.0425,7.078,118882,0
FCEL.US,5,20210924,172000,7.08,7.0884,7.06,7.06,91816,0
FCEL.US,5,20210924,172500,7.0601,7.0601,7,7.0107,308322,0
FCEL.US,5,20210924,173000,7.02,7.065,7.01,7.055,148521,0
FCEL.US,5,20210924,173500,7.0579,7.07,7.0423,7.0509,161830,0
FCEL.US,5,20210924,174000,7.05,7.09,7.05,7.0883,153665,0
FCEL.US,5,20210924,174500,7.0899,7.09,7.061,7.0678,111724,0
FCEL.US,5,20210924,175000,7.0629,7.08,7.04,7.06,230425,0
FCEL.US,5,20210924,175500,7.06,7.09,7.04,7.0824,133399,0
FCEL.US,5,20210924,180000,7.0888,7.1,7.069,7.085,179491,0
FCEL.US,5,20210924,180500,7.085,7.11,7.0701,7.075,143619,0
FCEL.US,5,20210924,181000,7.08,7.12,7.0717,7.1178,103326,0
FCEL.US,5,20210924,181500,7.11,7.15,7.11,7.145,186412,0
FCEL.US,5,20210924,182000,7.145,7.15,7.12,7.1309,125426,0
FCEL.US,5,20210924,182500,7.1323,7.16,7.1323,7.135,164099,0
FCEL.US,5,20210924,183000,7.1393,7.15,7.13,7.135,104279,0
FCEL.US,5,20210924,183500,7.1323,7.15,7.1221,7.145,103064,0
FCEL.US,5,20210924,184000,7.1463,7.16,7.141,7.145,44655,0
FCEL.US,5,20210924,184500,7.1424,7.15,7.11,7.12,85438,0
FCEL.US,5,20210924,185000,7.125,7.1375,7.11,7.117,78538,0
FCEL.US,5,20210924,185500,7.12,7.13,7.09,7.0999,110484,0
FCEL.US,5,20210924,190000,7.09,7.13,7.09,7.125,41280,0
FCEL.US,5,20210924,190500,7.13,7.13,7.09,7.1077,62444,0
FCEL.US,5,20210924,191000,7.1,7.11,7.08,7.109,125276,0
FCEL.US,5,20210924,191500,7.108,7.1286,7.085,7.115,142990,0
FCEL.US,5,20210924,192000,7.12,7.12,7.102,7.1101,71802,0
FCEL.US,5,20210924,192500,7.1101,7.12,7.1,7.1096,42473,0
FCEL.US,5,20210924,193000,7.105,7.11,7.07,7.085,116607,0
FCEL.US,5,20210924,193500,7.085,7.085,7.06,7.0613,76478,0
FCEL.US,5,20210924,194000,7.06,7.0651,7.04,7.05,109270,0
FCEL.US,5,20210924,194500,7.045,7.06,7.0325,7.045,93888,0
FCEL.US,5,20210924,195000,7.05,7.055,7.01,7.0116,119091,0
FCEL.US,5,20210924,195500,7.02,7.02,6.98,6.98,312212,0
FCEL.US,5,20210924,200000,6.98,7.01,6.98,7.005,125202,0
FCEL.US,5,20210924,200500,7,7.0173,7,7.005,79993,0
FCEL.US,5,20210924,201000,7.0022,7.015,6.99,6.9915,90765,0
