<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FFNW.US,5,20210922,153000,16.47,16.47,16.47,16.47,300,0
FFNW.US,5,20210922,174500,16.425,16.425,16.425,16.425,800,0
FFNW.US,5,20210922,205500,16.43,16.43,16.43,16.43,100,0
FFNW.US,5,20210922,210000,16.42,16.42,16.42,16.42,100,0
FFNW.US,5,20210922,215500,16.42,16.42,16.42,16.42,263,0
FFNW.US,5,20210923,165000,16.44,16.44,16.44,16.44,100,0
FFNW.US,5,20210923,180000,16.46,16.46,16.46,16.46,131,0
FFNW.US,5,20210923,180500,16.4923,16.4923,16.4923,16.4923,250,0
FFNW.US,5,20210923,210500,16.42,16.42,16.42,16.42,100,0
FFNW.US,5,20210923,212000,16.43,16.43,16.43,16.43,100,0
FFNW.US,5,20210923,212500,16.41,16.41,16.41,16.41,100,0
FFNW.US,5,20210923,215500,16.36,16.37,16.25,16.25,4557,0
FFNW.US,5,20210924,210500,16.38,16.38,16.38,16.38,309,0
FFNW.US,5,20210927,161500,16.37,16.37,16.37,16.37,100,0
FFNW.US,5,20210927,171000,16.3963,16.3963,16.3963,16.3963,496,0
FFNW.US,5,20210927,182500,16.445,16.445,16.39,16.39,600,0
FFNW.US,5,20210927,195500,16.37,16.37,16.37,16.37,709,0
FFNW.US,5,20210927,215500,16.36,16.36,16.36,16.36,232,0
FFNW.US,5,20210928,154500,16.36,16.36,16.36,16.36,400,0
FFNW.US,5,20210928,162500,16.43,16.43,16.43,16.43,201,0
FFNW.US,5,20210928,174500,16.37,16.49,16.37,16.4428,900,0
FFNW.US,5,20210928,195000,16.3701,16.5,16.3701,16.5,600,0
FFNW.US,5,20210928,200500,16.3786,16.3786,16.3786,16.3786,300,0
FFNW.US,5,20210928,211500,16.42,16.42,16.42,16.42,100,0
FFNW.US,5,20210928,214500,16.37,16.37,16.37,16.37,100,0
FFNW.US,5,20210928,215000,16.3701,16.38,16.3701,16.38,200,0
FFNW.US,5,20210928,215500,16.37,16.37,16.37,16.37,431,0
FFNW.US,5,20210929,153000,16.47,16.47,16.47,16.47,100,0
FFNW.US,5,20210929,154000,16.435,16.435,16.3701,16.3701,500,0
FFNW.US,5,20210929,192000,16.38,16.381,16.38,16.381,473,0
FFNW.US,5,20210929,201500,16.38,16.38,16.37,16.37,300,0
FFNW.US,5,20210929,204500,16.37,16.461,16.37,16.461,1497,0
FFNW.US,5,20210929,215500,16.37,16.37,16.37,16.37,278,0
FFNW.US,5,20210930,153000,16.48,16.48,16.48,16.48,151,0
FFNW.US,5,20210930,155000,16.38,16.38,16.38,16.38,100,0
FFNW.US,5,20210930,175000,16.37,16.3701,16.37,16.3701,1746,0
FFNW.US,5,20210930,215500,16.37,16.37,16.37,16.37,311,0
FFNW.US,5,20211001,155000,16.32,16.5,16.32,16.5,404,0
FFNW.US,5,20211001,155500,16.405,16.405,16.405,16.405,200,0
FFNW.US,5,20211001,161000,16.33,16.33,16.33,16.33,100,0
FFNW.US,5,20211001,161500,16.33,16.33,16.33,16.33,200,0
FFNW.US,5,20211001,162000,16.31,16.31,16.31,16.31,300,0
FFNW.US,5,20211001,192500,16.3101,16.3101,16.3101,16.3101,220,0
FFNW.US,5,20211001,193000,16.31,16.31,16.31,16.31,3123,0
FFNW.US,5,20211001,194000,16.31,16.31,16.31,16.31,100,0
FFNW.US,5,20211001,202500,16.399,16.399,16.399,16.399,175,0
FFNW.US,5,20211001,213500,16.3705,16.3705,16.3705,16.3705,500,0
FFNW.US,5,20211001,215500,16.3,16.3,16.3,16.3,408,0
FFNW.US,5,20211004,153000,16.3,16.3,16.3,16.3,210,0
FFNW.US,5,20211004,162000,16.5,16.5,16.5,16.5,500,0
FFNW.US,5,20211004,164000,16.26,16.26,16.26,16.26,578,0
FFNW.US,5,20211004,215500,16.26,16.26,16.26,16.26,557,0
FFNW.US,5,20211005,153000,16.407,16.407,16.407,16.407,500,0
FFNW.US,5,20211005,163000,16.26,16.26,16.26,16.26,376,0
FFNW.US,5,20211005,171000,16.26,16.26,16.26,16.26,100,0
FFNW.US,5,20211005,181000,16.3,16.3,16.3,16.3,100,0
FFNW.US,5,20211005,181500,16.45,16.55,16.45,16.55,2844,0
FFNW.US,5,20211005,185000,16.565,16.565,16.565,16.565,100,0
FFNW.US,5,20211005,210000,16.6199,16.6199,16.6199,16.6199,1000,0
FFNW.US,5,20211005,213500,16.56,16.56,16.56,16.56,100,0
FFNW.US,5,20211005,214500,16.56,16.56,16.56,16.56,100,0
FFNW.US,5,20211005,215500,16.63,16.63,16.63,16.63,183,0
FFNW.US,5,20211006,160500,16.61,16.61,16.61,16.61,100,0
FFNW.US,5,20211006,164000,16.635,16.635,16.635,16.635,500,0
FFNW.US,5,20211006,174500,16.57,16.635,16.57,16.635,300,0
FFNW.US,5,20211006,190000,16.56,16.56,16.56,16.56,100,0
FFNW.US,5,20211006,192000,16.55,16.55,16.55,16.55,100,0
FFNW.US,5,20211006,210000,16.5628,16.5628,16.5628,16.5628,288,0
FFNW.US,5,20211006,215500,16.71,16.71,16.55,16.55,258,0
FFNW.US,5,20211007,163000,16.55,16.55,16.55,16.55,100,0
FFNW.US,5,20211007,164500,16.57,16.57,16.55,16.55,500,0
FFNW.US,5,20211007,171000,16.55,16.55,16.55,16.55,100,0
FFNW.US,5,20211007,203500,16.55,16.55,16.55,16.55,100,0
FFNW.US,5,20211007,215500,16.55,16.55,16.55,16.55,550,0
FFNW.US,5,20211008,154000,16.55,16.55,16.55,16.55,138,0
FFNW.US,5,20211008,154500,16.65,16.65,16.65,16.65,800,0
FFNW.US,5,20211008,192500,16.55,16.55,16.55,16.55,365,0
FFNW.US,5,20211008,200500,16.55,16.55,16.55,16.55,100,0
FFNW.US,5,20211008,210000,16.55,16.55,16.55,16.55,100,0
FFNW.US,5,20211011,153000,16.55,16.55,16.55,16.55,1514,0
FFNW.US,5,20211011,160000,16.55,16.55,16.55,16.55,890,0
FFNW.US,5,20211011,162000,16.55,16.59,16.55,16.59,200,0
FFNW.US,5,20211011,171000,16.55,16.55,16.55,16.55,461,0
FFNW.US,5,20211011,173500,16.565,16.565,16.565,16.565,199,0
FFNW.US,5,20211011,175000,16.63,16.63,16.63,16.63,500,0
FFNW.US,5,20211011,192000,16.55,16.55,16.55,16.55,100,0
FFNW.US,5,20211011,210500,16.55,16.5502,16.55,16.5502,411,0
FFNW.US,5,20211011,212000,16.5501,16.625,16.5501,16.625,700,0
FFNW.US,5,20211011,215000,16.55,16.55,16.55,16.55,594,0
FFNW.US,5,20211011,215500,16.55,16.55,16.55,16.55,636,0
FFNW.US,5,20211012,154500,16.55,16.55,16.55,16.55,388,0
FFNW.US,5,20211012,163500,16.55,16.55,16.55,16.55,700,0
FFNW.US,5,20211012,174500,16.55,16.55,16.55,16.55,200,0
FFNW.US,5,20211012,180000,16.56,16.56,16.56,16.56,400,0
FFNW.US,5,20211012,195000,16.56,16.56,16.56,16.56,100,0
FFNW.US,5,20211012,201500,16.56,16.63,16.55,16.55,11609,0
FFNW.US,5,20211012,205000,16.56,16.63,16.56,16.63,5100,0
FFNW.US,5,20211012,215000,16.56,16.57,16.5502,16.5502,488,0
FFNW.US,5,20211012,215500,16.55,16.55,16.55,16.55,116,0
FFNW.US,5,20211013,153000,16.68,16.68,16.68,16.68,222,0
FFNW.US,5,20211013,154500,16.55,16.55,16.55,16.55,228,0
FFNW.US,5,20211013,163000,16.56,16.56,16.56,16.56,100,0
FFNW.US,5,20211013,165000,16.55,16.5502,16.55,16.5502,500,0
FFNW.US,5,20211013,191500,16.57,16.57,16.57,16.57,100,0
FFNW.US,5,20211013,194500,16.7332,16.7332,16.7332,16.7332,550,0
FFNW.US,5,20211013,195000,16.56,16.56,16.56,16.56,500,0
FFNW.US,5,20211013,201500,16.56,16.5602,16.56,16.5602,400,0
FFNW.US,5,20211013,212500,16.58,16.58,16.58,16.58,100,0
FFNW.US,5,20211013,213000,16.57,16.57,16.57,16.57,800,0
FFNW.US,5,20211013,213500,16.57,16.57,16.57,16.57,400,0
FFNW.US,5,20211013,214000,16.57,16.57,16.57,16.57,300,0
FFNW.US,5,20211013,214500,16.57,16.57,16.57,16.57,400,0
FFNW.US,5,20211013,215000,16.57,16.57,16.56,16.56,900,0
FFNW.US,5,20211013,215500,16.56,16.56,16.56,16.56,261,0
FFNW.US,5,20211014,153000,16.69,16.69,16.69,16.69,110,0
FFNW.US,5,20211014,163000,16.57,16.57,16.56,16.56,304,0
FFNW.US,5,20211014,171000,16.56,16.56,16.55,16.55,950,0
FFNW.US,5,20211014,190000,16.66,16.66,16.59,16.6,1200,0
FFNW.US,5,20211014,193500,16.6,16.6,16.6,16.6,100,0
FFNW.US,5,20211014,204000,16.61,16.61,16.55,16.55,3861,0
FFNW.US,5,20211014,212500,16.61,16.61,16.6,16.6,300,0
FFNW.US,5,20211014,213500,16.61,16.61,16.61,16.61,100,0
FFNW.US,5,20211014,214500,16.6,16.6,16.6,16.6,200,0
FFNW.US,5,20211014,215000,16.61,16.61,16.6,16.6,400,0
FFNW.US,5,20211014,215500,16.6,16.6,16.6,16.6,400,0
FFNW.US,5,20211015,161000,16.56,16.56,16.555,16.555,200,0
FFNW.US,5,20211015,161500,16.555,16.555,16.555,16.555,200,0
FFNW.US,5,20211015,215500,16.6,16.6,16.6,16.6,291,0
FFNW.US,5,20211018,153500,16.6,16.6,16.6,16.6,100,0
FFNW.US,5,20211018,160500,16.56,16.56,16.56,16.56,100,0
FFNW.US,5,20211018,193000,16.55,16.55,16.55,16.55,2330,0
FFNW.US,5,20211018,194000,16.42,16.42,16.41,16.41,400,0
FFNW.US,5,20211018,204500,16.46,16.59,16.46,16.59,4273,0
FFNW.US,5,20211018,205000,16.61,16.62,16.61,16.61,700,0
FFNW.US,5,20211018,205500,16.6,16.6,16.6,16.6,417,0
FFNW.US,5,20211018,215500,16.6,16.6,16.6,16.6,1725,0
FFNW.US,5,20211019,161000,16.55,16.55,16.55,16.55,280,0
FFNW.US,5,20211019,171500,16.55,16.55,16.55,16.55,100,0
FFNW.US,5,20211019,203500,16.6494,16.6494,16.6494,16.6494,100,0
FFNW.US,5,20211019,210000,16.55,16.55,16.55,16.55,279,0
FFNW.US,5,20211020,163500,16.41,16.41,16.41,16.41,100,0
FFNW.US,5,20211020,204500,16.7175,16.7175,16.7175,16.7175,175,0
FFNW.US,5,20211020,215500,16.62,16.62,16.59,16.59,1343,0
FFNW.US,5,20211021,203000,16.59,16.59,16.57,16.5894,1100,0
FFNW.US,5,20211021,212000,16.59,16.59,16.59,16.59,200,0
FFNW.US,5,20211021,214500,16.59,16.59,16.59,16.59,100,0
FFNW.US,5,20211021,215500,16.59,16.59,16.59,16.59,308,0
FFNW.US,5,20211022,155500,16.7068,16.7068,16.7068,16.7068,100,0
FFNW.US,5,20211022,180000,16.5,16.5,16.5,16.5,1150,0
FFNW.US,5,20211022,215500,16.46,16.46,16.46,16.46,115,0
FFNW.US,5,20211025,155500,16.45,16.45,16.45,16.45,100,0
FFNW.US,5,20211025,161500,16.45,16.45,16.45,16.45,100,0
FFNW.US,5,20211025,215500,16.45,16.45,16.45,16.45,184,0
FFNW.US,5,20211026,162000,16.48,16.48,16.48,16.48,100,0
FFNW.US,5,20211026,182500,16.59,16.59,16.59,16.59,100,0
FFNW.US,5,20211026,183500,16.5,16.5,16.5,16.5,100,0
FFNW.US,5,20211026,184000,16.54,16.54,16.54,16.54,100,0
FFNW.US,5,20211026,192500,16.54,16.54,16.54,16.54,100,0
FFNW.US,5,20211026,194500,16.45,16.45,16.45,16.45,100,0
FFNW.US,5,20211026,195000,16.45,16.48,16.45,16.48,2200,0
FFNW.US,5,20211026,215500,16.57,16.57,16.57,16.57,151,0
FFNW.US,5,20211027,171500,16.703,16.703,16.703,16.703,125,0
FFNW.US,5,20211027,215500,16.45,16.45,16.45,16.45,336,0
FFNW.US,5,20211028,160000,16.4869,16.4869,16.4869,16.4869,234,0
FFNW.US,5,20211028,211500,16.5,16.5,16.5,16.5,100,0
FFNW.US,5,20211028,215500,16.5,16.5,16.5,16.5,647,0
FFNW.US,5,20211029,153000,16.55,16.55,16.55,16.55,216,0
FFNW.US,5,20211029,160000,16.5,16.55,16.5,16.55,400,0
FFNW.US,5,20211029,212500,16.54,16.55,16.54,16.55,401,0
FFNW.US,5,20211029,213500,16.54,16.55,16.54,16.55,1266,0
FFNW.US,5,20211029,214000,16.54,16.55,16.54,16.55,2387,0
FFNW.US,5,20211029,215500,16.5,16.5,16.5,16.5,539,0
FFNW.US,5,20211101,143000,16.66,16.66,16.5,16.5,224,0
FFNW.US,5,20211101,150000,16.55,16.55,16.55,16.55,100,0
FFNW.US,5,20211101,173500,16.55,16.55,16.545,16.545,900,0
FFNW.US,5,20211101,175000,16.5475,16.5475,16.5475,16.5475,300,0
FFNW.US,5,20211101,175500,16.545,16.545,16.545,16.545,200,0
FFNW.US,5,20211101,185000,16.57,16.57,16.57,16.57,158,0
FFNW.US,5,20211101,185500,16.59,16.6,16.59,16.6,220,0
FFNW.US,5,20211101,190500,16.67,16.67,16.65,16.65,131406,0
FFNW.US,5,20211101,192000,16.68,16.7,16.68,16.69,1071,0
FFNW.US,5,20211101,195000,16.5978,16.5978,16.5978,16.5978,210,0
FFNW.US,5,20211101,205500,16.54,16.54,16.54,16.54,204,0
FFNW.US,5,20211102,143000,16.55,16.55,16.55,16.55,925,0
FFNW.US,5,20211102,144500,16.56,16.56,16.55,16.55,1063,0
FFNW.US,5,20211102,150500,16.68,16.68,16.68,16.68,100,0
FFNW.US,5,20211102,165000,16.5299,16.69,16.5299,16.69,200,0
FFNW.US,5,20211102,165500,16.605,16.605,16.605,16.605,300,0
FFNW.US,5,20211102,193500,16.7,16.7,16.7,16.7,100,0
FFNW.US,5,20211102,195000,16.7,16.7,16.7,16.7,706,0
