<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FMIVW.US,5,20210928,195500,1,1,1,1,2318,0
FMIVW.US,5,20210928,204000,1,1,1,1,100,0
FMIVW.US,5,20210928,214500,1,1,1,1,1000,0
FMIVW.US,5,20210930,200000,1.04505,1.04505,1.04505,1.04505,1656,0
FMIVW.US,5,20211001,153000,1.12,1.12,1.12,1.12,500,0
FMIVW.US,5,20211001,153500,1.1,1.1,1.1,1.1,2049,0
FMIVW.US,5,20211001,202000,1,1,1,1,128,0
FMIVW.US,5,20211001,211000,1.01,1.01,1.01,1.01,100,0
FMIVW.US,5,20211001,211500,1.01,1.01,1.01,1.01,200,0
FMIVW.US,5,20211004,171500,0.9801,0.9801,0.9801,0.9801,112,0
FMIVW.US,5,20211004,211000,1,1.095,1,1,2731,0
FMIVW.US,5,20211005,211000,1.08,1.1,1,1,7760,0
FMIVW.US,5,20211007,215500,1.14,1.14,0.9701,0.9701,5281,0
FMIVW.US,5,20211015,153000,1.06,1.06,1.06,1.06,100,0
FMIVW.US,5,20211015,175000,1.035,1.035,1.035,1.035,161,0
FMIVW.US,5,20211015,192500,1.0601,1.07,1.05,1.06,4568,0
FMIVW.US,5,20211015,204500,1.06,1.06,1.05,1.05,2276,0
FMIVW.US,5,20211015,215500,1.05,1.05,1.05,1.05,276,0
FMIVW.US,5,20211018,153000,1.02,1.02,1.02,1.02,100,0
FMIVW.US,5,20211019,165000,1.04,1.04,1.04,1.04,200,0
FMIVW.US,5,20211019,175000,1.04,1.04,1.04,1.04,100,0
FMIVW.US,5,20211019,185000,1.03,1.03,1.03,1.03,300,0
FMIVW.US,5,20211020,193000,1.04,1.04,1.03,1.03,2000,0
FMIVW.US,5,20211021,182500,0.98,0.98,0.98,0.98,100,0
FMIVW.US,5,20211022,172000,1.035,1.035,1.01,1.01,600,0
FMIVW.US,5,20211022,174000,1.03,1.03,1.03,1.03,12500,0
FMIVW.US,5,20211022,175000,1.03,1.03,1,1.0201,17700,0
FMIVW.US,5,20211025,192000,1.02,1.03,1.01,1.03,700,0
FMIVW.US,5,20211025,192500,1.03,1.03,1.01,1.03,4934,0
FMIVW.US,5,20211025,204000,1.01,1.03,1.01,1.03,500,0
FMIVW.US,5,20211026,191000,1.06,1.1,1.06,1.1,114907,0
FMIVW.US,5,20211026,194500,1.1,1.1,1.05,1.1,7175,0
FMIVW.US,5,20211026,215500,1.1,1.1,1.1,1.1,300,0
FMIVW.US,5,20211029,161000,1.24,1.24,1.19,1.19,400,0
FMIVW.US,5,20211029,180500,1.19,1.19,1.19,1.19,100,0
FMIVW.US,5,20211029,190000,1.215,1.215,1.19,1.19,1353,0
FMIVW.US,5,20211029,200000,1.2399,1.2399,1.2399,1.2399,248,0
FMIVW.US,5,20211029,201000,1.09,1.14,1.0825,1.0905,4361,0
FMIVW.US,5,20211029,201500,1.11,1.16,1.1,1.1,1390,0
FMIVW.US,5,20211101,143000,1.12,1.12,1.12,1.12,100,0
FMIVW.US,5,20211101,144500,1.16,1.18,1.16,1.18,1500,0
FMIVW.US,5,20211101,163000,1.19,1.19,1.1,1.1,3459,0
FMIVW.US,5,20211101,164000,1.1599,1.1599,1.11,1.12,2000,0
FMIVW.US,5,20211101,164500,1.135,1.135,1.135,1.135,220,0
FMIVW.US,5,20211101,165000,1.12,1.12,1.12,1.12,100,0
FMIVW.US,5,20211101,202500,1.16,1.19,1.16,1.16,2318,0
FMIVW.US,5,20211102,193000,1.11,1.11,1.11,1.11,150,0
FMIVW.US,5,20211103,145500,1.23,1.23,1.16,1.16,3034,0
FMIVW.US,5,20211103,150000,1.2,1.24,1.2,1.24,1500,0
FMIVW.US,5,20211104,143000,1.13,1.13,1.13,1.13,100,0
FMIVW.US,5,20211104,163000,1.19,1.19,1.19,1.19,1200,0
FMIVW.US,5,20211104,165500,1.2,1.2,1.2,1.2,200,0
FMIVW.US,5,20211104,171500,1.24,1.24,1.24,1.24,1600,0
FMIVW.US,5,20211104,174500,1.25,1.26,1.14,1.2,8368,0
FMIVW.US,5,20211105,143000,1.11,1.11,1.11,1.11,100,0
FMIVW.US,5,20211105,172000,1.25,1.25,1.15,1.15,11889,0
FMIVW.US,5,20211108,153000,1.12,1.12,1.12,1.12,100,0
FMIVW.US,5,20211108,161500,1.12,1.12,1.12,1.12,229,0
FMIVW.US,5,20211108,171500,1.13,1.13,1.13,1.13,400,0
FMIVW.US,5,20211108,175000,1.13,1.13,1.13,1.13,266,0
FMIVW.US,5,20211108,182500,1.18,1.235,1.18,1.2,4349,0
FMIVW.US,5,20211108,183500,1.16,1.225,1.16,1.21,3417,0
FMIVW.US,5,20211108,184500,1.22,1.265,1.22,1.25,24175,0
FMIVW.US,5,20211108,205000,1.25,1.25,1.25,1.25,200,0
FMIVW.US,5,20211108,212000,1.26,1.26,1.25,1.25,1800,0
FMIVW.US,5,20211108,213000,1.25,1.25,1.25,1.25,40700,0
FMIVW.US,5,20211108,215000,1.25,1.25,1.25,1.25,300,0
FMIVW.US,5,20211108,215500,1.25,1.25,1.25,1.25,237,0
FMIVW.US,5,20211109,190000,1.2749,1.2749,1.2749,1.2749,250,0
FMIVW.US,5,20211109,213500,1.25,1.26,1.25,1.25,1400,0
FMIVW.US,5,20211109,214500,1.25,1.25,1.25,1.25,100,0
FMIVW.US,5,20211110,213000,1.25,1.25,1.25,1.25,900,0
