<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FNWD.US,5,20211104,150000,46.65,46.65,46.65,46.65,300,0
FNWD.US,5,20211104,151500,46.55,46.55,46.5,46.5,1000,0
FNWD.US,5,20211104,161500,46.5,46.5,46.5,46.5,100,0
FNWD.US,5,20211104,162500,47,47,47,47,200,0
FNWD.US,5,20211104,164000,46.5,46.5,46.5,46.5,200,0
FNWD.US,5,20211104,175000,46.525,46.525,46.5,46.5,400,0
FNWD.US,5,20211104,193000,46.5,46.575,46.5,46.5,400,0
FNWD.US,5,20211104,205000,46.575,46.59,45.9,46.5,1708,0
FNWD.US,5,20211104,205500,46.7,46.75,46.7,46.75,2400,0
FNWD.US,5,20211105,151000,49.4635,49.4635,49.4635,49.4635,100,0
FNWD.US,5,20211105,195500,48.2483,48.2483,48.2483,48.2483,169,0
FNWD.US,5,20211105,202500,45.7776,45.7776,45.7776,45.7776,100,0
FNWD.US,5,20211108,153000,50,50,50,50,1900,0
FNWD.US,5,20211108,180500,48,48,48,48,458,0
FNWD.US,5,20211108,212000,47.9998,48,47.9998,48,208,0
FNWD.US,5,20211109,181000,47.75,47.75,47.75,47.75,100,0
FNWD.US,5,20211109,215500,47.75,47.75,47.75,47.75,100,0
FNWD.US,5,20211110,170500,47.5,47.5,47.5,47.5,195,0
FNWD.US,5,20211110,201000,47.4,47.4,47.4,47.4,200,0
FNWD.US,5,20211111,165500,46,46,46,46,999,0
FNWD.US,5,20211111,192000,46.5878,46.5878,46.5878,46.5878,108,0
FNWD.US,5,20211111,214000,46.59,46.59,46.59,46.59,100,0
