<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FSSI.US,5,20210922,203500,9.7143,9.7143,9.7143,9.7143,900,0
FSSI.US,5,20210922,212000,9.74,9.74,9.74,9.74,100,0
FSSI.US,5,20210922,213000,9.7,9.7,9.69,9.69,1338,0
FSSI.US,5,20210922,214500,9.72,9.72,9.72,9.72,500,0
FSSI.US,5,20210922,215500,9.72,9.72,9.68,9.68,410,0
FSSI.US,5,20210923,202500,9.7,9.7,9.7,9.7,54000,0
FSSI.US,5,20210923,204000,9.74,9.74,9.715,9.715,44700,0
FSSI.US,5,20210923,204500,9.75,9.75,9.75,9.75,200,0
FSSI.US,5,20210923,205000,9.75,9.75,9.75,9.75,100,0
FSSI.US,5,20210923,205500,9.75,9.75,9.75,9.75,100,0
FSSI.US,5,20210923,210000,9.75,9.75,9.75,9.75,100,0
FSSI.US,5,20210923,210500,9.75,9.75,9.75,9.75,100,0
FSSI.US,5,20210923,212000,9.75,9.75,9.75,9.75,200,0
FSSI.US,5,20210923,212500,9.75,9.75,9.75,9.75,200,0
FSSI.US,5,20210923,213000,9.75,9.75,9.725,9.725,300,0
FSSI.US,5,20210923,213500,9.725,9.725,9.725,9.725,200,0
FSSI.US,5,20210923,214000,9.725,9.725,9.725,9.725,300,0
FSSI.US,5,20210923,214500,9.725,9.725,9.725,9.725,400,0
FSSI.US,5,20210923,215000,9.725,9.725,9.725,9.725,600,0
FSSI.US,5,20210923,215500,9.725,9.73,9.72,9.73,1500,0
FSSI.US,5,20210924,171500,9.7,9.7,9.6984,9.7,3000,0
FSSI.US,5,20210924,172000,9.7,9.7,9.7,9.7,300,0
FSSI.US,5,20210924,172500,9.695,9.7,9.695,9.7,7100,0
FSSI.US,5,20210924,173000,9.7,9.7,9.7,9.7,19081,0
FSSI.US,5,20210924,173500,9.7,9.7,9.7,9.7,3100,0
FSSI.US,5,20210924,174000,9.7,9.7,9.7,9.7,200,0
FSSI.US,5,20210924,174500,9.7,9.7,9.7,9.7,200,0
FSSI.US,5,20210924,175000,9.7,9.7,9.7,9.7,100,0
FSSI.US,5,20210924,175500,9.7,9.7,9.7,9.7,100,0
FSSI.US,5,20210924,180000,9.7,9.7,9.7,9.7,200,0
FSSI.US,5,20210924,180500,9.7,9.7,9.7,9.7,100,0
FSSI.US,5,20210924,181000,9.7,9.7,9.7,9.7,100,0
FSSI.US,5,20210924,181500,9.7,9.7,9.7,9.7,100,0
FSSI.US,5,20210924,182000,9.7,9.7,9.7,9.7,200,0
FSSI.US,5,20210924,182500,9.7,9.7,9.7,9.7,2200,0
FSSI.US,5,20210924,183000,9.7,9.7,9.7,9.7,100,0
FSSI.US,5,20210924,183500,9.7,9.7,9.7,9.7,100,0
FSSI.US,5,20210924,184000,9.7,9.7,9.7,9.7,200,0
