<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FTVI.US,5,20210923,212000,9.74,9.74,9.74,9.74,214,0
FTVI.US,5,20210930,184000,9.765,9.79,9.76,9.76,7800,0
FTVI.US,5,20211001,215500,9.75,9.8,9.73,9.8,78441,0
FTVI.US,5,20211004,160000,9.96,9.96,9.96,9.96,2400,0
FTVI.US,5,20211007,154500,9.78,9.79,9.78,9.79,1260,0
FTVI.US,5,20211007,214000,9.79,9.8,9.77,9.8,246049,0
FTVI.US,5,20211007,215500,9.78,9.78,9.78,9.78,200,0
FTVI.US,5,20211012,175000,9.75,9.75,9.75,9.75,200,0
FTVI.US,5,20211018,203000,9.79,9.79,9.775,9.79,247172,0
FTVI.US,5,20211018,210000,9.79,9.79,9.79,9.79,200,0
FTVI.US,5,20211018,211500,9.8,9.8,9.8,9.8,100,0
FTVI.US,5,20211018,214000,9.8,9.8,9.8,9.8,100,0
FTVI.US,5,20211018,215500,9.8,9.8,9.8,9.8,100,0
FTVI.US,5,20211020,191500,9.8,9.8,9.8,9.8,100000,0
FTVI.US,5,20211020,202000,9.8,9.8,9.8,9.8,150000,0
FTVI.US,5,20211021,155000,9.7885,9.7885,9.7867,9.7867,300,0
FTVI.US,5,20211021,161000,9.7529,9.7529,9.7529,9.7529,100,0
FTVI.US,5,20211021,161500,9.7587,9.7587,9.7587,9.7587,100,0
FTVI.US,5,20211021,212000,9.78,9.78,9.78,9.78,100,0
FTVI.US,5,20211022,192500,9.8,9.8,9.8,9.8,200000,0
FTVI.US,5,20211022,193000,9.78,9.78,9.78,9.78,2240,0
FTVI.US,5,20211022,203500,9.79,9.79,9.79,9.79,100,0
FTVI.US,5,20211022,213000,9.79,9.79,9.79,9.79,100,0
FTVI.US,5,20211025,153000,9.79,9.85,9.79,9.85,300,0
FTVI.US,5,20211025,160000,9.825,9.825,9.825,9.825,300,0
FTVI.US,5,20211025,161500,9.825,9.825,9.825,9.825,200,0
FTVI.US,5,20211025,162500,9.83,9.83,9.83,9.83,200,0
FTVI.US,5,20211025,172000,9.83,9.83,9.83,9.83,300,0
FTVI.US,5,20211025,173000,9.81,9.81,9.81,9.81,5009,0
FTVI.US,5,20211025,173500,9.81,9.81,9.81,9.81,834,0
FTVI.US,5,20211025,175000,9.8,9.8,9.8,9.8,2200,0
FTVI.US,5,20211025,175500,9.8,9.8,9.8,9.8,600,0
FTVI.US,5,20211025,180000,9.82,9.82,9.82,9.82,100,0
FTVI.US,5,20211025,181500,9.805,9.805,9.805,9.805,100,0
FTVI.US,5,20211025,182500,9.805,9.805,9.8,9.8,300,0
FTVI.US,5,20211025,183500,9.805,9.805,9.805,9.805,100,0
FTVI.US,5,20211025,184500,9.8,9.8,9.8,9.8,518,0
FTVI.US,5,20211025,185000,9.8,9.8,9.8,9.8,100,0
FTVI.US,5,20211025,190000,9.8,9.8,9.8,9.8,100,0
FTVI.US,5,20211025,191000,9.8,9.8,9.8,9.8,100,0
FTVI.US,5,20211025,192500,9.8,9.8,9.8,9.8,100,0
FTVI.US,5,20211025,193500,9.8,9.8,9.8,9.8,100,0
FTVI.US,5,20211025,194500,9.8,9.8,9.8,9.8,100,0
FTVI.US,5,20211025,213500,9.8,9.8,9.8,9.8,100,0
FTVI.US,5,20211025,214000,9.81,9.81,9.81,9.81,100,0
FTVI.US,5,20211025,214500,9.79,9.804,9.79,9.79,4000,0
FTVI.US,5,20211025,215000,9.81,9.81,9.81,9.81,200,0
FTVI.US,5,20211025,215500,9.81,9.81,9.79,9.8,3548,0
FTVI.US,5,20211026,153000,9.79,9.79,9.79,9.79,799,0
FTVI.US,5,20211026,155000,9.77,9.77,9.76,9.76,479,0
FTVI.US,5,20211026,161500,9.79,9.79,9.79,9.79,450,0
FTVI.US,5,20211026,164500,9.805,9.805,9.805,9.805,100,0
FTVI.US,5,20211026,165000,9.79,9.79,9.79,9.79,200,0
FTVI.US,5,20211026,175000,9.79,9.79,9.79,9.79,100,0
FTVI.US,5,20211026,185000,9.79,9.79,9.79,9.79,12329,0
FTVI.US,5,20211026,185500,9.78,9.78,9.76,9.76,3700,0
FTVI.US,5,20211026,191500,9.78,9.78,9.78,9.78,100,0
FTVI.US,5,20211026,193000,9.78,9.78,9.78,9.78,100,0
FTVI.US,5,20211026,194000,9.78,9.78,9.78,9.78,100,0
FTVI.US,5,20211026,195000,9.78,9.78,9.78,9.78,100,0
FTVI.US,5,20211026,200000,9.78,9.78,9.78,9.78,100,0
FTVI.US,5,20211026,201000,9.78,9.78,9.78,9.78,100,0
FTVI.US,5,20211026,202000,9.78,9.78,9.78,9.78,100,0
FTVI.US,5,20211026,203000,9.78,9.78,9.78,9.78,100,0
FTVI.US,5,20211026,204000,9.78,9.78,9.78,9.78,100,0
FTVI.US,5,20211026,205000,9.79,9.79,9.79,9.79,100,0
FTVI.US,5,20211026,210000,9.79,9.79,9.79,9.79,100,0
FTVI.US,5,20211026,210500,9.79,9.79,9.79,9.79,100,0
FTVI.US,5,20211026,211000,9.79,9.79,9.79,9.79,100,0
FTVI.US,5,20211026,212000,9.79,9.79,9.79,9.79,100,0
FTVI.US,5,20211026,212500,9.79,9.79,9.79,9.79,100,0
FTVI.US,5,20211026,213000,9.79,9.79,9.79,9.79,100,0
FTVI.US,5,20211026,213500,9.79,9.79,9.79,9.79,100,0
FTVI.US,5,20211027,160000,9.79,9.7942,9.79,9.79,1100,0
FTVI.US,5,20211027,160500,9.79,9.79,9.79,9.79,400,0
FTVI.US,5,20211027,162000,9.8,9.8,9.8,9.8,100,0
FTVI.US,5,20211027,190000,9.79,9.7902,9.79,9.7902,800,0
FTVI.US,5,20211027,191500,9.7999,9.8,9.7999,9.8,300,0
FTVI.US,5,20211027,200500,9.8,9.8,9.8,9.8,100,0
FTVI.US,5,20211027,214000,9.8,9.8,9.8,9.8,100,0
FTVI.US,5,20211101,161000,9.79,9.8,9.79,9.79,799,0
FTVI.US,5,20211101,164500,9.8,9.8,9.8,9.8,201,0
FTVI.US,5,20211101,171000,9.8,9.8,9.8,9.8,90000,0
FTVI.US,5,20211101,173500,9.8,9.8,9.8,9.8,50000,0
FTVI.US,5,20211101,174000,9.8,9.8,9.8,9.8,3098,0
FTVI.US,5,20211101,181000,9.8,9.8,9.8,9.8,50000,0
