<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FULT.US,5,20210922,153000,14.54,14.6,14.53,14.575,25609,0
FULT.US,5,20210922,153500,14.58,14.59,14.54,14.575,8384,0
FULT.US,5,20210922,154000,14.56,14.59,14.52,14.56,22515,0
FULT.US,5,20210922,154500,14.56,14.57,14.545,14.55,8308,0
FULT.US,5,20210922,155000,14.56,14.6,14.56,14.6,3600,0
FULT.US,5,20210922,155500,14.59,14.61,14.575,14.6,22789,0
FULT.US,5,20210922,160000,14.59,14.6,14.57,14.595,11576,0
FULT.US,5,20210922,160500,14.6,14.6,14.56,14.56,8535,0
FULT.US,5,20210922,161000,14.56,14.56,14.475,14.49,27852,0
FULT.US,5,20210922,161500,14.505,14.515,14.495,14.497,11999,0
FULT.US,5,20210922,162000,14.5,14.505,14.455,14.49,8502,0
FULT.US,5,20210922,162500,14.49,14.495,14.465,14.465,12372,0
FULT.US,5,20210922,163000,14.47,14.48,14.44,14.455,17355,0
FULT.US,5,20210922,163500,14.46,14.47,14.45,14.455,9607,0
FULT.US,5,20210922,164000,14.45,14.48,14.445,14.47,8226,0
FULT.US,5,20210922,164500,14.47,14.485,14.455,14.485,12494,0
FULT.US,5,20210922,165000,14.485,14.495,14.475,14.49,8400,0
FULT.US,5,20210922,165500,14.495,14.495,14.475,14.49,7256,0
FULT.US,5,20210922,170000,14.495,14.52,14.495,14.52,8338,0
FULT.US,5,20210922,170500,14.52,14.54,14.515,14.515,3680,0
FULT.US,5,20210922,171000,14.515,14.57,14.515,14.565,5211,0
FULT.US,5,20210922,171500,14.57,14.58,14.565,14.57,3188,0
FULT.US,5,20210922,172000,14.57,14.57,14.555,14.565,10512,0
FULT.US,5,20210922,172500,14.56,14.58,14.55,14.56,2283,0
FULT.US,5,20210922,173000,14.565,14.58,14.555,14.575,7202,0
FULT.US,5,20210922,173500,14.58,14.59,14.565,14.565,5070,0
FULT.US,5,20210922,174000,14.56,14.57,14.55,14.565,8900,0
FULT.US,5,20210922,174500,14.565,14.57,14.53,14.53,4300,0
FULT.US,5,20210922,175000,14.53,14.56,14.52,14.53,15740,0
FULT.US,5,20210922,175500,14.525,14.535,14.52,14.535,4841,0
FULT.US,5,20210922,180000,14.54,14.54,14.52,14.535,5000,0
FULT.US,5,20210922,180500,14.535,14.54,14.51,14.51,4900,0
FULT.US,5,20210922,181000,14.51,14.52,14.51,14.51,4807,0
FULT.US,5,20210922,181500,14.515,14.52,14.5,14.505,5779,0
FULT.US,5,20210922,182000,14.5,14.515,14.5,14.515,19059,0
FULT.US,5,20210922,182500,14.51,14.52,14.51,14.515,6953,0
FULT.US,5,20210922,183000,14.515,14.515,14.51,14.515,1429,0
FULT.US,5,20210922,183500,14.515,14.53,14.51,14.52,8560,0
FULT.US,5,20210922,184000,14.51,14.51,14.495,14.495,4300,0
FULT.US,5,20210922,184500,14.5,14.5,14.48,14.48,6769,0
