<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GEG.US,5,20210922,153000,2.41,2.41,2.41,2.41,104,0
GEG.US,5,20210922,153500,2.36,2.36,2.35,2.35,600,0
GEG.US,5,20210922,154000,2.35,2.35,2.35,2.35,800,0
GEG.US,5,20210922,161000,2.326,2.33,2.29,2.29,2486,0
GEG.US,5,20210922,163000,2.31,2.31,2.31,2.31,100,0
GEG.US,5,20210922,164000,2.31,2.31,2.31,2.31,1000,0
GEG.US,5,20210922,170000,2.31,2.4,2.31,2.365,30347,0
GEG.US,5,20210922,171000,2.35,2.35,2.35,2.35,100,0
GEG.US,5,20210922,171500,2.35,2.365,2.35,2.35,3200,0
GEG.US,5,20210922,172000,2.35,2.35,2.35,2.35,300,0
GEG.US,5,20210922,172500,2.35,2.35,2.35,2.35,200,0
GEG.US,5,20210922,173000,2.35,2.35,2.35,2.35,300,0
GEG.US,5,20210922,173500,2.35,2.35,2.35,2.35,400,0
GEG.US,5,20210922,174000,2.35,2.35,2.35,2.35,300,0
GEG.US,5,20210922,174500,2.35,2.365,2.35,2.365,400,0
GEG.US,5,20210922,175000,2.35,2.365,2.35,2.365,300,0
GEG.US,5,20210922,175500,2.35,2.35,2.35,2.35,300,0
GEG.US,5,20210922,180000,2.35,2.3575,2.35,2.3575,300,0
GEG.US,5,20210922,180500,2.39,2.39,2.35,2.35,35499,0
GEG.US,5,20210922,181000,2.36,2.36,2.36,2.36,100,0
GEG.US,5,20210922,181500,2.4,2.4,2.4,2.4,700,0
GEG.US,5,20210922,182000,2.4,2.4,2.4,2.4,200,0
GEG.US,5,20210922,182500,2.4,2.4,2.4,2.4,200,0
GEG.US,5,20210922,183000,2.4,2.4,2.4,2.4,200,0
GEG.US,5,20210922,203000,2.44,2.44,2.44,2.44,100,0
GEG.US,5,20210922,205000,2.4,2.4,2.4,2.4,100,0
GEG.US,5,20210922,211000,2.41,2.41,2.41,2.41,400,0
GEG.US,5,20210922,211500,2.4125,2.4125,2.4125,2.4125,220,0
GEG.US,5,20210922,215000,2.46,2.46,2.46,2.46,100,0
GEG.US,5,20210923,153000,2.43,2.43,2.43,2.43,423,0
GEG.US,5,20210923,155500,2.46,2.46,2.46,2.46,100,0
GEG.US,5,20210923,160000,2.44,2.44,2.4,2.425,2470,0
GEG.US,5,20210923,160500,2.425,2.425,2.425,2.425,130,0
GEG.US,5,20210923,163500,2.4,2.42,2.4,2.42,840,0
GEG.US,5,20210923,171000,2.4,2.4,2.4,2.4,100,0
GEG.US,5,20210923,174000,2.39,2.415,2.39,2.415,1924,0
GEG.US,5,20210923,174500,2.415,2.44,2.38,2.44,1078,0
GEG.US,5,20210923,175500,2.42,2.42,2.42,2.42,100,0
GEG.US,5,20210923,190500,2.41,2.41,2.4,2.4,700,0
GEG.US,5,20210923,193000,2.42,2.42,2.42,2.42,100,0
GEG.US,5,20210923,205000,2.4,2.4,2.4,2.4,300,0
GEG.US,5,20210923,205500,2.33,2.36,2.33,2.36,500,0
GEG.US,5,20210923,215500,2.395,2.43,2.395,2.43,742,0
GEG.US,5,20210924,155500,2.4,2.4,2.4,2.4,300,0
GEG.US,5,20210924,160500,2.39,2.39,2.39,2.39,900,0
GEG.US,5,20210924,163500,2.3948,2.3948,2.3948,2.3948,600,0
GEG.US,5,20210924,170000,2.4299,2.4299,2.4299,2.4299,200,0
GEG.US,5,20210924,182000,2.35,2.35,2.35,2.35,102,0
GEG.US,5,20210924,190000,2.42,2.42,2.42,2.42,366,0
GEG.US,5,20210924,200000,2.44,2.44,2.44,2.44,100,0
GEG.US,5,20210924,213000,2.37,2.37,2.37,2.37,366,0
