<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GLEEW.US,5,20210929,153000,0.5,0.5,0.5,0.5,100,0
GLEEW.US,5,20210929,154500,0.5,0.5,0.5,0.5,100,0
GLEEW.US,5,20210929,160000,0.5499,0.5499,0.5499,0.5499,100,0
GLEEW.US,5,20210929,171500,0.48,0.48,0.48,0.48,200,0
GLEEW.US,5,20210929,173500,0.42,0.42,0.4001,0.4001,82000,0
GLEEW.US,5,20210929,175000,0.4,0.4,0.4,0.4,200,0
GLEEW.US,5,20210929,180000,0.41,0.41,0.41,0.41,200,0
GLEEW.US,5,20210929,180500,0.4,0.41,0.4,0.41,10500,0
GLEEW.US,5,20210929,182500,0.4495,0.4495,0.4495,0.4495,1000,0
GLEEW.US,5,20210929,183500,0.4005,0.4005,0.4,0.4,5000,0
GLEEW.US,5,20210929,185500,0.4,0.4,0.4,0.4,5000,0
GLEEW.US,5,20210929,190000,0.4,0.4,0.4,0.4,700,0
GLEEW.US,5,20210929,190500,0.4,0.4105,0.4,0.41,2000,0
GLEEW.US,5,20210929,192500,0.4,0.4,0.4,0.4,5000,0
GLEEW.US,5,20210929,194000,0.41,0.41,0.41,0.41,3000,0
GLEEW.US,5,20210929,200000,0.4,0.4,0.4,0.4,38571,0
GLEEW.US,5,20210929,201000,0.41,0.41,0.41,0.41,1000,0
GLEEW.US,5,20210929,211500,0.49,0.49,0.49,0.49,100,0
GLEEW.US,5,20210929,214500,0.45,0.45,0.45,0.45,100,0
GLEEW.US,5,20210930,153500,0.43,0.43,0.425,0.425,10397,0
GLEEW.US,5,20210930,192500,0.45,0.45,0.45,0.45,100,0
GLEEW.US,5,20210930,193500,0.43,0.43,0.43,0.43,100,0
GLEEW.US,5,20210930,194000,0.45,0.49,0.45,0.49,34597,0
GLEEW.US,5,20210930,195500,0.47,0.47,0.47,0.47,100,0
GLEEW.US,5,20210930,200000,0.48,0.48,0.48,0.48,1100,0
GLEEW.US,5,20211001,153000,0.45,0.45,0.45,0.45,49400,0
GLEEW.US,5,20211001,161500,0.45,0.4517,0.45,0.4517,600,0
GLEEW.US,5,20211001,195000,0.46,0.46,0.45,0.45,100000,0
GLEEW.US,5,20211001,201500,0.47,0.48,0.47,0.48,9900,0
GLEEW.US,5,20211001,202000,0.47,0.47,0.47,0.47,62400,0
GLEEW.US,5,20211001,202500,0.47,0.47,0.47,0.47,31900,0
GLEEW.US,5,20211001,204500,0.47,0.47,0.47,0.47,1300,0
GLEEW.US,5,20211004,153500,0.47,0.47,0.47,0.47,51300,0
GLEEW.US,5,20211004,163000,0.47,0.47,0.47,0.47,1210,0
GLEEW.US,5,20211004,190500,0.5,0.5,0.5,0.5,300,0
GLEEW.US,5,20211005,153000,0.5,0.5,0.5,0.5,300,0
GLEEW.US,5,20211005,153500,0.499899,0.499899,0.499899,0.499899,200,0
GLEEW.US,5,20211005,162500,0.5,0.5,0.5,0.5,50000,0
GLEEW.US,5,20211005,205500,0.4501,0.4501,0.45,0.45,24750,0
GLEEW.US,5,20211006,162000,0.5099,0.5099,0.5099,0.5099,100,0
GLEEW.US,5,20211006,163000,0.5099,0.5099,0.5099,0.5099,100,0
GLEEW.US,5,20211006,164500,0.5099,0.5099,0.5099,0.5099,100,0
GLEEW.US,5,20211006,170000,0.5099,0.5099,0.5099,0.5099,100,0
GLEEW.US,5,20211006,171000,0.5099,0.5099,0.5099,0.5099,100,0
GLEEW.US,5,20211006,172500,0.5099,0.5099,0.5099,0.5099,100,0
GLEEW.US,5,20211006,174500,0.5099,0.5099,0.5099,0.5099,100,0
GLEEW.US,5,20211006,180000,0.5099,0.5099,0.5099,0.5099,100,0
GLEEW.US,5,20211006,181500,0.5099,0.5099,0.5099,0.5099,100,0
GLEEW.US,5,20211006,183500,0.5099,0.5099,0.5099,0.5099,100,0
GLEEW.US,5,20211006,185500,0.5099,0.5099,0.5099,0.5099,100,0
GLEEW.US,5,20211006,191500,0.5,0.51,0.5,0.51,37600,0
GLEEW.US,5,20211006,192000,0.51,0.51,0.51,0.51,20700,0
GLEEW.US,5,20211006,195000,0.51,0.51,0.51,0.51,100,0
GLEEW.US,5,20211006,202500,0.5,0.5,0.5,0.5,100,0
GLEEW.US,5,20211006,204000,0.5,0.5,0.5,0.5,100,0
GLEEW.US,5,20211006,210000,0.5,0.5,0.5,0.5,100,0
GLEEW.US,5,20211006,211000,0.5,0.5,0.5,0.5,100,0
GLEEW.US,5,20211006,212500,0.5,0.5,0.5,0.5,100,0
GLEEW.US,5,20211006,213500,0.5,0.5,0.5,0.5,100,0
GLEEW.US,5,20211006,214500,0.5,0.5,0.5,0.5,100,0
GLEEW.US,5,20211006,215000,0.5,0.5,0.5,0.5,100,0
GLEEW.US,5,20211006,215500,0.5,0.5,0.5,0.5,500,0
GLEEW.US,5,20211007,180000,0.5,0.5,0.4984,0.5,26700,0
GLEEW.US,5,20211007,181500,0.5,0.5,0.499,0.5,24851,0
GLEEW.US,5,20211007,190500,0.5,0.500001,0.5,0.500001,8898,0
GLEEW.US,5,20211007,195500,0.5,0.5,0.5,0.5,1151,0
GLEEW.US,5,20211007,212000,0.52,0.52,0.51,0.51,17764,0
GLEEW.US,5,20211008,213000,0.53,0.53,0.52,0.52,600,0
GLEEW.US,5,20211008,214000,0.53,0.53,0.53,0.53,100,0
GLEEW.US,5,20211011,154000,0.5301,0.5301,0.53,0.53,1000,0
GLEEW.US,5,20211011,154500,0.5302,0.5303,0.53,0.53,7000,0
GLEEW.US,5,20211011,155000,0.5302,0.5304,0.53,0.53,30600,0
GLEEW.US,5,20211011,163500,0.5301,0.5302,0.53,0.53,19774,0
GLEEW.US,5,20211011,170000,0.5303,0.5303,0.53,0.53,2326,0
GLEEW.US,5,20211011,175000,0.5201,0.5201,0.5201,0.5201,200,0
GLEEW.US,5,20211011,185000,0.5201,0.5201,0.5201,0.5201,200,0
GLEEW.US,5,20211011,195000,0.5201,0.5201,0.5201,0.5201,1600,0
GLEEW.US,5,20211011,195500,0.5202,0.5203,0.5202,0.5203,2900,0
GLEEW.US,5,20211011,202500,0.5203,0.5203,0.5203,0.5203,1100,0
GLEEW.US,5,20211011,204500,0.51,0.51,0.51,0.51,5600,0
GLEEW.US,5,20211012,153500,0.5101,0.5101,0.5101,0.5101,400,0
GLEEW.US,5,20211013,170000,0.5001,0.5001,0.5001,0.5001,500,0
GLEEW.US,5,20211015,214500,0.509899,0.51,0.509899,0.51,900,0
GLEEW.US,5,20211021,163000,0.4748,0.4748,0.4748,0.4748,1000,0
GLEEW.US,5,20211021,174000,0.48,0.48,0.48,0.48,13006,0
GLEEW.US,5,20211021,194000,0.5,0.53,0.5,0.53,124900,0
GLEEW.US,5,20211021,194500,0.51,0.51,0.51,0.51,200,0
GLEEW.US,5,20211021,202000,0.5002,0.5002,0.5002,0.5002,112,0
GLEEW.US,5,20211021,210000,0.5002,0.5002,0.5002,0.5002,600,0
GLEEW.US,5,20211022,174000,0.51,0.51,0.51,0.51,400,0
GLEEW.US,5,20211022,184500,0.52,0.52,0.52,0.52,400,0
GLEEW.US,5,20211022,195000,0.520101,0.520101,0.520101,0.520101,1000,0
GLEEW.US,5,20211025,173000,0.507551,0.507551,0.507551,0.507551,500,0
GLEEW.US,5,20211025,185500,0.51,0.51,0.51,0.51,400,0
GLEEW.US,5,20211025,202000,0.5298,0.5298,0.5298,0.5298,100,0
GLEEW.US,5,20211026,214000,0.56,0.56,0.55,0.55,2100,0
GLEEW.US,5,20211027,165500,0.53,0.55,0.52,0.52,14995,0
GLEEW.US,5,20211028,153000,0.55,0.55,0.55,0.55,600,0
GLEEW.US,5,20211028,175000,0.55,0.55,0.55,0.55,400,0
