<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HCCI.US,5,20210922,153000,27.67,27.85,27.67,27.85,440,0
HCCI.US,5,20210922,171000,27.91,27.91,27.85,27.85,211,0
HCCI.US,5,20210922,171500,27.97,27.97,27.97,27.97,300,0
HCCI.US,5,20210922,173000,27.95,27.97,27.95,27.97,244,0
HCCI.US,5,20210922,174000,28,28,27.77,27.77,400,0
HCCI.US,5,20210922,174500,27.77,27.96,27.62,27.94,961,0
HCCI.US,5,20210922,182000,27.9,28.25,27.9,28.25,400,0
HCCI.US,5,20210922,182500,28.1,28.1,28.1,28.1,100,0
HCCI.US,5,20210922,190000,27.94,27.96,27.94,27.96,200,0
HCCI.US,5,20210922,191000,27.99,27.99,27.99,27.99,1500,0
HCCI.US,5,20210922,200000,28.13,28.14,28.13,28.14,300,0
HCCI.US,5,20210922,200500,28.2745,28.2745,28.2745,28.2745,355,0
HCCI.US,5,20210922,205000,28.13,28.15,28.13,28.15,200,0
HCCI.US,5,20210922,212000,28.3,28.3,28.3,28.3,100,0
HCCI.US,5,20210922,213000,28.23,28.23,28.23,28.23,200,0
HCCI.US,5,20210922,214000,28.24,28.24,28.2,28.21,500,0
HCCI.US,5,20210922,214500,28.16,28.25,28.15,28.15,600,0
HCCI.US,5,20210922,215000,28.255,28.27,28.12,28.12,612,0
HCCI.US,5,20210922,215500,28.13,28.25,28.04,28.04,3839,0
HCCI.US,5,20210923,153000,28.26,28.26,28.26,28.26,232,0
HCCI.US,5,20210923,160500,28.34,28.34,28.34,28.34,200,0
HCCI.US,5,20210923,163500,28.32,28.335,28.32,28.335,300,0
HCCI.US,5,20210923,164000,28.335,28.335,28.335,28.335,100,0
HCCI.US,5,20210923,165500,28.25,28.25,28.25,28.25,100,0
HCCI.US,5,20210923,170000,28.305,28.305,28.305,28.305,100,0
HCCI.US,5,20210923,171000,28.275,28.35,28.275,28.35,200,0
HCCI.US,5,20210923,173000,28.24,28.57,28.24,28.57,600,0
HCCI.US,5,20210923,173500,28.32,28.615,28.32,28.615,400,0
HCCI.US,5,20210923,174000,28.53,28.53,28.53,28.53,100,0
HCCI.US,5,20210923,175500,28.47,28.56,28.47,28.56,400,0
HCCI.US,5,20210923,180500,28.5,28.54,28.45,28.45,973,0
HCCI.US,5,20210923,181000,28.48,28.48,28.48,28.48,100,0
HCCI.US,5,20210923,182500,28.56,28.56,28.48,28.485,400,0
HCCI.US,5,20210923,183500,28.5,28.55,28.5,28.55,200,0
HCCI.US,5,20210923,184500,28.56,28.565,28.56,28.565,200,0
HCCI.US,5,20210923,185000,28.58,28.58,28.57,28.57,200,0
HCCI.US,5,20210923,185500,28.62,28.64,28.61,28.62,703,0
HCCI.US,5,20210923,190000,28.675,28.675,28.675,28.675,100,0
HCCI.US,5,20210923,193000,28.64,28.715,28.64,28.64,715,0
HCCI.US,5,20210923,193500,28.71,28.77,28.7,28.77,500,0
HCCI.US,5,20210923,194000,28.7,28.7,28.7,28.7,200,0
HCCI.US,5,20210923,195000,28.75,28.75,28.725,28.725,461,0
HCCI.US,5,20210923,195500,28.74,28.75,28.73,28.73,500,0
HCCI.US,5,20210923,200000,28.71,28.74,28.71,28.71,681,0
HCCI.US,5,20210923,201000,28.68,28.68,28.605,28.66,500,0
HCCI.US,5,20210923,201500,28.665,28.665,28.665,28.665,100,0
HCCI.US,5,20210923,203000,28.605,28.605,28.605,28.605,100,0
HCCI.US,5,20210923,203500,28.5,28.5,28.5,28.5,100,0
HCCI.US,5,20210923,204000,28.49,28.67,28.47,28.67,500,0
HCCI.US,5,20210923,204500,28.58,28.67,28.58,28.58,400,0
HCCI.US,5,20210923,205500,28.59,28.59,28.59,28.59,100,0
HCCI.US,5,20210923,210000,28.59,28.66,28.59,28.66,1036,0
HCCI.US,5,20210923,210500,28.595,28.625,28.595,28.625,200,0
HCCI.US,5,20210923,211500,28.53,28.53,28.52,28.52,300,0
HCCI.US,5,20210923,212000,28.53,28.53,28.46,28.47,743,0
HCCI.US,5,20210923,212500,28.515,28.515,28.515,28.515,300,0
HCCI.US,5,20210923,213000,28.55,28.551,28.52,28.52,575,0
HCCI.US,5,20210923,213500,28.55,28.55,28.48,28.48,700,0
HCCI.US,5,20210923,214000,28.55,28.55,28.475,28.52,500,0
HCCI.US,5,20210923,214500,28.51,28.56,28.47,28.515,700,0
HCCI.US,5,20210923,215000,28.55,28.55,28.47,28.52,1800,0
HCCI.US,5,20210923,215500,28.55,28.6,28.46,28.6,6395,0
HCCI.US,5,20210924,153000,28.48,28.48,28.48,28.48,236,0
HCCI.US,5,20210924,154000,28.995,28.995,28.86,28.86,200,0
HCCI.US,5,20210924,155000,29.05,29.05,29.05,29.05,104,0
HCCI.US,5,20210924,155500,29.28,29.28,29.28,29.28,325,0
HCCI.US,5,20210924,161000,28.75,29.17,28.75,29.17,1400,0
HCCI.US,5,20210924,163500,28.75,28.97,28.49,28.72,835,0
HCCI.US,5,20210924,164500,28.75,28.76,28.51,28.76,639,0
HCCI.US,5,20210924,165000,28.61,28.73,28.61,28.65,400,0
HCCI.US,5,20210924,170500,28.7871,28.7871,28.7871,28.7871,100,0
HCCI.US,5,20210924,171000,28.92,28.92,28.92,28.92,100,0
HCCI.US,5,20210924,173000,28.87,28.87,28.87,28.87,100,0
HCCI.US,5,20210924,173500,28.89,28.89,28.89,28.89,100,0
HCCI.US,5,20210924,180500,28.84,28.84,28.84,28.84,100,0
HCCI.US,5,20210924,181500,28.84,28.84,28.84,28.84,200,0
HCCI.US,5,20210924,185500,28.77,28.78,28.665,28.78,828,0
HCCI.US,5,20210924,190000,28.75,28.78,28.64,28.75,585,0
HCCI.US,5,20210924,190500,28.97,28.97,28.97,28.97,100,0
HCCI.US,5,20210924,192500,28.8,28.96,28.8,28.88,955,0
HCCI.US,5,20210924,193000,28.95,28.95,28.95,28.95,100,0
HCCI.US,5,20210924,193500,28.77,28.825,28.75,28.75,900,0
HCCI.US,5,20210924,194000,28.865,28.865,28.86,28.86,200,0
HCCI.US,5,20210924,195000,28.84,28.84,28.84,28.84,100,0
HCCI.US,5,20210924,195500,28.85,28.91,28.76,28.76,500,0
HCCI.US,5,20210924,200000,28.835,28.835,28.835,28.835,100,0
HCCI.US,5,20210924,201000,28.87,28.9,28.8696,28.9,300,0
HCCI.US,5,20210924,202000,28.97,28.97,28.97,28.97,100,0
HCCI.US,5,20210924,202500,28.97,28.97,28.895,28.895,200,0
HCCI.US,5,20210924,204000,28.95,28.95,28.95,28.95,100,0
HCCI.US,5,20210924,204500,28.96,28.96,28.96,28.96,100,0
HCCI.US,5,20210924,205000,28.9,28.9,28.8,28.8,600,0
HCCI.US,5,20210924,205500,28.915,28.915,28.915,28.915,100,0
HCCI.US,5,20210924,210000,28.92,28.92,28.79,28.79,500,0
HCCI.US,5,20210924,210500,28.87,28.87,28.87,28.87,100,0
HCCI.US,5,20210924,211000,28.9,28.9,28.9,28.9,100,0
HCCI.US,5,20210924,211500,28.82,29,28.82,29,200,0
HCCI.US,5,20210924,212000,28.84,29.12,28.84,29.12,3571,0
HCCI.US,5,20210924,212500,29.01,29.225,29,29.225,600,0
HCCI.US,5,20210924,214000,29.19,29.2,29.19,29.2,200,0
HCCI.US,5,20210924,214500,29.2,29.22,29.11,29.22,300,0
HCCI.US,5,20210924,215000,29.17,29.25,29.17,29.25,700,0
HCCI.US,5,20210924,215500,29.17,29.17,29.08,29.17,3653,0
HCCI.US,5,20210927,153000,29.27,29.27,29.27,29.27,221,0
HCCI.US,5,20210927,153500,29.25,29.66,29.25,29.66,1012,0
HCCI.US,5,20210927,154500,29.46,29.57,29.46,29.57,300,0
HCCI.US,5,20210927,155000,29.66,29.75,29.58,29.75,1586,0
HCCI.US,5,20210927,160500,29.8,29.8,29.59,29.59,694,0
HCCI.US,5,20210927,161500,29.87,29.91,29.87,29.91,200,0
HCCI.US,5,20210927,163000,29.89,29.89,29.89,29.89,100,0
HCCI.US,5,20210927,164000,29.92,30.02,29.92,29.955,1059,0
HCCI.US,5,20210927,164500,30.02,30.03,29.96,29.96,1230,0
HCCI.US,5,20210927,165000,30.02,30.03,30.02,30.03,4289,0
HCCI.US,5,20210927,171000,30.05,30.05,30.05,30.05,973,0
HCCI.US,5,20210927,171500,30.095,30.095,30.095,30.095,100,0
HCCI.US,5,20210927,172000,30.02,30.02,30.02,30.02,100,0
HCCI.US,5,20210927,172500,30.02,30.04,30.02,30.04,400,0
HCCI.US,5,20210927,173000,30.05,30.05,30.05,30.05,1100,0
HCCI.US,5,20210927,174000,29.955,29.955,29.955,29.955,100,0
HCCI.US,5,20210927,175000,29.99,30,29.99,30,250,0
HCCI.US,5,20210927,175500,30,30.03,29.835,29.835,573,0
HCCI.US,5,20210927,181500,29.93,29.965,29.93,29.965,581,0
HCCI.US,5,20210927,182000,29.99,29.99,29.99,29.99,200,0
HCCI.US,5,20210927,185000,30,30,30,30,343,0
HCCI.US,5,20210927,185500,30.0314,30.0314,30.0314,30.0314,718,0
HCCI.US,5,20210927,190000,29.99,29.99,29.99,29.99,100,0
HCCI.US,5,20210927,190500,29.97,29.97,29.97,29.97,200,0
HCCI.US,5,20210927,192500,30,30,30,30,100,0
HCCI.US,5,20210927,193000,29.99,29.99,29.99,29.99,253,0
HCCI.US,5,20210927,194500,29.99,29.995,29.99,29.995,200,0
