<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HCDIP.US,5,20210922,153500,23.27,23.34,21.95,23.05,3866,0
HCDIP.US,5,20210922,154000,22.09,23.04,21,22,5264,0
HCDIP.US,5,20210922,154500,22,22,22,22,300,0
HCDIP.US,5,20210922,155000,22,22.5,22,22.065,700,0
HCDIP.US,5,20210922,155500,22.11,22.25,22.105,22.25,1100,0
HCDIP.US,5,20210922,160000,22.4,22.516,22.3,22.3,600,0
HCDIP.US,5,20210922,160500,22.35,22.6,22.25,22.6,1860,0
HCDIP.US,5,20210922,161000,22.49,22.54,22.49,22.54,200,0
HCDIP.US,5,20210922,161500,22.55,22.55,22.55,22.55,370,0
HCDIP.US,5,20210922,162500,22.4,22.4,22.4,22.4,100,0
HCDIP.US,5,20210922,163000,22.4,22.4,22.4,22.4,100,0
HCDIP.US,5,20210922,163500,22.41,22.41,22.333,22.333,200,0
HCDIP.US,5,20210922,164000,22.3,22.3,21.855,21.855,2516,0
HCDIP.US,5,20210922,164500,21.9,21.9,21.9,21.9,100,0
HCDIP.US,5,20210922,165000,21.9,22.25,21.899,22.16,4600,0
HCDIP.US,5,20210922,165500,22.2,22.2,22.1,22.1,800,0
HCDIP.US,5,20210922,172000,22.25,22.25,22.19,22.19,500,0
HCDIP.US,5,20210922,172500,22.2,22.245,22.2,22.245,500,0
HCDIP.US,5,20210922,173000,22.25,22.25,22.24,22.24,300,0
HCDIP.US,5,20210922,173500,22.21,22.2425,22.21,22.24,1000,0
HCDIP.US,5,20210922,174000,22.24,22.245,22.24,22.24,600,0
HCDIP.US,5,20210922,174500,22.2,22.25,22.2,22.25,300,0
HCDIP.US,5,20210922,175000,22.25,22.25,22.25,22.25,400,0
HCDIP.US,5,20210922,175500,22.2,22.2,22.2,22.2,400,0
HCDIP.US,5,20210922,180000,22.225,22.225,22.225,22.225,130,0
HCDIP.US,5,20210922,180500,22.2,22.2,22.2,22.2,500,0
HCDIP.US,5,20210922,182000,22.2,22.2,22.2,22.2,900,0
HCDIP.US,5,20210922,182500,22.2,22.2,22.2,22.2,500,0
HCDIP.US,5,20210922,183500,22.2409,22.2409,22.2,22.2,250,0
HCDIP.US,5,20210922,184500,22.2,22.2,22.2,22.2,100,0
HCDIP.US,5,20210922,185000,22.2,22.2,22.2,22.2,1400,0
HCDIP.US,5,20210922,192500,22.2,22.2,22.2,22.2,700,0
HCDIP.US,5,20210922,193500,22.16,22.16,22,22,717,0
HCDIP.US,5,20210922,194000,22,22,22,22,1367,0
HCDIP.US,5,20210922,201500,22.15,22.15,22.1475,22.15,600,0
HCDIP.US,5,20210922,202000,22.15,22.15,22.15,22.15,359,0
HCDIP.US,5,20210922,202500,22.15,22.15,22.15,22.15,300,0
HCDIP.US,5,20210922,203000,22.1,22.1,22.1,22.1,100,0
HCDIP.US,5,20210922,204000,22.1,22.1,22.05,22.05,2154,0
HCDIP.US,5,20210922,205000,22,22,22,22,1356,0
HCDIP.US,5,20210922,210000,22,22,22,22,100,0
HCDIP.US,5,20210922,211000,21.9,21.9,21.75,21.75,3903,0
HCDIP.US,5,20210922,212000,21.9,21.9,21.8887,21.9,1587,0
HCDIP.US,5,20210922,213000,21.9,21.91,21.9,21.91,300,0
HCDIP.US,5,20210922,213500,21.81,21.81,21.8,21.8,400,0
HCDIP.US,5,20210922,214000,21.9,21.9,21.9,21.9,110,0
HCDIP.US,5,20210923,153500,21.85,21.85,21.85,21.85,100,0
HCDIP.US,5,20210923,154000,21.85,21.85,21.85,21.85,300,0
HCDIP.US,5,20210923,155000,21.85,21.85,21.8,21.8,400,0
HCDIP.US,5,20210923,160000,21.84,21.84,21.84,21.84,100,0
HCDIP.US,5,20210923,163000,21.72,21.72,21.7,21.7,800,0
HCDIP.US,5,20210923,163500,21.65,21.65,21.57,21.57,400,0
HCDIP.US,5,20210923,164000,21.69,21.69,21.69,21.69,200,0
HCDIP.US,5,20210923,164500,21.635,21.635,21.635,21.635,300,0
HCDIP.US,5,20210923,165500,21.69,21.69,21.69,21.69,100,0
HCDIP.US,5,20210923,173000,21.57,21.57,21.5,21.5,1000,0
HCDIP.US,5,20210923,173500,21.57,21.57,21.57,21.57,100,0
HCDIP.US,5,20210923,174000,21.57,21.59,21.57,21.59,398,0
HCDIP.US,5,20210923,174500,21.5,21.55,21.32,21.55,5793,0
