<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HCSG.US,5,20210922,153000,27.108,27.108,24.73,24.92,18846,0
HCSG.US,5,20210922,153500,24.93,24.99,24.93,24.975,2783,0
HCSG.US,5,20210922,154000,24.96,24.99,24.73,24.73,3788,0
HCSG.US,5,20210922,154500,24.7,24.8,24.7,24.735,14407,0
HCSG.US,5,20210922,155000,24.735,24.78,24.7,24.73,7950,0
HCSG.US,5,20210922,155500,24.725,24.8372,24.725,24.815,4149,0
HCSG.US,5,20210922,160000,24.82,24.85,24.725,24.845,26128,0
HCSG.US,5,20210922,160500,24.845,24.94,24.82,24.865,25406,0
HCSG.US,5,20210922,161000,24.85,24.89,24.84,24.85,14020,0
HCSG.US,5,20210922,161500,24.87,24.94,24.73,24.8,20693,0
HCSG.US,5,20210922,162000,24.85,24.915,24.83,24.9,5026,0
HCSG.US,5,20210922,162500,24.92,24.98,24.85,24.86,7267,0
HCSG.US,5,20210922,163000,24.83,24.88,24.79,24.805,19884,0
HCSG.US,5,20210922,163500,24.805,24.92,24.805,24.92,4957,0
HCSG.US,5,20210922,164000,24.92,24.94,24.84,24.865,5548,0
HCSG.US,5,20210922,164500,24.865,24.959,24.825,24.94,27575,0
HCSG.US,5,20210922,165000,24.935,24.94,24.85,24.85,7866,0
HCSG.US,5,20210922,165500,24.85,24.859,24.81,24.85,12014,0
HCSG.US,5,20210922,170000,24.86,24.86,24.81,24.82,5265,0
HCSG.US,5,20210922,170500,24.82,24.91,24.795,24.86,33749,0
HCSG.US,5,20210922,171000,24.865,24.95,24.85,24.89,8486,0
HCSG.US,5,20210922,171500,24.885,24.89,24.81,24.83,16607,0
HCSG.US,5,20210922,172000,24.82,24.83,24.79,24.81,3749,0
HCSG.US,5,20210922,172500,24.805,24.82,24.805,24.815,6108,0
HCSG.US,5,20210922,173000,24.815,24.845,24.8,24.81,9726,0
HCSG.US,5,20210922,173500,24.81,24.81,24.765,24.77,33183,0
HCSG.US,5,20210922,174000,24.78,24.78,24.72,24.74,20144,0
HCSG.US,5,20210922,174500,24.75,24.755,24.73,24.73,5097,0
HCSG.US,5,20210922,175000,24.73,24.77,24.7,24.76,25942,0
HCSG.US,5,20210922,175500,24.76,24.78,24.74,24.77,7107,0
