<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HLNE.US,5,20210922,153000,87.88,87.88,87.2956,87.525,2363,0
HLNE.US,5,20210922,153500,87.535,87.95,87.535,87.725,1201,0
HLNE.US,5,20210922,154000,87.725,87.95,87.725,87.95,1000,0
HLNE.US,5,20210922,154500,87.725,87.95,87.725,87.725,700,0
HLNE.US,5,20210922,155000,87.95,88.2,87.83,88.2,1000,0
HLNE.US,5,20210922,155500,87.88,88.53,87.88,88.37,1520,0
HLNE.US,5,20210922,160000,88.5,88.92,88.365,88.79,700,0
HLNE.US,5,20210922,160500,88.79,88.86,88.46,88.46,5400,0
HLNE.US,5,20210922,161000,88.63,88.63,88.46,88.46,600,0
HLNE.US,5,20210922,161500,88.3,88.3,88.08,88.13,531,0
HLNE.US,5,20210922,162000,88.19,88.19,88.035,88.035,900,0
HLNE.US,5,20210922,162500,88.09,88.09,87.92,87.995,9560,0
HLNE.US,5,20210922,163000,87.995,88.07,87.92,88.03,904,0
HLNE.US,5,20210922,163500,88.2,88.205,88.19,88.2,400,0
HLNE.US,5,20210922,164000,88.08,88.19,88.06,88.06,969,0
HLNE.US,5,20210922,164500,88.115,88.115,87.92,88.02,2222,0
HLNE.US,5,20210922,165000,88.055,88.16,87.93,88.035,901,0
HLNE.US,5,20210922,165500,88.035,88.035,88,88.025,702,0
HLNE.US,5,20210922,170000,88.025,88.15,87.995,87.995,2105,0
HLNE.US,5,20210922,170500,88.04,88.16,87.985,88.15,1715,0
HLNE.US,5,20210922,171000,88.2,88.2,88.11,88.125,700,0
HLNE.US,5,20210922,171500,88.13,88.13,88.13,88.13,300,0
HLNE.US,5,20210922,172000,88.05,88.09,87.96,87.96,1332,0
HLNE.US,5,20210922,172500,87.96,88.04,87.93,88,801,0
HLNE.US,5,20210922,173000,88.04,88.055,88.04,88.05,300,0
HLNE.US,5,20210922,173500,88.04,88.14,88.035,88.11,1000,0
HLNE.US,5,20210922,174000,88.04,88.14,87.94,87.94,800,0
HLNE.US,5,20210922,174500,88.13,88.13,87.96,87.96,700,0
HLNE.US,5,20210922,175000,88.03,88.14,88,88.11,4420,0
HLNE.US,5,20210922,175500,88.13,88.21,88.05,88.13,1800,0
HLNE.US,5,20210922,180000,88.19,88.425,88.19,88.425,2411,0
HLNE.US,5,20210922,180500,88.42,88.45,88.42,88.435,400,0
HLNE.US,5,20210922,181000,88.4,88.42,88.28,88.28,1900,0
HLNE.US,5,20210922,181500,88.3,88.31,88.28,88.31,600,0
HLNE.US,5,20210922,182000,88.31,88.31,88.25,88.285,2100,0
HLNE.US,5,20210922,182500,88.28,88.33,88.28,88.28,1100,0
HLNE.US,5,20210922,183000,88.4,88.4,88.32,88.335,2600,0
HLNE.US,5,20210922,183500,88.32,88.34,88.2,88.23,3524,0
HLNE.US,5,20210922,184000,88.255,88.255,88.1,88.15,3000,0
HLNE.US,5,20210922,184500,88.145,88.145,88.135,88.135,793,0
HLNE.US,5,20210922,185000,88.135,88.15,88.05,88.105,2000,0
HLNE.US,5,20210922,185500,88.06,88.22,87.985,88.01,9575,0
HLNE.US,5,20210922,190000,88.01,88.185,87.95,88.185,2116,0
HLNE.US,5,20210922,190500,88.13,88.13,87.99,88.02,970,0
HLNE.US,5,20210922,191000,88.025,88.06,87.99,88.02,2300,0
HLNE.US,5,20210922,191500,88.025,88.07,87.985,87.985,1201,0
HLNE.US,5,20210922,192000,87.96,88.05,87.945,88.05,2700,0
HLNE.US,5,20210922,192500,88.04,88.04,87.965,88.015,2300,0
HLNE.US,5,20210922,193000,88.015,88.04,87.97,88.04,1300,0
HLNE.US,5,20210922,193500,87.99,88,87.98,88,917,0
HLNE.US,5,20210922,194000,88,88.105,88,88.095,2767,0
HLNE.US,5,20210922,194500,88.11,88.13,88.07,88.075,1829,0
HLNE.US,5,20210922,195000,88.075,88.075,87.92,88.025,4246,0
HLNE.US,5,20210922,195500,88,88.02,88,88.02,600,0
HLNE.US,5,20210922,200000,88.02,88.37,87.99,88.34,4000,0
HLNE.US,5,20210922,200500,88.24,88.25,88.04,88.095,2930,0
HLNE.US,5,20210922,201000,88.08,88.31,88.08,88.205,3570,0
HLNE.US,5,20210922,201500,88.195,88.22,88.07,88.09,1200,0
HLNE.US,5,20210922,202000,88.095,88.15,87.905,88.075,4443,0
HLNE.US,5,20210922,202500,88.12,88.25,88.12,88.2,800,0
HLNE.US,5,20210922,203000,88.27,88.29,88.1,88.29,1000,0
HLNE.US,5,20210922,203500,88.18,88.21,88.13,88.17,700,0
HLNE.US,5,20210922,204000,88.02,88.21,87.98,88.13,1200,0
HLNE.US,5,20210922,204500,88.105,88.105,87.875,88.025,2300,0
HLNE.US,5,20210922,205000,87.92,87.92,87.475,87.64,3600,0
HLNE.US,5,20210922,205500,87.55,87.55,87.23,87.2889,1901,0
HLNE.US,5,20210922,210000,87.22,87.31,87.19,87.19,2200,0
HLNE.US,5,20210922,210500,87.09,87.14,86.665,86.69,3837,0
HLNE.US,5,20210922,211000,86.685,87.245,86.6,87.19,4500,0
HLNE.US,5,20210922,211500,87.1,87.105,86.97,87.105,627,0
HLNE.US,5,20210922,212000,87.115,87.41,87.05,87.27,2000,0
HLNE.US,5,20210922,212500,87.205,87.3,87.205,87.3,900,0
HLNE.US,5,20210922,213000,87.29,87.31,87.04,87.17,3895,0
HLNE.US,5,20210922,213500,87.16,87.46,87.07,87.46,2970,0
HLNE.US,5,20210922,214000,87.46,87.5,87.33,87.35,2000,0
HLNE.US,5,20210922,214500,87.27,87.33,86.94,86.995,2700,0
HLNE.US,5,20210922,215000,86.95,87.135,86.76,87.1,3800,0
HLNE.US,5,20210922,215500,86.93,87.16,86.88,86.97,24219,0
HLNE.US,5,20210923,153000,87.31,87.74,86.92,86.92,1171,0
HLNE.US,5,20210923,153500,87.055,87.0978,86.67,86.67,400,0
HLNE.US,5,20210923,154000,86.72,86.72,86.64,86.64,200,0
HLNE.US,5,20210923,154500,86.71,87,86.62,87,400,0
HLNE.US,5,20210923,155000,86.77,87.02,86.62,87.02,19200,0
HLNE.US,5,20210923,155500,87,87,86.265,86.265,9795,0
HLNE.US,5,20210923,160000,86.27,86.27,85.845,85.845,600,0
HLNE.US,5,20210923,160500,85.845,85.845,85.53,85.53,700,0
HLNE.US,5,20210923,161000,85.55,85.55,85.55,85.55,100,0
HLNE.US,5,20210923,161500,85.67,85.67,84.91,85.09,1900,0
HLNE.US,5,20210923,162000,85.055,85.445,85.055,85.29,1986,0
HLNE.US,5,20210923,162500,84.965,85.135,84.945,84.945,1400,0
HLNE.US,5,20210923,163000,84.77,84.77,84.745,84.745,600,0
HLNE.US,5,20210923,163500,84.64,84.64,84.25,84.27,2144,0
HLNE.US,5,20210923,164000,84.385,84.94,84.385,84.94,1525,0
HLNE.US,5,20210923,164500,84.82,84.82,84.82,84.82,100,0
HLNE.US,5,20210923,165000,84.82,84.98,84.725,84.98,1550,0
HLNE.US,5,20210923,165500,84.9149,84.9149,84.9,84.9,260,0
HLNE.US,5,20210923,170000,84.91,84.96,84.875,84.875,1050,0
HLNE.US,5,20210923,170500,84.84,85.08,84.84,85.08,1400,0
HLNE.US,5,20210923,171000,84.99,84.99,84.99,84.99,102,0
HLNE.US,5,20210923,171500,85.15,85.39,85.11,85.39,4713,0
HLNE.US,5,20210923,172000,85.19,85.22,85.14,85.14,400,0
HLNE.US,5,20210923,172500,85.22,85.24,85.22,85.22,500,0
HLNE.US,5,20210923,173000,85.16,85.235,85.16,85.235,300,0
HLNE.US,5,20210923,173500,85.31,85.43,85.16,85.43,1316,0
HLNE.US,5,20210923,174000,85.56,85.57,85.56,85.57,400,0
HLNE.US,5,20210923,174500,85.72,85.74,85.46,85.74,3800,0
HLNE.US,5,20210923,175000,85.74,86.18,85.65,86.115,5115,0
HLNE.US,5,20210923,175500,86.11,86.11,86.11,86.11,128,0
HLNE.US,5,20210923,180000,86.265,86.265,86.265,86.265,300,0
HLNE.US,5,20210923,180500,86.28,86.5,86.27,86.5,1100,0
HLNE.US,5,20210923,181000,86.49,86.725,86.44,86.725,1700,0
HLNE.US,5,20210923,181500,86.725,86.83,86.63,86.735,700,0
HLNE.US,5,20210923,182000,86.74,86.74,86.74,86.74,100,0
HLNE.US,5,20210923,182500,86.64,86.88,86.56,86.86,2414,0
HLNE.US,5,20210923,183000,86.92,86.99,86.92,86.99,300,0
HLNE.US,5,20210923,183500,87.02,87.18,87.02,87.18,202,0
HLNE.US,5,20210923,184000,87.1,87.13,86.995,87.13,1100,0
HLNE.US,5,20210923,184500,87.27,87.27,87.27,87.27,100,0
HLNE.US,5,20210923,185000,87.44,87.44,87.335,87.335,402,0
HLNE.US,5,20210923,185500,87.335,87.335,87.335,87.335,300,0
HLNE.US,5,20210923,190000,87.46,87.49,87.46,87.49,300,0
HLNE.US,5,20210923,190500,87.48,87.67,87.465,87.61,1300,0
HLNE.US,5,20210923,191000,87.675,87.725,87.46,87.6,3167,0
HLNE.US,5,20210923,191500,87.725,87.8377,87.725,87.8377,515,0
HLNE.US,5,20210923,192000,87.83,88.27,87.81,88.27,6431,0
HLNE.US,5,20210923,192500,88.27,88.94,88.27,88.57,4656,0
HLNE.US,5,20210923,193000,88.57,88.6,88.205,88.375,2640,0
HLNE.US,5,20210923,193500,88.405,88.58,88.395,88.48,3383,0
HLNE.US,5,20210923,194000,88.57,88.58,88.395,88.46,5213,0
HLNE.US,5,20210923,194500,88.5,88.74,88.46,88.67,1300,0
