<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HYACU.US,5,20210922,160000,9.88,9.88,9.88,9.88,150,0
HYACU.US,5,20210922,160500,9.88,9.88,9.88,9.88,1500,0
HYACU.US,5,20210922,161000,9.88,9.88,9.88,9.88,1500,0
HYACU.US,5,20210922,161500,9.88,9.88,9.88,9.88,1500,0
HYACU.US,5,20210922,162000,9.88,9.88,9.88,9.88,1500,0
HYACU.US,5,20210922,162500,9.88,9.88,9.88,9.88,1500,0
HYACU.US,5,20210922,163000,9.88,9.88,9.88,9.88,1500,0
HYACU.US,5,20210922,163500,9.88,9.88,9.88,9.88,750,0
HYACU.US,5,20210922,215000,9.88,9.88,9.855,9.88,2364,0
HYACU.US,5,20210922,215500,9.9,9.9,9.9,9.9,100,0
HYACU.US,5,20210927,160500,9.9,9.9,9.9,9.9,240,0
HYACU.US,5,20211001,153500,9.8893,9.8893,9.8893,9.8893,3570,0
HYACU.US,5,20211005,194000,9.95,9.95,9.95,9.95,200000,0
HYACU.US,5,20211005,195000,9.95,9.95,9.95,9.95,50000,0
HYACU.US,5,20211006,181000,9.95,9.95,9.95,9.95,200000,0
HYACU.US,5,20211006,182500,9.95,9.95,9.95,9.95,100000,0
HYACU.US,5,20211007,214500,9.95,9.95,9.95,9.95,100000,0
HYACU.US,5,20211008,155500,9.95,9.95,9.95,9.95,100000,0
HYACU.US,5,20211012,165000,9.91,9.91,9.91,9.91,300,0
HYACU.US,5,20211012,165500,9.88,9.88,9.88,9.88,500,0
HYACU.US,5,20211012,170000,9.88,9.88,9.87,9.87,400,0
HYACU.US,5,20211012,170500,9.86,9.99,9.86,9.95,1800,0
HYACU.US,5,20211012,173500,9.95,9.95,9.95,9.95,3600,0
HYACU.US,5,20211012,174000,9.95,9.95,9.95,9.95,600,0
HYACU.US,5,20211012,174500,9.95,9.95,9.95,9.95,500,0
HYACU.US,5,20211012,175000,9.95,9.95,9.95,9.95,500,0
HYACU.US,5,20211012,175500,9.95,9.95,9.95,9.95,600,0
HYACU.US,5,20211012,180000,9.95,9.95,9.95,9.95,500,0
HYACU.US,5,20211012,180500,9.91,9.91,9.91,9.91,166,0
HYACU.US,5,20211012,184000,9.88,9.88,9.88,9.88,300,0
HYACU.US,5,20211012,184500,9.88,9.88,9.88,9.88,500,0
HYACU.US,5,20211012,185000,9.88,9.88,9.88,9.88,100,0
HYACU.US,5,20211012,192500,9.87,9.87,9.87,9.87,400,0
HYACU.US,5,20211012,193000,9.87,9.87,9.87,9.87,500,0
HYACU.US,5,20211012,193500,9.87,9.87,9.87,9.87,500,0
HYACU.US,5,20211012,194000,9.87,9.87,9.87,9.87,500,0
HYACU.US,5,20211012,194500,9.87,9.87,9.87,9.87,400,0
HYACU.US,5,20211012,195000,9.87,9.87,9.86,9.86,500,0
HYACU.US,5,20211012,195500,9.87,9.87,9.87,9.87,500,0
HYACU.US,5,20211012,200000,9.87,9.87,9.86,9.86,500,0
HYACU.US,5,20211012,200500,9.86,9.86,9.85,9.85,600,0
HYACU.US,5,20211012,201000,9.85,9.86,9.84,9.86,3800,0
HYACU.US,5,20211012,201500,9.86,9.86,9.85,9.85,500,0
HYACU.US,5,20211012,202000,9.85,9.85,9.85,9.85,100,0
HYACU.US,5,20211012,213000,9.89,9.9,9.89,9.9,869,0
HYACU.US,5,20211012,215000,9.9,9.92,9.9,9.92,6385,0
HYACU.US,5,20211012,215500,9.92,9.94,9.875,9.91,20360,0
HYACU.US,5,20211013,162500,9.95,9.95,9.93,9.93,550700,0
HYACU.US,5,20211013,180000,9.93,9.93,9.93,9.93,100,0
HYACU.US,5,20211013,192500,9.92,9.92,9.92,9.92,100,0
HYACU.US,5,20211013,214000,9.95,9.95,9.95,9.95,200,0
HYACU.US,5,20211014,215000,9.93,9.93,9.93,9.93,40000,0
HYACU.US,5,20211018,163000,9.92,9.92,9.92,9.92,600,0
HYACU.US,5,20211018,200000,9.94,9.94,9.94,9.94,100,0
HYACU.US,5,20211019,153500,9.93,9.93,9.93,9.93,100,0
HYACU.US,5,20211019,154500,9.93,9.93,9.93,9.93,3900,0
HYACU.US,5,20211019,160500,9.93,9.93,9.93,9.93,100,0
HYACU.US,5,20211019,161500,9.93,9.93,9.925,9.93,34677,0
HYACU.US,5,20211019,170000,9.93,9.93,9.93,9.93,100,0
HYACU.US,5,20211019,193000,9.93,9.93,9.93,9.93,100,0
HYACU.US,5,20211020,190000,9.929,9.9299,9.929,9.9299,400,0
HYACU.US,5,20211020,215500,9.9,9.9,9.9,9.9,100,0
HYACU.US,5,20211022,164500,9.92,9.92,9.92,9.92,100,0
HYACU.US,5,20211022,205000,9.93,9.93,9.91,9.93,18549,0
