<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ICCH.US,5,20210930,162500,16.5101,16.807,16.5,16.513,2424,0
ICCH.US,5,20210930,165000,16.5,16.5,16.5,16.5,1698,0
ICCH.US,5,20211001,153000,16,16,16,16,104,0
ICCH.US,5,20211001,161000,16.51,16.51,16.51,16.51,100,0
ICCH.US,5,20211001,190500,16.825,16.825,16.825,16.825,221,0
ICCH.US,5,20211006,193000,16.51,16.51,16.2001,16.2001,548,0
ICCH.US,5,20211011,210000,16.75,16.75,16.75,16.75,102,0
ICCH.US,5,20211011,211000,16.5,16.5,16.5,16.5,198,0
ICCH.US,5,20211012,155000,16.31,16.5,16.31,16.5,1007,0
ICCH.US,5,20211015,172000,16.4909,16.5,16.49,16.5,2600,0
ICCH.US,5,20211015,173000,16.5,16.5,16.5,16.5,438,0
ICCH.US,5,20211015,182500,16.51,16.51,16.5,16.5,1781,0
ICCH.US,5,20211015,190500,16.5,16.5,16.5,16.5,1800,0
ICCH.US,5,20211028,164000,16.98,16.98,16.98,16.98,100,0
ICCH.US,5,20211101,154000,16.97,16.97,16.97,16.97,100,0
ICCH.US,5,20211102,205500,16.99,16.99,16.99,16.99,109,0
ICCH.US,5,20211111,155500,16.25,16.25,16.25,16.25,200,0
ICCH.US,5,20211111,214500,16.99,16.99,16.99,16.99,100,0
