<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IFRX.US,5,20210922,153000,2.78,2.78,2.73,2.74,4720,0
IFRX.US,5,20210922,153500,2.7603,2.7603,2.74,2.74,1100,0
IFRX.US,5,20210922,154000,2.7602,2.7602,2.71,2.71,1900,0
IFRX.US,5,20210922,155000,2.7373,2.8,2.725,2.79,8687,0
IFRX.US,5,20210922,155500,2.74,2.76,2.74,2.74,2824,0
IFRX.US,5,20210922,160000,2.76,2.76,2.71,2.74,4815,0
IFRX.US,5,20210922,161000,2.7163,2.7163,2.71,2.71,1350,0
IFRX.US,5,20210922,162000,2.7109,2.74,2.7109,2.74,787,0
IFRX.US,5,20210922,162500,2.73,2.73,2.7133,2.7133,929,0
IFRX.US,5,20210922,163000,2.74,2.74,2.74,2.74,200,0
IFRX.US,5,20210922,163500,2.74,2.74,2.74,2.74,200,0
IFRX.US,5,20210922,165000,2.71,2.71,2.71,2.71,700,0
IFRX.US,5,20210922,170500,2.73,2.73,2.72,2.72,350,0
IFRX.US,5,20210922,171000,2.7237,2.73,2.7237,2.73,700,0
IFRX.US,5,20210922,172500,2.73,2.73,2.72,2.73,800,0
IFRX.US,5,20210922,173500,2.72,2.73,2.71,2.73,2400,0
IFRX.US,5,20210922,175000,2.72,2.72,2.72,2.72,300,0
IFRX.US,5,20210922,175500,2.72,2.72,2.71,2.71,900,0
IFRX.US,5,20210922,180000,2.716,2.716,2.716,2.716,2800,0
IFRX.US,5,20210922,181000,2.72,2.72,2.715,2.715,200,0
IFRX.US,5,20210922,182000,2.72,2.72,2.72,2.72,349,0
IFRX.US,5,20210922,183000,2.72,2.7499,2.71,2.7499,14524,0
IFRX.US,5,20210922,183500,2.745,2.745,2.745,2.745,100,0
IFRX.US,5,20210922,184500,2.75,2.75,2.7401,2.745,600,0
IFRX.US,5,20210922,185000,2.74,2.74,2.74,2.74,100,0
IFRX.US,5,20210922,185500,2.75,2.75,2.74,2.75,1374,0
IFRX.US,5,20210922,190500,2.745,2.745,2.745,2.745,300,0
IFRX.US,5,20210922,191000,2.75,2.75,2.745,2.75,1000,0
IFRX.US,5,20210922,191500,2.745,2.745,2.745,2.745,100,0
IFRX.US,5,20210922,192000,2.75,2.75,2.75,2.75,234,0
IFRX.US,5,20210922,193500,2.7683,2.7683,2.7683,2.7683,880,0
IFRX.US,5,20210922,194500,2.75,2.75,2.75,2.75,100,0
IFRX.US,5,20210922,195500,2.77,2.77,2.77,2.77,200,0
IFRX.US,5,20210922,200000,2.78,2.78,2.78,2.78,550,0
IFRX.US,5,20210922,201000,2.77,2.77,2.77,2.77,154,0
IFRX.US,5,20210922,202000,2.78,2.78,2.78,2.78,1000,0
IFRX.US,5,20210922,211000,2.75,2.77,2.75,2.77,5940,0
IFRX.US,5,20210922,212500,2.77,2.77,2.735,2.74,15193,0
IFRX.US,5,20210922,214000,2.759,2.759,2.759,2.759,200,0
IFRX.US,5,20210922,215000,2.76,2.76,2.76,2.76,300,0
IFRX.US,5,20210922,215500,2.7425,2.77,2.74,2.74,5433,0
IFRX.US,5,20210923,153000,2.8,2.8121,2.8,2.8121,1700,0
IFRX.US,5,20210923,153500,2.82,2.86,2.82,2.86,11338,0
IFRX.US,5,20210923,154000,2.85,2.86,2.78,2.8,8049,0
IFRX.US,5,20210923,154500,2.78,2.78,2.77,2.77,733,0
IFRX.US,5,20210923,155000,2.7742,2.7742,2.7742,2.7742,100,0
IFRX.US,5,20210923,155500,2.78,2.78,2.78,2.78,420,0
IFRX.US,5,20210923,160000,2.81,2.81,2.78,2.78,2200,0
IFRX.US,5,20210923,160500,2.76,2.7628,2.76,2.7628,569,0
IFRX.US,5,20210923,161000,2.76,2.76,2.76,2.76,200,0
IFRX.US,5,20210923,162500,2.7689,2.7855,2.765,2.7855,2636,0
IFRX.US,5,20210923,163000,2.8,2.8,2.8,2.8,433,0
IFRX.US,5,20210923,165000,2.78,2.78,2.78,2.78,317,0
IFRX.US,5,20210923,170500,2.78,2.78,2.78,2.78,300,0
IFRX.US,5,20210923,171000,2.785,2.81,2.785,2.79,2196,0
IFRX.US,5,20210923,171500,2.78,2.78,2.75,2.75,117900,0
IFRX.US,5,20210923,172000,2.755,2.755,2.755,2.755,300,0
IFRX.US,5,20210923,173500,2.75,2.75,2.748,2.748,550,0
IFRX.US,5,20210923,174500,2.75,2.755,2.7403,2.7403,1738,0
IFRX.US,5,20210923,175500,2.755,2.755,2.755,2.755,3000,0
IFRX.US,5,20210923,180500,2.77,2.77,2.76,2.76,300,0
IFRX.US,5,20210923,181000,2.7501,2.76,2.7501,2.76,401,0
IFRX.US,5,20210923,181500,2.76,2.76,2.76,2.76,500,0
IFRX.US,5,20210923,182000,2.77,2.77,2.77,2.77,105,0
IFRX.US,5,20210923,183500,2.76,2.76,2.76,2.76,100,0
IFRX.US,5,20210923,184500,2.74,2.74,2.74,2.74,600,0
IFRX.US,5,20210923,190000,2.75,2.75,2.75,2.75,1666,0
IFRX.US,5,20210923,191500,2.75,2.75,2.75,2.75,1000,0
IFRX.US,5,20210923,193000,2.7747,2.7747,2.7747,2.7747,1000,0
IFRX.US,5,20210923,193500,2.7501,2.7501,2.74,2.742,2400,0
IFRX.US,5,20210923,194500,2.745,2.745,2.745,2.745,100,0
IFRX.US,5,20210923,195500,2.7349,2.7349,2.7349,2.7349,100,0
IFRX.US,5,20210923,200000,2.77,2.77,2.77,2.77,200,0
IFRX.US,5,20210923,200500,2.75,2.75,2.75,2.75,1000,0
IFRX.US,5,20210923,201000,2.745,2.75,2.73,2.73,1411,0
IFRX.US,5,20210923,201500,2.7238,2.7238,2.7228,2.7228,300,0
IFRX.US,5,20210923,202500,2.73,2.7453,2.72,2.7453,1500,0
IFRX.US,5,20210923,212500,2.74,2.74,2.73,2.73,500,0
IFRX.US,5,20210923,213500,2.7208,2.7208,2.7208,2.7208,2000,0
IFRX.US,5,20210923,214500,2.735,2.735,2.73,2.73,2000,0
IFRX.US,5,20210923,215000,2.7399,2.74,2.73,2.74,1500,0
IFRX.US,5,20210923,215500,2.735,2.75,2.73,2.75,8014,0
IFRX.US,5,20210924,153000,2.74,2.74,2.74,2.74,1250,0
IFRX.US,5,20210924,154500,2.7001,2.7001,2.7001,2.7001,150,0
IFRX.US,5,20210924,155000,2.74,2.74,2.74,2.74,500,0
IFRX.US,5,20210924,155500,2.72,2.72,2.72,2.72,1000,0
IFRX.US,5,20210924,160000,2.74,2.75,2.73,2.73,1490,0
IFRX.US,5,20210924,160500,2.73,2.73,2.73,2.73,1200,0
IFRX.US,5,20210924,161000,2.73,2.73,2.73,2.73,100,0
IFRX.US,5,20210924,161500,2.71,2.7103,2.6907,2.6907,1800,0
IFRX.US,5,20210924,163000,2.695,2.695,2.695,2.695,100,0
IFRX.US,5,20210924,163500,2.695,2.71,2.695,2.71,1724,0
IFRX.US,5,20210924,164000,2.72,2.72,2.72,2.72,200,0
IFRX.US,5,20210924,164500,2.7001,2.7001,2.7001,2.7001,100,0
IFRX.US,5,20210924,172500,2.7,2.7,2.7,2.7,650,0
