<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INMB.US,5,20210922,153000,18.62,19.2299,18.61,18.7,10433,0
INMB.US,5,20210922,153500,18.6808,18.75,18.5,18.66,28871,0
INMB.US,5,20210922,154000,18.72,19.1449,18.6,19.1449,5788,0
INMB.US,5,20210922,154500,19.1774,19.1774,18.85,18.85,3000,0
INMB.US,5,20210922,155000,18.75,18.85,18.695,18.715,3549,0
INMB.US,5,20210922,155500,18.66,18.92,18.51,18.92,1200,0
INMB.US,5,20210922,160000,18.8674,18.8674,18.61,18.6314,1650,0
INMB.US,5,20210922,160500,18.67,18.72,18.36,18.41,12687,0
INMB.US,5,20210922,161000,18.485,18.6739,18.485,18.51,1037,0
INMB.US,5,20210922,161500,18.5501,18.5501,18.54,18.54,1100,0
INMB.US,5,20210922,162000,18.6,18.72,18.5276,18.68,2000,0
INMB.US,5,20210922,162500,18.75,18.82,18.75,18.82,3961,0
INMB.US,5,20210922,163000,18.83,18.83,18.8,18.8,679,0
INMB.US,5,20210922,163500,18.81,18.83,18.7419,18.7419,2535,0
INMB.US,5,20210922,164000,18.79,18.79,18.79,18.79,100,0
INMB.US,5,20210922,164500,18.76,18.76,18.73,18.73,500,0
INMB.US,5,20210922,165000,18.6183,18.7399,18.6183,18.6218,1882,0
INMB.US,5,20210922,165500,18.65,18.71,18.535,18.535,11943,0
INMB.US,5,20210922,170000,18.56,18.71,18.56,18.56,6361,0
INMB.US,5,20210922,170500,18.645,18.645,18.64,18.64,763,0
INMB.US,5,20210922,171500,18.6428,18.6428,18.63,18.63,2100,0
INMB.US,5,20210922,172000,18.62,18.75,18.62,18.675,1200,0
INMB.US,5,20210922,172500,18.61,18.62,18.58,18.61,1738,0
INMB.US,5,20210922,173000,18.7,18.7,18.7,18.7,100,0
INMB.US,5,20210922,173500,18.72,18.79,18.72,18.79,500,0
INMB.US,5,20210922,174000,18.79,18.79,18.715,18.73,2568,0
INMB.US,5,20210922,174500,18.785,18.845,18.785,18.845,200,0
INMB.US,5,20210922,175000,18.8499,18.8499,18.8499,18.8499,1000,0
INMB.US,5,20210922,180000,18.82,18.94,18.82,18.9189,2800,0
INMB.US,5,20210922,180500,18.83,18.88,18.7793,18.7793,2782,0
INMB.US,5,20210922,181000,18.75,18.8,18.67,18.7,8597,0
INMB.US,5,20210922,181500,18.71,18.72,18.71,18.72,400,0
INMB.US,5,20210922,182000,18.72,18.77,18.72,18.77,600,0
INMB.US,5,20210922,182500,18.81,18.81,18.81,18.81,100,0
INMB.US,5,20210922,183000,18.85,18.85,18.73,18.795,300,0
INMB.US,5,20210922,184000,18.778,18.778,18.778,18.778,200,0
INMB.US,5,20210922,184500,18.8899,18.8899,18.8899,18.8899,500,0
INMB.US,5,20210922,185000,18.88,18.94,18.845,18.8507,1102,0
INMB.US,5,20210922,185500,18.9,18.94,18.89,18.94,800,0
INMB.US,5,20210922,190000,18.95,19.05,18.95,19.05,1817,0
INMB.US,5,20210922,190500,19.09,19.09,19.045,19.045,2400,0
INMB.US,5,20210922,191000,19.006,19.006,18.88,18.9011,3050,0
INMB.US,5,20210922,191500,18.935,18.935,18.9245,18.9245,600,0
INMB.US,5,20210922,192000,18.9,18.9,18.82,18.82,500,0
INMB.US,5,20210922,192500,18.82,18.963,18.82,18.963,5441,0
INMB.US,5,20210922,193000,18.95,19.12,18.95,19.1,5235,0
INMB.US,5,20210922,193500,19.19,19.19,19.125,19.125,1400,0
INMB.US,5,20210922,194000,19.13,19.19,19.13,19.19,935,0
INMB.US,5,20210922,194500,19.2,19.2,19.2,19.2,217,0
INMB.US,5,20210922,195000,19.21,19.22,19.0972,19.16,400,0
INMB.US,5,20210922,195500,19.185,19.185,19.1301,19.1301,600,0
INMB.US,5,20210922,200000,19.13,19.54,19.12,19.54,17434,0
INMB.US,5,20210922,200500,19.4836,19.54,19.1365,19.4,15929,0
INMB.US,5,20210922,201000,19.35,19.56,19.3,19.56,16598,0
INMB.US,5,20210922,201500,19.5654,19.5654,19.46,19.46,2354,0
INMB.US,5,20210922,202000,19.43,19.43,19.37,19.375,2880,0
INMB.US,5,20210922,202500,19.3,19.46,19.29,19.45,600,0
INMB.US,5,20210922,203000,19.49,19.55,19.36,19.55,9683,0
INMB.US,5,20210922,203500,19.55,19.6,19.48,19.5401,2620,0
INMB.US,5,20210922,204000,19.59,19.65,19.5732,19.6,2684,0
INMB.US,5,20210922,204500,19.55,19.6799,19.42,19.43,6100,0
INMB.US,5,20210922,205000,19.37,19.395,19.3389,19.3389,520,0
INMB.US,5,20210922,205500,19.38,19.38,19.3,19.3,1900,0
INMB.US,5,20210922,210000,19.3096,19.335,19.29,19.335,1900,0
INMB.US,5,20210922,210500,19.4,19.4,19.4,19.4,368,0
INMB.US,5,20210922,211000,19.45,19.6399,19.36,19.6399,1260,0
INMB.US,5,20210922,211500,19.7046,19.7046,19.55,19.55,288,0
INMB.US,5,20210922,212000,19.6299,19.6299,19.5,19.5,1300,0
INMB.US,5,20210922,212500,19.51,19.51,19.475,19.475,600,0
INMB.US,5,20210922,213000,19.49,19.49,19.49,19.49,650,0
INMB.US,5,20210922,213500,19.49,19.54,19.44,19.535,4771,0
INMB.US,5,20210922,214000,19.58,19.755,19.57,19.6,12417,0
INMB.US,5,20210922,214500,19.6,19.6,19.28,19.28,14477,0
INMB.US,5,20210922,215000,19.215,19.3,19.15,19.15,7477,0
INMB.US,5,20210922,215500,19.18,19.24,19.1,19.21,13695,0
