<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IOACU.US,5,20211028,153000,10.1,10.1,10.07,10.1,12339,0
IOACU.US,5,20211028,154500,10.09,10.1,10.09,10.1,27800,0
IOACU.US,5,20211028,155500,10.09,10.09,10.08,10.08,6700,0
IOACU.US,5,20211028,160000,10.07,10.07,10.07,10.07,14500,0
IOACU.US,5,20211028,163000,10.08,10.08,10.08,10.08,4100,0
IOACU.US,5,20211028,163500,10.08,10.08,10.08,10.08,120,0
IOACU.US,5,20211028,164500,10.085,10.085,10.085,10.085,5000,0
IOACU.US,5,20211028,171000,10.08,10.08,10.08,10.08,14800,0
IOACU.US,5,20211028,171500,10.07,10.07,10.07,10.07,200,0
IOACU.US,5,20211028,174500,10.08,10.08,10.08,10.08,2665,0
IOACU.US,5,20211028,175000,10.085,10.09,10.085,10.09,15504,0
IOACU.US,5,20211028,180000,10.08,10.08,10.08,10.08,5000,0
IOACU.US,5,20211028,183500,10.08,10.08,10.08,10.08,4800,0
IOACU.US,5,20211028,184500,10.08,10.08,10.08,10.08,254500,0
IOACU.US,5,20211028,185000,10.08,10.08,10.08,10.08,20000,0
IOACU.US,5,20211028,185500,10.08,10.08,10.08,10.08,400,0
IOACU.US,5,20211028,190000,10.08,10.08,10.08,10.08,1000,0
IOACU.US,5,20211028,191500,10.08,10.08,10.08,10.08,600,0
IOACU.US,5,20211028,201500,10.08,10.08,10.08,10.08,4900,0
IOACU.US,5,20211028,202000,10.08,10.08,10.08,10.08,13165,0
IOACU.US,5,20211028,204000,10.08,10.08,10.08,10.08,100,0
IOACU.US,5,20211028,215500,10.08,10.08,10.08,10.08,6200,0
IOACU.US,5,20211029,153000,10.05,10.05,10.05,10.05,2516,0
IOACU.US,5,20211029,154500,10.08,10.08,10.0799,10.0799,2600,0
IOACU.US,5,20211029,161500,10.0675,10.0675,10.0675,10.0675,100,0
IOACU.US,5,20211029,190000,10.0699,10.08,10.0698,10.08,2746,0
IOACU.US,5,20211029,214500,10.08,10.08,10.08,10.08,100,0
IOACU.US,5,20211029,215500,10.07,10.07,10.07,10.07,3100,0
IOACU.US,5,20211101,143000,10.1,10.12,10.07,10.07,4905,0
IOACU.US,5,20211101,153500,10.07,10.08,10.07,10.08,72060,0
IOACU.US,5,20211101,154000,10.09,10.09,10.09,10.09,30294,0
IOACU.US,5,20211101,155000,10.09,10.09,10.09,10.09,1000,0
IOACU.US,5,20211101,155500,10.08,10.08,10.08,10.08,1000,0
IOACU.US,5,20211101,160500,10.085,10.09,10.08,10.085,40000,0
IOACU.US,5,20211101,162500,10.09,10.09,10.08,10.08,900,0
IOACU.US,5,20211101,164500,10.08,10.09,10.08,10.08,16407,0
IOACU.US,5,20211101,165000,10.08,10.1,10.08,10.1,60949,0
IOACU.US,5,20211101,180500,10.0845,10.0845,10.0845,10.0845,2000,0
