<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KRTX.US,5,20210922,153000,120.22,120.22,118.44,118.44,612,0
KRTX.US,5,20210922,154000,118.624,119.32,117.08,117.398,6169,0
KRTX.US,5,20210922,154500,117.44,117.44,117.37,117.37,200,0
KRTX.US,5,20210922,160000,117.34,117.61,116.48,116.48,900,0
KRTX.US,5,20210922,160500,116.785,116.785,116.785,116.785,600,0
KRTX.US,5,20210922,161500,116.635,116.635,116.635,116.635,100,0
KRTX.US,5,20210922,162000,116.75,116.75,116.75,116.75,100,0
KRTX.US,5,20210922,162500,116.88,116.88,115.4,115.4,2255,0
KRTX.US,5,20210922,163000,115.86,116.71,115.86,115.9,755,0
KRTX.US,5,20210922,163500,116.3,117.97,115.88,117.97,5428,0
KRTX.US,5,20210922,164000,118.5,118.5,118.5,118.5,816,0
KRTX.US,5,20210922,165000,118.8,119.33,118.8,118.93,400,0
KRTX.US,5,20210922,165500,118.22,118.24,117.68,117.68,400,0
KRTX.US,5,20210922,171500,117.1,117.1,117.1,117.1,100,0
KRTX.US,5,20210922,172000,117.3,117.3,117.3,117.3,100,0
KRTX.US,5,20210922,173000,117.32,117.32,117.32,117.32,100,0
KRTX.US,5,20210922,173500,117.95,117.96,117.95,117.96,500,0
KRTX.US,5,20210922,180000,118.25,118.25,118.25,118.25,100,0
KRTX.US,5,20210922,180500,118.725,118.725,118.46,118.46,404,0
KRTX.US,5,20210922,183500,118.625,118.625,118.625,118.625,100,0
KRTX.US,5,20210922,190000,118.615,118.615,118.615,118.615,200,0
KRTX.US,5,20210922,190500,118.71,118.71,118.71,118.71,200,0
KRTX.US,5,20210922,191000,118.715,119.31,118.715,118.75,900,0
KRTX.US,5,20210922,193000,119.135,119.135,119.135,119.135,100,0
KRTX.US,5,20210922,193500,119,119,119,119,100,0
KRTX.US,5,20210922,194500,118.8,118.97,118.53,118.97,300,0
KRTX.US,5,20210922,195000,118.46,118.585,118.46,118.585,200,0
KRTX.US,5,20210922,195500,118.68,118.68,118.5,118.525,804,0
KRTX.US,5,20210922,200000,118.34,118.47,118.34,118.47,200,0
KRTX.US,5,20210922,200500,118.46,118.46,117.85,118.3,300,0
KRTX.US,5,20210922,201000,118.62,119.15,118.59,118.59,500,0
KRTX.US,5,20210922,201500,119.26,119.26,118.98,118.98,200,0
KRTX.US,5,20210922,202500,118.93,118.93,118.66,118.66,200,0
KRTX.US,5,20210922,203500,119,119.38,119,119.38,1041,0
KRTX.US,5,20210922,204000,119.01,119.09,119,119.09,479,0
KRTX.US,5,20210922,205000,118.5,118.71,118.5,118.71,200,0
KRTX.US,5,20210922,205500,118.51,118.51,118.51,118.51,100,0
KRTX.US,5,20210922,210000,118.29,118.29,118.14,118.14,200,0
KRTX.US,5,20210922,211000,118.56,118.89,118.345,118.74,700,0
KRTX.US,5,20210922,213000,118.715,118.715,118.69,118.69,400,0
KRTX.US,5,20210922,213500,118.455,118.455,118.455,118.455,100,0
KRTX.US,5,20210922,214000,118.46,118.46,118.31,118.31,200,0
KRTX.US,5,20210922,214500,118.34,118.6,118.34,118.56,300,0
KRTX.US,5,20210922,215000,118.79,118.86,118.34,118.34,1006,0
