<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LAMR.US,5,20210922,153000,115.42,115.68,115.15,115.68,10127,0
LAMR.US,5,20210922,153500,115.42,115.875,115.11,115.875,7366,0
LAMR.US,5,20210922,154000,115.78,115.79,115.46,115.46,700,0
LAMR.US,5,20210922,154500,115.5,115.5,115.21,115.21,7500,0
LAMR.US,5,20210922,155000,115.37,115.75,115.37,115.41,3275,0
LAMR.US,5,20210922,155500,115.46,115.57,115.36,115.445,5150,0
LAMR.US,5,20210922,160000,115.445,115.78,115.33,115.64,12800,0
LAMR.US,5,20210922,160500,115.69,116.42,115.69,116.35,8281,0
LAMR.US,5,20210922,161000,116.35,116.43,115.98,116.18,6033,0
LAMR.US,5,20210922,161500,116.08,116.49,116.08,116.215,3986,0
LAMR.US,5,20210922,162000,116.16,116.41,116.06,116.315,4921,0
LAMR.US,5,20210922,162500,116.315,116.67,116.29,116.67,4399,0
LAMR.US,5,20210922,163000,116.69,116.89,116.51,116.54,4931,0
LAMR.US,5,20210922,163500,116.62,116.685,116.49,116.61,7345,0
LAMR.US,5,20210922,164000,116.55,116.65,116.46,116.605,4992,0
LAMR.US,5,20210922,164500,116.62,116.68,116.41,116.48,5330,0
LAMR.US,5,20210922,165000,116.475,116.64,116.45,116.6,6000,0
LAMR.US,5,20210922,165500,116.59,116.63,116.41,116.63,5026,0
LAMR.US,5,20210922,170000,116.72,116.78,116.695,116.72,1800,0
LAMR.US,5,20210922,170500,116.8,117.04,116.78,116.78,2318,0
LAMR.US,5,20210922,171000,116.785,117.215,116.76,117.215,3618,0
LAMR.US,5,20210922,171500,117.21,117.52,117.16,117.52,3100,0
LAMR.US,5,20210922,172000,117.48,117.48,117.18,117.29,4096,0
LAMR.US,5,20210922,172500,117.33,117.51,117.33,117.42,2953,0
LAMR.US,5,20210922,173000,117.42,117.6,117.42,117.6,4993,0
LAMR.US,5,20210922,173500,117.61,117.675,117.33,117.41,4300,0
LAMR.US,5,20210922,174000,117.365,117.5,117.365,117.455,7376,0
LAMR.US,5,20210922,174500,117.47,117.53,117.41,117.515,11300,0
LAMR.US,5,20210922,175000,117.45,117.79,117.41,117.59,4000,0
LAMR.US,5,20210922,175500,117.7,117.84,117.68,117.83,1900,0
LAMR.US,5,20210922,180000,117.745,117.9,117.745,117.9,2846,0
LAMR.US,5,20210922,180500,117.89,118.05,117.73,117.73,3128,0
LAMR.US,5,20210922,181000,117.744,117.79,117.67,117.67,1944,0
LAMR.US,5,20210922,181500,117.695,117.695,117.58,117.59,3500,0
LAMR.US,5,20210922,182000,117.605,117.64,117.595,117.6,1100,0
LAMR.US,5,20210922,182500,117.63,117.76,117.588,117.76,3255,0
LAMR.US,5,20210922,183000,117.76,117.9,117.75,117.9,1600,0
LAMR.US,5,20210922,183500,117.93,117.96,117.86,117.86,2351,0
LAMR.US,5,20210922,184000,117.84,117.9,117.82,117.849,1407,0
LAMR.US,5,20210922,184500,117.86,117.86,117.62,117.77,3100,0
LAMR.US,5,20210922,185000,117.78,117.78,117.525,117.525,1402,0
LAMR.US,5,20210922,185500,117.55,117.69,117.47,117.5,7595,0
LAMR.US,5,20210922,190000,117.565,117.565,116.96,117.04,4806,0
LAMR.US,5,20210922,190500,117.07,117.11,116.97,117.02,1800,0
LAMR.US,5,20210922,191000,117.065,117.1,117.065,117.09,400,0
LAMR.US,5,20210922,191500,117.27,117.405,117.27,117.38,713,0
LAMR.US,5,20210922,192000,117.37,117.37,117.31,117.31,1696,0
LAMR.US,5,20210922,192500,117.35,117.65,117.35,117.6,2279,0
LAMR.US,5,20210922,193000,117.605,117.9,117.58,117.9,1575,0
LAMR.US,5,20210922,193500,117.92,118,117.79,117.99,3914,0
LAMR.US,5,20210922,194000,117.93,118.08,117.92,118,2610,0
LAMR.US,5,20210922,194500,117.96,118,117.78,117.82,2425,0
LAMR.US,5,20210922,195000,117.77,117.91,117.77,117.815,1100,0
LAMR.US,5,20210922,195500,117.836,118.06,117.835,117.925,4663,0
LAMR.US,5,20210922,200000,117.925,118.2,117.75,118.2,3751,0
LAMR.US,5,20210922,200500,118.225,118.28,117.925,117.995,4300,0
LAMR.US,5,20210922,201000,118.015,118.44,117.985,118.44,4300,0
LAMR.US,5,20210922,201500,118.45,118.605,118.26,118.3,4037,0
LAMR.US,5,20210922,202000,118.285,118.345,118.065,118.2,2800,0
LAMR.US,5,20210922,202500,118.155,118.45,118.155,118.43,2100,0
LAMR.US,5,20210922,203000,118.5,118.78,118.32,118.65,5150,0
LAMR.US,5,20210922,203500,118.65,118.65,118.27,118.44,2821,0
LAMR.US,5,20210922,204000,118.42,118.42,118.17,118.33,2100,0
LAMR.US,5,20210922,204500,118.31,118.31,117.84,117.96,5722,0
LAMR.US,5,20210922,205000,117.84,117.87,117.64,117.79,6700,0
LAMR.US,5,20210922,205500,117.83,117.83,117.54,117.76,3933,0
LAMR.US,5,20210922,210000,117.72,117.83,117.66,117.81,2661,0
LAMR.US,5,20210922,210500,117.84,118.028,117.77,117.91,4210,0
LAMR.US,5,20210922,211000,117.93,118.16,117.91,118.105,2600,0
LAMR.US,5,20210922,211500,118.09,118.23,118.06,118.23,2830,0
LAMR.US,5,20210922,212000,118.19,118.29,118.185,118.2,2800,0
LAMR.US,5,20210922,212500,118.245,118.245,118.055,118.055,5067,0
LAMR.US,5,20210922,213000,117.99,118.04,117.605,117.66,4729,0
LAMR.US,5,20210922,213500,117.66,117.75,117.57,117.6,8200,0
LAMR.US,5,20210922,214000,117.62,117.65,117.38,117.475,9679,0
LAMR.US,5,20210922,214500,117.5,117.562,117.255,117.3,11585,0
LAMR.US,5,20210922,215000,117.275,117.29,117,117.07,17333,0
LAMR.US,5,20210922,215500,117,117.12,116.96,116.99,76158,0
LAMR.US,5,20210923,153000,117.71,118.14,117.65,118.14,4224,0
LAMR.US,5,20210923,153500,118.52,118.55,118.51,118.55,400,0
LAMR.US,5,20210923,154000,118.63,118.83,118.41,118.71,3515,0
LAMR.US,5,20210923,154500,118.665,118.755,118.435,118.5,3100,0
LAMR.US,5,20210923,155000,118.45,118.5,118.435,118.45,1000,0
LAMR.US,5,20210923,155500,118.48,118.48,118.205,118.24,3100,0
LAMR.US,5,20210923,160000,118.24,118.29,118.19,118.26,772,0
LAMR.US,5,20210923,160500,118.11,118.15,117.875,117.96,14386,0
LAMR.US,5,20210923,161000,118.04,118.292,118.04,118.186,1850,0
LAMR.US,5,20210923,161500,118.18,118.18,117.989,118.033,1105,0
LAMR.US,5,20210923,162000,118.07,118.218,117.84,117.84,1500,0
LAMR.US,5,20210923,162500,117.875,118.008,117.76,117.76,1966,0
LAMR.US,5,20210923,163000,117.76,118.06,117.76,118.06,2309,0
LAMR.US,5,20210923,163500,118.02,118.04,117.785,117.785,1100,0
LAMR.US,5,20210923,164000,117.83,117.84,117.77,117.785,600,0
LAMR.US,5,20210923,164500,117.85,117.85,117.85,117.85,100,0
LAMR.US,5,20210923,165000,118.175,118.195,118.11,118.195,2100,0
LAMR.US,5,20210923,165500,118.15,118.15,117.795,117.795,1685,0
LAMR.US,5,20210923,170000,117.92,117.92,117.77,117.845,5581,0
LAMR.US,5,20210923,170500,118.08,118.35,118.08,118.19,4543,0
LAMR.US,5,20210923,171000,118.249,118.34,118.19,118.19,2744,0
LAMR.US,5,20210923,171500,118.22,118.56,118.22,118.53,3589,0
LAMR.US,5,20210923,172000,118.43,118.505,118.43,118.485,1600,0
LAMR.US,5,20210923,172500,118.485,118.555,118.23,118.385,4503,0
LAMR.US,5,20210923,173000,118.455,118.455,118.35,118.35,4178,0
LAMR.US,5,20210923,173500,118.29,118.45,118.19,118.35,2643,0
LAMR.US,5,20210923,174000,118.37,118.4,118.275,118.28,2502,0
LAMR.US,5,20210923,174500,118.24,118.55,118.17,118.55,17393,0
LAMR.US,5,20210923,175000,118.42,118.53,118.32,118.32,3965,0
LAMR.US,5,20210923,175500,118.32,118.32,118.01,118.02,6106,0
LAMR.US,5,20210923,180000,118.095,118.115,117.98,118.06,2743,0
LAMR.US,5,20210923,180500,118.12,118.32,118.12,118.21,2083,0
LAMR.US,5,20210923,181000,118.235,118.37,118.23,118.261,900,0
LAMR.US,5,20210923,181500,118.335,118.37,118.31,118.31,1328,0
LAMR.US,5,20210923,182000,118.34,118.37,118.33,118.34,3049,0
LAMR.US,5,20210923,182500,118.34,118.48,118.31,118.48,2000,0
