<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LDHA.US,5,20210928,153000,9.75,9.75,9.75,9.75,438,0
LDHA.US,5,20210928,213000,9.74,9.74,9.74,9.74,100,0
LDHA.US,5,20210930,200000,9.73,9.73,9.73,9.73,100,0
LDHA.US,5,20211001,175000,9.73,9.73,9.73,9.73,300,0
LDHA.US,5,20211001,192000,9.76,9.76,9.76,9.76,2400,0
LDHA.US,5,20211001,201000,9.77,9.77,9.77,9.77,100,0
LDHA.US,5,20211001,202000,9.77,9.77,9.77,9.77,100,0
LDHA.US,5,20211001,204000,9.77,9.77,9.77,9.77,100,0
LDHA.US,5,20211001,211000,9.77,9.77,9.77,9.77,200,0
LDHA.US,5,20211001,214500,9.77,9.77,9.77,9.77,100,0
LDHA.US,5,20211001,215000,9.75,9.77,9.75,9.77,460,0
LDHA.US,5,20211004,160000,9.71,9.77,9.71,9.77,300,0
LDHA.US,5,20211004,171000,9.77,9.77,9.77,9.77,100,0
LDHA.US,5,20211004,211000,9.75,9.75,9.75,9.75,300,0
LDHA.US,5,20211004,211500,9.79,9.79,9.79,9.79,200,0
LDHA.US,5,20211004,212000,9.75,9.76,9.75,9.76,200,0
LDHA.US,5,20211004,212500,9.76,9.76,9.76,9.76,200,0
LDHA.US,5,20211004,213000,9.76,9.76,9.76,9.76,300,0
LDHA.US,5,20211004,213500,9.77,9.77,9.77,9.77,200,0
LDHA.US,5,20211004,214000,9.78,9.78,9.78,9.78,200,0
LDHA.US,5,20211004,214500,9.78,9.78,9.78,9.78,400,0
LDHA.US,5,20211004,215000,9.78,9.78,9.78,9.78,200,0
LDHA.US,5,20211004,215500,9.78,9.78,9.78,9.78,458,0
LDHA.US,5,20211006,213500,9.6801,9.6801,9.68,9.68,900,0
LDHA.US,5,20211006,215000,9.74,9.74,9.725,9.725,3245,0
LDHA.US,5,20211006,215500,9.74,9.74,9.74,9.74,100,0
LDHA.US,5,20211007,155500,9.73,9.73,9.73,9.73,500,0
LDHA.US,5,20211007,161000,9.73,9.73,9.73,9.73,100,0
LDHA.US,5,20211007,211500,9.74,9.74,9.74,9.74,100,0
LDHA.US,5,20211007,213000,9.74,9.74,9.74,9.74,100,0
LDHA.US,5,20211008,153000,9.74,9.76,9.74,9.76,318,0
LDHA.US,5,20211008,162500,9.74,9.76,9.74,9.76,2800,0
LDHA.US,5,20211008,163500,9.77,9.77,9.77,9.77,100,0
LDHA.US,5,20211008,165000,9.77,9.77,9.77,9.77,100,0
LDHA.US,5,20211008,171000,9.77,9.77,9.77,9.77,100,0
LDHA.US,5,20211008,212000,9.77,9.77,9.77,9.77,100,0
LDHA.US,5,20211008,215500,9.77,9.77,9.77,9.77,900,0
LDHA.US,5,20211011,160000,9.77,9.77,9.77,9.77,259000,0
LDHA.US,5,20211011,203500,9.77,9.77,9.77,9.77,36995,0
LDHA.US,5,20211011,211500,9.79,9.79,9.79,9.79,1300,0
LDHA.US,5,20211011,212000,9.79,9.79,9.79,9.79,1500,0
LDHA.US,5,20211011,213500,9.85,9.85,9.85,9.85,100,0
LDHA.US,5,20211011,214500,9.85,9.85,9.85,9.85,100,0
LDHA.US,5,20211011,215000,9.85,9.85,9.85,9.85,100,0
LDHA.US,5,20211011,215500,9.85,9.85,9.85,9.85,200,0
LDHA.US,5,20211013,162000,9.7,9.7,9.7,9.7,2000,0
LDHA.US,5,20211013,162500,9.74,9.75,9.74,9.75,2936,0
LDHA.US,5,20211013,164000,9.74,9.74,9.72,9.72,1800,0
LDHA.US,5,20211013,165500,9.74,9.74,9.74,9.74,100,0
LDHA.US,5,20211013,170500,9.74,9.74,9.74,9.74,100,0
LDHA.US,5,20211013,172000,9.74,9.74,9.74,9.74,100,0
LDHA.US,5,20211013,173000,9.74,9.74,9.74,9.74,100,0
LDHA.US,5,20211013,174500,9.74,9.74,9.74,9.74,100,0
LDHA.US,5,20211013,175500,9.74,9.74,9.74,9.74,1400,0
