<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LFTR.US,5,20210922,155000,9.75,9.75,9.75,9.75,100,0
LFTR.US,5,20210922,155500,9.75,9.75,9.75,9.75,300,0
LFTR.US,5,20210922,160000,9.77,9.7849,9.77,9.7841,650,0
LFTR.US,5,20210922,160500,9.7896,9.7896,9.7504,9.7504,200,0
LFTR.US,5,20210922,163000,9.76,9.76,9.76,9.76,495,0
LFTR.US,5,20210922,174500,9.75,9.75,9.75,9.75,200,0
LFTR.US,5,20210922,184000,9.75,9.75,9.75,9.75,100,0
LFTR.US,5,20210922,195500,9.7583,9.7583,9.7583,9.7583,100,0
LFTR.US,5,20210922,200000,9.751,9.7518,9.751,9.7518,400,0
LFTR.US,5,20210922,202000,9.7539,9.7539,9.7539,9.7539,100,0
LFTR.US,5,20210922,212500,9.751,9.751,9.751,9.751,139,0
LFTR.US,5,20210922,213000,9.7754,9.7754,9.7754,9.7754,149,0
LFTR.US,5,20210922,215500,9.7799,9.78,9.7799,9.78,1504,0
LFTR.US,5,20210923,160000,9.7754,9.7754,9.7754,9.7754,421,0
LFTR.US,5,20210923,160500,9.7743,9.7743,9.7743,9.7743,140,0
LFTR.US,5,20210923,161500,9.78,9.78,9.78,9.78,150,0
LFTR.US,5,20210923,165500,9.75,9.75,9.75,9.75,235,0
LFTR.US,5,20210923,170500,9.7501,9.7501,9.7501,9.7501,232,0
LFTR.US,5,20210923,171000,9.757,9.757,9.757,9.757,100,0
LFTR.US,5,20210923,182500,9.76,9.7646,9.76,9.7646,500,0
LFTR.US,5,20210923,193000,9.7683,9.7683,9.7683,9.7683,182,0
LFTR.US,5,20210923,215500,9.78,9.78,9.78,9.78,273,0
LFTR.US,5,20210924,153000,9.78,9.78,9.78,9.78,914,0
LFTR.US,5,20210924,172000,9.764,9.764,9.764,9.764,100,0
LFTR.US,5,20210924,180500,9.7777,9.7777,9.7777,9.7777,419,0
LFTR.US,5,20210924,191500,9.76,9.76,9.76,9.76,100,0
LFTR.US,5,20210924,204500,9.765,9.765,9.765,9.765,299,0
LFTR.US,5,20210924,214000,9.763,9.763,9.763,9.763,200,0
LFTR.US,5,20210924,215500,9.78,9.78,9.78,9.78,100,0
LFTR.US,5,20210927,153000,9.75,9.75,9.75,9.75,140,0
LFTR.US,5,20210927,182500,9.77,9.77,9.77,9.77,200,0
LFTR.US,5,20210927,191500,9.78,9.78,9.78,9.78,12816,0
LFTR.US,5,20210927,192500,9.785,9.785,9.785,9.785,100,0
LFTR.US,5,20210927,193500,9.79,9.79,9.79,9.79,100,0
LFTR.US,5,20210927,194500,9.79,9.79,9.79,9.79,100,0
LFTR.US,5,20210927,195000,9.79,9.79,9.79,9.79,100,0
LFTR.US,5,20210927,200000,9.79,9.79,9.79,9.79,100,0
LFTR.US,5,20210927,200500,9.79,9.79,9.79,9.79,100,0
LFTR.US,5,20210927,201500,9.79,9.79,9.79,9.79,1538,0
LFTR.US,5,20210927,203000,9.79,9.79,9.79,9.79,100,0
LFTR.US,5,20210927,204500,9.79,9.79,9.79,9.79,100,0
LFTR.US,5,20210927,210000,9.79,9.79,9.785,9.785,320,0
LFTR.US,5,20210927,210500,9.7801,9.7801,9.7801,9.7801,200,0
LFTR.US,5,20210927,211500,9.79,9.79,9.79,9.79,100,0
LFTR.US,5,20210927,213000,9.79,9.79,9.79,9.79,100,0
LFTR.US,5,20210927,213500,9.785,9.785,9.785,9.785,100,0
LFTR.US,5,20210927,215000,9.79,9.79,9.79,9.79,100,0
LFTR.US,5,20210927,215500,9.79,9.79,9.79,9.79,1149,0
LFTR.US,5,20210928,165500,9.79,9.79,9.76,9.76,500,0
LFTR.US,5,20210928,194000,9.7623,9.7623,9.7623,9.7623,207,0
LFTR.US,5,20210928,203000,9.76,9.76,9.76,9.76,4500,0
LFTR.US,5,20210928,203500,9.7605,9.7699,9.76,9.7699,700,0
LFTR.US,5,20210928,204000,9.76,9.7602,9.76,9.7602,500,0
LFTR.US,5,20210928,215500,9.77,9.77,9.76,9.76,1634,0
LFTR.US,5,20210929,155500,9.7601,9.7601,9.7601,9.7601,359,0
LFTR.US,5,20210929,162000,9.76,9.76,9.76,9.76,450,0
LFTR.US,5,20210929,163000,9.79,9.79,9.79,9.79,198,0
LFTR.US,5,20210929,183500,9.775,9.775,9.775,9.775,700,0
LFTR.US,5,20210929,185000,9.775,9.775,9.775,9.775,100,0
LFTR.US,5,20210929,202500,9.77,9.77,9.77,9.77,150,0
LFTR.US,5,20210929,203000,9.761,9.78,9.76,9.78,1335,0
LFTR.US,5,20210929,211500,9.77,9.77,9.77,9.77,200,0
LFTR.US,5,20210929,215500,9.79,9.79,9.79,9.79,100,0
LFTR.US,5,20210930,153000,9.79,9.79,9.79,9.79,3661,0
LFTR.US,5,20210930,153500,9.79,9.79,9.79,9.79,6000,0
LFTR.US,5,20210930,154000,9.79,9.79,9.79,9.79,9100,0
LFTR.US,5,20210930,154500,9.79,9.79,9.79,9.79,30939,0
LFTR.US,5,20210930,155500,9.77,9.79,9.77,9.79,122574,0
LFTR.US,5,20210930,160000,9.77,9.77,9.77,9.77,200,0
LFTR.US,5,20210930,160500,9.775,9.775,9.775,9.775,150,0
LFTR.US,5,20210930,161000,9.76,9.76,9.76,9.76,200,0
LFTR.US,5,20210930,162000,9.76,9.76,9.76,9.76,200,0
LFTR.US,5,20210930,163000,9.76,9.76,9.76,9.76,200,0
LFTR.US,5,20210930,165000,9.76,9.76,9.76,9.76,100,0
LFTR.US,5,20210930,170000,9.7638,9.7638,9.7638,9.7638,700,0
LFTR.US,5,20210930,170500,9.76,9.79,9.76,9.79,131126,0
LFTR.US,5,20210930,171000,9.76,9.76,9.76,9.76,100,0
LFTR.US,5,20210930,172000,9.76,9.76,9.76,9.76,100,0
