<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LRMR.US,5,20210922,153000,11.53,11.53,11.355,11.355,569,0
LRMR.US,5,20210922,153500,11.57,11.57,11.57,11.57,100,0
LRMR.US,5,20210922,154500,11.54,11.54,11.54,11.54,100,0
LRMR.US,5,20210922,160000,11.48,11.48,11.48,11.48,100,0
LRMR.US,5,20210922,160500,11.48,11.485,11.48,11.485,200,0
LRMR.US,5,20210922,161500,11.7,11.75,11.7,11.75,200,0
LRMR.US,5,20210922,162000,11.79,11.79,11.79,11.79,100,0
LRMR.US,5,20210922,162500,11.7,11.7,11.7,11.7,200,0
LRMR.US,5,20210922,163000,11.7,11.7,11.7,11.7,300,0
LRMR.US,5,20210922,171000,11.63,11.935,11.63,11.935,300,0
LRMR.US,5,20210922,174500,12.015,12.015,12.015,12.015,200,0
LRMR.US,5,20210922,181000,12.1483,12.1483,11.65,11.65,266,0
LRMR.US,5,20210922,181500,12.35,12.35,12.35,12.35,100,0
LRMR.US,5,20210922,182500,12.095,12.095,12.095,12.095,100,0
LRMR.US,5,20210922,183500,12.18,12.18,11.98,11.98,200,0
LRMR.US,5,20210922,184000,11.965,11.965,11.965,11.965,100,0
LRMR.US,5,20210922,190000,12.1,12.1,12.1,12.1,100,0
LRMR.US,5,20210922,193500,11.89,12.06,11.89,12.06,1600,0
LRMR.US,5,20210922,194000,11.985,11.985,11.985,11.985,100,0
LRMR.US,5,20210922,195000,11.98,12.18,11.88,12.18,5213,0
LRMR.US,5,20210922,195500,12.045,12.045,12.045,12.045,100,0
LRMR.US,5,20210922,201500,12.06,12.06,12.06,12.06,100,0
LRMR.US,5,20210922,203000,12.065,12.1,11.97,11.97,300,0
LRMR.US,5,20210922,204000,12.025,12.1,12.025,12.025,1600,0
LRMR.US,5,20210922,205000,11.95,11.95,11.8,11.8,2180,0
LRMR.US,5,20210922,205500,11.895,11.895,11.895,11.895,100,0
LRMR.US,5,20210922,210000,11.8301,11.95,11.8301,11.91,1700,0
LRMR.US,5,20210922,210500,11.99,12,11.99,12,200,0
LRMR.US,5,20210922,211000,11.915,11.92,11.915,11.92,200,0
LRMR.US,5,20210922,212000,11.95,12.1,11.93,12.1,1700,0
LRMR.US,5,20210922,212500,12.15,12.19,12.14,12.19,300,0
LRMR.US,5,20210922,213500,12.07,12.125,12.07,12.125,400,0
LRMR.US,5,20210922,214000,12.07,12.17,12.07,12.16,425,0
LRMR.US,5,20210922,214500,12.13,12.135,12.049,12.049,700,0
LRMR.US,5,20210922,215000,12.04,12.04,12.04,12.04,200,0
LRMR.US,5,20210922,215500,12.155,12.16,12.04,12.15,2526,0
LRMR.US,5,20210923,153000,12.17,12.17,11.85,11.85,211,0
LRMR.US,5,20210923,153500,12,12,12,12,100,0
LRMR.US,5,20210923,161000,12.05,12.05,12.05,12.05,226,0
LRMR.US,5,20210923,162500,12.02,12.02,12.02,12.02,100,0
LRMR.US,5,20210923,164000,12.135,12.135,12.135,12.135,100,0
LRMR.US,5,20210923,164500,12,12.13,12,12.13,1100,0
LRMR.US,5,20210923,173500,12.075,12.075,12.075,12.075,100,0
LRMR.US,5,20210923,182000,11.95,12.03,11.9,12.03,300,0
LRMR.US,5,20210923,182500,11.94,11.94,11.86,11.86,200,0
LRMR.US,5,20210923,184500,11.96,12,11.92,11.975,500,0
LRMR.US,5,20210923,185000,11.98,12.19,11.98,12.19,300,0
LRMR.US,5,20210923,192500,12.05,12.05,12.05,12.05,100,0
LRMR.US,5,20210923,193000,12.11,12.11,12.11,12.11,100,0
LRMR.US,5,20210923,200500,12.03,12.19,12,12.03,1612,0
LRMR.US,5,20210923,201000,11.92,11.92,11.85,11.85,300,0
LRMR.US,5,20210923,203000,12.005,12.005,12.005,12.005,100,0
LRMR.US,5,20210923,204000,11.945,11.95,11.945,11.95,200,0
LRMR.US,5,20210923,204500,11.98,11.99,11.98,11.99,200,0
LRMR.US,5,20210923,205500,11.91,11.91,11.91,11.91,100,0
LRMR.US,5,20210923,210500,11.93,11.93,11.82,11.82,1980,0
LRMR.US,5,20210923,211000,11.82,11.885,11.82,11.885,300,0
LRMR.US,5,20210923,213000,11.9,11.9,11.9,11.9,147,0
LRMR.US,5,20210923,213500,11.94,11.94,11.9,11.9,500,0
LRMR.US,5,20210923,214000,11.85,11.9,11.85,11.9,400,0
LRMR.US,5,20210923,214500,11.9,11.97,11.9,11.97,1443,0
LRMR.US,5,20210923,215000,11.975,11.99,11.93,11.93,900,0
LRMR.US,5,20210923,215500,12.01,12.01,11.97,11.97,2916,0
LRMR.US,5,20210924,153000,11.75,11.75,11.75,11.75,316,0
LRMR.US,5,20210924,153500,12.1,12.56,12.08,12.08,1100,0
LRMR.US,5,20210924,154500,12.305,12.48,12.285,12.3,26678,0
LRMR.US,5,20210924,155000,12.3,12.5,12.3,12.35,23892,0
LRMR.US,5,20210924,161000,12.725,12.725,12.725,12.725,1000,0
LRMR.US,5,20210924,162500,12.75,12.75,12.75,12.75,100,0
LRMR.US,5,20210924,164000,12.51,12.51,12.51,12.51,250,0
LRMR.US,5,20210924,165500,12.55,12.55,12.53,12.53,449,0
LRMR.US,5,20210924,171000,12.53,12.53,12.53,12.53,100,0
LRMR.US,5,20210924,181000,12.681,12.681,12.681,12.681,100,0
LRMR.US,5,20210924,190000,12.7312,12.7312,12.7312,12.7312,200,0
LRMR.US,5,20210924,193000,12.75,12.75,12.641,12.641,400,0
LRMR.US,5,20210924,194500,12.8,12.8,12.8,12.8,200,0
LRMR.US,5,20210924,195000,12.7197,12.7197,12.7197,12.7197,250,0
LRMR.US,5,20210924,200000,12.6605,12.6605,12.64,12.64,1100,0
LRMR.US,5,20210924,202000,12.49,12.49,12.271,12.271,900,0
LRMR.US,5,20210924,202500,12.4,12.4,12.4,12.4,500,0
LRMR.US,5,20210924,205500,12.33,12.33,12.16,12.16,824,0
LRMR.US,5,20210924,210000,12.25,12.25,12.25,12.25,100,0
LRMR.US,5,20210924,210500,12.305,12.305,12.305,12.305,100,0
LRMR.US,5,20210924,211000,12.29,12.29,12.29,12.29,100,0
LRMR.US,5,20210924,212000,12.38,12.48,12.33,12.48,820,0
LRMR.US,5,20210924,213000,12.49,12.49,12.49,12.49,300,0
