<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MACAU.US,5,20210927,160000,9.94,9.94,9.94,9.94,200,0
MACAU.US,5,20210927,162000,9.94,9.94,9.94,9.94,850,0
MACAU.US,5,20210927,213000,10.02,10.02,10.01,10.0188,2200,0
MACAU.US,5,20210928,212000,9.92,9.99,9.92,9.99,200,0
MACAU.US,5,20210930,191500,9.95,9.95,9.95,9.95,2450,0
MACAU.US,5,20211001,192000,9.99,9.99,9.99,9.99,700,0
MACAU.US,5,20211001,214500,9.99,9.99,9.99,9.99,200,0
MACAU.US,5,20211001,215500,9.99,9.99,9.99,9.99,900,0
MACAU.US,5,20211005,164000,9.9899,9.9899,9.9899,9.9899,200,0
MACAU.US,5,20211006,153000,9.99,9.99,9.99,9.99,100,0
MACAU.US,5,20211006,155000,9.94,9.94,9.94,9.94,100,0
MACAU.US,5,20211007,215500,9.99,9.99,9.99,9.99,100,0
MACAU.US,5,20211008,191500,9.97,9.97,9.955,9.955,300,0
MACAU.US,5,20211012,215500,9.99,9.99,9.99,9.99,100,0
MACAU.US,5,20211013,170000,9.99,9.99,9.99,9.99,100,0
MACAU.US,5,20211015,153000,9.9,9.9,9.9,9.9,955,0
MACAU.US,5,20211015,163000,9.95,9.95,9.95,9.95,127,0
MACAU.US,5,20211019,171000,9.99,9.99,9.99,9.99,200,0
MACAU.US,5,20211019,171500,9.99,9.99,9.99,9.99,100,0
MACAU.US,5,20211019,192000,9.99,9.99,9.99,9.99,100,0
MACAU.US,5,20211022,194500,10.05,10.05,10.0492,10.0492,2400,0
MACAU.US,5,20211026,182500,10,10,10,10,184,0
MACAU.US,5,20211027,195500,10,10,10,10,690,0
MACAU.US,5,20211027,205000,9.98,9.98,9.98,9.98,127,0
MACAU.US,5,20211027,214000,9.9801,9.9801,9.9801,9.9801,200,0
MACAU.US,5,20211027,215500,9.99,9.99,9.99,9.99,100,0
MACAU.US,5,20211028,201000,10.0098,10.0098,10.0098,10.0098,1000,0
MACAU.US,5,20211028,215000,10,10.0001,9.98,9.98,4241,0
MACAU.US,5,20211029,215500,9.99,10,9.99,9.99,450,0
MACAU.US,5,20211102,174000,9.97,9.97,9.97,9.97,100,0
MACAU.US,5,20211102,180500,10,10,10,10,1827,0
MACAU.US,5,20211105,155000,9.91,9.91,9.91,9.91,500,0
MACAU.US,5,20211105,174000,10.0498,10.0498,10.0498,10.0498,400,0
MACAU.US,5,20211108,162500,9.97,9.97,9.97,9.97,200,0
MACAU.US,5,20211108,163000,9.97,9.97,9.96,9.96,300,0
MACAU.US,5,20211108,163500,9.9,9.96,9.9,9.96,200,0
MACAU.US,5,20211108,164000,9.96,9.96,9.96,9.96,200,0
MACAU.US,5,20211108,164500,9.96,9.96,9.96,9.96,200,0
MACAU.US,5,20211108,165000,9.96,9.96,9.96,9.96,200,0
MACAU.US,5,20211108,165500,9.96,9.96,9.96,9.96,300,0
MACAU.US,5,20211108,170000,9.96,9.96,9.96,9.96,200,0
MACAU.US,5,20211108,170500,9.96,9.96,9.95,9.95,200,0
MACAU.US,5,20211108,171000,9.95,9.95,9.95,9.95,200,0
MACAU.US,5,20211108,171500,9.94,9.94,9.94,9.94,200,0
MACAU.US,5,20211108,172000,9.94,9.94,9.92,9.92,200,0
MACAU.US,5,20211108,172500,9.92,9.92,9.92,9.92,100,0
MACAU.US,5,20211108,173000,9.92,9.93,9.92,9.93,200,0
MACAU.US,5,20211108,173500,9.93,9.93,9.93,9.93,200,0
MACAU.US,5,20211108,174000,9.94,9.94,9.94,9.94,200,0
MACAU.US,5,20211108,174500,9.94,9.94,9.94,9.94,200,0
