<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MDRRP.US,5,20210922,161500,23.8,23.8,23.8,23.8,117,0
MDRRP.US,5,20210923,161500,23.7599,23.7599,23.7599,23.7599,100,0
MDRRP.US,5,20210924,173000,23.75,23.76,23.75,23.7599,1200,0
MDRRP.US,5,20210927,153000,22.83,22.83,22.83,22.83,100,0
MDRRP.US,5,20210928,163000,23.1001,23.1001,23.1001,23.1001,200,0
MDRRP.US,5,20210928,181500,23.1,23.1,23.1,23.1,100,0
MDRRP.US,5,20210928,194000,22.83,22.83,22,22,300,0
MDRRP.US,5,20210928,203000,22.96,23,22.96,23,822,0
MDRRP.US,5,20210928,212500,23,23,22.9713,23,799,0
MDRRP.US,5,20210929,174500,22.9885,22.9885,22.9885,22.9885,200,0
MDRRP.US,5,20210929,175500,23,23,23,23,500,0
MDRRP.US,5,20210929,180000,23,23,23,23,200,0
MDRRP.US,5,20210930,170000,22.96,22.96,22.96,22.96,100,0
MDRRP.US,5,20210930,170500,23,23,23,23,1250,0
MDRRP.US,5,20210930,175000,23,23,23,23,493,0
MDRRP.US,5,20210930,211500,23.99,23.99,23.99,23.99,100,0
MDRRP.US,5,20211001,155500,23.99,23.99,23.99,23.99,200,0
MDRRP.US,5,20211001,192000,24.44,24.44,24.44,24.44,100,0
MDRRP.US,5,20211001,194500,24.215,24.215,23.99,24.0912,300,0
MDRRP.US,5,20211008,171000,23.85,23.85,23.85,23.85,100,0
MDRRP.US,5,20211008,185500,23.95,23.95,23.95,23.95,100,0
MDRRP.US,5,20211011,193000,23.69,23.7,23.69,23.7,200,0
MDRRP.US,5,20211012,163500,23.54,23.54,23,23,1900,0
MDRRP.US,5,20211013,190500,23.47,23.47,23.47,23.47,100,0
MDRRP.US,5,20211014,185500,23.48,23.48,23.48,23.48,100,0
MDRRP.US,5,20211014,214000,23.08,23.08,23.05,23.05,897,0
MDRRP.US,5,20211015,180000,23.5,23.5,23.5,23.5,900,0
MDRRP.US,5,20211015,182000,23.5,23.5,23.5,23.5,100,0
MDRRP.US,5,20211018,170500,23.11,23.11,22.99,23,1900,0
MDRRP.US,5,20211018,172500,23.15,23.15,23.15,23.15,100,0
MDRRP.US,5,20211018,175000,23,23,23,23,100,0
MDRRP.US,5,20211018,192500,22.72,22.72,22.72,22.72,100,0
MDRRP.US,5,20211018,212000,22.75,22.75,22.75,22.75,300,0
MDRRP.US,5,20211019,155000,23.25,23.25,23.25,23.25,200,0
MDRRP.US,5,20211019,205000,23.34,23.34,23.34,23.34,165,0
MDRRP.US,5,20211020,191000,22.83,22.83,22.83,22.83,100,0
MDRRP.US,5,20211021,174000,22.98,23.42,22.98,23.42,600,0
MDRRP.US,5,20211021,174500,23.39,23.39,23.39,23.39,100,0
MDRRP.US,5,20211021,175000,23.06,23.165,23.06,23.165,300,0
MDRRP.US,5,20211021,181500,23.37,23.37,23.37,23.37,100,0
MDRRP.US,5,20211022,215500,22.83,22.83,22.83,22.83,100,0
MDRRP.US,5,20211028,211000,22.75,22.75,22.75,22.75,100,0
MDRRP.US,5,20211102,145500,23,23,23,23,100,0
MDRRP.US,5,20211102,184500,22.57,22.57,22.57,22.57,174,0
MDRRP.US,5,20211103,163500,23.4009,23.4009,23.4009,23.4009,500,0
MDRRP.US,5,20211104,155000,22.65,22.65,22.65,22.65,100,0
MDRRP.US,5,20211105,192500,22.75,22.75,22.75,22.75,100,0
MDRRP.US,5,20211105,202000,22.76,22.76,22.76,22.76,100,0
MDRRP.US,5,20211108,161500,22.97,23,22.97,23,429,0
MDRRP.US,5,20211109,164000,22.65,22.76,22.65,22.72,400,0
MDRRP.US,5,20211110,153000,22.71,22.71,22.71,22.71,100,0
MDRRP.US,5,20211111,211500,23.3,23.3,23.3,23.3,121,0
