<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NLOK.US,5,20210922,153000,25,25,24.75,24.84,68856,0
NLOK.US,5,20210922,153500,24.84,25.07,24.84,25.06,55081,0
NLOK.US,5,20210922,154000,25.06,25.08,24.95,24.96,10450,0
NLOK.US,5,20210922,154500,24.97,25.02,24.95,24.96,423843,0
NLOK.US,5,20210922,155000,24.97,25.03,24.955,25,149369,0
NLOK.US,5,20210922,155500,25,25.11,25,25.11,26059,0
NLOK.US,5,20210922,160000,25.115,25.21,25.11,25.165,25472,0
NLOK.US,5,20210922,160500,25.16,25.185,25.15,25.15,7787,0
NLOK.US,5,20210922,161000,25.155,25.175,25.15,25.175,8503,0
NLOK.US,5,20210922,161500,25.175,25.181,25.145,25.145,14630,0
NLOK.US,5,20210922,162000,25.145,25.18,25.09,25.09,56605,0
NLOK.US,5,20210922,162500,25.1,25.225,25.1,25.225,52688,0
NLOK.US,5,20210922,163000,25.23,25.24,25.195,25.205,8597,0
NLOK.US,5,20210922,163500,25.21,25.23,25.2,25.22,11039,0
NLOK.US,5,20210922,164000,25.21,25.21,25.12,25.14,14764,0
NLOK.US,5,20210922,164500,25.15,25.15,25.135,25.14,4352,0
NLOK.US,5,20210922,165000,25.14,25.14,25.12,25.12,6768,0
NLOK.US,5,20210922,165500,25.12,25.18,25.12,25.18,13300,0
NLOK.US,5,20210922,170000,25.175,25.2,25.13,25.13,19540,0
NLOK.US,5,20210922,170500,25.13,25.13,25.1,25.13,32199,0
NLOK.US,5,20210922,171000,25.12,25.15,25.09,25.14,10182,0
NLOK.US,5,20210922,171500,25.145,25.15,25.14,25.14,1938,0
NLOK.US,5,20210922,172000,25.142,25.1464,25.1,25.105,9359,0
NLOK.US,5,20210922,172500,25.11,25.1168,25.09,25.095,10986,0
NLOK.US,5,20210922,173000,25.09,25.15,25.09,25.12,23846,0
NLOK.US,5,20210922,173500,25.1201,25.125,25.11,25.12,6886,0
NLOK.US,5,20210922,174000,25.11,25.145,25.11,25.135,14378,0
NLOK.US,5,20210922,174500,25.1337,25.15,25.13,25.135,3649,0
NLOK.US,5,20210922,175000,25.14,25.17,25.115,25.13,24692,0
NLOK.US,5,20210922,175500,25.13,25.15,25.13,25.145,6501,0
NLOK.US,5,20210922,180000,25.15,25.15,25.12,25.12,4100,0
NLOK.US,5,20210922,180500,25.125,25.125,25.09,25.09,4722,0
NLOK.US,5,20210922,181000,25.095,25.11,25.08,25.105,9886,0
NLOK.US,5,20210922,181500,25.1,25.1,25.09,25.095,4192,0
NLOK.US,5,20210922,182000,25.095,25.095,25.065,25.065,6655,0
NLOK.US,5,20210922,182500,25.06,25.13,25.06,25.11,26787,0
NLOK.US,5,20210922,183000,25.11,25.13,25.11,25.115,4851,0
NLOK.US,5,20210922,183500,25.115,25.135,25.11,25.135,6800,0
NLOK.US,5,20210922,184000,25.14,25.14,25.11,25.11,6941,0
NLOK.US,5,20210922,184500,25.11,25.115,25.1,25.1008,4632,0
NLOK.US,5,20210922,185000,25.105,25.105,25.0405,25.065,45969,0
NLOK.US,5,20210922,185500,25.07,25.08,25.01,25.03,37105,0
NLOK.US,5,20210922,190000,25.035,25.04,25.015,25.015,7085,0
NLOK.US,5,20210922,190500,25.01,25.02,24.995,25.01,9244,0
NLOK.US,5,20210922,191000,25,25.01,24.98,24.98,3300,0
NLOK.US,5,20210922,191500,24.98,24.985,24.965,24.985,12718,0
NLOK.US,5,20210922,192000,24.98,24.98,24.965,24.965,2981,0
NLOK.US,5,20210922,192500,24.965,24.99,24.96,24.97,10237,0
NLOK.US,5,20210922,193000,24.97,24.98,24.96,24.96,4902,0
NLOK.US,5,20210922,193500,24.96,24.965,24.95,24.955,7150,0
NLOK.US,5,20210922,194000,24.955,24.955,24.94,24.945,8591,0
NLOK.US,5,20210922,194500,24.94,24.95,24.93,24.93,13681,0
NLOK.US,5,20210922,195000,24.925,24.98,24.905,24.965,57034,0
NLOK.US,5,20210922,195500,24.96,24.98,24.95,24.975,9901,0
NLOK.US,5,20210922,200000,24.97,25.08,24.93,25.08,25332,0
NLOK.US,5,20210922,200500,25.09,25.09,25.04,25.06,9298,0
NLOK.US,5,20210922,201000,25.0519,25.09,25.02,25.09,25647,0
NLOK.US,5,20210922,201500,25.09,25.1,25.07,25.07,8254,0
NLOK.US,5,20210922,202000,25.065,25.07,25.01,25.03,15709,0
NLOK.US,5,20210922,202500,25.03,25.06,25.025,25.06,4727,0
NLOK.US,5,20210922,203000,25.06,25.06,25.02,25.045,11181,0
NLOK.US,5,20210922,203500,25.035,25.035,24.9994,25.01,21321,0
NLOK.US,5,20210922,204000,25,25.01,24.97,25,14061,0
NLOK.US,5,20210922,204500,25,25.01,24.965,24.965,61425,0
NLOK.US,5,20210922,205000,24.96,25,24.93,24.99,18098,0
NLOK.US,5,20210922,205500,24.98,24.985,24.93,24.935,12838,0
NLOK.US,5,20210922,210000,24.93,24.95,24.92,24.925,18962,0
NLOK.US,5,20210922,210500,24.925,24.94,24.9,24.94,20111,0
NLOK.US,5,20210922,211000,24.94,24.99,24.935,24.98,14804,0
NLOK.US,5,20210922,211500,24.975,25,24.975,25,19099,0
NLOK.US,5,20210922,212000,24.99,25.01,24.98,24.985,19685,0
NLOK.US,5,20210922,212500,24.985,25,24.97,24.975,44958,0
NLOK.US,5,20210922,213000,24.975,24.98,24.91,24.93,39301,0
NLOK.US,5,20210922,213500,24.93,24.99,24.92,24.985,40317,0
NLOK.US,5,20210922,214000,24.98,24.99,24.94,24.955,38763,0
NLOK.US,5,20210922,214500,24.955,24.975,24.93,24.94,62772,0
NLOK.US,5,20210922,215000,24.93,24.97,24.915,24.96,75404,0
NLOK.US,5,20210922,215500,24.955,24.96,24.91,24.94,487607,0
NLOK.US,5,20210923,153000,24.95,25.05,24.9,25.005,56178,0
NLOK.US,5,20210923,153500,25.01,25.12,25,25.12,11733,0
NLOK.US,5,20210923,154000,25.13,25.19,25.09,25.19,22437,0
NLOK.US,5,20210923,154500,25.18,25.39,25.17,25.38,268776,0
NLOK.US,5,20210923,155000,25.39,25.42,25.31,25.375,146869,0
NLOK.US,5,20210923,155500,25.365,25.375,25.27,25.3,24381,0
NLOK.US,5,20210923,160000,25.29,25.37,25.29,25.33,13372,0
NLOK.US,5,20210923,160500,25.32,25.37,25.285,25.36,13785,0
NLOK.US,5,20210923,161000,25.35,25.41,25.34,25.375,25716,0
NLOK.US,5,20210923,161500,25.375,25.4,25.375,25.38,13409,0
NLOK.US,5,20210923,162000,25.37,25.465,25.37,25.465,37674,0
NLOK.US,5,20210923,162500,25.465,25.47,25.44,25.45,7541,0
NLOK.US,5,20210923,163000,25.44,25.49,25.43,25.485,9984,0
NLOK.US,5,20210923,163500,25.49,25.51,25.46,25.495,13455,0
NLOK.US,5,20210923,164000,25.5,25.5,25.48,25.49,5734,0
NLOK.US,5,20210923,164500,25.48,25.515,25.48,25.505,22454,0
NLOK.US,5,20210923,165000,25.505,25.515,25.485,25.485,25824,0
NLOK.US,5,20210923,165500,25.48,25.49,25.44,25.485,16242,0
NLOK.US,5,20210923,170000,25.49,25.53,25.485,25.495,9690,0
NLOK.US,5,20210923,170500,25.5,25.51,25.49,25.505,27367,0
NLOK.US,5,20210923,171000,25.495,25.58,25.49,25.555,42723,0
NLOK.US,5,20210923,171500,25.56,25.61,25.56,25.61,21228,0
NLOK.US,5,20210923,172000,25.6,25.64,25.595,25.605,18215,0
NLOK.US,5,20210923,172500,25.605,25.62,25.6,25.62,9531,0
NLOK.US,5,20210923,173000,25.615,25.615,25.58,25.59,17723,0
NLOK.US,5,20210923,173500,25.595,25.665,25.59,25.66,73462,0
NLOK.US,5,20210923,174000,25.67,25.675,25.65,25.665,14749,0
NLOK.US,5,20210923,174500,25.67,25.68,25.665,25.67,14196,0
NLOK.US,5,20210923,175000,25.675,25.675,25.63,25.657,35316,0
NLOK.US,5,20210923,175500,25.655,25.71,25.655,25.7,16296,0
NLOK.US,5,20210923,180000,25.6967,25.725,25.69,25.715,19987,0
NLOK.US,5,20210923,180500,25.715,25.725,25.65,25.66,60162,0
NLOK.US,5,20210923,181000,25.66,25.67,25.65,25.665,7194,0
NLOK.US,5,20210923,181500,25.67,25.685,25.6606,25.68,15808,0
NLOK.US,5,20210923,182000,25.685,25.69,25.63,25.635,26412,0
NLOK.US,5,20210923,182500,25.64,25.645,25.61,25.625,65827,0
NLOK.US,5,20210923,183000,25.63,25.645,25.625,25.625,7991,0
NLOK.US,5,20210923,183500,25.628,25.628,25.58,25.585,34620,0
NLOK.US,5,20210923,184000,25.585,25.635,25.585,25.63,20339,0
NLOK.US,5,20210923,184500,25.625,25.64,25.615,25.62,13300,0
NLOK.US,5,20210923,185000,25.615,25.635,25.61,25.615,14229,0
NLOK.US,5,20210923,185500,25.605,25.61,25.595,25.6,9874,0
NLOK.US,5,20210923,190000,25.595,25.64,25.59,25.64,31645,0
NLOK.US,5,20210923,190500,25.64,25.71,25.64,25.68,59352,0
