<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NRBO.US,5,20210922,153000,3.98,3.98,3.98,3.98,120,0
NRBO.US,5,20210922,154000,4.09,4.1,4.09,4.09,600,0
NRBO.US,5,20210922,160000,3.99,4.01,3.99,3.99,2446,0
NRBO.US,5,20210922,160500,3.9987,3.9987,3.94,3.94,2634,0
NRBO.US,5,20210922,162000,3.945,3.945,3.945,3.945,324,0
NRBO.US,5,20210922,163500,3.99,3.99,3.99,3.99,200,0
NRBO.US,5,20210922,164000,3.99,3.99,3.99,3.99,100,0
NRBO.US,5,20210922,164500,3.99,3.99,3.99,3.99,2000,0
NRBO.US,5,20210922,172000,4,4,3.99,3.99,200,0
NRBO.US,5,20210922,173500,3.996,3.996,3.996,3.996,1000,0
NRBO.US,5,20210922,180000,3.9661,3.9661,3.9661,3.9661,100,0
NRBO.US,5,20210922,180500,4,4.03,3.995,4.03,957,0
NRBO.US,5,20210922,182000,4.02,4.02,4.02,4.02,160,0
NRBO.US,5,20210922,183000,4.0109,4.04,4.0109,4.04,1600,0
NRBO.US,5,20210922,191000,4.01,4.04,4.0077,4.0078,800,0
NRBO.US,5,20210922,194000,4.04,4.04,4.04,4.04,200,0
NRBO.US,5,20210922,194500,4.0328,4.0399,4.02,4.0399,575,0
NRBO.US,5,20210922,195000,4.04,4.04,4.04,4.04,100,0
NRBO.US,5,20210922,201500,4.04,4.04,4.04,4.04,200,0
NRBO.US,5,20210922,204000,4.025,4.04,4.025,4.04,200,0
NRBO.US,5,20210922,204500,4.01,4.06,4.01,4.06,3250,0
NRBO.US,5,20210922,210000,4.0501,4.1,4.0501,4.1,775,0
NRBO.US,5,20210922,210500,4.0806,4.0806,4.0806,4.0806,100,0
NRBO.US,5,20210922,211000,4.1,4.1,4.075,4.075,200,0
NRBO.US,5,20210922,212500,4.1,4.1,4.07,4.07,200,0
NRBO.US,5,20210922,213000,4.06,4.0766,4.05,4.07,1800,0
NRBO.US,5,20210922,215000,4.06,4.06,4.05,4.05,630,0
NRBO.US,5,20210922,215500,4.07,4.07,4.04,4.06,403,0
NRBO.US,5,20210923,153000,4.1,4.1,4.085,4.09,721,0
NRBO.US,5,20210923,153500,4.08,4.1,4.08,4.1,1300,0
NRBO.US,5,20210923,154500,4.114,4.114,4.1,4.1,2600,0
NRBO.US,5,20210923,160500,4.06,4.0681,4.06,4.0681,642,0
NRBO.US,5,20210923,161000,4.05,4.05,4.05,4.05,800,0
NRBO.US,5,20210923,161500,4.075,4.075,4.075,4.075,135,0
NRBO.US,5,20210923,162000,4.05,4.05,4,4,3217,0
NRBO.US,5,20210923,162500,4.01,4.01,4.01,4.01,100,0
NRBO.US,5,20210923,163500,3.96,3.96,3.96,3.96,200,0
NRBO.US,5,20210923,164000,3.9901,3.9999,3.9881,3.9881,500,0
NRBO.US,5,20210923,165000,3.9904,3.9904,3.9904,3.9904,100,0
NRBO.US,5,20210923,165500,3.99,3.99,3.99,3.99,200,0
NRBO.US,5,20210923,175500,3.99,4,3.99,4,1700,0
NRBO.US,5,20210923,182000,3.97,3.97,3.97,3.97,878,0
NRBO.US,5,20210923,184000,3.95,3.95,3.95,3.95,100,0
NRBO.US,5,20210923,184500,3.95,3.95,3.95,3.95,100,0
NRBO.US,5,20210923,185500,3.95,3.95,3.95,3.95,100,0
NRBO.US,5,20210923,190000,3.9319,3.9319,3.9319,3.9319,300,0
NRBO.US,5,20210923,191000,3.95,3.97,3.947,3.947,878,0
NRBO.US,5,20210923,193500,3.94,3.94,3.93,3.9399,6000,0
NRBO.US,5,20210923,194000,3.9517,3.9517,3.9517,3.9517,100,0
NRBO.US,5,20210923,195000,3.96,3.96,3.96,3.96,398,0
NRBO.US,5,20210923,195500,3.9799,3.9906,3.9799,3.9906,600,0
NRBO.US,5,20210923,201000,3.96,3.96,3.96,3.96,1400,0
NRBO.US,5,20210923,202500,4.02,4.02,3.89,3.96,27987,0
NRBO.US,5,20210923,203000,3.93,4.02,3.93,3.975,22015,0
NRBO.US,5,20210923,203500,3.95,3.95,3.95,3.95,200,0
NRBO.US,5,20210923,210500,3.93,3.93,3.88,3.8802,977,0
NRBO.US,5,20210923,211500,3.89,3.89,3.87,3.8799,650,0
NRBO.US,5,20210923,212000,3.8775,3.88,3.83,3.83,860,0
NRBO.US,5,20210923,212500,3.8321,3.8321,3.8321,3.8321,100,0
NRBO.US,5,20210923,214000,3.86,3.86,3.85,3.86,1400,0
NRBO.US,5,20210923,214500,3.85,3.86,3.85,3.86,633,0
NRBO.US,5,20210923,215500,3.93,3.93,3.86,3.9,2220,0
NRBO.US,5,20210924,153000,3.87,3.9,3.861,3.861,580,0
NRBO.US,5,20210924,153500,3.86,3.86,3.86,3.86,199,0
NRBO.US,5,20210924,155000,3.88,3.91,3.88,3.91,300,0
NRBO.US,5,20210924,155500,3.91,3.9101,3.91,3.9101,3719,0
NRBO.US,5,20210924,160000,3.955,3.955,3.955,3.955,254,0
NRBO.US,5,20210924,160500,3.9232,3.9232,3.9232,3.9232,100,0
NRBO.US,5,20210924,161000,3.949,3.949,3.949,3.949,134,0
NRBO.US,5,20210924,161500,3.88,3.88,3.88,3.88,300,0
NRBO.US,5,20210924,163000,3.915,3.915,3.915,3.915,100,0
NRBO.US,5,20210924,164500,3.94,3.94,3.94,3.94,100,0
NRBO.US,5,20210924,171000,3.8876,3.8885,3.8876,3.8885,240,0
NRBO.US,5,20210924,171500,3.89,3.89,3.88,3.88,1600,0
NRBO.US,5,20210924,174500,3.9,3.9,3.9,3.9,100,0
NRBO.US,5,20210924,175500,3.89,3.89,3.89,3.89,100,0
NRBO.US,5,20210924,180000,3.8999,3.8999,3.89,3.89,500,0
NRBO.US,5,20210924,183500,3.85,3.85,3.85,3.85,100,0
NRBO.US,5,20210924,184000,3.8501,3.8501,3.8501,3.8501,300,0
NRBO.US,5,20210924,190000,3.9,3.9,3.9,3.9,100,0
NRBO.US,5,20210924,192000,3.89,3.89,3.89,3.89,100,0
NRBO.US,5,20210924,193500,3.8748,3.8748,3.85,3.85,629,0
NRBO.US,5,20210924,195500,3.84,3.84,3.8101,3.8101,1334,0
NRBO.US,5,20210924,200000,3.81,3.81,3.81,3.81,173,0
NRBO.US,5,20210924,202500,3.82,3.8417,3.82,3.8417,2315,0
NRBO.US,5,20210924,203000,3.85,3.85,3.85,3.85,525,0
NRBO.US,5,20210924,205500,3.9,3.9,3.9,3.9,100,0
NRBO.US,5,20210924,213500,3.88,3.88,3.88,3.88,100,0
NRBO.US,5,20210924,214000,3.86,3.86,3.86,3.86,1000,0
NRBO.US,5,20210924,215000,3.8369,3.8369,3.8369,3.8369,700,0
NRBO.US,5,20210924,215500,3.82,3.87,3.82,3.82,754,0
NRBO.US,5,20210927,153000,3.8,3.8,3.7365,3.7712,2075,0
NRBO.US,5,20210927,153500,3.7471,3.7471,3.69,3.71,950,0
NRBO.US,5,20210927,154500,3.7297,3.76,3.7297,3.76,325,0
NRBO.US,5,20210927,155000,3.73,3.75,3.73,3.73,700,0
NRBO.US,5,20210927,160000,3.7441,3.75,3.71,3.75,3247,0
NRBO.US,5,20210927,160500,3.72,3.7227,3.72,3.7227,700,0
NRBO.US,5,20210927,161000,3.7227,3.7227,3.72,3.72,400,0
NRBO.US,5,20210927,161500,3.75,3.75,3.712,3.727,1500,0
NRBO.US,5,20210927,162000,3.7448,3.7448,3.7448,3.7448,150,0
NRBO.US,5,20210927,162500,3.7349,3.7381,3.71,3.7381,7122,0
NRBO.US,5,20210927,163000,3.75,3.75,3.75,3.75,100,0
NRBO.US,5,20210927,164500,3.75,3.77,3.75,3.77,500,0
NRBO.US,5,20210927,165000,3.77,3.7707,3.77,3.7707,321,0
NRBO.US,5,20210927,170000,3.79,3.79,3.79,3.79,140,0
NRBO.US,5,20210927,170500,3.79,3.79,3.79,3.79,100,0
NRBO.US,5,20210927,171500,3.78,3.78,3.78,3.78,100,0
NRBO.US,5,20210927,172500,3.79,3.79,3.79,3.79,200,0
NRBO.US,5,20210927,173000,3.79,3.79,3.7757,3.78,544,0
NRBO.US,5,20210927,173500,3.79,3.79,3.79,3.79,100,0
NRBO.US,5,20210927,174500,3.77,3.77,3.77,3.77,204,0
NRBO.US,5,20210927,175500,3.7538,3.7538,3.7538,3.7538,303,0
NRBO.US,5,20210927,180000,3.7765,3.7765,3.7765,3.7765,500,0
NRBO.US,5,20210927,181000,3.78,3.78,3.765,3.765,2300,0
NRBO.US,5,20210927,181500,3.78,3.78,3.78,3.78,200,0
NRBO.US,5,20210927,182500,3.7631,3.7631,3.7631,3.7631,660,0
NRBO.US,5,20210927,184000,3.765,3.765,3.765,3.765,200,0
NRBO.US,5,20210927,184500,3.75,3.77,3.72,3.77,1974,0
NRBO.US,5,20210927,193000,3.79,3.79,3.79,3.79,100,0
NRBO.US,5,20210927,193500,3.79,3.79,3.77,3.77,2488,0
NRBO.US,5,20210927,200000,3.72,3.81,3.71,3.77,12846,0
NRBO.US,5,20210927,201500,3.7979,3.7979,3.7979,3.7979,1000,0
NRBO.US,5,20210927,203000,3.81,3.81,3.81,3.81,450,0
NRBO.US,5,20210927,204500,3.81,3.81,3.81,3.81,100,0
NRBO.US,5,20210927,205500,3.78,3.78,3.77,3.77,3560,0
NRBO.US,5,20210927,210000,3.77,3.77,3.77,3.77,3667,0
NRBO.US,5,20210927,212000,3.7936,3.7936,3.7936,3.7936,100,0
NRBO.US,5,20210927,213000,3.8099,3.8099,3.78,3.78,657,0
NRBO.US,5,20210927,213500,3.79,3.79,3.79,3.79,500,0
NRBO.US,5,20210927,215500,3.78,3.78,3.78,3.78,550,0
NRBO.US,5,20210928,153000,3.84,3.915,3.82,3.915,24425,0
NRBO.US,5,20210928,153500,3.89,3.89,3.76,3.765,7573,0
NRBO.US,5,20210928,154000,3.76,3.77,3.725,3.7699,3807,0
NRBO.US,5,20210928,154500,3.7631,3.7631,3.72,3.72,8270,0
NRBO.US,5,20210928,155000,3.73,3.74,3.7,3.7,3223,0
NRBO.US,5,20210928,155500,3.73,3.75,3.7287,3.7287,700,0
NRBO.US,5,20210928,160000,3.75,3.75,3.75,3.75,400,0
NRBO.US,5,20210928,160500,3.7473,3.7473,3.72,3.72,500,0
NRBO.US,5,20210928,161000,3.72,3.72,3.71,3.7154,710,0
NRBO.US,5,20210928,161500,3.7339,3.7339,3.7339,3.7339,200,0
NRBO.US,5,20210928,162000,3.73,3.74,3.7225,3.7225,3122,0
NRBO.US,5,20210928,162500,3.72,3.72,3.72,3.72,300,0
NRBO.US,5,20210928,163000,3.72,3.7221,3.715,3.715,2200,0
