<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OPBK.US,5,20210922,153000,9.8,9.8,9.8,9.8,305,0
OPBK.US,5,20210922,154500,9.8,9.8,9.8,9.8,100,0
OPBK.US,5,20210922,155000,9.83,9.83,9.83,9.83,100,0
OPBK.US,5,20210922,161000,9.84,9.84,9.84,9.84,100,0
OPBK.US,5,20210922,162000,9.83,9.83,9.83,9.83,900,0
OPBK.US,5,20210922,175000,9.89,9.89,9.89,9.89,100,0
OPBK.US,5,20210922,202000,9.86,9.86,9.85,9.85,200,0
OPBK.US,5,20210922,202500,9.88,9.88,9.88,9.88,100,0
OPBK.US,5,20210922,203000,9.9,9.9,9.9,9.9,100,0
OPBK.US,5,20210922,205000,9.87,9.87,9.855,9.87,400,0
OPBK.US,5,20210922,213000,9.87,9.87,9.87,9.87,100,0
OPBK.US,5,20210922,214500,9.875,9.88,9.875,9.88,200,0
OPBK.US,5,20210922,215000,9.86,9.86,9.85,9.85,200,0
OPBK.US,5,20210922,215500,9.85,9.87,9.83,9.87,1122,0
OPBK.US,5,20210923,153500,9.7525,9.7525,9.7525,9.7525,100,0
OPBK.US,5,20210923,160500,9.84,9.84,9.84,9.84,100,0
OPBK.US,5,20210923,170000,9.86,9.89,9.86,9.89,300,0
OPBK.US,5,20210923,181000,9.888,9.9,9.888,9.89,704,0
OPBK.US,5,20210923,181500,10.0158,10.0272,9.88,9.88,300,0
OPBK.US,5,20210923,182000,10.0196,10.0473,10.0196,10.0473,300,0
OPBK.US,5,20210923,183000,9.87,10.05,9.87,10.0473,503,0
OPBK.US,5,20210923,183500,10.0473,10.0473,10.0473,10.0473,100,0
OPBK.US,5,20210923,184500,9.87,9.87,9.87,9.87,100,0
OPBK.US,5,20210923,190000,9.87,9.99,9.87,9.87,680,0
OPBK.US,5,20210923,190500,10.01,10.01,10.01,10.01,100,0
OPBK.US,5,20210923,191000,9.87,9.87,9.87,9.87,200,0
OPBK.US,5,20210923,192000,10.0499,10.0499,9.87,9.96,1700,0
OPBK.US,5,20210923,192500,10.0473,10.0473,10.0473,10.0473,100,0
OPBK.US,5,20210923,213500,9.94,9.99,9.94,9.99,300,0
OPBK.US,5,20210923,214000,9.94,9.94,9.94,9.94,100,0
OPBK.US,5,20210923,215000,10.01,10.01,9.93,9.99,500,0
OPBK.US,5,20210923,215500,9.93,9.96,9.93,9.96,1823,0
OPBK.US,5,20210924,153000,9.96,9.96,9.9,9.9,213,0
OPBK.US,5,20210924,155000,10.03,10.03,10.03,10.03,100,0
OPBK.US,5,20210924,160500,10.03,10.03,10.03,10.03,100,0
OPBK.US,5,20210924,161500,10.0081,10.0081,10.0081,10.0081,100,0
OPBK.US,5,20210924,162000,10.02,10.02,10.02,10.02,100,0
OPBK.US,5,20210924,163500,10,10,10,10,200,0
OPBK.US,5,20210924,164000,10.04,10.04,10.04,10.04,100,0
OPBK.US,5,20210924,164500,9.94,9.94,9.94,9.94,100,0
OPBK.US,5,20210924,170500,9.95,9.99,9.94,9.99,423,0
OPBK.US,5,20210924,172000,10.04,10.04,10.04,10.04,100,0
OPBK.US,5,20210924,173000,9.97,9.97,9.95,9.96,700,0
OPBK.US,5,20210924,174000,10.04,10.04,10.04,10.04,100,0
OPBK.US,5,20210924,180500,10.04,10.04,10.04,10.04,100,0
OPBK.US,5,20210924,185500,10,10.08,10,10.08,906,0
OPBK.US,5,20210924,192500,10.0621,10.0621,10.0621,10.0621,100,0
OPBK.US,5,20210924,193000,10,10.05,10,10,1501,0
OPBK.US,5,20210924,194000,10.036,10.036,10.036,10.036,200,0
OPBK.US,5,20210924,195500,10.04,10.12,10.04,10.12,395,0
OPBK.US,5,20210924,202000,10.115,10.115,10.05,10.05,1800,0
OPBK.US,5,20210924,202500,10.04,10.04,10.04,10.04,200,0
OPBK.US,5,20210924,205500,10.0505,10.0505,10.0505,10.0505,119,0
OPBK.US,5,20210924,212000,10.08,10.08,10.08,10.08,100,0
