<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OXLC.US,5,20210922,153000,7.2,7.25,7.2,7.245,35042,0
OXLC.US,5,20210922,153500,7.2419,7.27,7.24,7.259,40619,0
OXLC.US,5,20210922,154000,7.2501,7.2501,7.22,7.225,16475,0
OXLC.US,5,20210922,154500,7.24,7.2474,7.23,7.2301,8081,0
OXLC.US,5,20210922,155000,7.225,7.25,7.225,7.25,13359,0
OXLC.US,5,20210922,155500,7.25,7.25,7.24,7.2499,5599,0
OXLC.US,5,20210922,160000,7.2467,7.25,7.235,7.235,4490,0
OXLC.US,5,20210922,160500,7.235,7.235,7.2217,7.2299,15276,0
OXLC.US,5,20210922,161000,7.228,7.228,7.21,7.2199,20086,0
OXLC.US,5,20210922,161500,7.215,7.22,7.215,7.215,1600,0
OXLC.US,5,20210922,162000,7.215,7.22,7.2127,7.22,6360,0
OXLC.US,5,20210922,162500,7.2135,7.2191,7.2135,7.2177,7514,0
OXLC.US,5,20210922,163000,7.2106,7.2178,7.205,7.205,11192,0
OXLC.US,5,20210922,163500,7.2,7.205,7.2,7.205,5500,0
OXLC.US,5,20210922,164000,7.2075,7.2076,7.2,7.2076,3840,0
OXLC.US,5,20210922,164500,7.205,7.205,7.2013,7.2013,1800,0
OXLC.US,5,20210922,165000,7.205,7.21,7.2,7.2,6081,0
OXLC.US,5,20210922,165500,7.205,7.21,7.205,7.21,8755,0
OXLC.US,5,20210922,170000,7.2094,7.2094,7.2,7.2,2511,0
OXLC.US,5,20210922,170500,7.2084,7.2084,7.2084,7.2084,695,0
OXLC.US,5,20210922,171000,7.21,7.22,7.21,7.215,4175,0
OXLC.US,5,20210922,171500,7.215,7.215,7.215,7.215,2600,0
OXLC.US,5,20210922,172000,7.2135,7.2178,7.2,7.2,11096,0
OXLC.US,5,20210922,172500,7.205,7.2152,7.205,7.215,3350,0
OXLC.US,5,20210922,173000,7.2126,7.2196,7.2126,7.2196,370,0
OXLC.US,5,20210922,173500,7.2189,7.22,7.2126,7.215,5041,0
OXLC.US,5,20210922,174000,7.215,7.215,7.21,7.213,1894,0
OXLC.US,5,20210922,174500,7.2199,7.2199,7.2124,7.2133,2856,0
OXLC.US,5,20210922,175000,7.2101,7.2175,7.21,7.211,5886,0
OXLC.US,5,20210922,175500,7.215,7.22,7.21,7.21,6763,0
OXLC.US,5,20210922,180000,7.2162,7.2183,7.2099,7.2099,6877,0
OXLC.US,5,20210922,180500,7.21,7.2186,7.2,7.2027,15343,0
OXLC.US,5,20210922,181000,7.21,7.21,7.2,7.2099,11885,0
OXLC.US,5,20210922,181500,7.205,7.21,7.205,7.21,3000,0
OXLC.US,5,20210922,182000,7.21,7.22,7.21,7.2172,1040,0
OXLC.US,5,20210922,182500,7.215,7.2199,7.21,7.215,5100,0
OXLC.US,5,20210922,183000,7.215,7.2199,7.2123,7.215,2820,0
OXLC.US,5,20210922,183500,7.2119,7.215,7.21,7.215,6960,0
OXLC.US,5,20210922,184000,7.215,7.2172,7.205,7.205,9518,0
OXLC.US,5,20210922,184500,7.2001,7.22,7.2001,7.2054,4450,0
OXLC.US,5,20210922,185000,7.21,7.22,7.21,7.22,2400,0
OXLC.US,5,20210922,185500,7.215,7.215,7.205,7.21,1246,0
OXLC.US,5,20210922,190000,7.21,7.21,7.205,7.21,9734,0
OXLC.US,5,20210922,190500,7.21,7.21,7.205,7.21,5200,0
OXLC.US,5,20210922,191000,7.21,7.21,7.19,7.2,7698,0
OXLC.US,5,20210922,191500,7.2,7.2,7.195,7.195,600,0
OXLC.US,5,20210922,192000,7.2,7.2,7.195,7.198,3727,0
OXLC.US,5,20210922,192500,7.195,7.2,7.19,7.19,2166,0
OXLC.US,5,20210922,193000,7.2,7.2,7.2,7.2,300,0
OXLC.US,5,20210922,193500,7.1963,7.2,7.1963,7.2,475,0
OXLC.US,5,20210922,194000,7.1943,7.2,7.1943,7.195,4989,0
OXLC.US,5,20210922,194500,7.19,7.19,7.17,7.175,16449,0
OXLC.US,5,20210922,195000,7.178,7.178,7.178,7.178,300,0
OXLC.US,5,20210922,195500,7.175,7.18,7.1732,7.175,1000,0
OXLC.US,5,20210922,200000,7.175,7.1799,7.17,7.175,3941,0
OXLC.US,5,20210922,200500,7.175,7.1778,7.175,7.175,3095,0
OXLC.US,5,20210922,201000,7.175,7.18,7.175,7.175,5949,0
OXLC.US,5,20210922,201500,7.18,7.1871,7.175,7.1784,3715,0
OXLC.US,5,20210922,202000,7.175,7.175,7.16,7.1661,20280,0
OXLC.US,5,20210922,202500,7.165,7.165,7.165,7.165,840,0
OXLC.US,5,20210922,203000,7.16,7.165,7.15,7.15,9776,0
OXLC.US,5,20210922,203500,7.15,7.16,7.15,7.16,8466,0
OXLC.US,5,20210922,204000,7.155,7.16,7.15,7.1599,6596,0
OXLC.US,5,20210922,204500,7.155,7.16,7.155,7.159,7061,0
OXLC.US,5,20210922,205000,7.155,7.1599,7.15,7.155,9923,0
OXLC.US,5,20210922,205500,7.155,7.155,7.15,7.15,5548,0
OXLC.US,5,20210922,210000,7.155,7.155,7.15,7.155,3650,0
OXLC.US,5,20210922,210500,7.16,7.165,7.15,7.15,7190,0
OXLC.US,5,20210922,211000,7.16,7.18,7.16,7.175,11761,0
OXLC.US,5,20210922,211500,7.165,7.165,7.15,7.155,8885,0
OXLC.US,5,20210922,212000,7.16,7.165,7.15,7.15,53060,0
OXLC.US,5,20210922,212500,7.15,7.155,7.14,7.1493,45586,0
OXLC.US,5,20210922,213000,7.14,7.15,7.135,7.15,12650,0
OXLC.US,5,20210922,213500,7.1487,7.16,7.14,7.16,6250,0
OXLC.US,5,20210922,214000,7.169,7.169,7.15,7.155,9715,0
OXLC.US,5,20210922,214500,7.155,7.1595,7.15,7.155,2574,0
OXLC.US,5,20210922,215000,7.15,7.16,7.1435,7.155,24583,0
OXLC.US,5,20210922,215500,7.1599,7.16,7.14,7.14,62702,0
OXLC.US,5,20210923,153000,7.18,7.2,7.18,7.19,17987,0
OXLC.US,5,20210923,153500,7.195,7.2,7.195,7.195,11176,0
OXLC.US,5,20210923,154000,7.195,7.2,7.18,7.1899,15706,0
OXLC.US,5,20210923,154500,7.19,7.19,7.1848,7.189,12604,0
OXLC.US,5,20210923,155000,7.1899,7.1899,7.1672,7.1692,7859,0
OXLC.US,5,20210923,155500,7.1688,7.183,7.1688,7.18,18856,0
OXLC.US,5,20210923,160000,7.18,7.19,7.18,7.1899,30642,0
OXLC.US,5,20210923,160500,7.1877,7.1877,7.17,7.17,11628,0
OXLC.US,5,20210923,161000,7.17,7.185,7.17,7.17,4696,0
OXLC.US,5,20210923,161500,7.1772,7.18,7.17,7.175,2870,0
OXLC.US,5,20210923,162000,7.18,7.185,7.175,7.185,7483,0
OXLC.US,5,20210923,162500,7.185,7.19,7.185,7.185,5700,0
OXLC.US,5,20210923,163000,7.1899,7.1899,7.1825,7.185,3292,0
OXLC.US,5,20210923,163500,7.1896,7.19,7.185,7.19,8318,0
OXLC.US,5,20210923,164000,7.185,7.185,7.18,7.1801,1100,0
OXLC.US,5,20210923,164500,7.1814,7.185,7.18,7.18,11101,0
OXLC.US,5,20210923,165000,7.18,7.18,7.16,7.165,49775,0
OXLC.US,5,20210923,165500,7.16,7.165,7.1581,7.1581,1999,0
OXLC.US,5,20210923,170000,7.1568,7.18,7.1568,7.18,12399,0
OXLC.US,5,20210923,170500,7.175,7.18,7.175,7.179,3010,0
OXLC.US,5,20210923,171000,7.177,7.18,7.1701,7.1775,9581,0
OXLC.US,5,20210923,171500,7.17,7.18,7.17,7.18,8700,0
OXLC.US,5,20210923,172000,7.1746,7.179,7.171,7.175,4095,0
OXLC.US,5,20210923,172500,7.175,7.18,7.17,7.1756,6697,0
OXLC.US,5,20210923,173000,7.175,7.175,7.1699,7.1699,8187,0
OXLC.US,5,20210923,173500,7.1656,7.18,7.1656,7.175,4908,0
OXLC.US,5,20210923,174000,7.1785,7.1785,7.175,7.1774,817,0
OXLC.US,5,20210923,174500,7.175,7.18,7.16,7.16,5672,0
OXLC.US,5,20210923,175000,7.165,7.17,7.165,7.165,16034,0
OXLC.US,5,20210923,175500,7.165,7.17,7.165,7.17,1900,0
OXLC.US,5,20210923,180000,7.1621,7.17,7.1618,7.17,4035,0
OXLC.US,5,20210923,180500,7.165,7.17,7.165,7.17,8200,0
OXLC.US,5,20210923,181000,7.17,7.17,7.165,7.165,4900,0
OXLC.US,5,20210923,181500,7.163,7.1676,7.163,7.1676,695,0
OXLC.US,5,20210923,182000,7.1699,7.17,7.16,7.16,4285,0
OXLC.US,5,20210923,182500,7.165,7.1699,7.16,7.165,9027,0
OXLC.US,5,20210923,183000,7.165,7.1773,7.165,7.1756,12673,0
OXLC.US,5,20210923,183500,7.175,7.1789,7.17,7.17,3250,0
OXLC.US,5,20210923,184000,7.17,7.175,7.17,7.175,3600,0
OXLC.US,5,20210923,184500,7.1799,7.18,7.17,7.175,18456,0
OXLC.US,5,20210923,185000,7.18,7.19,7.18,7.185,8675,0
