<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PFC.US,5,20210922,153000,29.99,29.99,29.72,29.73,3474,0
PFC.US,5,20210922,153500,29.84,29.84,29.84,29.84,100,0
PFC.US,5,20210922,154000,29.84,29.84,29.68,29.68,300,0
PFC.US,5,20210922,154500,29.795,29.795,29.795,29.795,100,0
PFC.US,5,20210922,155000,29.93,29.96,29.89,29.89,600,0
PFC.US,5,20210922,155500,29.95,29.95,29.92,29.95,3320,0
PFC.US,5,20210922,160000,29.93,29.93,29.9,29.9,828,0
PFC.US,5,20210922,160500,29.94,29.94,29.93,29.94,500,0
PFC.US,5,20210922,161000,29.85,29.85,29.79,29.79,200,0
PFC.US,5,20210922,161500,29.71,29.72,29.71,29.72,200,0
PFC.US,5,20210922,162500,29.65,29.65,29.65,29.65,100,0
PFC.US,5,20210922,164000,29.635,29.635,29.6,29.6,200,0
PFC.US,5,20210922,164500,29.58,29.69,29.58,29.69,600,0
PFC.US,5,20210922,165000,29.73,29.75,29.705,29.74,600,0
PFC.US,5,20210922,165500,29.68,29.74,29.66,29.66,1187,0
PFC.US,5,20210922,170000,29.74,29.74,29.74,29.74,100,0
PFC.US,5,20210922,170500,29.74,29.78,29.74,29.78,600,0
PFC.US,5,20210922,171000,29.75,29.75,29.75,29.75,300,0
PFC.US,5,20210922,171500,29.82,29.82,29.7875,29.79,500,0
PFC.US,5,20210922,172000,29.79,29.79,29.78,29.78,200,0
PFC.US,5,20210922,172500,29.81,29.81,29.76,29.78,900,0
PFC.US,5,20210922,173000,29.79,29.79,29.79,29.79,200,0
PFC.US,5,20210922,173500,29.81,29.81,29.81,29.81,200,0
PFC.US,5,20210922,174000,29.78,29.78,29.73,29.74,820,0
PFC.US,5,20210922,174500,29.79,29.79,29.71,29.71,300,0
PFC.US,5,20210922,175000,29.73,29.73,29.715,29.72,500,0
PFC.US,5,20210922,181000,29.67,29.67,29.66,29.66,200,0
