<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PFDRW.US,5,20210922,153000,0.8502,0.8502,0.8502,0.8502,1000,0
PFDRW.US,5,20210922,153500,0.850201,0.850201,0.8201,0.83,1000,0
PFDRW.US,5,20210922,154000,0.83,0.83,0.83,0.83,100,0
PFDRW.US,5,20210922,155000,0.83,0.83,0.83,0.83,200,0
PFDRW.US,5,20210922,155500,0.83,0.83,0.83,0.83,100,0
PFDRW.US,5,20210922,164500,0.82,0.85,0.82,0.82,5800,0
PFDRW.US,5,20210922,175000,0.82,0.82,0.82,0.82,200,0
PFDRW.US,5,20210922,182500,0.82,0.82,0.82,0.82,400,0
PFDRW.US,5,20210922,215000,0.8002,0.8002,0.8001,0.8001,1000,0
PFDRW.US,5,20210922,215500,0.8001,0.8497,0.8001,0.8201,2212,0
PFDRW.US,5,20210923,153000,0.85,0.85,0.85,0.85,400,0
PFDRW.US,5,20210923,154000,0.845,0.845,0.8401,0.845,60300,0
PFDRW.US,5,20210923,155000,0.8401,0.8401,0.8401,0.8401,100,0
PFDRW.US,5,20210923,161500,0.8401,0.8401,0.8401,0.8401,1579,0
PFDRW.US,5,20210923,193500,0.8401,0.8401,0.8401,0.8401,100,0
PFDRW.US,5,20210923,194000,0.82,0.82,0.82,0.82,100,0
PFDRW.US,5,20210923,202000,0.82,0.82,0.82,0.82,200,0
PFDRW.US,5,20210923,211500,0.82,0.82,0.82,0.82,100,0
PFDRW.US,5,20210923,212000,0.8201,0.8236,0.82,0.82,1700,0
PFDRW.US,5,20210923,214000,0.82,0.82,0.82,0.82,300,0
PFDRW.US,5,20210923,215500,0.82,0.8201,0.82,0.8201,600,0
PFDRW.US,5,20210924,153000,0.8302,0.8302,0.8302,0.8302,1000,0
PFDRW.US,5,20210924,154000,0.8301,0.8499,0.82,0.82,20340,0
PFDRW.US,5,20210924,155000,0.8498,0.8498,0.8498,0.8498,100,0
PFDRW.US,5,20210924,160000,0.8498,0.8498,0.8498,0.8498,100,0
PFDRW.US,5,20210924,162500,0.82,0.82,0.82,0.82,155,0
PFDRW.US,5,20210924,163000,0.8299,0.83,0.8299,0.83,200,0
PFDRW.US,5,20210924,164000,0.8498,0.8498,0.8498,0.8498,100,0
PFDRW.US,5,20210924,165500,0.83,0.83,0.83,0.83,1929,0
PFDRW.US,5,20210924,170500,0.8498,0.8498,0.8498,0.8498,100,0
PFDRW.US,5,20210924,171000,0.83995,0.8499,0.8301,0.8498,10688,0
PFDRW.US,5,20210924,171500,0.83995,0.8498,0.83995,0.8498,400,0
PFDRW.US,5,20210924,172000,0.8498,0.8498,0.8498,0.8498,400,0
PFDRW.US,5,20210924,172500,0.8498,0.8498,0.83995,0.83995,3139,0
PFDRW.US,5,20210924,173000,0.8498,0.8498,0.83995,0.83995,5338,0
PFDRW.US,5,20210924,173500,0.8498,0.8498,0.83995,0.83995,8302,0
PFDRW.US,5,20210924,174500,0.8498,0.8498,0.8455,0.8455,2403,0
PFDRW.US,5,20210924,175000,0.83995,0.8499,0.83995,0.8499,2486,0
PFDRW.US,5,20210924,175500,0.8498,0.8498,0.8498,0.8498,400,0
PFDRW.US,5,20210924,180000,0.8498,0.8499,0.8455,0.8498,2556,0
PFDRW.US,5,20210924,180500,0.8498,0.8498,0.83995,0.8498,2802,0
PFDRW.US,5,20210924,181000,0.8498,0.8498,0.8498,0.8498,200,0
PFDRW.US,5,20210924,181500,0.8498,0.8498,0.8455,0.8498,2788,0
PFDRW.US,5,20210924,182000,0.8498,0.8498,0.83995,0.8498,300,0
PFDRW.US,5,20210924,182500,0.8498,0.8498,0.8495,0.8495,7823,0
PFDRW.US,5,20210924,183000,0.8495,0.8495,0.8495,0.8495,200,0
PFDRW.US,5,20210924,183500,0.8498,0.8498,0.84495,0.8498,300,0
PFDRW.US,5,20210924,184000,0.8498,0.8498,0.8498,0.8498,100,0
PFDRW.US,5,20210924,184500,0.81655,0.81655,0.81655,0.81655,100,0
PFDRW.US,5,20210924,190500,0.8455,0.8499,0.8399,0.8498,6925,0
PFDRW.US,5,20210924,191500,0.8399,0.8499,0.8399,0.8498,2071,0
PFDRW.US,5,20210924,192000,0.82645,0.82645,0.82645,0.82645,100,0
PFDRW.US,5,20210924,192500,0.8498,0.85,0.8166,0.8166,6133,0
PFDRW.US,5,20210924,194000,0.8166,0.8166,0.8166,0.8166,100,0
PFDRW.US,5,20210924,201000,0.8215,0.84,0.8215,0.84,465,0
PFDRW.US,5,20210924,201500,0.84,0.85,0.84,0.8498,7803,0
PFDRW.US,5,20210924,204000,0.8265,0.85,0.8265,0.8498,6845,0
PFDRW.US,5,20210924,205000,0.8265,0.8265,0.8265,0.8265,100,0
PFDRW.US,5,20210924,210000,0.8498,0.85,0.8253,0.8253,5945,0
PFDRW.US,5,20210924,210500,0.8498,0.85,0.8455,0.8455,5940,0
PFDRW.US,5,20210924,211000,0.8265,0.8265,0.8265,0.8265,100,0
PFDRW.US,5,20210924,211500,0.8455,0.85,0.8253,0.8253,5884,0
PFDRW.US,5,20210924,212500,0.8253,0.8253,0.8253,0.8253,100,0
PFDRW.US,5,20210924,213000,0.84,0.86,0.8265,0.85,5691,0
PFDRW.US,5,20210924,214500,0.85,0.8799,0.85,0.8799,200,0
PFDRW.US,5,20210924,215500,0.8799,0.9,0.8401,0.9,28832,0
PFDRW.US,5,20210927,153000,0.91,0.91,0.91,0.91,1000,0
PFDRW.US,5,20210927,165500,0.8901,0.8999,0.83,0.8999,2600,0
PFDRW.US,5,20210927,215500,0.8995,0.8995,0.8995,0.8995,2000,0
PFDRW.US,5,20210928,153000,0.9898,0.9898,0.9898,0.9898,1000,0
PFDRW.US,5,20210928,204000,0.86,0.86,0.8501,0.8501,2578,0
PFDRW.US,5,20210928,215000,0.85,0.8999,0.85,0.8999,5607,0
PFDRW.US,5,20210928,215500,0.8998,0.8998,0.8998,0.8998,2100,0
PFDRW.US,5,20210929,153000,0.9599,0.9599,0.9599,0.9599,1000,0
PFDRW.US,5,20210929,204000,0.8899,0.8899,0.840401,0.840401,665,0
PFDRW.US,5,20210929,214000,0.8403,0.87,0.8403,0.87,3478,0
PFDRW.US,5,20210929,215500,0.87,0.9599,0.87,0.9599,2300,0
PFDRW.US,5,20210930,153000,0.9498,0.9498,0.9498,0.9498,1000,0
PFDRW.US,5,20210930,203000,0.9199,0.9199,0.9199,0.9199,500,0
PFDRW.US,5,20210930,213000,0.9199,0.9199,0.9199,0.9199,169,0
PFDRW.US,5,20210930,215000,0.90995,0.90995,0.9,0.9,2833,0
PFDRW.US,5,20210930,215500,0.9,0.9498,0.9,0.9498,7126,0
PFDRW.US,5,20211001,153000,0.8999,0.8999,0.8999,0.8999,2847,0
PFDRW.US,5,20211001,180000,0.8101,0.8208,0.8101,0.8101,1300,0
PFDRW.US,5,20211001,203000,0.83,0.83,0.83,0.83,100,0
PFDRW.US,5,20211001,215500,0.8398,0.84,0.8201,0.84,635,0
PFDRW.US,5,20211004,153000,0.86,0.86,0.86,0.86,1200,0
PFDRW.US,5,20211004,215000,0.85,0.85,0.85,0.85,100,0
PFDRW.US,5,20211004,215500,0.86,0.86,0.86,0.86,2000,0
PFDRW.US,5,20211006,153000,0.85,0.89,0.85,0.85,7200,0
PFDRW.US,5,20211006,161500,0.8501,0.89,0.8501,0.8501,589,0
PFDRW.US,5,20211006,162000,0.8501,0.8501,0.85,0.85,1235,0
PFDRW.US,5,20211006,162500,0.8664,0.8664,0.85,0.85,2289,0
PFDRW.US,5,20211006,163000,0.8501,0.8501,0.8497,0.8497,700,0
PFDRW.US,5,20211006,165000,0.85,0.85,0.85,0.85,800,0
PFDRW.US,5,20211006,165500,0.8755,0.8755,0.8755,0.8755,100,0
PFDRW.US,5,20211006,202500,0.85,0.85,0.85,0.85,159,0
PFDRW.US,5,20211006,210000,0.82,0.82,0.82,0.82,100,0
PFDRW.US,5,20211006,215500,0.8754,0.89,0.8754,0.89,2400,0
PFDRW.US,5,20211007,153000,0.9898,0.9898,0.9898,0.9898,1251,0
PFDRW.US,5,20211007,185500,0.88,0.88,0.88,0.88,100,0
PFDRW.US,5,20211007,215500,0.9,0.9,0.9,0.9,2000,0
PFDRW.US,5,20211008,153000,0.9693,0.9693,0.9693,0.9693,1000,0
PFDRW.US,5,20211008,215500,0.9693,0.9693,0.9693,0.9693,2000,0
PFDRW.US,5,20211011,153000,0.9688,0.9688,0.9688,0.9688,1000,0
PFDRW.US,5,20211011,184000,0.99,0.99,0.99,0.99,39184,0
PFDRW.US,5,20211012,213000,0.855,0.855,0.855,0.855,1000,0
PFDRW.US,5,20211015,154000,0.8301,0.8301,0.8201,0.8201,1000,0
PFDRW.US,5,20211015,163000,0.83,0.83,0.83,0.83,501,0
PFDRW.US,5,20211015,180500,0.83,0.83,0.83,0.83,199,0
PFDRW.US,5,20211018,215000,0.8401,0.8401,0.8401,0.8401,200,0
PFDRW.US,5,20211018,215500,0.8401,0.8501,0.8401,0.8501,200,0
PFDRW.US,5,20211019,192500,0.8901,0.8901,0.8901,0.8901,200,0
PFDRW.US,5,20211019,205500,0.8501,0.8501,0.8501,0.8501,1000,0
PFDRW.US,5,20211019,213000,0.8601,0.8601,0.8601,0.8601,200,0
PFDRW.US,5,20211019,215500,0.8601,0.8601,0.8601,0.8601,100,0
PFDRW.US,5,20211020,195000,0.8801,0.8801,0.8801,0.8801,200,0
PFDRW.US,5,20211020,205000,0.8801,0.8801,0.8801,0.8801,780,0
PFDRW.US,5,20211020,205500,0.8501,0.8501,0.8501,0.8501,121,0
PFDRW.US,5,20211021,205500,0.85,0.85,0.85,0.85,617,0
PFDRW.US,5,20211021,214000,0.8601,0.8601,0.8601,0.8601,200,0
PFDRW.US,5,20211022,165500,0.87,0.87,0.87,0.87,50000,0
PFDRW.US,5,20211022,184000,0.86,0.86,0.86,0.86,200,0
PFDRW.US,5,20211025,190000,0.89,0.89,0.88,0.88,2480,0
PFDRW.US,5,20211025,195000,0.88,0.88,0.88,0.88,200,0
PFDRW.US,5,20211025,212500,0.88,0.88,0.88,0.88,2500,0
PFDRW.US,5,20211025,215500,0.885,0.885,0.885,0.885,2000,0
PFDRW.US,5,20211026,162500,0.87,0.87,0.8601,0.8601,1385,0
PFDRW.US,5,20211026,172000,0.88,0.88,0.88,0.88,3082,0
PFDRW.US,5,20211026,181000,0.88,0.88,0.88,0.88,100,0
PFDRW.US,5,20211026,181500,0.89,0.89,0.89,0.89,300,0
PFDRW.US,5,20211026,182500,0.88,0.88,0.88,0.88,100,0
PFDRW.US,5,20211026,183500,0.88,0.88,0.88,0.88,100,0
PFDRW.US,5,20211026,184500,0.88,0.88,0.88,0.88,100,0
PFDRW.US,5,20211026,185000,0.89,0.89,0.89,0.89,100,0
PFDRW.US,5,20211026,185500,0.8899,0.8899,0.8899,0.8899,1000,0
PFDRW.US,5,20211026,190000,0.88,0.88,0.88,0.88,100,0
PFDRW.US,5,20211026,191000,0.88,0.88,0.88,0.88,100,0
PFDRW.US,5,20211026,191500,0.88,0.88,0.88,0.88,100,0
PFDRW.US,5,20211026,192500,0.88,0.88,0.88,0.88,100,0
PFDRW.US,5,20211026,195000,0.88,0.88,0.88,0.88,400,0
PFDRW.US,5,20211026,200000,0.88,0.88,0.88,0.88,100,0
PFDRW.US,5,20211026,201000,0.88,0.88,0.88,0.88,100,0
PFDRW.US,5,20211026,202000,0.88,0.88,0.88,0.88,100,0
PFDRW.US,5,20211026,202500,0.88,0.88,0.88,0.88,100,0
PFDRW.US,5,20211026,204000,0.88,0.88,0.88,0.88,100,0
PFDRW.US,5,20211026,205000,0.88,0.88,0.88,0.88,100,0
PFDRW.US,5,20211026,210000,0.88,0.88,0.88,0.88,100,0
PFDRW.US,5,20211026,210500,0.88,0.88,0.88,0.88,100,0
PFDRW.US,5,20211026,211500,0.88,0.88,0.88,0.88,100,0
PFDRW.US,5,20211026,212000,0.88,0.88,0.88,0.88,100,0
PFDRW.US,5,20211026,213000,0.88,0.88,0.88,0.88,100,0
PFDRW.US,5,20211026,214000,0.88,0.88,0.88,0.88,100,0
PFDRW.US,5,20211026,214500,0.88,0.88,0.88,0.88,100,0
PFDRW.US,5,20211026,215500,0.88,0.88,0.88,0.88,200,0
PFDRW.US,5,20211027,165500,0.89,0.89,0.89,0.89,200,0
PFDRW.US,5,20211027,173000,0.89,0.89,0.89,0.89,3800,0
PFDRW.US,5,20211027,175500,0.89,0.89,0.89,0.89,30000,0
PFDRW.US,5,20211027,184000,0.8651,0.8651,0.8651,0.8651,100,0
PFDRW.US,5,20211027,200500,0.85,0.86,0.85,0.86,800,0
PFDRW.US,5,20211028,162500,0.871,0.871,0.871,0.871,100,0
PFDRW.US,5,20211028,173500,0.89,0.89,0.89,0.89,8570,0
PFDRW.US,5,20211028,200500,0.889899,0.889899,0.889899,0.889899,321,0
PFDRW.US,5,20211028,201500,0.885,0.885,0.885,0.885,1000,0
PFDRW.US,5,20211028,205500,0.884999,0.89,0.884999,0.886651,1060,0
PFDRW.US,5,20211028,210500,0.89,0.8999,0.89,0.8999,3953,0
