<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PRCT.US,5,20210922,153000,38.8,38.8,36.6985,38.2023,1734,0
PRCT.US,5,20210922,153500,38.5,38.5,38.25,38.25,300,0
PRCT.US,5,20210922,154000,38.1,38.1,37.8,38.005,592,0
PRCT.US,5,20210922,154500,37.77,37.77,37.751,37.751,500,0
PRCT.US,5,20210922,155000,37.87,37.87,37.87,37.87,200,0
PRCT.US,5,20210922,155500,37.765,37.765,37.765,37.765,100,0
PRCT.US,5,20210922,160000,37.9,37.9,37.9,37.9,200,0
PRCT.US,5,20210922,160500,37.875,37.875,37.8702,37.8702,200,0
PRCT.US,5,20210922,161000,37.96,37.96,37.53,37.53,3001,0
PRCT.US,5,20210922,161500,37.87,37.87,37.685,37.685,800,0
PRCT.US,5,20210922,162000,37.83,37.83,37.5,37.6802,3950,0
PRCT.US,5,20210922,162500,37.822,38.09,37.822,38.06,2837,0
PRCT.US,5,20210922,163000,38.1774,38.95,38.1774,38.65,1200,0
PRCT.US,5,20210922,163500,38.55,38.55,38.5,38.5,800,0
PRCT.US,5,20210922,164000,37.8624,38.4127,37.8624,38.4127,372,0
PRCT.US,5,20210922,164500,38.21,38.7,38.21,38.6994,3000,0
PRCT.US,5,20210922,165000,38.45,38.45,38.45,38.45,100,0
PRCT.US,5,20210922,170000,38.79,38.96,38.228,38.96,4090,0
PRCT.US,5,20210922,170500,38.74,38.74,38.74,38.74,100,0
PRCT.US,5,20210922,171000,38.45,38.9,38.45,38.65,400,0
PRCT.US,5,20210922,171500,38.5773,38.5773,38.5773,38.5773,100,0
PRCT.US,5,20210922,173500,38.88,38.96,38.78,38.78,2222,0
PRCT.US,5,20210922,174000,38.78,39.7,38.78,39.69,6123,0
PRCT.US,5,20210922,174500,39.6,39.72,39.6,39.72,500,0
PRCT.US,5,20210922,175000,39.61,39.6798,38.97,39.2006,7344,0
PRCT.US,5,20210922,175500,39,39.2,39,39.1,1098,0
PRCT.US,5,20210922,180000,39,39.36,39,39.045,5780,0
PRCT.US,5,20210922,180500,39.22,39.3,39.01,39.3,5170,0
PRCT.US,5,20210922,181000,39.17,39.38,38.955,38.955,3300,0
PRCT.US,5,20210922,181500,39.0189,39.06,38.0001,38.0001,2000,0
PRCT.US,5,20210922,182000,38.13,38.1765,38.13,38.1765,300,0
PRCT.US,5,20210922,182500,38.28,38.5,38.28,38.5,200,0
PRCT.US,5,20210922,183500,38.77,39.25,38.475,38.6,5056,0
PRCT.US,5,20210922,184000,38.6,38.85,38.56,38.85,1949,0
PRCT.US,5,20210922,185000,38.905,38.905,38.7247,38.905,700,0
PRCT.US,5,20210922,185500,38.6,38.905,38.6,38.9,300,0
PRCT.US,5,20210922,190500,38.9,38.9,38.9,38.9,100,0
PRCT.US,5,20210922,191500,39.05,39.055,38.9,38.9,600,0
PRCT.US,5,20210922,192000,38.85,38.98,38.85,38.85,627,0
PRCT.US,5,20210922,192500,38.57,38.57,38.57,38.57,100,0
PRCT.US,5,20210922,193000,38.78,38.78,38.78,38.78,100,0
PRCT.US,5,20210922,193500,38.49,38.49,38.49,38.49,100,0
PRCT.US,5,20210922,194000,38.785,38.785,38.785,38.785,400,0
PRCT.US,5,20210922,195000,38.61,38.75,38.61,38.75,300,0
PRCT.US,5,20210922,195500,38.74,38.74,38.74,38.74,100,0
PRCT.US,5,20210922,200000,38.69,38.88,38.54,38.54,300,0
PRCT.US,5,20210922,200500,38.56,38.85,38.48,38.85,300,0
PRCT.US,5,20210922,201000,38.89,38.89,38.89,38.89,100,0
PRCT.US,5,20210922,201500,38.98,39,38.98,39,367,0
PRCT.US,5,20210922,202000,38.98,39,38.8,38.805,1400,0
PRCT.US,5,20210922,202500,38.8055,38.98,38.805,38.955,800,0
PRCT.US,5,20210922,204000,38.8,39,38.63,38.85,6217,0
PRCT.US,5,20210922,204500,38.9999,38.9999,38.65,38.66,1147,0
PRCT.US,5,20210922,205000,38.58,38.97,38.5604,38.97,500,0
PRCT.US,5,20210922,205500,38.55,38.55,38.55,38.55,100,0
PRCT.US,5,20210922,210000,38.58,38.645,38.58,38.645,200,0
PRCT.US,5,20210922,210500,38.64,38.64,38.64,38.64,200,0
