<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PTSI.US,5,20210922,153000,42.63,43.58,42.63,43.58,249,0
PTSI.US,5,20210922,154000,43.4698,43.4698,43.4698,43.4698,572,0
PTSI.US,5,20210922,155000,43.9928,43.9928,43.47,43.5,601,0
PTSI.US,5,20210922,155500,43.46,43.5,43.46,43.5,600,0
PTSI.US,5,20210922,160000,43.945,44,43.8211,43.9902,1301,0
PTSI.US,5,20210922,160500,43.98,43.98,43.98,43.98,100,0
PTSI.US,5,20210922,161000,43.9534,43.9534,43.9534,43.9534,100,0
PTSI.US,5,20210922,161500,43.7974,43.7974,43.7974,43.7974,100,0
PTSI.US,5,20210922,162000,43.8357,43.8357,43.68,43.68,200,0
PTSI.US,5,20210922,163000,44.18,44.7,44.18,44.7,1239,0
PTSI.US,5,20210922,165000,44.8926,44.8926,44.8926,44.8926,100,0
PTSI.US,5,20210922,170500,44.19,44.2,44.19,44.2,400,0
PTSI.US,5,20210922,172500,44.11,44.13,44.1,44.1,706,0
PTSI.US,5,20210922,180000,43.6,43.6,43.6,43.6,100,0
PTSI.US,5,20210922,182500,43.93,43.93,43.93,43.93,234,0
PTSI.US,5,20210922,183000,43.7078,43.7078,43.7078,43.7078,100,0
PTSI.US,5,20210922,184500,43.53,43.53,43.53,43.53,100,0
PTSI.US,5,20210922,192000,44,44,43.62,43.62,600,0
PTSI.US,5,20210922,192500,43.9059,44.49,43.53,43.53,4526,0
PTSI.US,5,20210922,200000,44.91,44.91,44.91,44.91,100,0
PTSI.US,5,20210922,200500,44.1762,44.1762,44.1762,44.1762,115,0
PTSI.US,5,20210922,201500,44.1,44.1,44.1,44.1,156,0
PTSI.US,5,20210922,202000,44.89,44.89,44.89,44.89,100,0
PTSI.US,5,20210922,204500,44.79,44.79,44.79,44.79,100,0
PTSI.US,5,20210922,205000,44.55,44.81,44.55,44.81,200,0
PTSI.US,5,20210922,210500,43.59,43.59,43.59,43.59,200,0
PTSI.US,5,20210922,212500,44.27,44.27,44.2,44.2,800,0
PTSI.US,5,20210922,213000,44.58,44.58,44.58,44.58,100,0
PTSI.US,5,20210922,213500,44.3,44.53,44.3,44.53,413,0
PTSI.US,5,20210922,214000,44.55,45.05,44.55,45.05,3113,0
PTSI.US,5,20210922,214500,44.895,44.9,44.8,44.8425,900,0
PTSI.US,5,20210922,215000,44.84,44.84,44.29,44.2985,1042,0
PTSI.US,5,20210922,215500,44.4,44.62,44.32,44.62,3187,0
PTSI.US,5,20210923,153000,44.98,45.075,44.98,45.075,416,0
PTSI.US,5,20210923,153500,44.78,44.78,44.78,44.78,100,0
PTSI.US,5,20210923,160000,45.5,45.5,45.5,45.5,219,0
PTSI.US,5,20210923,160500,45.5,45.5,45.5,45.5,600,0
PTSI.US,5,20210923,161000,45,45,45,45,300,0
PTSI.US,5,20210923,162000,45.05,45.05,45,45.025,300,0
PTSI.US,5,20210923,163000,45.147,45.147,45.147,45.147,225,0
PTSI.US,5,20210923,163500,45,45.1521,45,45.135,817,0
PTSI.US,5,20210923,164000,44.85,44.85,44.85,44.85,100,0
PTSI.US,5,20210923,165500,45.3505,45.3505,45.3505,45.3505,200,0
PTSI.US,5,20210923,171000,45.085,45.39,44.995,44.995,1120,0
PTSI.US,5,20210923,172000,44.89,44.89,44.89,44.89,200,0
PTSI.US,5,20210923,172500,45,45,45,45,140,0
PTSI.US,5,20210923,173500,45.06,45.0625,45.06,45.0625,200,0
PTSI.US,5,20210923,180500,45.045,45.045,44.9801,44.9801,300,0
PTSI.US,5,20210923,181500,45,45,45,45,250,0
PTSI.US,5,20210923,182000,45.15,45.15,45.15,45.15,279,0
PTSI.US,5,20210923,183500,45.23,45.23,45.23,45.23,100,0
PTSI.US,5,20210923,185000,45.3229,45.3229,45.32,45.32,200,0
PTSI.US,5,20210923,185500,45.2601,45.2601,45.2601,45.2601,100,0
PTSI.US,5,20210923,194000,45.34,45.485,45.34,45.485,300,0
PTSI.US,5,20210923,200000,45.26,45.26,45.26,45.26,100,0
PTSI.US,5,20210923,201500,45.485,46,45.485,46,1636,0
PTSI.US,5,20210923,202000,46.29,47,46.29,46.75,1700,0
PTSI.US,5,20210923,202500,46.94,47.15,46.9335,47.12,700,0
PTSI.US,5,20210923,203000,47,47,47,47,100,0
PTSI.US,5,20210923,203500,47.51,47.51,47.085,47.18,900,0
PTSI.US,5,20210923,204000,47,47.09,47,47.0045,300,0
PTSI.US,5,20210923,205000,46.71,46.71,46.7005,46.7005,200,0
PTSI.US,5,20210923,205500,46.9,46.9,46.9,46.9,100,0
PTSI.US,5,20210923,210000,46.93,46.93,46.88,46.88,400,0
PTSI.US,5,20210923,210500,46.55,46.55,45.8852,45.8852,1172,0
PTSI.US,5,20210923,211000,46.16,46.39,46.16,46.39,200,0
PTSI.US,5,20210923,211500,46.4,46.415,46.4,46.415,435,0
PTSI.US,5,20210923,212000,46.47,46.47,46.47,46.47,100,0
PTSI.US,5,20210923,213500,46.6565,46.6565,46.6565,46.6565,100,0
PTSI.US,5,20210923,214000,46.5,46.5,46.2,46.2,260,0
PTSI.US,5,20210923,214500,46.25,46.25,46.25,46.25,100,0
PTSI.US,5,20210923,215000,46.4,46.4,46.4,46.4,100,0
PTSI.US,5,20210923,215500,46.31,46.36,46.1,46.36,1838,0
PTSI.US,5,20210924,153000,46.56,46.56,45.8222,46.225,2132,0
PTSI.US,5,20210924,163000,46.88,46.88,46.88,46.88,200,0
PTSI.US,5,20210924,164000,46.53,46.53,46.53,46.53,100,0
PTSI.US,5,20210924,164500,46.46,46.46,46.3,46.3,1280,0
PTSI.US,5,20210924,165500,46.17,46.18,46.17,46.17,307,0
PTSI.US,5,20210924,172500,46,46,46,46,500,0
PTSI.US,5,20210924,173500,45.84,45.84,45.32,45.32,780,0
PTSI.US,5,20210924,174000,45.48,45.53,45.39,45.4631,2300,0
PTSI.US,5,20210924,175000,45.5852,45.5852,45.5852,45.5852,200,0
PTSI.US,5,20210924,175500,45.28,45.45,45.28,45.28,672,0
PTSI.US,5,20210924,180000,45.5,45.52,45.415,45.51,974,0
PTSI.US,5,20210924,180500,45.5,45.5,45.33,45.33,564,0
PTSI.US,5,20210924,184000,45.5,45.69,45.5,45.69,1182,0
PTSI.US,5,20210924,191000,45.48,45.5,45.48,45.49,450,0
PTSI.US,5,20210924,192500,45.4,45.4,45.4,45.4,100,0
PTSI.US,5,20210924,195500,45.5,45.5,45.5,45.5,100,0
PTSI.US,5,20210924,201000,45.55,45.89,45.55,45.71,400,0
PTSI.US,5,20210924,202000,45.74,45.74,45.6906,45.6906,300,0
PTSI.US,5,20210924,203000,45.91,45.91,45.91,45.91,100,0
PTSI.US,5,20210924,204500,45.92,46.09,45.89,46.08,854,0
PTSI.US,5,20210924,205500,46.08,46.08,46.08,46.08,110,0
PTSI.US,5,20210924,210000,46.09,46.09,46.09,46.09,200,0
PTSI.US,5,20210924,211500,46.09,46.09,46.09,46.09,100,0
PTSI.US,5,20210924,212000,46.09,46.1,46.09,46.1,300,0
PTSI.US,5,20210924,213000,46.16,46.16,46.03,46.03,400,0
PTSI.US,5,20210924,214000,45.8,45.93,45.8,45.9,527,0
PTSI.US,5,20210924,215500,45.97,45.99,45.8,45.96,1413,0
PTSI.US,5,20210927,153000,46.13,46.13,45.8,45.8,989,0
PTSI.US,5,20210927,155500,45.35,45.35,45.14,45.3083,769,0
PTSI.US,5,20210927,162000,45.56,45.56,45.56,45.56,366,0
PTSI.US,5,20210927,162500,45.805,45.91,45.805,45.91,689,0
PTSI.US,5,20210927,163500,46.08,46.08,46.08,46.08,100,0
PTSI.US,5,20210927,164000,45.81,45.85,45.81,45.85,300,0
PTSI.US,5,20210927,165000,46,46,46,46,429,0
PTSI.US,5,20210927,175500,45.3537,45.3537,45.3537,45.3537,1000,0
PTSI.US,5,20210927,184000,45.69,45.69,45.69,45.69,366,0
PTSI.US,5,20210927,184500,45.8,45.8,45.8,45.8,142,0
PTSI.US,5,20210927,192500,45.05,45.05,45.05,45.05,100,0
PTSI.US,5,20210927,202500,45.5,45.52,45.49,45.49,500,0
PTSI.US,5,20210927,203000,45.35,45.35,45.35,45.35,100,0
PTSI.US,5,20210927,210000,45.5,45.57,45.5,45.57,400,0
PTSI.US,5,20210927,212000,45.39,45.39,45.39,45.39,100,0
PTSI.US,5,20210927,214500,45.44,45.44,45.44,45.44,200,0
PTSI.US,5,20210927,215000,45.35,45.385,45.35,45.385,375,0
PTSI.US,5,20210927,215500,45.36,45.55,45.36,45.55,2942,0
PTSI.US,5,20210928,153500,46.98,46.98,46.98,46.98,100,0
PTSI.US,5,20210928,154500,46.9999,46.9999,45.36,45.515,412,0
PTSI.US,5,20210928,161500,45.42,45.42,45.42,45.42,100,0
PTSI.US,5,20210928,163000,45.45,45.45,45.41,45.41,300,0
PTSI.US,5,20210928,164000,44.78,44.805,44.76,44.805,400,0
PTSI.US,5,20210928,164500,44.81,44.81,44.39,44.39,570,0
PTSI.US,5,20210928,170000,44.49,44.49,44.48,44.48,201,0
PTSI.US,5,20210928,172000,44.1358,44.315,44.06,44.315,1272,0
PTSI.US,5,20210928,174000,44.06,44.06,44.06,44.06,100,0
PTSI.US,5,20210928,175000,44.06,44.06,43.49,43.49,2324,0
PTSI.US,5,20210928,192000,43.75,43.75,43.75,43.75,100,0
PTSI.US,5,20210928,194500,44.22,44.22,44.22,44.22,100,0
PTSI.US,5,20210928,195000,43.84,43.84,43.84,43.84,100,0
PTSI.US,5,20210928,200500,43.5101,43.5101,43.5101,43.5101,212,0
PTSI.US,5,20210928,203000,43.84,43.84,43.84,43.84,100,0
PTSI.US,5,20210928,204000,43.27,43.5387,43.27,43.5387,300,0
PTSI.US,5,20210928,205000,43.08,43.08,43.08,43.08,100,0
PTSI.US,5,20210928,211000,43.35,44,43.35,44,950,0
PTSI.US,5,20210928,211500,44.3,44.3,44.3,44.3,100,0
PTSI.US,5,20210928,212500,43.91,43.91,43.91,43.91,303,0
PTSI.US,5,20210928,213500,43.91,43.91,43.91,43.91,100,0
PTSI.US,5,20210928,215500,43.8647,44.21,43.8647,44.21,3627,0
PTSI.US,5,20210929,153000,44.37,44.37,44.37,44.37,244,0
PTSI.US,5,20210929,155000,45.71,45.71,45.71,45.71,110,0
PTSI.US,5,20210929,160500,44.45,45.219,44.4062,44.4062,2600,0
PTSI.US,5,20210929,161500,44.5,44.5665,44.5,44.5665,200,0
PTSI.US,5,20210929,163000,44.5,44.5,44.5,44.5,116,0
PTSI.US,5,20210929,164500,44.79,45.24,44.79,45.24,200,0
PTSI.US,5,20210929,165000,45.39,45.4,45.39,45.4,400,0
PTSI.US,5,20210929,171500,45.75,45.75,45.6,45.6,500,0
PTSI.US,5,20210929,172000,45.61,45.63,45.6006,45.6006,1018,0
PTSI.US,5,20210929,173000,45.65,45.65,45.5,45.61,400,0
PTSI.US,5,20210929,174000,45.2,45.2,44.38,44.38,550,0
PTSI.US,5,20210929,175000,45.13,45.2,45.1,45.2,600,0
PTSI.US,5,20210929,175500,45.2994,45.34,45.27,45.34,500,0
PTSI.US,5,20210929,181000,44.97,44.97,44.97,44.97,185,0
PTSI.US,5,20210929,185500,45.19,45.19,45.19,45.19,100,0
PTSI.US,5,20210929,192500,45.18,45.18,45.18,45.18,200,0
PTSI.US,5,20210929,194000,45.355,45.355,45.355,45.355,200,0
PTSI.US,5,20210929,195000,45.36,45.36,45.3,45.3,400,0
PTSI.US,5,20210929,200500,45.3,45.3,45.3,45.3,100,0
PTSI.US,5,20210929,203000,45.59,45.7,45.59,45.7,400,0
PTSI.US,5,20210929,203500,46.4,46.4,46.4,46.4,100,0
PTSI.US,5,20210929,204000,45.48,45.48,45.48,45.48,112,0
PTSI.US,5,20210929,210000,45.5,45.5,45.462,45.462,200,0
PTSI.US,5,20210929,213000,45.48,45.48,45.48,45.48,202,0
PTSI.US,5,20210929,214000,45.45,45.45,45.45,45.45,200,0
PTSI.US,5,20210929,215000,45.24,45.24,45.2,45.2,300,0
PTSI.US,5,20210929,215500,45.31,45.39,45.1005,45.39,1512,0
PTSI.US,5,20210930,153000,45.42,45.42,45.42,45.42,156,0
PTSI.US,5,20210930,154500,44.97,44.97,44.97,44.97,215,0
PTSI.US,5,20210930,161000,44.9401,44.9401,44.9401,44.9401,100,0
PTSI.US,5,20210930,161500,45.7,45.7,45.7,45.7,500,0
PTSI.US,5,20210930,162500,45.08,45.46,43.06,45.2831,3700,0
PTSI.US,5,20210930,163500,44.57,45.995,43.4774,43.4774,3200,0
PTSI.US,5,20210930,165000,44.34,44.34,44.34,44.34,152,0
PTSI.US,5,20210930,190500,44.435,44.435,44.435,44.435,100,0
PTSI.US,5,20210930,191500,45.3799,45.3799,45.3799,45.3799,172,0
PTSI.US,5,20210930,193000,44.385,44.385,43.4,43.4,475,0
PTSI.US,5,20210930,201000,43.8622,43.8622,43.8622,43.8622,115,0
PTSI.US,5,20210930,202500,44.66,44.66,44.41,44.41,300,0
PTSI.US,5,20210930,203000,44.25,45.46,44.25,44.9022,1200,0
